,https://roic.ai/company/MTZ,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3731000,3065000,3872000,3573000,4433000,12944000,15950000,12395000,15072000,15656000,13527000,16447000,21875000,- -
77,Change in Working Capital,- -,- -,- -,- -,32800000,1300000,-14500000,2000000,700000,500000,22400000,107100000,-27900000,120700000,-9100000,-1497000,14159000,-103285000,-31417000,20770000,939000,28973000,-4580000,-54145000,97706000,32107000,7133000,99103000,139071000,70466000,-170790000,182383000,326043000,-3161000,69055000,-10617000,- -
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-13797000,85044000,-127724000,-180839000,-177313000,-204330000,163773000,362275000,-246419000,-417491000,-335201000,113061000,87372000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,600000,100000,-100000,-1600000,-2400000,-300000,-16800000,600000,-13313000,-5807000,-3031000,-3994000,-13786000,-3381000,8976000,24756000,-8859000,956000,-25363000,-29151000,15448000,13481000,-12621000,22356000,-22232000,36187000,-29366000,24051000,17904000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,76285000,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,29300000,29300000,62100000,63400000,48900000,50900000,21700000,22200000,44600000,151700000,123800000,244500000,235400000,233903000,248062000,144777000,113360000,134130000,135069000,164042000,159462000,105317000,203023000,235130000,242263000,341366000,480437000,550903000,380113000,562496000,888539000,885378000,954433000,943816000,- -
82,Other Non-Cash Items,- -,- -,-15600000,-17100000,-52800000,-11800000,6800000,-2800000,2900000,-10800000,-13000000,-110600000,-11400000,-171000000,16800000,-139703000,70490000,294900000,65179000,15905000,-22945000,52145000,62518000,14343000,-96919000,33556000,-186109000,-131428000,-240024000,-47536000,431331000,-284105000,-738975000,-9208000,-185200000,298217000,464243000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,- -,- -,5100000,8400000,3600000,5600000,37400000,23100000,-13900000,120100000,-11871000,54812000,56972000,2225000,4826000,-18434000,46207000,68698000,58182000,124139000,218029000,5826000,172135000,200402000,323011000,367413000,205593000,156263000,529956000,550278000,937254000,793074000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,-4500000,-2000000,-4300000,-14700000,-7100000,-72500000,-152200000,-88200000,-52638000,-43915000,-18965000,-10863000,-9310000,-6421000,-22283000,-32135000,-35015000,-21859000,-30383000,-71710000,-79686000,-126288000,-109254000,-84410000,-117114000,-123412000,-180420000,-126473000,-213746000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-55303000,-30313000,-17269000,-1861000,- -,- -,-19285000,-35432000,-123825000,-157619000,-75896000,-85395000,-55410000,-151564000,-345543000,-148000,-4102000,-115995000,-6684000,-179481000,-24971000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4680000,-568163000,-17544000,-717000,-478000,-284000,-284000,-16173000,-1120000,-127480000,-32169000,-77105000,-39469000,-5589000,-17456000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,570050000,31938000,- -,7044000,4600000,- -,14956000,- -,69406000,1125000,23801000,5415000,14705000,648000,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,400000,800000,2100000,-7300000,4500000,31800000,-26400000,17900000,50265000,-9114000,12440000,19122000,5188000,4107000,5467000,3223000,-32556000,-17688000,-34950000,-65483000,-72301000,-110430000,-92599000,-70478000,-105875000,-103449000,-141061000,-91458000,-174826000,-1357171000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,-4100000,-1200000,-2200000,-22000000,-2600000,-40700000,-178600000,-70300000,-57676000,-83342000,-23794000,6398000,-4122000,-2314000,-40781000,-62457000,-141987000,-176024000,-104280000,-146562000,-127995000,-263211000,-439262000,-128700000,-141021000,-272748000,-181799000,-261823000,-216605000,-1357171000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-166885000,-161376000,-41799000,-340825000,-927698000,-1470346000,-2209224000,-1813015000,-1695803000,-2528383000,-3449115000,-3227374000,-2268117000,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000,800000,6300000,3800000,6600000,133695000,1146000,307000,1082000,2643000,2620000,161113000,13895000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-13700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-75000000,-75000000,- -,- -,-100000000,- -,-1552000,-313949000,-5652000,-120228000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,1500000,-8500000,-4700000,11600000,-31100000,11500000,216900000,-45400000,-71538000,58645000,-71107000,-45000,-3646000,700000,-79330000,18861000,223873000,254653000,17058000,399036000,964954000,1529339000,2327899000,1654095000,1666317000,2648090000,3401970000,2988395000,2018458000,501942000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,- -,1500000,-8500000,-4700000,11800000,-30300000,13000000,207000000,-38800000,62157000,59791000,-70800000,1037000,-1003000,3320000,81783000,32756000,56988000,93277000,-24741000,-16789000,-37744000,58993000,118675000,-258920000,-29486000,118155000,-361094000,-244631000,-369887000,501942000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-800000,-400000,-700000,-3300000,-1788000,-1240000,-2126000,1025000,432000,-96000,-187000,9000,-208000,-134000,75000,201000,91000,-24000,-1292000,1132000,-1303000,-111000,33000,181000,929000,-227000
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,1500000,-8500000,-4700000,-4500000,-30300000,13000000,207000000,7800000,-9178000,30021000,-39748000,10685000,133000,-17524000,87022000,39006000,-27025000,41258000,89083000,-157324000,6487000,-3840000,1132000,-19075000,33783000,1559000,-12904000,44005000,351691000,-62382000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1100000,- -,- -,- -,27700000,18457000,48478000,8730000,19415000,19548000,2024000,89046000,74288000,47263000,88521000,177604000,20280000,26767000,22927000,24059000,4984000,38767000,40326000,27422000,71427000,423118000,360736000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,- -,10900000,10200000,8900000,5600000,1100000,11000000,6100000,19900000,27635000,18457000,48478000,8730000,19415000,19548000,2024000,35282000,74288000,47263000,88521000,177604000,20280000,26767000,22927000,24059000,4984000,38767000,40326000,27422000,71427000,423118000
100,Free Cash Flow,- -,- -,- -,- -,- -,- -,- -,600000,6400000,-700000,-9100000,30300000,-49400000,-166100000,31900000,-64509000,10897000,38007000,-8638000,-4484000,-24855000,23924000,36563000,23167000,102280000,187646000,-65884000,92449000,74114000,213757000,283003000,88479000,32851000,349536000,423805000,723508000,793074000
101,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/15615/000001561595000004/0000015615-95-000004-index.html,https://www.sec.gov/Archives/edgar/data/15615/000001561596000001/0000015615-96-000001-index.html,https://www.sec.gov/Archives/edgar/data/15615/000001561597000001/0000015615-97-000001-index.html,https://www.sec.gov/Archives/edgar/data/15615/000001561598000011/0000015615-98-000011-index.html,https://www.sec.gov/Archives/edgar/data/15615/000001561599000005/0000015615-99-000005-index.html,- -,https://www.sec.gov/Archives/edgar/data/15615/000001561501000001/0000015615-01-000001-index.html,https://www.sec.gov/Archives/edgar/data/15615/000001561502000002/0000015615-02-000002-index.html,- -,https://www.sec.gov/Archives/edgar/data/15615/000095014404007457/g90004e10vk.htm,https://www.sec.gov/Archives/edgar/data/15615/000095014405003374/g94097e10vk.htm,https://www.sec.gov/Archives/edgar/data/15615/000095014406001675/g99839e10vk.htm,https://www.sec.gov/Archives/edgar/data/15615/000095014407001989/g05907e10vk.htm,https://www.sec.gov/Archives/edgar/data/15615/000095014408001445/g12007e10vk.htm,https://www.sec.gov/Archives/edgar/data/15615/000095014409001787/0000950144-09-001787-index.html,https://www.sec.gov/Archives/edgar/data/15615/000119312510039265/0001193125-10-039265-index.html,https://www.sec.gov/Archives/edgar/data/15615/000119312511043693/d10k.htm,https://www.sec.gov/Archives/edgar/data/15615/000119312512089522/0001193125-12-089522-index.html,https://www.sec.gov/Archives/edgar/data/15615/000001561513000028/0000015615-13-000028-index.html,https://www.sec.gov/Archives/edgar/data/15615/000001561514000027/mtz12311310-k.htm,https://www.sec.gov/Archives/edgar/data/15615/000001561515000053/mtz12311410-k.htm,https://www.sec.gov/Archives/edgar/data/15615/000001561516000093/0000015615-16-000093-index.html,https://www.sec.gov/Archives/edgar/data/15615/000001561517000007/0000015615-17-000007-index.html,https://www.sec.gov/Archives/edgar/data/15615/000001561518000007/0000015615-18-000007-index.html,https://www.sec.gov/Archives/edgar/data/15615/000001561519000011/0000015615-19-000011-index.html,https://www.sec.gov/Archives/edgar/data/15615/000001561520000005/0000015615-20-000005-index.html,https://www.sec.gov/Archives/edgar/data/15615/000001561521000006/0000015615-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/15615/000001561522000011/0000015615-22-000011-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
