,https://roic.ai/company/MOS,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37800000,24100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,57600000,19900000,- -,724700000,675000000,634400000,516200000,456600000,583400000,580100000,787900000,961400000,984000000,977400000,1009200000,1117300000,1080600000,1040700000,1060800000,1016200000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,571000000,578800000,- -,913000000,980200000,875200000,987900000,826100000,788600000,831000000,975400000,907200000,1200000000,1030600000,952900000,967800000,1458700000,1773000000,1643900000,2037800000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2793900000,2690100000,- -,4101400000,4043300000,3327700000,2879100000,2539200000,2655400000,2196500000,2773300000,2878200000,5962000000,5799100000,5741400000,6963200000,7030800000,7339200000,6888100000,6500500000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,194100000,173600000,124000000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3245400000,3144100000,- -,5208700000,5169400000,4957400000,5065200000,4161000000,3959300000,4125000000,4691000000,4643100000,7562400000,7847400000,7218200000,8994300000,9514500000,9930900000,10034600000,11287900000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1306000,130600000,- -,3900000,3900000,4400000,4400000,4400000,4500000,4500000,4300000,4300000,3700000,3500000,3500000,3500000,3800000,3800000,3800000,3700000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-984700000,-1132200000,- -,1115400000,982900000,1402600000,3485400000,5746200000,5905300000,8330600000,10141300000,11603400000,11168900000,11014800000,10863400000,10631100000,11064700000,9921500000,10511000000,12014200000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2123800000,-2326600000,- -,-72000000,299000000,459000000,791000000,259000000,289000000,710000000,378000000,326000000,-473700000,-1493000000,-1312000000,-1062000000,-1657000000,-1598000000,-1806200000,-1891800000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3498894000,3852000000,- -,- -,2245000000,2317900000,2450400000,2483400000,2523400000,2596500000,1459500000,1491700000,4200000,6500000,29700000,44900000,985800000,858200000,872800000,478000000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,391700000,526600000,- -,3213500000,3530800000,4183900000,6731200000,8493000000,8722200000,11641600000,11983100000,13425400000,10703100000,9531800000,9584600000,9617500000,10397300000,9185500000,9581400000,10604100000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3637100000,3670700000,- -,8422200000,8700200000,9141300000,11796400000,12654000000,12681500000,15766600000,16674100000,18068500000,18265500000,17379200000,16802800000,18611800000,19911800000,19116400000,19616000000,21892000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21800000,20400000,22300000,23400000,22200000,26200000,20300000,16300000,17500000,17500000,33200000,37900000,21600000,207400000,182100000,173800000,144400000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3637100000,3670700000,- -,8444000000,8720600000,9163600000,11819800000,12676200000,12707700000,15786900000,16690400000,18086000000,18283000000,17412400000,16840700000,18633400000,20119200000,19298500000,19789800000,22036400000
