,https://roic.ai/company/AON,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
73,Net Income,- -,- -,- -,- -,- -,239000000,242000000,126600000,323800000,360000000,403000000,335000000,299000000,541000000,352000000,474000000,203000000,466000000,628000000,546000000,737000000,720000000,864000000,1462000000,747000000,706000000,979000000,993000000,1113000000,1397000000,1385000000,1396000000,1226000000,1134000000,1532000000,1969000000,1255000000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,12700000,17900000,33200000,50700000,149500000,157900000,144000000,241200000,268000000,355000000,333000000,339000000,263000000,314000000,309000000,346000000,201000000,205000000,222000000,242000000,305000000,582000000,655000000,635000000,594000000,543000000,509000000,891000000,769000000,564000000,413000000,326000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-131000000,138000000,76000000,146000000,-95000000,-14000000,-135000000,-223000000,-24000000,-18000000,-225000000,-36000000,9000000,11000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,204000000,248000000,209000000,221000000,235000000,212000000,300000000,328000000,340000000,331000000,319000000,338000000,317000000,312000000,449000000
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,1046200000,2603600000,1844300000,893300000,-29152400000,7992000000,-1159000000,-599000000,93000000,918000000,-62000000,-258000000,178000000,229000000,-213000000,4061000000,5285000000,-1697000000,-374000000,221000000,175000000,-713000000,-113000000,-110000000,77000000,-235000000,271000000,154000000,-171000000,346000000,230000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-284600000,-887700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-613000000,- -,- -,- -,- -,- -,106000000,141000000,-25000000,-83000000,-86000000,-254000000,-127000000,-371000000,108000000,-119000000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,298600000,445400000,766700000,-154600000,28000000,222000000,- -,- -,- -,- -,- -,- -,825000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,9720000000,10766200000,13369800000,15214100000,16107400000,-13045000000,-5053000000,-6212000000,-6811000000,-6718000000,-5800000000,-5862000000,-6120000000,-5942000000,-5713000000,-5926000000,-1865000000,3420000000,1723000000,1349000000,1570000000,1745000000,1032000000,919000000,809000000,886000000,651000000,922000000,1076000000,905000000,1251000000,85000000
82,Other Non-Cash Items,- -,- -,- -,- -,- -,985500000,-626800000,-2184700000,-1614000000,-707000000,29201100000,-8116400000,1402900000,654000000,-338000000,-986000000,79000000,771000000,192000000,100000000,16000000,-4014000000,-5269000000,855000000,-587000000,-742000000,-1099000000,367000000,-288000000,-432000000,-113000000,349000000,-1955000000,-484000000,-371000000,-266000000,-89000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,1237200000,679300000,578700000,604800000,695800000,609600000,354600000,784100000,864000000,462000000,739000000,559000000,1242000000,1312000000,1184000000,886000000,968000000,1289000000,959000000,375000000,787000000,1018000000,1419000000,1633000000,1642000000,2009000000,2326000000,734000000,1686000000,1835000000,2783000000,2182000000
84,CAPEX,- -,- -,- -,- -,- -,-26000000,-20200000,-56700000,-47100000,-76900000,-97900000,-74800000,-1794800000,-300000000,-271000000,-179000000,-281000000,-278000000,-185000000,-80000000,-126000000,-152000000,-170000000,-103000000,-140000000,-180000000,-241000000,-269000000,-229000000,-256000000,-290000000,-222000000,-183000000,-240000000,-225000000,-141000000,-137000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-22000000,-109600000,1027800000,-1648900000,-374000000,-395000000,-85000000,-107000000,-111000000,-8000000,53000000,283000000,544000000,-198000000,1724000000,-263000000,-2078000000,-97000000,-160000000,-14000000,-431000000,189000000,-772000000,3217000000,-68000000,13000000,-338000000,204000000
86,Purchases of Investments,- -,- -,- -,- -,- -,-2921200000,-3324300000,-4000300000,-4649000000,-3467600000,-4842900000,-1028600000,-4632700000,-5185000000,-93000000,-1036000000,-2319000000,-2630000000,-2070000000,-2840000000,-3474000000,-2489000000,-1125000000,-471000000,-158000000,-390000000,-38000000,-12000000,-189000000,-20000000,-266000000,-64000000,-296000000,-80000000,-113000000,-264000000,-91000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,2020800000,2887600000,3597800000,4118600000,3205000000,1480800000,836700000,4317200000,4504000000,1967000000,1163000000,2091000000,2422000000,1656000000,1944000000,2548000000,1907000000,1030000000,254000000,422000000,90000000,190000000,618000000,93000000,162000000,229000000,104000000,68000000,419000000,96000000,64000000,73000000
88,Other Investing Activites,- -,- -,- -,- -,- -,-49700000,-249600000,-259000000,-96300000,- -,2945400000,-523600000,2382900000,- -,-1701000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-140000000,-180000000,-241000000,-269000000,-229000000,-256000000,-290000000,-222000000,-202000000,-240000000,-225000000,-141000000,-137000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,-976100000,-706500000,-718200000,-673800000,-361500000,-624200000,237500000,-1376300000,-1355000000,-493000000,-137000000,-616000000,-597000000,-607000000,-923000000,-769000000,-190000000,-463000000,1404000000,-139000000,-2558000000,-186000000,177000000,-339000000,-545000000,-138000000,-954000000,2787000000,31000000,-229000000,-679000000,49000000
90,Debt Repayment,- -,- -,- -,- -,- -,-12200000,-15100000,-141700000,-192800000,-128000000,-12500000,-5700000,-74100000,-34000000,-100000000,-70000000,-148000000,-547000000,-507000000,-369000000,-586000000,-460000000,-924000000,-762000000,-709000000,-816000000,-1688000000,-1077000000,-4679000000,-3918000000,-5098000000,-2945000000,-1999000000,-5417000000,-4941000000,-3882000000,-4220000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,106100000,- -,-7300000,58300000,- -,14200000,157600000,- -,- -,- -,49000000,607000000,- -,23000000,126000000,50000000,28000000,62000000,51000000,194000000,201000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-19000000,-33200000,6900000,11400000,-132000000,-121800000,-68500000,-272400000,-18000000,-66000000,-59000000,- -,-10000000,-6000000,- -,-125000000,-966000000,-523000000,-1740000000,- -,-250000000,-828000000,-1125000000,-1102000000,-2250000000,-1550000000,-1257000000,-2399000000,-1470000000,-1960000000,-1763000000,-3543000000
93,Dividends Paid,- -,- -,- -,- -,- -,-97700000,-100200000,-119500000,-151000000,-162300000,-171300000,-172900000,-182100000,-194000000,-210000000,-226000000,-241000000,-233000000,-190000000,-192000000,-193000000,-189000000,-176000000,-171000000,-165000000,-195000000,-230000000,-204000000,-212000000,-273000000,-323000000,-345000000,-364000000,-382000000,-410000000,-412000000,-447000000
94,Other Financing Activites,- -,- -,- -,- -,- -,-93800000,40400000,445500000,489200000,370100000,-71200000,-68500000,1670700000,378000000,528000000,42000000,-280000000,-413000000,33000000,272000000,574000000,601000000,1016000000,376000000,206000000,2905000000,1649000000,820000000,4977000000,5308000000,5282000000,3261000000,1497000000,5570000000,5818000000,3969000000,6286000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,-222700000,-2000000,191200000,149500000,6100000,-376800000,-301400000,1299700000,132000000,152000000,-313000000,-620000000,-596000000,-670000000,-266000000,-204000000,-964000000,-579000000,-2235000000,-617000000,1838000000,-896000000,-1586000000,-1016000000,-1133000000,-1689000000,-1286000000,-3265000000,-1699000000,-1493000000,-2088000000,-1924000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,3800000,-6800000,-2100000,-4400000,4600000,-2100000,4100000,-32900000,-3000000,-7000000,-8000000,-2000000,18000000,21000000,35000000,-7000000,-9000000,56000000,-130000000,16000000,62000000,-10000000,9000000,-92000000,-67000000,-172000000,-39000000,69000000,-118000000,21000000,78000000,-235000000
97,Net Change In Cash,- -,- -,- -,- -,- -,-222700000,-2000000,191200000,149500000,345000000,-393500000,294800000,674600000,-362000000,114000000,281000000,-679000000,67000000,56000000,30000000,-94000000,-195000000,303000000,-2000000,-365000000,129000000,-74000000,19000000,186000000,-103000000,10000000,47000000,325000000,-100000000,134000000,94000000,72000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,508800000,115300000,410100000,1084700000,723000000,837000000,1118000000,439000000,506000000,540000000,570000000,476000000,281000000,584000000,582000000,217000000,346000000,272000000,291000000,477000000,374000000,384000000,431000000,756000000,656000000,790000000,884000000,6645000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,31900000,74100000,38100000,87700000,163800000,508800000,115300000,410100000,1085000000,723000000,837000000,1118000000,439000000,484000000,540000000,570000000,476000000,281000000,584000000,582000000,217000000,346000000,272000000,291000000,477000000,374000000,384000000,431000000,756000000,656000000,790000000,6573000000
100,Free Cash Flow,- -,- -,- -,- -,- -,1211200000,659100000,522000000,557700000,618900000,511700000,279800000,-1010700000,564000000,191000000,560000000,278000000,964000000,1127000000,1104000000,760000000,816000000,1119000000,856000000,235000000,607000000,777000000,1150000000,1404000000,1386000000,1719000000,2104000000,551000000,1446000000,1610000000,2642000000,2045000000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/315293/000094857297000010/0000948572-97-000010-index.html,https://www.sec.gov/Archives/edgar/data/315293/000094857298000011/0000948572-98-000011-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/315293/000094857201000011/0000948572-01-000011-index.html,https://www.sec.gov/Archives/edgar/data/315293/000094857202000008/0000948572-02-000008-index.html,https://www.sec.gov/Archives/edgar/data/315293/000104746903010294/a2106480z10-k.htm,https://www.sec.gov/Archives/edgar/data/315293/000104746904007513/a2129818z10-k.htm,https://www.sec.gov/Archives/edgar/data/315293/000104746905006608/a2152901z10-k.htm,https://www.sec.gov/Archives/edgar/data/315293/000104746906003130/a2167992z10-k.htm,https://www.sec.gov/Archives/edgar/data/315293/000104746907001537/a2176366z10-k.htm,https://www.sec.gov/Archives/edgar/data/315293/000104746908001929/a2182853z10-k.htm,https://www.sec.gov/Archives/edgar/data/315293/000104746909002122/0001047469-09-002122-index.html,https://www.sec.gov/Archives/edgar/data/315293/000104746910001535/0001047469-10-001535-index.html,https://www.sec.gov/Archives/edgar/data/315293/000104746911001427/a2202065z10-k.htm,https://www.sec.gov/Archives/edgar/data/315293/000104746912001478/0001047469-12-001478-index.html,https://www.sec.gov/Archives/edgar/data/315293/000104746913001494/0001047469-13-001494-index.html,https://www.sec.gov/Archives/edgar/data/315293/000144530514000476/aonplc201310-k.htm,https://www.sec.gov/Archives/edgar/data/315293/000162828015000950/aonplc201410-k.htm,https://www.sec.gov/Archives/edgar/data/315293/000162828016011485/0001628280-16-011485-index.html,https://www.sec.gov/Archives/edgar/data/315293/000162828017001652/0001628280-17-001652-index.html,https://www.sec.gov/Archives/edgar/data/315293/000162828018001923/0001628280-18-001923-index.html,https://www.sec.gov/Archives/edgar/data/315293/000162828019001558/0001628280-19-001558-index.html,https://www.sec.gov/Archives/edgar/data/315293/000162828020001607/0001628280-20-001607-index.html,https://www.sec.gov/Archives/edgar/data/315293/000162828021002574/0001628280-21-002574-index.htm,https://www.sec.gov/Archives/edgar/data/315293/000162828022003180/0001628280-22-003180-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
