,https://roic.ai/company/MTRN,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22500000,90743000,92861000,93311000,94952000,137247000,137665000,- -,- -,- -,- -,- -,- -,191169000,197576000,202104000,208967000,212702000,223484000,234704000,249674000,258642000,271978000
64,Retained Earnings,170700000,183200000,199300000,220200000,226900000,232900000,179400000,185700000,189000000,203300000,218200000,236000000,254200000,239200000,237900000,244221000,229986000,194382000,181156000,196672000,214497000,264100000,315972000,334329000,321974000,368401000,408380000,428394000,441518000,476277000,499659000,517903000,536116000,548374000,589888000,631058000,693756000
65,Other Comprehensive Income/Loss,-97000000,-110200000,-121700000,-127800000,-141500000,-156900000,-181900000,-205000000,-218400000,-234000000,-253200000,-273900000,-290100000,-257000000,-265600000,-279237000,-298367000,-323739000,-344575000,-363318000,-35000000,-23000000,-25000000,-48000000,-47000000,-52000000,-72000000,-88000000,-60000000,-82000000,-80705000,-86000000,-102937000,-58000000,-45000000,-38639000,-40169000
66,Other Total Stockholders Equity,146800000,161700000,165100000,140400000,126400000,139900000,164800000,188100000,201500000,217600000,235300000,257200000,272700000,239600000,225800000,174180000,189870000,195140000,222040000,237537000,-105684000,49900000,62742000,60768000,64885000,67955000,69602000,-116568000,-115773000,-138248000,- -,-150516000,-161682000,-171172000,-183885000,-195431000,-205125000
67,Total Stockholders Equity,220500000,234700000,242700000,232800000,211800000,215900000,162300000,168800000,172100000,186900000,200300000,219300000,236800000,221800000,220600000,229907000,214350000,159094000,153573000,208138000,211478000,291000000,353714000,347097000,339859000,384356000,405982000,414995000,463321000,458133000,482957000,494089000,494981000,553906000,610677000,655630000,720440000
68,Total Liabilities And Stockholders Equity,299000000,335900000,367500000,357800000,338300000,339000000,307300000,310000000,293400000,317100000,331900000,355800000,383900000,403700000,424500000,452506000,423842000,334879000,371590000,414181000,402702000,498606000,550551000,581897000,621953000,735410000,772103000,814917000,777945000,762069000,742640000,741298000,791084000,800341000,852670000,1057860000,1607479000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28000,- -
70,Total Liabilities & Equity,299000000,335900000,367500000,357800000,338300000,339000000,307300000,310000000,293400000,317100000,331900000,355800000,383900000,403700000,424500000,452506000,423842000,334879000,371616000,414181000,402702000,498606000,550551000,581897000,621953000,735410000,772103000,814917000,777945000,762069000,742640000,741298000,791084000,800341000,852670000,1057888000,1607479000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1104657/000095015201001871/0000950152-01-001871-index.html,- -,https://www.sec.gov/Archives/edgar/data/1104657/000095015203003761/0000950152-03-003761-index.html,https://www.sec.gov/Archives/edgar/data/1104657/000095015204001958/0000950152-04-001958-index.html,https://www.sec.gov/Archives/edgar/data/1104657/000095015205002104/0000950152-05-002104-index.html,- -,https://www.sec.gov/Archives/edgar/data/1104657/000095015207002172/0000950152-07-002172-index.htm,https://www.sec.gov/Archives/edgar/data/1104657/000095015208001566/0000950152-08-001566-index.htm,https://www.sec.gov/Archives/edgar/data/1104657/000095015209001939/0000950152-09-001939-index.htm,https://www.sec.gov/Archives/edgar/data/1104657/000095012310022117/0000950123-10-022117-index.htm,https://www.sec.gov/Archives/edgar/data/1104657/000095012311023658/0000950123-11-023658-index.htm,https://www.sec.gov/Archives/edgar/data/1104657/000119312512088881/0001193125-12-088881-index.htm,https://www.sec.gov/Archives/edgar/data/1104657/000110465713000047/0001104657-13-000047-index.htm,https://www.sec.gov/Archives/edgar/data/1104657/000110465714000062/0001104657-14-000062-index.htm,https://www.sec.gov/Archives/edgar/data/1104657/000110465715000021/0001104657-15-000021-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1104657/000110465717000014/0001104657-17-000014-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1104657/000110465719000007/0001104657-19-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1104657/000110465720000013/0001104657-20-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1104657/000110465721000010/0001104657-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1104657/000110465722000021/0001104657-22-000021-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,18500000,17600000,-27500000,10500000,6500000,18600000,20700000,24500000,25600000,-7100000,6400000,14165000,-10274000,-35604000,-13226000,15516000,17825000,49603000,53285000,18357000,-12355000,46427000,39979000,24664000,19707000,41721000,32158000,25740000,11451000,20846000,50660000,15462000,72474000
74,Depreciation and Amortization,- -,- -,- -,- -,22000000,22200000,21800000,17900000,18600000,19600000,20900000,23000000,19300000,24600000,27100000,22664000,21609000,20640000,20731000,23826000,22790000,25141000,24296000,- -,- -,6393000,- -,6008000,5529000,5169000,35120000,4498000,- -,2265000,1400000,42384000,- -
75,Deferred Income Tax,- -,- -,- -,- -,3200000,-500000,-3500000,-100000,-1600000,-1900000,-1300000,-1200000,1500000,3500000,- -,435000,- -,19930000,-279000,-208000,-5851000,-12659000,15300000,6156000,-10065000,13623000,-1668000,-2462000,-2442000,-5495000,4368000,-9010000,20256000,-1318000,2584000,-9850000,-12957000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2552000,3484000,4100000,5000000,5889000,5741000,5446000,5491000,3174000,4957000,5313000,7170000,5528000,6517000
77,Change in Working Capital,- -,- -,- -,- -,10100000,-9200000,8200000,16600000,10100000,9800000,3000000,-27500000,400000,23800000,18587000,-3644000,-57098000,2496000,23658000,6732000,39611000,61111000,-26354000,-49417000,67883000,22865000,20692000,13567000,17139000,-33020000,5299000,28927000,15739000,69974000,-32432000,46609000,-23946000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14546000,10045000,-50386000,26818000,-8913000,11956000,-2066000,14777000,-4096000,-18484000,-7219000,-23933000,-707000,-30490000
