,https://roic.ai/company/D,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1086500000,1096700000,1320500000,2273000000,2285300000,2192000000,5866000000,5354000000,6825000000,7181000000,7122000000,10129000000,8098000000,6656000000,7661000000,6817000000,5400000000,5430000000,5140000000,5940000000,5615000000,4191000000,4248000000,4334000000,5161000000,6088000000,6886000000,7269000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,10245400000,10322300000,10509400000,12532600000,10636600000,10764000000,14849000000,18681000000,20257000000,25850000000,26716000000,28940000000,29382000000,21352000000,23274000000,25592000000,26713000000,29670000000,30773000000,32628000000,36270000000,41554000000,49964000000,53758000000,54560000000,69082000000,57848000000,59774000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3354000000,3141000000,3141000000,3130000000,3086000000,3044000000,3294000000,6399000000,6405000000,6410000000,8946000000,7381000000,7405000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,693000000,642000000,637000000,536000000,560000000,570000000,570000000,618000000,685000000,670000000,791000000,765000000,784000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1932000000,150000000,132000000,3502000000,4210000000,4614000000,4300000000,4298000000,4298000000,4926000000,4094000000,4215000000,4047000000,3783000000,3778000000,3666000000,3646000000,3614000000,3864000000,7017000000,7090000000,7080000000,9737000000,8146000000,8189000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,936000000,1034000000,669000000,1011000000,3492000000,3751000000,3844000000,4158000000,5102000000,5561000000,5774000000,6343000000,6964000000,6560000000,8217000000,10238000000,11276000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,2230300000,2484300000,3075700000,3455100000,4445100000,4659000000,5131000000,6124000000,6213000000,6855000000,7310000000,8357000000,5829000000,6352000000,5892000000,2606000000,3170000000,2892000000,3101000000,2780000000,3267000000,3414000000,4038000000,4439000000,4553000000,10699000000,12787000000,13082000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,12475700000,12806600000,13585100000,17919700000,15231700000,15555000000,23482000000,29015000000,31084000000,37005000000,38324000000,42531000000,41171000000,32467000000,34392000000,35737000000,37417000000,40184000000,41698000000,44156000000,48712000000,54606000000,67362000000,72251000000,72753000000,97735000000,89019000000,92321000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
