,https://roic.ai/company/ADSK,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
77,Change in Working Capital,- -,- -,- -,- -,-1700000,29900000,46700000,-25300000,12100000,40800000,-14600000,-43200000,-52100000,110700000,26967000,-88459000,35811000,-53615000,72726000,91999000,-72529000,383700000,119800000,-147400000,87700000,168900000,97300000,566900000,254800000,-492300000,130900000,-1126900000,-520500000,-435900000,121300000,4400000,217300000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37300000,-40700000,-71800000,-98100000,72300000,-17300000,-195500000,201500000,13300000,-25400000,-178500000,12600000,-66200000
79,Inventory,- -,- -,- -,- -,-1400000,-6500000,-600000,-5600000,8000000,3000000,-3900000,2300000,500000,-100000,1980000,2009000,-357000,5715000,-5081000,4820000,-1000000,8700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-28300000,-19600000,130800000,24900000,2700000,-13900000,-58500000,-90800000,129600000,9900000
81,Other Working Capital,- -,- -,- -,- -,113900000,143800000,190500000,165200000,177300000,218100000,203500000,160300000,108200000,218900000,245867000,157408000,193219000,139604000,212330000,304329000,231800000,615500000,735300000,587900000,675600000,844500000,941800000,1508700000,1763500000,1271200000,1402100000,275200000,-245300000,-681200000,-559900000,-555500000,419400000
82,Other Non-Cash Items,- -,- -,- -,- -,- -,-41500000,-45900000,36500000,3100000,300000,12800000,81800000,162300000,-127300000,8346000,122501000,13336000,20111000,-32935000,109403000,115129000,-190400000,114700000,479700000,-104000000,-26200000,-33400000,-511000000,-131800000,825900000,34700000,1556500000,757600000,555900000,579300000,481000000,121300000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,52100000,58400000,72900000,68600000,88900000,104400000,106600000,114200000,158600000,146700000,103605000,196119000,210156000,86234000,220083000,373132000,415200000,576600000,708500000,593900000,246800000,540800000,573500000,559100000,563500000,708100000,414000000,169700000,900000,377100000,1415100000,1437200000,1531300000
84,CAPEX,- -,- -,- -,- -,-13400000,-21100000,-9900000,-11000000,-21500000,-20000000,-16300000,-17400000,-15000000,-105900000,-14932000,-32412000,-45068000,-36103000,-31002000,-40835000,-20500000,-35300000,-43300000,-78400000,-39000000,-28300000,-63000000,-56400000,-64200000,-75500000,-72400000,-76000000,-50700000,-67000000,-53200000,-95900000,-66500000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-34271000,-145231000,- -,-11750000,- -,-52500000,-114500000,-364500000,-18800000,-13500000,-221700000,-263700000,-176100000,-630000000,-148500000,-85200000,- -,-1040200000,- -,-246200000,-1250300000
86,Purchases of Investments,- -,- -,- -,- -,-58300000,-104300000,-138600000,-231500000,-438400000,-74700000,-224700000,-683600000,-1102000000,-838600000,-3791568000,-2578504000,-1803753000,-837560000,-421540000,-259615000,-271300000,-357500000,-727000000,-118600000,-580300000,-511200000,-614200000,-1397700000,-1214200000,-1355100000,-2250100000,-1867900000,-514000000,-138200000,-19900000,-21000000,-311100000
87,Sales/Maturities of Investments,- -,- -,- -,- -,74500000,64900000,117900000,230600000,426200000,145800000,141900000,604700000,1126200000,874800000,3528305000,2708404000,1741921000,960565000,397501000,490289000,204000000,325200000,799100000,83400000,355100000,410700000,559100000,1097700000,1279100000,1159000000,1706000000,2314900000,1083300000,531000000,27400000,17000000,37800000
88,Other Investing Activites,- -,- -,- -,- -,-9400000,- -,-17500000,-22800000,-7600000,-4800000,-500000,-27500000,-30400000,-2900000,-26159000,-28893000,-9395000,-6689000,-3951000,-2449000,-250200000,2300000,- -,- -,-39000000,-28300000,-93500000,-83500000,-82800000,-79500000,-116900000,-89800000,-62900000,-63000000,-64800000,-153700000,-71000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-6600000,-60500000,-48100000,-34700000,-41300000,46300000,-99600000,-123800000,-21200000,-72600000,-304354000,68595000,-150566000,-65018000,-58992000,175640000,-338000000,-117800000,-85700000,-478100000,-283000000,-142300000,-370300000,-647200000,-194000000,-905600000,-809500000,272000000,506400000,-710400000,-57300000,-403900000,-1594600000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-54300000,- -,- -,-110000000,- -,- -,- -,- -,-400000000,- -,-500000000,-450000000,- -
91,Common Stock Issued,- -,- -,- -,- -,3200000,4500000,14100000,20800000,47900000,59900000,46400000,23300000,80100000,90600000,165222000,114036000,80495000,74088000,115401000,242225000,144600000,74200000,187300000,90100000,70000000,120900000,176100000,220200000,288200000,135400000,110800000,119600000,94400000,90900000,93700000,114100000,113700000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-6600000,-43100000,-71600000,-89900000,-108000000,-67300000,-174900000,-48900000,-90072000,-359293000,-97293000,-64817000,-178463000,-546408000,-446800000,-154400000,-563000000,-256600000,-63200000,-280300000,-327400000,-431200000,-423800000,-372400000,-458000000,-621700000,-699000000,-293500000,-442500000,-551700000,-1078500000
93,Dividends Paid,- -,- -,- -,- -,-38700000,-9700000,-11300000,-11500000,-11400000,-11300000,-11200000,-10900000,-11300000,-11700000,-14581000,-13580000,-13092000,-13566000,-13408000,-13566000,-3400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,-100000,-100000,- -,100000,100000,100000,- -,- -,-2625000,13530000,-3142000,-210000,- -,- -,- -,- -,- -,52100000,2200000,- -,31500000,862400000,9100000,-2900000,690400000,-76200000,348000000,354500000,382000000,-159200000,796200000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-35500000,-5200000,-3900000,-33900000,-35100000,-41200000,-72700000,-54800000,-106100000,30000000,57944000,-245307000,-33032000,-4505000,-76470000,-317749000,-305600000,-80200000,-375700000,-114400000,-45300000,-159400000,-119800000,541400000,-126500000,-239900000,343200000,-578300000,-656600000,151900000,-466800000,-1046800000,-168600000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8900000,-7495000,-11657000,-6168000,11979000,11251000,4382000,-2100000,100000,4900000,-1700000,2600000,-2700000,-1600000,2000000,-2200000,-5000000,-5300000,-3300000,14200000,-10600000,-2300000,11000000,-11900000
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-150300000,7750000,20390000,28690000,95872000,235405000,-230500000,378700000,252000000,-300000,-78900000,236400000,81800000,455300000,240800000,-442400000,-57600000,-139900000,-135100000,-192000000,888700000,-2500000,-243800000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,108641000,116391000,136781000,186377000,282249000,517654000,287200000,665900000,917900000,917600000,838700000,1075100000,1156900000,1612200000,1853000000,1410600000,1353000000,1213100000,1078000000,886000000,1774700000,1772200000,1528400000
99,Cash at the Beginning of Period,- -,- -,- -,- -,49600000,59500000,52200000,73100000,73100000,85600000,195000000,129300000,64800000,96100000,258941000,108641000,116391000,157687000,186377000,282249000,517700000,287200000,665900000,917900000,917600000,838700000,1075100000,1156900000,1612200000,1853000000,1410600000,1353000000,1213100000,1078000000,886000000,1774700000,1772200000
100,Free Cash Flow,- -,- -,- -,- -,38700000,37300000,63000000,57600000,67400000,84400000,90300000,96800000,143600000,40800000,88673000,163707000,165088000,50131000,189081000,332297000,394700000,541300000,665200000,515500000,207800000,512500000,510500000,502700000,499300000,632600000,341600000,93700000,-49800000,310100000,1361900000,1341300000,1464800000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/769397/000089843095000671/0000898430-95-000671-index.html,- -,https://www.sec.gov/Archives/edgar/data/769397/000092962497000492/0000929624-97-000492-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/769397/000101287001500493/0001012870-01-500493-index.html,https://www.sec.gov/Archives/edgar/data/769397/000089843002001691/0000898430-02-001691-index.html,https://www.sec.gov/Archives/edgar/data/769397/000119312503002078/d10k.htm,https://www.sec.gov/Archives/edgar/data/769397/000119312504059372/d10k.htm,https://www.sec.gov/Archives/edgar/data/769397/000119312505067261/d10k.htm,https://www.sec.gov/Archives/edgar/data/769397/000119312506068809/d10k.htm,https://www.sec.gov/Archives/edgar/data/769397/000119312507128970/d10k.htm,https://www.sec.gov/Archives/edgar/data/769397/000119312508068567/d10k.htm,https://www.sec.gov/Archives/edgar/data/769397/000119312509059920/0001193125-09-059920-index.html,https://www.sec.gov/Archives/edgar/data/769397/000119312510061070/0001193125-10-061070-index.html,https://www.sec.gov/Archives/edgar/data/769397/000119312511071209/d10k.htm,https://www.sec.gov/Archives/edgar/data/769397/000076939712000005/0000769397-12-000005-index.html,https://www.sec.gov/Archives/edgar/data/769397/000076939713000007/0000769397-13-000007-index.html,https://www.sec.gov/Archives/edgar/data/769397/000076939714000018/adsk-0131201410xk.htm,https://www.sec.gov/Archives/edgar/data/769397/000076939715000012/adsk-0131201510xk.htm,https://www.sec.gov/Archives/edgar/data/769397/000076939716000067/0000769397-16-000067-index.html,https://www.sec.gov/Archives/edgar/data/769397/000076939717000014/0000769397-17-000014-index.html,https://www.sec.gov/Archives/edgar/data/769397/000076939718000011/0000769397-18-000011-index.html,https://www.sec.gov/Archives/edgar/data/769397/000076939719000016/0000769397-19-000016-index.html,https://www.sec.gov/Archives/edgar/data/769397/000076939720000013/0000769397-20-000013-index.html,https://www.sec.gov/Archives/edgar/data/769397/000076939721000014/0000769397-21-000014-index.htm,https://www.sec.gov/Archives/edgar/data/769397/000076939722000019/0000769397-22-000019-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
