,https://roic.ai/company/WDC,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
77,Change in Working Capital,- -,- -,- -,- -,33900000,- -,- -,- -,261800000,98200000,-80000000,84000000,99000000,-402000000,-54671000,39671000,-11000000,203400000,32000000,92300000,270500000,265800000,268000000,538000000,992000000,620000000,-208000000,516000000,1250000000,400000000,360000000,1077000000,-530000000,-1522000000,-18000000,245000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,92000000,-330000000,50000000,162000000,584000000,-175000000,458000000,466000000,-487000000,-244000000,993000000,-1175000000,121000000
79,Inventory,- -,- -,- -,- -,24900000,-29800000,67600000,-5700000,23800000,-19400000,-69200000,-81900000,38000000,22100000,45802000,1804000,5427000,-24400000,-41900000,-4200000,-52200000,-53000000,8000000,88000000,-148000000,-17000000,88000000,22000000,- -,-143000000,306000000,-204000000,-598000000,-339000000,200000000,-546000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-33000000,270000000,178000000,132000000,-511000000,-32000000,-148000000,-414000000,261000000,38000000,-516000000,267000000,2000000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,261800000,360000000,280000000,364000000,463000000,61000000,6329000,46000000,35000000,238400000,270400000,362700000,633200000,899000000,1167000000,1705000000,2697000000,3317000000,3109000000,3625000000,4875000000,5275000000,5635000000,6712000000,6182000000,4660000000,4642000000,4887000000
82,Other Non-Cash Items,- -,- -,- -,- -,-1500000,71400000,25500000,30500000,-209400000,-141400000,-10700000,-159700000,61700000,626100000,12271000,-95898000,-17043000,-155000000,-94700000,35600000,-401100000,-295800000,-147000000,-253000000,-1029000000,-382000000,712000000,218000000,-1438000000,-927000000,185000000,-571000000,1975000000,1331000000,-700000000,-456000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,107300000,-10200000,3300000,55900000,178800000,121300000,58300000,254200000,-39000000,-139500000,-151964000,-103322000,82751000,280800000,190000000,460700000,401500000,618000000,1399000000,1305000000,1942000000,1655000000,3067000000,3119000000,2816000000,2242000000,1983000000,3437000000,4205000000,1547000000,824000000,1898000000
84,CAPEX,- -,- -,- -,- -,-86500000,-76900000,-21300000,-35600000,-16300000,-54800000,-108700000,-156000000,-198600000,-106600000,-22044000,-50683000,-47743000,-61900000,-131700000,-233400000,-301900000,-324000000,-615000000,-519000000,-737000000,-778000000,-717000000,-952000000,-628000000,-612000000,-584000000,-578000000,-835000000,-876000000,-647000000,-1146000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-94800000,- -,- -,- -,-927000000,-63000000,-253000000,-15000000,-3526000000,-1000000,-823000000,-257000000,-9835000000,-20000000,-100000000,- -,-22000000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,-90200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-95400000,-109000000,-68000000,-105000000,- -,- -,- -,- -,-17000000,-561000000,-857000000,-708000000,-313000000,-89000000,-79000000,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,53600000,36600000,- -,- -,- -,- -,- -,- -,- -,14500000,74200000,9000000,326000000,2000000,4000000,- -,- -,- -,72000000,768000000,1609000000,511000000,85000000,162000000,16000000,7000000
88,Other Investing Activites,- -,- -,- -,- -,-1000000,-500000,33000000,- -,110700000,-6200000,78300000,-7500000,9700000,- -,53889000,14979000,9912000,3400000,- -,- -,- -,- -,- -,29000000,- -,- -,76000000,- -,4000000,5000000,-90000000,-236000000,-716000000,-479000000,931000000,374000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-87500000,-77400000,11700000,-35600000,94400000,-151200000,23200000,-126900000,-188900000,-106600000,31845000,-35704000,-37831000,-58500000,-226500000,-314300000,-336700000,-383000000,-1321000000,-551000000,-986000000,-793000000,-4167000000,-970000000,-1936000000,-953000000,-9608000000,-636000000,-1655000000,-1272000000,278000000,-765000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-27000000,-82000000,-106000000,-1493000000,-230000000,-2517000000,-125000000,-5304000000,-12189000000,-17074000000,-681000000,-982000000,-886000000
91,Common Stock Issued,- -,- -,- -,- -,800000,- -,- -,43800000,82800000,15300000,15700000,43100000,23800000,15300000,117993000,110474000,10159000,44300000,23900000,57800000,77600000,30000000,60000000,28000000,79000000,58000000,74000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10800000,-132100000,-144600000,-35800000,- -,- -,- -,- -,- -,-16000000,-45000000,-53500000,-73000000,-60000000,-36000000,- -,-50000000,-604000000,-842000000,-816000000,-970000000,-60000000,- -,-591000000,-563000000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-181000000,-259000000,-396000000,-464000000,-574000000,-593000000,-584000000,-595000000,- -
94,Other Financing Activites,- -,- -,- -,- -,-21900000,84400000,-17200000,-64100000,-146400000,-500000,- -,- -,491400000,-2900000,-40000000,12113000,1067000,-97100000,13200000,-19500000,-23400000,-43000000,326000000,-29000000,-13000000,-8000000,2842000000,205000000,3207000000,422000000,16579000000,8168000000,14358000000,-1000000,69000000,69000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-21100000,84400000,-17200000,-20300000,-63600000,4000000,-116400000,-101500000,479400000,12400000,77993000,122587000,11226000,-52800000,21100000,-6700000,700000,-86000000,326000000,-64000000,-16000000,-106000000,819000000,-1048000000,-385000000,-1069000000,10751000000,-4595000000,-3900000000,-1829000000,-1508000000,-817000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1000000,- -,- -,- -,1000000,-3000000,1000000,4000000,-1000000,6000000
97,Net Change In Cash,- -,- -,- -,- -,-21100000,84400000,-17200000,-20300000,209600000,4000000,-116400000,-101500000,479400000,-233700000,-42126000,-16439000,56146000,169500000,-15400000,139700000,65500000,149000000,404000000,690000000,940000000,756000000,-282000000,1101000000,495000000,220000000,3127000000,-1797000000,-1349000000,-1550000000,-407000000,322000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,243400000,- -,- -,- -,- -,226100000,184021000,167582000,223728000,393200000,377800000,485200000,550700000,700000000,1104000000,1794000000,2734000000,3490000000,3208000000,4309000000,4804000000,5024000000,8151000000,6354000000,5005000000,3455000000,3048000000,3370000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,40500000,39300000,36100000,33800000,33800000,243500000,217500000,182600000,208300000,459800000,226147000,184021000,167582000,223700000,393200000,345500000,485200000,551000000,700000000,1104000000,1794000000,2734000000,3490000000,3208000000,4309000000,4804000000,5024000000,8151000000,6354000000,5005000000,3455000000,3048000000
100,Free Cash Flow,- -,- -,- -,- -,20800000,-87100000,-18000000,20300000,162500000,66500000,-50400000,98200000,-237600000,-246100000,-174008000,-154005000,35008000,218900000,58300000,227300000,99600000,294000000,784000000,786000000,1205000000,877000000,2350000000,2167000000,2188000000,1630000000,1399000000,2859000000,3370000000,671000000,177000000,752000000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/106040/000089256994000280/0000892569-94-000280-index.html,https://www.sec.gov/Archives/edgar/data/106040/000089256995000540/0000892569-95-000540-index.html,https://www.sec.gov/Archives/edgar/data/106040/000089256996001855/0000892569-96-001855-index.html,- -,https://www.sec.gov/Archives/edgar/data/106040/000089256998002462/0000892569-98-002462-index.html,- -,https://www.sec.gov/Archives/edgar/data/106040/000109581100003657/0001095811-00-003657-index.html,https://www.sec.gov/Archives/edgar/data/106040/000109581101505236/0001095811-01-505236-index.html,https://www.sec.gov/Archives/edgar/data/106040/000089256902001988/0000892569-02-001988-index.html,https://www.sec.gov/Archives/edgar/data/106040/000089256903002216/0000892569-03-002216-index.html,https://www.sec.gov/Archives/edgar/data/106040/000095013704007712/0000950137-04-007712-index.html,https://www.sec.gov/Archives/edgar/data/106040/000095013705011286/a12474e10vk.htm,https://www.sec.gov/Archives/edgar/data/106040/000089256906001395/a23647e10vk.htm,https://www.sec.gov/Archives/edgar/data/106040/000089256907001093/0000892569-07-001093-index.html,https://www.sec.gov/Archives/edgar/data/106040/000089256908001165/0000892569-08-001165-index.html,https://www.sec.gov/Archives/edgar/data/106040/000095012309034923/0000950123-09-034923-index.html,https://www.sec.gov/Archives/edgar/data/106040/000095012310077390/0000950123-10-077390-index.html,https://www.sec.gov/Archives/edgar/data/106040/000095012311076255/0000950123-11-076255-index.html,https://www.sec.gov/Archives/edgar/data/106040/000119312512361018/0001193125-12-361018-index.html,https://www.sec.gov/Archives/edgar/data/106040/000119312513338607/0001193125-13-338607-index.html,https://www.sec.gov/Archives/edgar/data/106040/000010604014000015/0000106040-14-000015-index.html,https://www.sec.gov/Archives/edgar/data/106040/000010604015000010/0000106040-15-000010-index.html,https://www.sec.gov/Archives/edgar/data/106040/000010604016000033/wdc-7116x10k.htm,https://www.sec.gov/Archives/edgar/data/106040/000010604017000027/0000106040-17-000027-index.html,https://www.sec.gov/Archives/edgar/data/106040/000010604018000029/0000106040-18-000029-index.html,https://www.sec.gov/Archives/edgar/data/106040/000010604019000058/wdc-2019q410xkdoc.htm,https://www.sec.gov/Archives/edgar/data/106040/000010604020000049/0000106040-20-000049-index.htm,https://www.sec.gov/Archives/edgar/data/106040/000010604021000040/0000106040-21-000040-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
