,https://roic.ai/company/NXGN,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
66,Other Total Stockholders Equity,6300000,6100000,6100000,6100000,6100000,6200000,6200000,6300000,6900000,7300000,28600000,35700000,35800000,38000000,38030000,36964000,38503000,38685000,42416000,48615000,59587000,74212000,86275000,117267000,139543000,154522000,187347000,205019000,227347000,240494000,250612000,262664000,287866000,264677000,282714000,304263000
67,Total Stockholders Equity,7800000,8000000,7700000,7300000,6400000,6100000,5900000,6500000,8000000,9200000,32700000,32300000,27400000,29700000,32083000,33887000,40050000,47533000,61005000,62731000,72409000,91246000,113705000,155567000,188289000,224670000,295177000,307049000,295090000,283540000,269377000,305043000,323410000,375946000,400494000,431644000
68,Total Liabilities And Stockholders Equity,10800000,11300000,10200000,9900000,9000000,8900000,8800000,9600000,11100000,12700000,37300000,37900000,40900000,40200000,44136000,44883000,52143000,67602000,86678000,99442000,122247000,150681000,187908000,242101000,310180000,378686000,440352000,443055000,445058000,460521000,530790000,473221000,515755000,532895000,720116000,644486000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,10800000,11300000,10200000,9900000,9000000,8900000,8800000,9600000,11100000,12700000,37300000,37900000,40900000,40200000,44136000,44883000,52143000,67602000,86678000,99442000,122247000,150681000,187908000,242101000,310180000,378686000,440352000,443055000,445058000,460521000,530790000,473221000,515755000,532895000,720116000,644486000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/708818/000070881897000006/0000708818-97-000006-index.html,https://www.sec.gov/Archives/edgar/data/708818/000070881898000003/0000708818-98-000003-index.html,- -,https://www.sec.gov/Archives/edgar/data/708818/000070881800000003/0000708818-00-000003-index.html,https://www.sec.gov/Archives/edgar/data/708818/000100547701003860/0001005477-01-003860-index.html,https://www.sec.gov/Archives/edgar/data/708818/000100547702002561/0001005477-02-002561-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/708818/000116923205004273/0001169232-05-004273-index.htm,- -,https://www.sec.gov/Archives/edgar/data/708818/000116923207002635/0001169232-07-002635-index.htm,https://www.sec.gov/Archives/edgar/data/708818/000116923208002302/0001169232-08-002302-index.htm,https://www.sec.gov/Archives/edgar/data/708818/000116923209002861/0001169232-09-002861-index.htm,https://www.sec.gov/Archives/edgar/data/708818/000095012310054373/0000950123-10-054373-index.htm,https://www.sec.gov/Archives/edgar/data/708818/000095012311055052/0000950123-11-055052-index.htm,https://www.sec.gov/Archives/edgar/data/708818/000119312512249005/0001193125-12-249005-index.htm,https://www.sec.gov/Archives/edgar/data/708818/000070881813000009/0000708818-13-000009-index.htm,https://www.sec.gov/Archives/edgar/data/708818/000070881814000008/0000708818-14-000008-index.htm,https://www.sec.gov/Archives/edgar/data/708818/000070881815000004/0000708818-15-000004-index.htm,https://www.sec.gov/Archives/edgar/data/708818/000070881816000091/0000708818-16-000091-index.htm,https://www.sec.gov/Archives/edgar/data/708818/000070881817000012/0000708818-17-000012-index.htm,https://www.sec.gov/Archives/edgar/data/708818/000156459018014338/0001564590-18-014338-index.htm,https://www.sec.gov/Archives/edgar/data/708818/000156459019020627/0001564590-19-020627-index.htm,https://www.sec.gov/Archives/edgar/data/708818/000156459020027880/0001564590-20-027880-index.htm,https://www.sec.gov/Archives/edgar/data/708818/000156459021030107/0001564590-21-030107-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,-400000,-200000,600000,900000,1000000,2300000,-7500000,-4600000,600000,2504000,3509000,5268000,7035000,10400000,16109000,23322000,33232000,40078000,46119000,48379000,61606000,75657000,42724000,15680000,27332000,5657000,18241000,2420000,24494000,7498000,9515000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,300000,200000,400000,400000,400000,500000,1100000,1900000,2500000,2204000,2697000,2086000,2177000,2326000,2964000,3828000,5181000,6518000,9108000,11373000,14650000,17950000,24155000,28737000,29267000,29739000,40434000,40396000,43132000,47793000,49214000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,-100000,-100000,200000,100000,-3300000,-600000,-1088000,582000,380000,298000,-235000,2578000,-1476000,-1642000,-199000,7844000,790000,-2670000,-3880000,-9565000,-3984000,-12061000,10030000,-129000,312000,245000,-5379000,-8854000
