,https://roic.ai/company/ETR,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,17700000,-123500000,-31000000,76900000,-253000000,-64500000,-204600000,124457000,87752000,-256664000,1189531000,275458000,626813000,738643000,476241000,333948000,864684000,718987000,-280029000,-26479000,311789000,596935000,-820350000,-836257000,529053000,-256848000,193950000,3938000,248719000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,-89200000,163000000,34600000,264800000,-110700000,1336300000,-640800000,-544836000,-1043100000,556630000,603627000,138714000,152645000,-68076000,-158811000,693002000,-54331000,222670000,-2890830000,904801000,292314000,671623000,436712000,-493282000,-2235048000,-734604000,-88991000,5497297000,-1824185000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12003000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,-1200000,17000000,-29000000,-17200000,20300000,28400000,-1400000,-20447000,-3419000,1030000,-14015000,-16749000,-83125000,13097000,-10445000,-7561000,19291000,-10665000,5393000,-11604000,4873000,3524000,-12376000,38210000,-3043000,45839000,-28173000,-58000,18359000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-14251000,216635000,-131970000,-6779000,94436000,-12996000,-135211000,174421000,101802000,97312000,-71898000,137457000,269797000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,17500000,180500000,215100000,479900000,369200000,1705500000,1064700000,519864000,-523236000,33394000,637021000,775735000,928380000,860304000,701493000,1394495000,1340164000,1562834000,-1327996000,-423195000,-130881000,540742000,977454000,484172000,-1750876000,-2485480000,-2574471000,2922826000,-1502813000
82,Other Non-Cash Items,- -,- -,- -,- -,- -,- -,- -,- -,594000000,1156500000,908500000,695800000,1787400000,-378300000,1557800000,1677311000,2420389000,1258665000,-737805000,1582098000,-243362000,1616246000,1107491000,1056843000,-410083000,8788000,3186849000,-578049000,-157532000,-467146000,1714320000,2769450000,1825564000,473589000,-728889000,-6907876000,514516000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,- -,- -,- -,1074400000,1537800000,1396700000,1457500000,1724600000,1679100000,1307400000,1967847000,2215548000,2181703000,2005820000,2929319000,1459854000,3419415000,2559770000,3324328000,2933158000,3926081000,3128817000,2940285000,3189219000,3889561000,3291184000,2998699000,2623500000,2385247000,2816627000,64024000,2300713000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,-630400000,-856100000,-825900000,-695800000,-936400000,-1246300000,-1195800000,-1493717000,-1380417000,-1530301000,-1568943000,-1410610000,-1620161000,-2000463000,-2322973000,-2479078000,-2456719000,-2381997000,-3327657000,-3688966000,-2822718000,-2656739000,-2994464000,-4044257000,-4001618000,-4271217000,-4631505000,- -,-6422112000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,11300000,- -,- -,-1156100000,-2039400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,39554000,228171000,6531000,- -,147922000,10100000,487406000,- -,- -,24902000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-321400000,- -,-150000000,- -,- -,- -,-1591025000,- -,- -,- -,-2667172000,-3098991000,-1565065000,-2181314000,-2230054000,-1989446000,-2550958000,-2484627000,-3260674000,-6540176000,-4178551000,- -,-5547015000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,17000000,- -,- -,- -,- -,- -,- -,321351000,- -,150000000,- -,50000000,1788880000,- -,- -,- -,2664677000,2641264000,1360346000,2074055000,2031552000,1919098000,2492747000,2417975000,3163825000,6484791000,4121351000,- -,5555972000
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,52700000,116700000,63400000,77500000,192700000,1383200000,1151000000,-641646000,-694303000,-8162000,-214187000,220535000,-570302000,101314000,224515000,-111018000,325266000,37330000,78992000,156428000,271705000,-237501000,-43513000,260861000,257418000,195713000,178463000,168694000,-5853417000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,-549400000,-739400000,-762500000,-1774400000,-2783100000,136900000,-366200000,-1814012000,-2224720000,-1388463000,-1783130000,-1140075000,-1992608000,-1899149000,-2098458000,-2590096000,-2094394000,-2574223000,-3446853000,-3639797000,-2601593000,-2954488000,-2608782000,-3850048000,-3841049000,-4105987000,-4510242000,-4772306000,-6179276000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1843169000,-4186639000,-2443873000,-3130233000,-3814666000,-2323313000,-3461518000,-5311324000,-1585681000,-6965738000,-7619380000,- -,-4827827000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,244100000,687700000,19300000,15300000,41908000,64345000,130061000,217521000,170237000,106068000,143809000,88830000,34775000,28198000,51163000,46185000,62886000,24527000,194866000,24366000,33114000,80729000,602587000,701512000,- -,206753000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-76600000,-168600000,-46600000,-157500000,-124400000,-20400000,-343600000,-707864000,-76469000,-120357000,-11585000,-1021446000,-911907000,-768074000,-1273405000,-512351000,-614972000,-878576000,-264940000,- -,- -,-183271000,-194092000,-115283000,-20599000,-53868000,-50000000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,-287500000,-410200000,-408600000,-405300000,-489500000,-420200000,-335100000,-303419000,-293166000,-322703000,-386338000,-451426000,-478980000,-477802000,-533202000,-593070000,-596914000,-623917000,-610538000,-611538000,-611839000,-615628000,-618655000,-632624000,-642825000,-661889000,-728011000,- -,-793441000
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,- -,23100000,-169400000,-259300000,490600000,1437700000,-1042200000,-247600000,990193000,-316714000,100389000,-688728000,-369224000,1781209000,18340000,1496191000,999889000,1978469000,3870694000,2990881000,4217036000,4021154000,2675173000,3496432000,6714349000,2979354000,8499350000,9334241000,3415817000,7976538000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,- -,- -,-341000000,-748200000,-714500000,171900000,1511500000,-1463500000,-911000000,20818000,-622004000,-212610000,-869130000,-1671859000,496390000,-1083727000,-221586000,-70757000,-1048388000,-1767275000,-282285000,538151000,-380824000,-252173000,-753467000,688232000,810978000,1420442000,1638362000,3415817000,2562023000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,-11200000,1600000,-900000,-5948000,325000,3125000,3345000,-1882000,-602000,-3207000,30000,3288000,-1316000,338000,287000,-508000,-245000,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,183900000,50200000,-80300000,-144900000,441800000,354000000,29200000,168705000,-630851000,583755000,-643095000,115503000,-36966000,433332000,239756000,666763000,-210940000,-415079000,-600034000,-161869000,206557000,682900000,-71065000,-163117000,-406571000,-300298000,-55253000,-5991000,-1316540000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,563700000,613900000,533600000,388700000,830500000,1184500000,1213700000,1382424000,751573000,1335328000,692233000,807736000,582820000,1016152000,1273001000,1920491000,1709551000,1294472000,694438000,532569000,739126000,1422026000,1350961000,1187844000,781273000,480975000,425722000,26000,442559000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,- -,- -,379800000,563700000,613900000,533600000,388700000,830500000,1184500000,1213719000,1382424000,751573000,1335328000,692233000,619786000,582820000,1033245000,1253728000,1920491000,1709551000,1294472000,694438000,532569000,739126000,1422026000,1350961000,1187844000,781273000,480975000,6017000,1759099000
100,Free Cash Flow,- -,- -,- -,- -,- -,- -,- -,- -,444000000,681700000,570800000,761700000,788200000,432800000,111600000,474130000,835131000,651402000,436877000,1518709000,-160307000,1418952000,236797000,845250000,476439000,1544084000,-198840000,-748681000,366501000,1232822000,296720000,-1045558000,-1378118000,-1885970000,-1814878000,64024000,-4121399000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/7323/000006598495000008/0000065984-95-000008-index.html,https://www.sec.gov/Archives/edgar/data/7323/000006598496000046/0000065984-96-000046-index.html,https://www.sec.gov/Archives/edgar/data/7323/000006598497000020/0000065984-97-000020-index.html,https://www.sec.gov/Archives/edgar/data/202584/000006598498000014/0000065984-98-000014-index.html,https://www.sec.gov/Archives/edgar/data/202584/000006598499000060/0000065984-99-000060-index.html,- -,https://www.sec.gov/Archives/edgar/data/7323/000006598401000070/0000065984-01-000070-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/65984/000006598404000135/a10-kn.htm,https://www.sec.gov/Archives/edgar/data/65984/000006598405000147/a10-k.htm,https://www.sec.gov/Archives/edgar/data/65984/000006598406000119/a10k.htm,https://www.sec.gov/Archives/edgar/data/65984/000006598407000057/a10-k.htm,https://www.sec.gov/Archives/edgar/data/65984/000006598408000052/a10k.htm,https://www.sec.gov/Archives/edgar/data/65984/000006598409000062/a10k.htm,https://www.sec.gov/Archives/edgar/data/65984/000006598410000035/a10-k.htm,https://www.sec.gov/Archives/edgar/data/65984/000006598411000033/a10-k.htm,https://www.sec.gov/Archives/edgar/data/65984/000006598412000067/a10-k.htm,https://www.sec.gov/Archives/edgar/data/65984/000006598413000050/a10-k.htm,https://www.sec.gov/Archives/edgar/data/65984/000006598414000065/etr-12312013x10k.htm,https://www.sec.gov/Archives/edgar/data/65984/000006598415000102/etr-12312014x10k.htm,https://www.sec.gov/Archives/edgar/data/65984/000006598416000436/etr-12312015x10k.htm,https://www.sec.gov/Archives/edgar/data/65984/000006598417000067/etr-12312016x10k.htm,https://www.sec.gov/Archives/edgar/data/65984/000006598418000072/etr-12312017x10k.htm,https://www.sec.gov/Archives/edgar/data/65984/000006598419000082/etr-12312018x10k.htm,https://www.sec.gov/Archives/edgar/data/1348952/000006598420000069/0000065984-20-000069-index.html,https://www.sec.gov/Archives/edgar/data/65984/000006598421000096/0000065984-21-000096-index.htm,https://www.sec.gov/Archives/edgar/data/65984/000006598422000017/0000065984-22-000017-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
