,https://roic.ai/company/TJX,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1862000,-23587000,-4410000,-18418000,11979000,-9052000,-27357000,-23235000,-62358000,-23532000,-42998000,-71091000,-61452000
79,Inventory,- -,- -,- -,-46300000,-46100000,-38600000,-119900000,-100000000,-165400000,229800000,199000000,-130700000,4100000,-28886000,-232031000,-13292000,-85644000,-310673000,-390655000,-8772000,-201413000,-112411000,-68489000,147805000,-211823000,-187157000,27186000,35233000,-332271000,-506633000,11862000,-450377000,-465429000,-296541000,588756000,-1657753000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,197496000,163823000,-36553000,211689000,-152271000,285223000,216265000,48253000,205111000,198212000,29338000,2111189000,-338091000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,288000000,409000000,480000000,464900000,436000000,335000000,493000000,801000000,675000000,761228000,701000000,888000000,1366000000,1231000000,858238000,1909000000,1967000000,2070000000,1951000000,2550000000,2785427000,2370330000,2993118000,3360190000,2937848000,1740375000,4935669000,2790457000
82,Other Non-Cash Items,- -,- -,- -,16200000,-6600000,43300000,-19500000,-104400000,-342600000,22000000,153000000,29200000,131200000,-6192000,-290783000,-134865000,176546000,-307049000,146454000,-36211000,-450167000,399140000,61301000,-481209000,7984000,-377604000,671004000,-822807000,-221245000,332775000,-74672000,-639275000,616385000,1005793000,577538000,907282000
83,Cash Provided by Operating Activities,- -,- -,- -,87300000,127600000,105600000,138600000,84400000,104500000,240800000,713800000,440000000,642800000,577970000,556763000,912446000,908560000,770500000,1079831000,1158019000,1195033000,1361107000,1154572000,2271926000,1976481000,1916034000,3045614000,2590329000,3008369000,2937343000,3601894000,3025624000,4088459000,4066540000,4561889000,3057485000
84,CAPEX,- -,- -,- -,-65800000,-81600000,-89500000,-107900000,-125800000,-127800000,-111800000,-119200000,-225600000,-207700000,-238569000,-257005000,-449444000,-396724000,-409037000,-429133000,-495948000,-378011000,-526987000,-582932000,-429282000,-707134000,-803330000,-978228000,-946678000,-911522000,-889380000,-1024747000,-1057617000,-1125139000,-1223116000,-568021000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-57138000,- -,- -,- -,- -,- -,- -,- -,- -,-190374000,2653000,- -,-57104000,-2324000,- -,- -,-230156000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-278692000,-119530000,-152042000,-355736000,-478136000,-431152000,-798008000,-716953000,-861256000,-161625000,-28838000,-29100000,-21888000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,153275000,180116000,132679000,213000000,386530000,388037000,681377000,529146000,906137000,636560000,12720000,18524000,20296000
88,Other Investing Activites,- -,- -,- -,178600000,-1000000,- -,- -,- -,- -,-375800000,173500000,15700000,9400000,- -,-13917000,-5402000,564000,606000,652000,10340000,700000,753000,14345000,-5578000,-1065000,11652000,34490000,- -,- -,- -,- -,- -,26652000,7419000,- -,-1044794000
89,Cash Used for Investing Activites,- -,- -,- -,112800000,-82600000,-89500000,-107900000,-125800000,-127800000,-487600000,54300000,-209900000,-198300000,-238569000,-270922000,-454846000,-396160000,-465569000,-428481000,-485608000,-377311000,-526234000,-568587000,-560277000,-647613000,-811041000,-1276848000,-1035631000,-954637000,-1063115000,-1214878000,-1012736000,-623552000,-1461971000,-578597000,-1046386000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-395747000,-2355000,-2727000,-1456000,- -,-416357000,- -,-425584000,-3138000,-7115000,- -,-2418358000,-2975518000
91,Common Stock Issued,- -,- -,- -,8000000,100000,1200000,107500000,3800000,700000,1000000,34400000,15500000,27800000,21048000,26101000,65202000,33916000,- -,96861000,102438000,260197000,134109000,142154000,169862000,176159000,218999000,133771000,146495000,143005000,132033000,164190000,133687000,255241000,232106000,211189000,229439000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-19300000,- -,- -,-245200000,-350300000,-604560000,-444105000,-424163000,-481734000,-520746000,-594580000,-603739000,-557234000,-940208000,-751097000,-944762000,-1193380000,-1320812000,-1345082000,-1471096000,-1650704000,-1828297000,-1699998000,-1644581000,-2406997000,-1551992000,-201500000,-2176298000
93,Dividends Paid,- -,- -,- -,-25200000,-31000000,-32100000,-36100000,-43800000,-48700000,-44900000,-35000000,-43500000,-41700000,-42739000,-44693000,-48290000,-60025000,-68889000,-83418000,-105251000,-122927000,-151492000,-176749000,-197662000,-229329000,-275016000,-323922000,-393755000,-465902000,-544271000,-650988000,-764040000,-922596000,-1071562000,-278256000,-1251833000
94,Other Financing Activites,- -,- -,- -,-251500000,15000000,-1200000,-62800000,32800000,74000000,458300000,-502100000,-27200000,-23400000,197365000,-61203000,307514000,-1244000,42811000,-6462000,102847000,1920000,4902000,16871000,784555000,24977000,43844000,61102000,574553000,830416000,64680000,1050468000,-19274000,-16014000,-23423000,5915187000,-25548000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,-268700000,-15900000,-32100000,8600000,-7200000,6700000,414400000,-502700000,-300400000,-387600000,-428886000,-523900000,-99737000,-509087000,-546824000,-587599000,-503705000,-418044000,-952689000,-768821000,-583754000,-1223928000,-1335712000,-1475587000,-1143803000,-1559542000,-2175855000,-1561912000,-2297346000,-3097481000,-2414871000,3228262000,-6199758000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1165000,2378000,-3759000,-4034000,-2967000,-10244000,-8658000,-6241000,-96249000,33185000,22204000,-3920000,11666000,-73106000,-150161000,-96675000,9272000,113086000,-95674000,-3175000,41264000,-54146000
97,Net Change In Cash,- -,- -,- -,-268700000,-15900000,-32100000,8600000,-7200000,6700000,414400000,-502700000,-300400000,-387600000,-89485000,-239224000,360241000,-446000,-245927000,60784000,158462000,391020000,-124057000,-279085000,1161080000,127144000,-234639000,304845000,337789000,344029000,-398302000,834376000,-171372000,271752000,186523000,7252818000,-4242805000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,371759000,132535000,492776000,492330000,246403000,307187000,465649000,856669000,732612000,453527000,1614607000,1741751000,1507112000,1811957000,2149746000,2493775000,2095473000,2929849000,2758477000,3030229000,3216752000,10469570000,6226765000
99,Cash at the Beginning of Period,- -,- -,- -,122700000,54300000,83300000,67300000,106700000,58100000,41600000,209200000,474700000,404400000,461244000,371759000,132535000,492776000,492330000,246403000,307187000,465649000,856669000,732612000,453527000,1614607000,1741751000,1507112000,1811957000,2149746000,2493775000,2095473000,2929849000,2758477000,3030229000,3216752000,10469570000
100,Free Cash Flow,- -,- -,- -,21500000,46000000,16100000,30700000,-41400000,-23300000,129000000,594600000,214400000,435100000,339401000,299758000,463002000,511836000,361463000,650698000,662071000,817022000,834120000,571640000,1842644000,1269347000,1112704000,2067386000,1643651000,2096847000,2047963000,2577147000,1968007000,2963320000,2843424000,3993868000,3057485000
101,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/109198/000010919895000002/0000109198-95-000002-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/109198/000095013502002121/0000950135-02-002121-index.html,https://www.sec.gov/Archives/edgar/data/109198/000095013503002594/0000950135-03-002594-index.html,https://www.sec.gov/Archives/edgar/data/109198/000095013504001661/0000950135-04-001661-index.html,https://www.sec.gov/Archives/edgar/data/109198/000095013505001752/0000950135-05-001752-index.html,https://www.sec.gov/Archives/edgar/data/109198/000095013506001903/b58738tje10vk.htm,https://www.sec.gov/Archives/edgar/data/109198/000095013507001906/b64407tje10vk.htm,https://www.sec.gov/Archives/edgar/data/109198/000095013508001961/b68114tje10vk.htm,https://www.sec.gov/Archives/edgar/data/109198/000095013509002399/0000950135-09-002399-index.html,https://www.sec.gov/Archives/edgar/data/109198/000095012310029845/0000950123-10-029845-index.html,https://www.sec.gov/Archives/edgar/data/109198/000095012311030274/b83553e10vk.htm,https://www.sec.gov/Archives/edgar/data/109198/000119312512134536/0001193125-12-134536-index.html,https://www.sec.gov/Archives/edgar/data/109198/000119312513138497/0001193125-13-138497-index.html,https://www.sec.gov/Archives/edgar/data/109198/000119312514125980/0001193125-14-125980-index.html,https://www.sec.gov/Archives/edgar/data/109198/000119312515114276/d855793d10k.htm,https://www.sec.gov/Archives/edgar/data/109198/000119312516521424/0001193125-16-521424-index.html,https://www.sec.gov/Archives/edgar/data/109198/000119312517099642/0001193125-17-099642-index.html,https://www.sec.gov/Archives/edgar/data/109198/000119312518107423/0001193125-18-107423-index.html,https://www.sec.gov/Archives/edgar/data/109198/000162828019003834/0001628280-19-003834-index.html,https://www.sec.gov/Archives/edgar/data/109198/000010919820000004/0000109198-20-000004-index.html,https://www.sec.gov/Archives/edgar/data/109198/000010919821000006/0000109198-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/109198/000010919822000008/0000109198-22-000008-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
