,https://roic.ai/company/TFX,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
79,Inventory,- -,- -,- -,- -,-8500000,-3800000,-8700000,-3100000,-1000000,-4000000,-9300000,-4000000,-13900000,-8600000,5500000,-18150000,-14621000,-25250000,-7998000,27378000,2830000,10257000,62449000,-20881000,37040000,-3688000,-32661000,-1970000,-8931000,-15531000,-8371000,6408000,-22363000,-37198000,-53170000,-5497000,-11138000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,94020000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,220500000,252600000,269300000,271600000,305400000,275500000,278166000,252100000,339400000,393500000,613200000,578900000,668754000,319128000,431446000,666827000,500470000,1009249000,794674000,565434000,418310000,339719000,755747000,644931000,653713000,743277000,882398000,73473000
82,Other Non-Cash Items,- -,- -,- -,- -,100000,-600000,-17800000,-19600000,-16600000,-239100000,-49000000,-40400000,-41000000,-47600000,-3300000,-8864000,-60000,-114413000,-60236000,-93028000,116446000,2987000,434816000,-151288000,-458567000,75228000,-814077000,540773000,208981000,136803000,66091000,-350356000,245323000,1473000,-183913000,-253355000,-111360000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,21700000,46600000,31800000,43700000,46400000,57700000,70800000,71600000,80800000,131600000,134100000,189415000,188257000,200585000,225199000,247437000,335892000,344662000,393588000,171169000,204171000,213102000,94478000,186054000,226544000,286565000,300810000,408480000,419885000,437378000,439525000,436406000,651419000
84,CAPEX,- -,- -,- -,- -,-20300000,-17500000,-20400000,-19300000,-24400000,-25300000,-30700000,-40500000,-74600000,-91100000,-140400000,-80652000,-97744000,-87163000,-94230000,-55582000,-69851000,-63232000,-44734000,-39267000,-30409000,-33537000,-45087000,-65394000,-63580000,-67571000,-61448000,-53135000,-70903000,-80795000,-102695000,-90694000,-71618000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-87846000,-170700000,-57229000,-93963000,-458531000,-14701000,-39777000,-1472203000,2381000,312783000,181468000,345455000,-320460000,-309058000,-40566000,-93400000,-3839000,-1761952000,-117147000,10883000,-766430000,220319000
86,Purchases of Investments,- -,- -,- -,- -,-7600000,-800000,-3300000,-5200000,-1400000,-3300000,-4200000,-2600000,-11500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5554000,-2565000,- -,- -,-150000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-18418000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7300000
88,Other Investing Activites,- -,- -,- -,- -,1200000,-700000,-29300000,-4600000,-105300000,4600000,-6300000,3000000,-101400000,22000000,-23800000,16501000,-3921000,15623000,2684000,48504000,140559000,2501000,-17104000,- -,-1173000,-129000,-2370000,-2351000,- -,- -,- -,- -,- -,1548000,18331000,19341000,-52464000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-26700000,-19000000,-53000000,-29100000,-131100000,-24000000,-41200000,-40100000,-187500000,-69100000,-164200000,-151997000,-272365000,-128769000,-185509000,-465609000,56007000,-100508000,-1539595000,-39451000,281201000,147802000,297848000,-388205000,-372638000,-108137000,-154848000,-56974000,-1832855000,-196394000,-73481000,-837783000,156737000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-227835000,-359060000,-716570000,-455800000,- -,-375000000,-480102000,-303757000,-714565000,-1239576000,-128500000,-528500000,-938807000,-1034500000
91,Common Stock Issued,- -,- -,- -,- -,1900000,3000000,3600000,4700000,6100000,4800000,7000000,5500000,4400000,5900000,5900000,5258000,8228000,9846000,6495000,16227000,23173000,11952000,24171000,7955000,1553000,10657000,34009000,- -,- -,- -,- -,- -,- -,- -,- -,- -,11097000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-46518000,-93552000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,-5000000,-5700000,-6400000,-7000000,-7600000,-8900000,-10500000,-12100000,-14300000,-16600000,-19100000,-22163000,-25586000,-27861000,-30881000,-34575000,-39320000,-44096000,-48929000,-53047000,-54022000,-54312000,-55136000,-55589000,-55917000,-56258000,-56532000,-58960000,-61237000,-62165000,-62828000,-63221000,-63648000
94,Other Financing Activites,- -,- -,- -,- -,-6600000,1000000,4200000,-400000,61200000,-16800000,5400000,-11900000,78700000,-15800000,5700000,-4414000,103227000,-56207000,-3218000,295895000,-198967000,-124409000,1110217000,54918000,-1759000,423598000,471768000,8297000,663515000,248657000,274706000,654833000,2442072000,-15768000,172492000,1457191000,371229000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-9700000,-1700000,1400000,-2700000,59700000,-20900000,1900000,-18500000,68800000,-26500000,-7500000,-21319000,85869000,-74222000,-27604000,277547000,-261632000,-250105000,1085459000,-218009000,-413288000,-336627000,-5159000,-47292000,232598000,-287703000,-85583000,-118692000,1141259000,-206433000,-418836000,455163000,-715822000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6686000,14824000,13481000,-7776000,8946000,-4130000,-11531000,2394000,8441000,-19473000,-25249000,-27391000,61480000,-10948000,-3286000,21011000,-23130000
97,Net Change In Cash,- -,- -,- -,- -,-9700000,-1700000,1400000,-2700000,59700000,-20900000,1900000,-18500000,68800000,-26500000,-37700000,16099000,1761000,-2406000,12086000,59375000,123581000,8873000,-47067000,-94067000,81030000,20147000,375636000,-247049000,94945000,-128748000,35130000,205423000,-210231000,23603000,-56078000,74797000,69204000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29000000,45139000,46900000,44494000,56580000,115955000,239536000,248409000,201342000,107275000,188305000,208452000,584088000,337039000,431984000,303236000,338366000,543789000,333558000,357161000,301083000,375880000,445084000
99,Cash at the Beginning of Period,- -,- -,- -,- -,33200000,18400000,44300000,24500000,36300000,11300000,24100000,55700000,68600000,30700000,66700000,29040000,45139000,46900000,44494000,56580000,115955000,239536000,248409000,201342000,107275000,188305000,208452000,584088000,337039000,431984000,303236000,338366000,543789000,333558000,357161000,301083000,375880000
100,Free Cash Flow,- -,- -,- -,- -,1400000,29100000,11400000,24400000,22000000,32400000,40100000,31100000,6200000,40500000,-6300000,108763000,90513000,113422000,130969000,191855000,266041000,281430000,348854000,131902000,173762000,179565000,49391000,120660000,162964000,218994000,239362000,355345000,348982000,356583000,336830000,345712000,579801000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/96943/000089322095000165/0000893220-95-000165-index.html,https://www.sec.gov/Archives/edgar/data/96943/0000893220-96-000475-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/96943/000089322004000402/w94871e10vk.htm,https://www.sec.gov/Archives/edgar/data/96943/000089322005000499/w68607e10vk.htm,https://www.sec.gov/Archives/edgar/data/96943/000089322006000621/w17700e10vk.htm,https://www.sec.gov/Archives/edgar/data/96943/000089322007000527/w30240e10vk.htm,https://www.sec.gov/Archives/edgar/data/96943/000089322008000569/w47957e10vk.htm,https://www.sec.gov/Archives/edgar/data/96943/000089322009000387/0000893220-09-000387-index.html,https://www.sec.gov/Archives/edgar/data/96943/000095012310016499/0000950123-10-016499-index.html,https://www.sec.gov/Archives/edgar/data/96943/000095012311018007/w80858e10vk.htm,https://www.sec.gov/Archives/edgar/data/96943/000119312512076013/0001193125-12-076013-index.html,https://www.sec.gov/Archives/edgar/data/96943/000119312513071160/0001193125-13-071160-index.html,https://www.sec.gov/Archives/edgar/data/96943/000156459014000320/tfx-10k_20131231.htm,https://www.sec.gov/Archives/edgar/data/96943/000009694315000023/tfx-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/96943/000009694316000154/0000096943-16-000154-index.html,https://www.sec.gov/Archives/edgar/data/96943/000009694317000014/0000096943-17-000014-index.html,https://www.sec.gov/Archives/edgar/data/96943/000009694318000028/0000096943-18-000028-index.html,https://www.sec.gov/Archives/edgar/data/96943/000009694319000021/0000096943-19-000021-index.html,https://www.sec.gov/Archives/edgar/data/96943/000009694320000017/0000096943-20-000017-index.html,https://www.sec.gov/Archives/edgar/data/96943/000009694321000013/0000096943-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/96943/000009694322000016/0000096943-22-000016-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
