,https://roic.ai/company/CMCSA,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
74,Depreciation and Amortization,- -,- -,- -,111500000,133900000,161200000,164300000,232000000,341500000,336500000,689100000,698300000,936400000,939600000,1216000000,2631300000,3448000000,2032000000,4438000000,4623000000,4803000000,4962000000,6208000000,6400000000,6500000000,6616000000,7636000000,17252000000,16120000000,8019000000,8680000000,9558000000,9825000000,10676000000,12953000000,13100000000,13804000000
75,Deferred Income Tax,- -,- -,- -,- -,3500000,-8100000,13800000,2400000,500000,4300000,-65400000,14000000,-56600000,418200000,-31900000,1102300000,-240700000,-100000000,820000000,531000000,183000000,674000000,247000000,495000000,832000000,549000000,1058000000,139000000,16000000,1165000000,958000000,1444000000,-10655000000,290000000,563000000,-550000000,1892000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,258000000,257000000,300000000,344000000,371000000,419000000,513000000,567000000,640000000,751000000,826000000,1021000000,1193000000,1315000000
77,Change in Working Capital,- -,- -,- -,12800000,36500000,-92200000,316600000,-344300000,145100000,-234100000,583700000,-490700000,100800000,2390000000,1699800000,-3129300000,317300000,-9726500000,4056000000,-849000000,1425000000,1437000000,-2047000000,-938000000,1197000000,4678000000,-5320000000,7945000000,-8114000000,958000000,-1996000000,701000000,-327000000,-254000000,855000000,2845000000,-868000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,39000000,-84000000,-131000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-57500000,-5800000,-65600000,- -,- -,- -,-16000000,-25000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,120300000,156800000,64600000,381200000,36900000,182000000,-52100000,531600000,40900000,141700000,2531700000,4231500000,1102200000,1419500000,-8307000000,-4251000000,-5100000000,-3675000000,-2238000000,-4285000000,-5223000000,-4026000000,652000000,-4668000000,3277000000,-4837000000,-3879000000,-5875000000,-5174000000,-5501000000,-5755000000,-4900000000,-2055000000,382000000
82,Other Non-Cash Items,- -,- -,- -,26000000,67500000,215100000,-162900000,632400000,-54200000,349300000,-642800000,631500000,174100000,-3640200000,-2700200000,-1406500000,-2903700000,11063500000,-9700000000,655000000,-2417000000,-2988000000,1797000000,1469000000,-2143000000,-4599000000,6467000000,-17056000000,-1097000000,-2090000000,2406000000,-1781000000,-926000000,1028000000,-2752000000,-2385000000,-1156000000
83,Cash Provided by Operating Activities,- -,- -,- -,102700000,92600000,97600000,176200000,252300000,345900000,369000000,520700000,799600000,916000000,1079700000,1249400000,1219300000,1229500000,2995000000,2854000000,5930000000,4922000000,6618000000,8792000000,10231000000,10281000000,11179000000,14345000000,14854000000,14160000000,16945000000,18778000000,19240000000,21403000000,24297000000,25697000000,24737000000,29146000000
84,CAPEX,- -,- -,- -,-98900000,-207900000,-113200000,-85000000,-109400000,-158400000,-269900000,-623000000,-730800000,-925500000,-1349000000,-1649000000,-1636800000,-2187900000,-1975000000,-4161000000,-3660000000,-3621000000,-4701000000,-6564000000,-6277000000,-5639000000,-5497000000,-6261000000,-6637000000,-7605000000,-8542000000,-9869000000,-10821000000,-11297000000,-11709000000,-12428000000,-11634000000,-12057000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-187300000,-1329000000,-251000000,-152000000,-296000000,-199000000,-5110000000,-1319000000,-738000000,-88000000,-183000000,-6130000000,3012000000,984000000,189000000,-1353000000,-3711000000,-382000000,-38538000000,-600000000,608000000,-1666000000
86,Purchases of Investments,- -,- -,- -,-949800000,-81900000,-64300000,-352500000,- -,-384900000,-125000000,-240800000,-502000000,- -,-202100000,-3047700000,-1010700000,-317000000,-88000000,-234000000,-169000000,-392000000,-2812000000,-2089000000,-1167000000,-346000000,-260000000,-135000000,-297000000,-1223000000,-191000000,-784000000,-1697000000,-2292000000,-1257000000,-1899000000,-812000000,-174000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,14000000,14200000,- -,335600000,- -,389300000,- -,377700000,45600000,169500000,2059800000,2025400000,1172800000,1263000000,7971000000,228000000,861000000,2753000000,1158000000,737000000,102000000,99000000,- -,- -,- -,- -,- -,- -,150000000,141000000,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,-379600000,100000,- -,-95900000,-2120600000,-292800000,-1303700000,-1488900000,-71100000,-309300000,-45700000,97600000,-409200000,-346200000,-221000000,1815000000,-615000000,-397000000,-2000000,62000000,-6309000000,-5565000000,-5367000000,-6243000000,-4201000000,-9275000000,-8731000000,-9827000000,-12977000000,-11180000000,-11200000000,-12342000000,-11843000000,-11606000000
89,Cash Used for Investing Activites,- -,- -,- -,-1428300000,-275700000,-163300000,-533400000,-1894400000,-836100000,-1309300000,-2352700000,-926200000,-1189200000,-1427300000,-2539300000,-1218600000,-3007300000,-1272000000,5239000000,-4512000000,-3748000000,-9872000000,-8752000000,-7477000000,-5897000000,-5711000000,-12508000000,-1486000000,-9514000000,-8733000000,-11964000000,-18385000000,-13704000000,-50854000000,-14841000000,-12047000000,-13446000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2610000000,-4738000000,-1153000000,-3216000000,-2881000000,-2444000000,-3175000000,-4378000000,-3052000000,-6364000000,-8798000000,-14354000000,-18777000000,-11498000000
91,Common Stock Issued,- -,- -,- -,2200000,1900000,2300000,214500000,107400000,6700000,212300000,6600000,- -,970200000,28900000,- -,30500000,27200000,19000000,67000000,113000000,93000000,410000000,412000000,53000000,1000000,34000000,283000000,233000000,40000000,35000000,36000000,23000000,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7100000,-175900000,- -,- -,-13600000,-324900000,-27100000,- -,-14000000,-1361000000,-2313000000,-2347000000,-3102000000,-2800000000,-765000000,-1200000000,-2141000000,-3000000000,-2000000000,-4251000000,-6750000000,-5000000000,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,-8000000,-11600000,-13600000,-17300000,-19200000,-20700000,-22700000,-22400000,-26800000,-34000000,-36000000,-9400000,- -,- -,- -,- -,- -,- -,- -,- -,-547000000,-761000000,-1064000000,-1187000000,-1608000000,-1964000000,-2254000000,-2437000000,-2601000000,-2883000000,-3352000000,-3735000000,-4140000000,-4532000000
94,Other Financing Activites,- -,- -,- -,1253000000,232300000,22000000,197000000,1641700000,451200000,925600000,2058600000,121500000,-580600000,816300000,1364400000,23000000,1476200000,-1311000000,-7101000000,-1268000000,1287000000,5483000000,2374000000,3382000000,1355000000,3228000000,60000000,3219000000,-7511000000,3625000000,5100000000,10781000000,1675000000,39290000000,8908000000,16404000000,-2588000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,1247200000,222600000,10700000,394200000,1729900000,437200000,1115200000,2035700000,-81200000,355600000,809200000,1341400000,-271400000,1476300000,-1292000000,-7048000000,-2516000000,-933000000,3546000000,-316000000,-2522000000,-4908000000,-155000000,-6201000000,-4037000000,-13879000000,-6020000000,-8429000000,151000000,-7572000000,27140000000,-9181000000,-6513000000,-18618000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-245000000,5000000,2000000,-71000000
97,Net Change In Cash,- -,- -,- -,1247200000,222600000,10700000,394200000,1729900000,437200000,1115200000,2035700000,-81200000,355600000,809200000,51500000,-270700000,-301500000,431000000,1045000000,-1098000000,241000000,292000000,-276000000,232000000,-524000000,5313000000,-4364000000,9331000000,-9233000000,2192000000,-1615000000,1006000000,127000000,338000000,1680000000,6179000000,-2990000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,922200000,651500000,350000000,781000000,1550000000,452000000,693000000,1239000000,963000000,1195000000,671000000,5984000000,1620000000,10951000000,1718000000,3910000000,2295000000,3301000000,3428000000,3909000000,5589000000,11768000000,8778000000
99,Cash at the Beginning of Period,- -,- -,- -,182500000,104000000,143600000,88600000,125700000,213400000,160400000,335300000,539100000,331300000,409100000,870700000,922200000,651500000,350000000,505000000,1550000000,452000000,947000000,1239000000,963000000,1195000000,671000000,5984000000,1620000000,10951000000,1718000000,3910000000,2295000000,3301000000,3571000000,3909000000,5589000000,11768000000
100,Free Cash Flow,- -,- -,- -,3800000,-115300000,-15600000,91200000,142900000,187500000,99100000,-102300000,68800000,-9500000,-269300000,-399600000,-417500000,-958400000,1020000000,-1307000000,2270000000,1301000000,1917000000,2228000000,3954000000,4642000000,5682000000,8084000000,8217000000,6555000000,8403000000,8909000000,8419000000,10106000000,12588000000,13269000000,13103000000,17089000000
101,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1166691/000104746905004437/a2141960z10-k.htm,https://www.sec.gov/Archives/edgar/data/1166691/000119312506036698/d10k.htm,https://www.sec.gov/Archives/edgar/data/1166691/000119312507039301/d10k.htm,https://www.sec.gov/Archives/edgar/data/1166691/000119312508034239/d10k.htm,https://www.sec.gov/Archives/edgar/data/1166691/000119312509033975/0001193125-09-033975-index.html,https://www.sec.gov/Archives/edgar/data/1166691/000119312510037551/0001193125-10-037551-index.html,https://www.sec.gov/Archives/edgar/data/1166691/000119312511047243/d10k.htm,https://www.sec.gov/Archives/edgar/data/1166691/000119312512073905/0001193125-12-073905-index.html,https://www.sec.gov/Archives/edgar/data/1166691/000119312513067658/0001193125-13-067658-index.html,https://www.sec.gov/Archives/edgar/data/1166691/000119312514047522/d666576d10k.htm,https://www.sec.gov/Archives/edgar/data/1166691/000119312515068526/d817352d10k.htm,https://www.sec.gov/Archives/edgar/data/1166691/000119312516452423/0001193125-16-452423-index.html,https://www.sec.gov/Archives/edgar/data/1166691/000119312517030512/0001193125-17-030512-index.html,https://www.sec.gov/Archives/edgar/data/1166691/000116669118000004/0001166691-18-000004-index.html,https://www.sec.gov/Archives/edgar/data/1166691/000116669119000005/0001166691-19-000005-index.html,https://www.sec.gov/Archives/edgar/data/1166691/000116669120000008/0001166691-20-000008-index.html,https://www.sec.gov/Archives/edgar/data/1166691/000116669121000008/0001166691-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1166691/000116669122000009/0001166691-22-000009-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
