,https://roic.ai/company/MUX,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,161000,12946000,1853000,28178000,- -,- -,- -,470000,2155000,2895000,6769000,1266000,- -
88,Other Investing Activites,- -,- -,- -,- -,7000000,16600000,200000,1000000,300000,500000,1772349,608645,1621986,116581,743203,- -,13500,-34725,1004000,318892,195776,-164571,3625541,-221639,713000,1049000,-9509000,3486000,1455000,4740000,13000,-17006000,-12058000,10469000,8877000,340000,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,-25900000,7900000,200000,1000000,300000,500000,1772349,608645,1621986,116581,742010,-2665,3500,-35962,1004000,217385,-978024,-930465,-1997809,-221639,-2211000,3884000,-40318000,65073000,-3001000,1506000,-1878000,-10114000,-34472000,-69341000,-14061000,-11767000,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-330016,- -,- -,-2000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1776000,-3395000,- -,-485000,-1855000,-2204000,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10605,- -,- -,- -,- -,- -,- -,816154,450000,374492,4000000,69401760,10333674,- -,46301000,- -,105415000,60419000,- -,- -,- -,- -,52447000,15764000,71318000,19644000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-470,-248,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1769000,-582000,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1503000,-2986000,-3059000,-3372000,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,8600000,-12400000,1100000,-1000000,400000,-100000,- -,- -,- -,- -,-9398,-10681,-11795,-12933,-8273,83990,8068,-97303,-16084,257181,141000,809000,773000,3885000,171000,2292000,5171000,3730000,339000,48533000,544000,138000,- -
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,8600000,-12400000,1100000,-1000000,400000,-100000,-319411,- -,- -,-2000,-9398,-10681,-11795,803221,441727,458012,4007820,69304457,10317590,257181,46442000,809000,106188000,64304000,171000,2292000,123000,-3233000,49727000,60440000,70007000,17578000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1057411,-1951057,1558000,357000,-279000,-366000,-1376000,-833000,-348000,-273000,-108000,1750000,-408000,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,8600000,-12400000,1100000,-1000000,400000,-100000,216069,-228867,610540,-614045,46526,5765,17844,-67652,193555,-123004,602530,50244359,-19992650,-20629286,17390000,-20872000,6598000,57505000,-46600000,-11941000,13494000,11566000,-287000,-6664000,16011000,-22062000,- -
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,234326,5459,615999,1954,48480,54245,72089,4437,197992,74988,677518,50921877,30929227,10299941,27690000,6818000,13416000,70921000,24321000,12380000,25874000,37440000,37153000,30489000,46500000,24438000,- -
99,Cash at the Beginning of Period,- -,- -,- -,- -,14800000,4200000,400000,100000,- -,200000,18257,234326,5459,615999,1954,48480,54245,72089,4437,197992,74988,677518,50921877,30929227,10300000,27690000,6818000,13416000,70921000,24321000,12380000,25874000,37440000,37153000,30489000,46500000,- -
100,Free Cash Flow,- -,- -,- -,- -,-25900000,-7900000,-1600000,-100000,-500000,-600000,-1267998,-837512,-1021015,-734057,-687279,16446,16139,-836148,-1252172,-899908,-2482333,-18895527,-34993192,-18980229,-28724000,-29200000,-77025000,-74097000,-46850000,-17694000,14820000,18027000,-24003000,-80834000,-69234000,-41246000,-55111000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/314203/000110465907023969/a07-6046_110ksb.htm,https://www.sec.gov/Archives/edgar/data/314203/000104746908002987/a2183557z10-k.htm,https://www.sec.gov/Archives/edgar/data/314203/000104746909002589/0001047469-09-002589-index.html,https://www.sec.gov/Archives/edgar/data/314203/000104746910002227/0001047469-10-002227-index.html,https://www.sec.gov/Archives/edgar/data/314203/000104746911002070/a2202514z10-k.htm,https://www.sec.gov/Archives/edgar/data/314203/000104746912002393/0001047469-12-002393-index.html,https://www.sec.gov/Archives/edgar/data/314203/000104746913002450/0001047469-13-002450-index.html,https://www.sec.gov/Archives/edgar/data/314203/000104746914002057/a2218687z10-k.htm,https://www.sec.gov/Archives/edgar/data/314203/000104746915001848/a2223369z10-k.htm,https://www.sec.gov/Archives/edgar/data/314203/000155837016004026/0001558370-16-004026-index.html,https://www.sec.gov/Archives/edgar/data/314203/000155837017001222/0001558370-17-001222-index.html,https://www.sec.gov/Archives/edgar/data/314203/000155837018000860/0001558370-18-000860-index.html,https://www.sec.gov/Archives/edgar/data/314203/000155837019000788/0001558370-19-000788-index.html,https://www.sec.gov/Archives/edgar/data/314203/000155837020002800/0001558370-20-002800-index.html,https://www.sec.gov/Archives/edgar/data/314203/000155837021002708/0001558370-21-002708-index.htm,https://www.sec.gov/Archives/edgar/data/314203/000155837022002910/0001558370-22-002910-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
