,https://roic.ai/company/DXLG,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
84,CAPEX,- -,- -,- -,-8000000,-3400000,-2700000,-5700000,-8100000,-12600000,-18000000,-12300000,-7800000,-10200000,-7136000,-7219000,-4012000,-14468000,-12320000,-20637000,-15656000,-22676000,-21377000,-12595000,-4634000,-9031000,-18038000,-32390000,-54125000,-40927000,-33447000,-29239000,-22565000,-12961000,-13399000,-4243000,-5000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-160808000,- -,-19066000,- -,-1743000,-831000,-3801000,635000,397000,258000,273000,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-12300000,-13800000,-800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,9000000,4500000,6100000,5900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,-600000,-500000,-100000,-900000,700000,-500000,-1700000,-200000,-400000,100000,-2257000,2422000,21000,1000,- -,21366000,- -,55937000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1150000,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,-8600000,-3900000,-2800000,-18900000,-21200000,-4900000,-15200000,-6400000,-2300000,-10100000,-9393000,-4797000,-3991000,-175275000,-12320000,-18337000,-15656000,31518000,-22208000,-16396000,-3999000,-8634000,-17780000,-32117000,-54125000,-40927000,-33447000,-29239000,-22565000,-12961000,-13399000,-4243000,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7134000,-40117000,-11051000,- -,- -,-817000,-6478000,-7489000,-7312000,-7088000,-17585000,-2690000,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,11100000,26500000,1100000,400000,100000,- -,300000,100000,- -,226000,44000,92515000,6272000,739000,1037000,9289000,10760000,- -,12498000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-2300000,- -,-1800000,- -,- -,- -,-6597000,-23000,- -,-7926000,-6326000,- -,-15208000,-49407000,-7000,- -,- -,- -,- -,- -,- -,- -,- -,-4681000,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,4700000,-300000,-200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,9300000,-100000,-1700000,-7000000,-3000000,-9900000,-3800000,- -,7200000,6900000,8377000,2143000,3407000,66888000,1497000,12043000,-2376000,-37929000,49085000,- -,193000,475000,593000,31000,26426000,33642000,23130000,1993000,3165000,14311000,-244000,20130000,- -
95,Cash Used/Provided by Financing Activities,- -,- -,- -,9300000,-100000,9400000,19500000,-1900000,-7100000,-4000000,-2000000,7500000,7000000,8377000,-4228000,3428000,159403000,-157000,6456000,-1339000,-43848000,10438000,-7141000,-27426000,-10576000,593000,31000,25609000,27164000,15641000,-5319000,-8604000,-3274000,-2934000,20130000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,9300000,-100000,9400000,19500000,-1900000,-7100000,-4000000,-2000000,7500000,7000000,8377000,-4228000,3428000,159403000,-513000,1552000,-163000,-243000,-32000,-340000,-651000,-188000,6239000,-2191000,-3618000,42000,584000,402000,-210000,-494000,-530000,14659000,- -
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4692000,4179000,5731000,5568000,5325000,5293000,4953000,4302000,4114000,10353000,8162000,4544000,4586000,5170000,5572000,5362000,4868000,4338000,18997000,- -
99,Cash at the Beginning of Period,- -,- -,- -,700000,600000,3300000,16600000,23400000,13600000,22400000,13900000,3400000,1500000,153000,- -,- -,- -,4692000,4179000,5731000,5568000,5325000,5293000,4953000,4302000,4114000,10353000,8162000,4544000,4586000,5170000,5572000,5362000,4868000,4338000,18997000
100,Free Cash Flow,- -,- -,- -,-8800000,3400000,4000000,300000,5200000,8200000,-7200000,-14400000,-14800000,-8400000,-6273000,1806000,-3449000,6096000,-356000,-7204000,1176000,-10589000,-9639000,10602000,26140000,9991000,5388000,-2495000,-29227000,-27122000,-15057000,5721000,8394000,2780000,2404000,-5471000,-5000
101,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/813298/000095013596001887/0000950135-96-001887-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/813298/000119312504062693/d10k.htm,https://www.sec.gov/Archives/edgar/data/813298/000119312505074046/d10k.htm,https://www.sec.gov/Archives/edgar/data/813298/000119312506070549/d10k.htm,https://www.sec.gov/Archives/edgar/data/813298/000119312507071351/0001193125-07-071351-index.html,https://www.sec.gov/Archives/edgar/data/813298/000119312508065891/d10k.htm,https://www.sec.gov/Archives/edgar/data/813298/000119312509060817/0001193125-09-060817-index.html,https://www.sec.gov/Archives/edgar/data/813298/000119312510061836/0001193125-10-061836-index.html,https://www.sec.gov/Archives/edgar/data/813298/000119312511071143/d10k.htm,https://www.sec.gov/Archives/edgar/data/813298/000119312512119329/0001193125-12-119329-index.html,https://www.sec.gov/Archives/edgar/data/813298/000119312513109386/0001193125-13-109386-index.html,https://www.sec.gov/Archives/edgar/data/813298/000119312514102442/d657704d10k.htm,https://www.sec.gov/Archives/edgar/data/813298/000156459015001969/dxlg-10k_20150131.htm,https://www.sec.gov/Archives/edgar/data/813298/000156459016015060/0001564590-16-015060-index.html,https://www.sec.gov/Archives/edgar/data/813298/000156459017004804/0001564590-17-004804-index.html,https://www.sec.gov/Archives/edgar/data/813298/000156459018006679/0001564590-18-006679-index.html,https://www.sec.gov/Archives/edgar/data/813298/000156459019009017/0001564590-19-009017-index.html,https://www.sec.gov/Archives/edgar/data/813298/000156459020011796/0001564590-20-011796-index.html,https://www.sec.gov/Archives/edgar/data/813298/000156459021014278/0001564590-21-014278-index.htm,https://www.sec.gov/Archives/edgar/data/813298/000095017022004055/0000950170-22-004055-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
