,https://roic.ai/company/PG,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
73,Net Income,- -,- -,- -,- -,1602000000,1773000000,1872000000,-656000000,2211000000,2645000000,3046000000,3415000000,3780000000,3763000000,3542000000,2922000000,4352000000,5186000000,6481000000,7257000000,8684000000,10340000000,12075000000,13436000000,12736000000,11797000000,10756000000,11312000000,11643000000,7036000000,10508000000,15326000000,9750000000,3897000000,13027000000,14306000000
74,Depreciation and Amortization,- -,- -,- -,- -,859000000,956000000,1051000000,1140000000,1134000000,1253000000,1358000000,1487000000,1598000000,2148000000,2191000000,2271000000,1693000000,1703000000,1733000000,1884000000,2627000000,3130000000,3166000000,3082000000,3108000000,2838000000,3204000000,2982000000,3141000000,3134000000,3078000000,2820000000,2834000000,2824000000,3013000000,2735000000
75,Deferred Income Tax,- -,- -,- -,- -,-129000000,-34000000,125000000,-1086000000,196000000,181000000,328000000,-26000000,-101000000,-60000000,463000000,-102000000,389000000,63000000,415000000,650000000,-112000000,253000000,1214000000,596000000,36000000,128000000,-65000000,-307000000,-44000000,-803000000,-815000000,-601000000,-1844000000,-411000000,-596000000,-258000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,516000000,453000000,414000000,377000000,346000000,360000000,337000000,335000000,351000000,395000000,515000000,558000000,540000000
77,Change in Working Capital,- -,- -,- -,- -,-326000000,- -,- -,- -,1948000000,246000000,788000000,6000000,-1661000000,-730000000,-593000000,1039000000,-1581000000,3400000000,-7894000000,322000000,9054000000,-11030000000,243000000,-2553000000,3496000000,177000000,2326000000,-3050000000,3938000000,1965000000,3156000000,-6728000000,-1201000000,-2621000000,2549000000,-5052000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,415000000,-14000000,-426000000,-427000000,-415000000,87000000,349000000,35000000,-322000000,-177000000,-276000000,634000000,-342000000
79,Inventory,- -,- -,- -,- -,-312000000,-334000000,160000000,97000000,25000000,-401000000,202000000,-71000000,-229000000,-96000000,-176000000,-67000000,159000000,-56000000,56000000,-644000000,383000000,-389000000,-1050000000,721000000,86000000,-501000000,77000000,-225000000,8000000,313000000,116000000,71000000,-188000000,-239000000,-637000000,-309000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1923000000,1391000000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,1948000000,2194000000,2982000000,2988000000,1327000000,597000000,4000000,1043000000,-538000000,2862000000,-5032000000,-4710000000,4344000000,-6686000000,-6443000000,-8996000000,-5500000000,-5323000000,-2997000000,-6047000000,-2109000000,-144000000,3012000000,-3716000000,-4917000000,-7538000000,-4989000000,-10041000000
82,Other Non-Cash Items,- -,- -,- -,- -,- -,-626000000,22000000,3940000000,-1840000000,-757000000,-1362000000,1000000000,1269000000,423000000,-928000000,-326000000,2889000000,-1652000000,8627000000,-1391000000,-8878000000,10742000000,-884000000,-158000000,-3757000000,-2123000000,-3314000000,3590000000,-5080000000,2939000000,-827000000,1585000000,4933000000,11038000000,-1148000000,6100000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,2006000000,2069000000,3070000000,3338000000,3649000000,3568000000,4158000000,5882000000,4885000000,5544000000,4675000000,5804000000,7742000000,8700000000,9362000000,8722000000,11375000000,13435000000,15814000000,14919000000,16072000000,13231000000,13284000000,14873000000,13958000000,14608000000,15435000000,12753000000,14867000000,15242000000,17403000000,18371000000
84,CAPEX,- -,- -,- -,- -,-1300000000,-1979000000,-1911000000,-1911000000,-1841000000,-2146000000,-2179000000,-2129000000,-2559000000,-2828000000,-3018000000,-2486000000,-1679000000,-1482000000,-2024000000,-2181000000,-2667000000,-2945000000,-3046000000,-3238000000,-3067000000,-3306000000,-3964000000,-4008000000,-3848000000,-3736000000,-3314000000,-3384000000,-3717000000,-3347000000,-3073000000,-2787000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-572000000,171000000,-492000000,-381000000,-368000000,-425000000,-474000000,-134000000,-1145000000,-24000000,-137000000,-1182000000,-491000000,-109000000,-3945000000,-58000000,-34000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,-306000000,- -,- -,-331000000,-309000000,- -,- -,- -,-7000000,- -,-107000000,-121000000,-100000000,- -,- -,-50000000,- -,-173000000,- -,- -,-1726000000,-829000000,-3810000000,-2815000000,-4869000000,-3909000000,-220000000,-5000000,-55000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,23000000,96000000,- -,- -,63000000,356000000,221000000,- -,88000000,- -,- -,- -,884000000,673000000,- -,166000000,- -,- -,112000000,- -,24000000,1203000000,1447000000,1488000000,3955000000,3628000000,6151000000,- -
88,Other Investing Activites,- -,- -,- -,- -,-221000000,-204000000,-949000000,587000000,-190000000,-313000000,44000000,370000000,-2714000000,297000000,-2548000000,650000000,-5244000000,82000000,-7246000000,517000000,882000000,281000000,928000000,1087000000,3068000000,298000000,2893000000,584000000,570000000,3589000000,289000000,1567000000,269000000,394000000,-3043000000,-2745000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-1521000000,-2183000000,-2860000000,-1630000000,-2008000000,-2363000000,-2466000000,-2068000000,-5210000000,-2175000000,-5345000000,-1843000000,-6835000000,-1507000000,-9391000000,-2336000000,-730000000,-2483000000,-2549000000,-2353000000,-597000000,-3482000000,-1093000000,-6295000000,-4107000000,-2891000000,-5575000000,-5689000000,-3511000000,-3490000000,3045000000,-2834000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5007000000,-10344000000,-55000000,-2549000000,-3752000000,-4095000000,-3512000000,-2213000000,-4931000000,-2873000000,-969000000,-2447000000,-4987000000
91,Common Stock Issued,- -,- -,- -,- -,- -,1000000000,- -,77000000,36000000,66000000,89000000,134000000,158000000,212000000,336000000,141000000,237000000,269000000,555000000,478000000,1319000000,1499000000,1867000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-179000000,-837000000,-49000000,-55000000,-14000000,-114000000,-432000000,-1652000000,-1929000000,-2533000000,-1766000000,-1250000000,-568000000,-1236000000,-4070000000,-5026000000,-16830000000,-5578000000,-10047000000,-6370000000,-6004000000,-7039000000,-4024000000,-5986000000,-6005000000,-4604000000,-5734000000,-5204000000,-7004000000,-5003000000,-7405000000,-11009000000
93,Dividends Paid,- -,- -,- -,- -,-639000000,-753000000,-788000000,-850000000,-949000000,-1062000000,-1202000000,-1329000000,-1462000000,-1626000000,-1796000000,-1943000000,-2095000000,-2246000000,-2539000000,-2731000000,-3703000000,-4209000000,-4655000000,-5044000000,-5458000000,-5767000000,-6139000000,-6519000000,-6911000000,-7287000000,-7436000000,-7236000000,-7310000000,-7498000000,-7789000000,-8263000000
94,Other Financing Activites,- -,- -,- -,- -,153000000,681000000,1019000000,-215000000,-664000000,-490000000,-38000000,-660000000,2853000000,1341000000,3030000000,38000000,2623000000,-1882000000,5686000000,3111000000,8636000000,-4190000000,-2815000000,5607000000,4551000000,2838000000,2302000000,9186000000,9732000000,2384000000,6170000000,8803000000,2812000000,3476000000,9274000000,2728000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-665000000,91000000,182000000,-1043000000,-1591000000,-1600000000,-1583000000,-3507000000,-380000000,-2606000000,-196000000,-3014000000,197000000,-5095000000,-368000000,-4168000000,-10578000000,-12478000000,-15650000000,-10814000000,-17255000000,-10023000000,-10410000000,-7071000000,-7279000000,-13019000000,-9213000000,-8568000000,-14375000000,-9994000000,-8367000000,-21531000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,-119000000,1000000,50000000,-63000000,-31000000,-96000000,-18000000,-13000000,-56000000,17000000,387000000,-46000000,-61000000,237000000,187000000,344000000,-284000000,-122000000,163000000,-113000000,4000000,39000000,-411000000,-381000000,-29000000,19000000,-88000000,-139000000,101000000
97,Net Change In Cash,- -,- -,- -,- -,-665000000,91000000,182000000,-1043000000,- -,-345000000,46000000,276000000,-801000000,745000000,-879000000,891000000,1121000000,2485000000,-443000000,2157000000,304000000,-1339000000,-2041000000,1468000000,-1902000000,-111000000,1668000000,1511000000,2611000000,-1713000000,266000000,-1533000000,-3000000000,1670000000,11942000000,-5893000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,2028000000,2074000000,2350000000,1549000000,2294000000,1415000000,2306000000,3427000000,5912000000,5469000000,6389000000,6693000000,5354000000,3313000000,4781000000,2879000000,2768000000,4436000000,5947000000,8558000000,6845000000,7102000000,5569000000,2569000000,4239000000,16181000000,10288000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,1587000000,1407000000,1384000000,1776000000,2322000000,2373000000,2028000000,2074000000,2350000000,1549000000,2294000000,1415000000,2306000000,3427000000,5912000000,4232000000,6389000000,6693000000,5354000000,3313000000,4781000000,2879000000,2768000000,4436000000,5947000000,8558000000,6836000000,7102000000,5569000000,2569000000,4239000000,16181000000
100,Free Cash Flow,- -,- -,- -,- -,706000000,90000000,1159000000,1427000000,1808000000,1422000000,1979000000,3753000000,2326000000,2716000000,1657000000,3318000000,6063000000,7218000000,7338000000,6541000000,8708000000,10490000000,12768000000,11681000000,13005000000,9925000000,9320000000,10865000000,10110000000,10872000000,12121000000,9369000000,11150000000,11895000000,14330000000,15584000000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/80424/000008042494000021/0000080424-94-000021-index.html,https://www.sec.gov/Archives/edgar/data/80424/000008042495000027/0000080424-95-000027-index.html,https://www.sec.gov/Archives/edgar/data/80424/000008042496000017/0000080424-96-000017-index.html,https://www.sec.gov/Archives/edgar/data/80424/000008042497000062/0000080424-97-000062-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/80424/000008042400000040/0000080424-00-000040-index.html,https://www.sec.gov/Archives/edgar/data/80424/000095015201504449/0000950152-01-504449-index.html,https://www.sec.gov/Archives/edgar/data/80424/000095015202006968/0000950152-02-006968-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/80424/000095015207007152/0000950152-07-007152-index.htm,https://www.sec.gov/Archives/edgar/data/80424/000095015208006832/0000950152-08-006832-index.htm,https://www.sec.gov/Archives/edgar/data/80424/000119312509175986/0001193125-09-175986-index.htm,https://www.sec.gov/Archives/edgar/data/80424/000119312510188769/0001193125-10-188769-index.htm,https://www.sec.gov/Archives/edgar/data/80424/000008042411000014/0000080424-11-000014-index.htm,https://www.sec.gov/Archives/edgar/data/80424/000008042412000063/0000080424-12-000063-index.htm,https://www.sec.gov/Archives/edgar/data/80424/000008042413000063/0000080424-13-000063-index.htm,https://www.sec.gov/Archives/edgar/data/80424/000008042414000057/0000080424-14-000057-index.htm,https://www.sec.gov/Archives/edgar/data/80424/000008042415000070/0000080424-15-000070-index.htm,https://www.sec.gov/Archives/edgar/data/80424/000008042416000212/0000080424-16-000212-index.htm,https://www.sec.gov/Archives/edgar/data/80424/000008042417000047/0000080424-17-000047-index.htm,https://www.sec.gov/Archives/edgar/data/80424/000008042418000055/0000080424-18-000055-index.htm,https://www.sec.gov/Archives/edgar/data/80424/000008042419000050/0000080424-19-000050-index.htm,https://www.sec.gov/Archives/edgar/data/80424/000008042420000053/0000080424-20-000053-index.htm,https://www.sec.gov/Archives/edgar/data/80424/000008042421000100/0000080424-21-000100-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
