,https://roic.ai/company/MNST,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,900000,- -,-200000,-800000,- -,1400000,-600000,-1000000,-500000,-1600000,7653422,-4432101,-2352197,-3234445,-422385,-1055000,16108000,28544000,4334000,3131000,12374000,3824000,19656000,30348000,11924000,314737000,- -,- -,- -,- -,- -,17000
95,Cash Used/Provided by Financing Activities,- -,7200000,- -,-100000,800000,700000,1400000,-600000,-1000000,-400000,-1600000,7095516,-4403480,-2344197,-2486015,1297543,113000,-7708000,36587000,-98046000,-82079000,9238000,-154192000,-699075000,-17886000,19298000,1202348000,-2238391000,-311135000,-1316111000,-628506000,-526068000,34821000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1071000,1904000,721000,-2119000,2733000,4496000,-5488000,-5306000,-4606000,5985000,-9835000,1912000,16848000,-52491000
97,Net Change In Cash,- -,7200000,- -,-100000,800000,700000,1400000,-600000,-1000000,-400000,-1800000,-1878490,116992,290263,560865,19877334,57978000,-26525000,-22689000,244361000,71548000,26493000,4489000,-136817000,-11165000,158974000,1805094000,-1797835000,151040000,108891000,160444000,382456000,146049000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2000000,130665,247657,537920,1098785,20976119,61654000,35129000,12440000,256801000,328349000,354842000,359331000,222514000,211349000,370323000,2175417000,377582000,528622000,637513000,797957000,1180413000,1326462000
99,Cash at the Beginning of Period,- -,- -,7100000,7000000,900000,2300000,1100000,100000,200000,400000,3800000,2009155,130665,247657,537920,1098785,3676000,61654000,35129000,12440000,256801000,328349000,354842000,359331000,222514000,211349000,370323000,2175417000,377582000,528622000,637513000,797957000,1180413000
100,Free Cash Flow,- -,- -,-100000,-200000,600000,-1500000,-2400000,700000,1100000,4000000,1000000,-2314602,4672801,2309796,3856924,18790449,53129000,71513000,128423000,188424000,127423000,206647000,303143000,238440000,290096000,554204000,165493000,596018000,894603000,1086956000,1003364000,1296891000,1154728000
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/865752/000110465907045794/0001104659-07-045794-index.htm,https://www.sec.gov/Archives/edgar/data/865752/000086575208000013/0000865752-08-000013-index.htm,https://www.sec.gov/Archives/edgar/data/865752/000110465909013530/0001104659-09-013530-index.htm,https://www.sec.gov/Archives/edgar/data/865752/000110465910010880/0001104659-10-010880-index.htm,https://www.sec.gov/Archives/edgar/data/865752/000110465911011438/0001104659-11-011438-index.htm,https://www.sec.gov/Archives/edgar/data/865752/000110465912014573/0001104659-12-014573-index.htm,https://www.sec.gov/Archives/edgar/data/865752/000110465913016713/0001104659-13-016713-index.htm,https://www.sec.gov/Archives/edgar/data/865752/000110465914015320/0001104659-14-015320-index.htm,https://www.sec.gov/Archives/edgar/data/865752/000110465915015731/0001104659-15-015731-index.htm,https://www.sec.gov/Archives/edgar/data/865752/000110465916100960/0001104659-16-100960-index.htm,https://www.sec.gov/Archives/edgar/data/865752/000110465917013048/0001104659-17-013048-index.htm,https://www.sec.gov/Archives/edgar/data/865752/000110465918014057/0001104659-18-014057-index.htm,https://www.sec.gov/Archives/edgar/data/865752/000110465919011581/0001104659-19-011581-index.htm,https://www.sec.gov/Archives/edgar/data/865752/000110465920027209/0001104659-20-027209-index.htm,https://www.sec.gov/Archives/edgar/data/865752/000110465921029943/0001104659-21-029943-index.htm,https://www.sec.gov/Archives/edgar/data/865752/000110465922028182/0001104659-22-028182-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
