,https://roic.ai/company/MSA,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
79,Inventory,- -,- -,- -,- -,- -,-1100000,-11500000,11900000,6300000,4500000,-6700000,6600000,-4000000,-7800000,5300000,11927000,-6146000,5518000,-3162000,-27422000,-1348000,-5374000,-8285000,-19482000,47105000,-10744000,-1230000,2677000,-6296000,-600000,-9403000,14394000,-30363000,-11122000,-23246000,-8601000,-17827000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17776000,10732000,56988000,20286000,-46479000,-19424000,17985000,5801000,13541000,13299000
81,Other Working Capital,- -,- -,- -,- -,- -,187700000,185400000,177300000,164200000,166500000,156600000,136600000,116400000,119200000,123100000,114175000,135186000,183244000,208527000,270593000,246367000,289424000,287861000,258088000,265575000,295648000,287079000,274748000,309402000,263812000,253122000,251396000,333018000,374563000,415854000,443733000,-11932000
82,Other Non-Cash Items,- -,- -,- -,- -,- -,11100000,-10900000,25500000,9900000,4500000,7200000,33500000,300000,-29700000,-6300000,9491000,-57795000,-60094000,-78140000,-111873000,1808000,-64347000,-54704000,-23612000,42771000,-76686000,-25423000,30245000,-49987000,30529000,-42447000,-14193000,104372000,52166000,-65821000,15303000,159516000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,55700000,21400000,36900000,24600000,40700000,35600000,56500000,30900000,21400000,39400000,52268000,30836000,49331000,40540000,53842000,86004000,62843000,41345000,59785000,120846000,31606000,85258000,150476000,110781000,107031000,55254000,134894000,230336000,263887000,164962000,206555000,199145000
84,CAPEX,- -,- -,- -,- -,- -,-25300000,-18400000,-22800000,-20400000,-22600000,-19100000,-21600000,-35300000,-34300000,-26200000,-19360000,-22347000,-19946000,-19628000,-27330000,-21664000,-22734000,-32884000,-44450000,-25737000,-25024000,-30390000,-32209000,-36517000,-33583000,-36241000,-25523000,-23725000,-33960000,-36604000,-48905000,-49123000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-30291000,-6765000,-14668000,-279000,-6391000,-16955000,-31301000,-7492000,-2084000,-123000,-262250000,- -,-5269000,- -,- -,-180271000,-18449000,-216308000,- -,-33196000,- -,-392437000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-73022000,-169245000,-199318000,-133913000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18000000,174670000,175000000,160000000
88,Other Investing Activites,- -,- -,- -,- -,- -,200000,-1900000,1700000,-800000,11100000,-400000,-8400000,800000,23200000,-3400000,3428000,6685000,649000,86563000,883000,1320000,3887000,18412000,2161000,5084000,-19325000,-11703000,-12016000,-35157000,-30698000,-28219000,-7309000,-22893000,-29373000,-36386000,-48451000,-43837000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,-25100000,-20300000,-21100000,-21200000,-11500000,-19500000,-30000000,-34500000,-11100000,-29600000,-46223000,-22427000,-33965000,66656000,-32838000,-37299000,-50148000,-21964000,-44373000,-20776000,-281575000,-11703000,-17285000,-35157000,-30698000,-208490000,-25758000,-239201000,-84395000,-64157000,-72769000,-415473000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10000000,-57085000,-40000000,-199000000,-246500000,-306766000,-421667000,-291525000,-443572000,-559767000,-570167000,-880500000,-1031000000,-1346557000
91,Common Stock Issued,- -,- -,- -,- -,- -,1200000,- -,100000,- -,- -,- -,- -,- -,- -,- -,27088000,7477000,2508000,3036000,4911000,4707000,1900000,2134000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-7200000,-5800000,-8400000,-4100000,-8500000,-28000000,-27500000,-9900000,-7000000,-5500000,-54948000,-3227000,-846000,-2309000,-6122000,-58012000,-29893000,-25547000,-983000,-206000,-7572000,-624000,-3508000,-11785000,-5654000,-9885000,-1881000,-17513000,-4824000,-12648000,-29144000,-6171000
93,Dividends Paid,- -,- -,- -,- -,- -,-5400000,-5700000,-5600000,-5600000,-5600000,-6200000,-5400000,-5700000,-5900000,-5900000,-5881000,-6480000,-7961000,-63270000,-13758000,-19053000,-24774000,-30139000,-33654000,-34524000,-35928000,-37741000,-50990000,-43994000,-45586000,-47380000,-49074000,-52537000,-57248000,-63523000,-66578000,-68586000
94,Other Financing Activites,- -,- -,- -,- -,- -,1100000,800000,2500000,-100000,-8900000,-5900000,900000,16700000,8400000,-4000000,37804000,-4097000,-834000,-13803000,-4458000,-5593000,54158000,43763000,8009000,-131000,330102000,166085000,190477000,304305000,414789000,513739000,396686000,652882000,468970000,872047000,1000193000,1625239000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,-10300000,-10700000,-11400000,-9800000,-23000000,-40100000,-32000000,1100000,-4500000,-15400000,4063000,-6327000,-7133000,-76346000,-19427000,-77951000,1391000,-9789000,-36628000,-91946000,246602000,-71280000,-110521000,-58240000,-58118000,164949000,-97841000,23065000,-163269000,-84624000,-126529000,203925000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,3700000,-4400000,-3300000,-2600000,1800000,1500000,-1300000,-2700000,-1600000,-1400000,-675000,-1631000,1543000,5917000,1724000,-2502000,2413000,4093000,-2871000,2965000,1144000,-2097000,110000,-3837000,-8482000,-11786000,-3461000,6285000,-13508000,-4242000,1234000,-7193000
97,Net Change In Cash,- -,- -,- -,- -,- -,-10300000,-10700000,-11400000,-9800000,-23000000,-40100000,-32000000,1100000,-4500000,-6900000,9433000,451000,9776000,36767000,3301000,-31748000,16499000,13685000,-24087000,11089000,-2223000,178000,22780000,13547000,9733000,-73000,7834000,20485000,2715000,11939000,8491000,-19596000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17100000,26541000,26992000,36477000,73244000,76545000,44797000,61296000,74981000,50894000,61983000,59760000,59938000,82718000,96265000,105998000,105925000,113759000,134244000,140604000,152543000,161034000,141438000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,-12500000,68600000,54400000,55400000,46400000,54400000,32000000,25100000,19900000,24000000,17108000,26541000,26701000,36477000,73244000,76545000,44797000,61296000,74981000,50894000,61983000,59760000,59938000,82718000,96265000,105998000,105925000,113759000,137889000,140604000,152543000,161034000
100,Free Cash Flow,- -,- -,- -,- -,- -,30400000,3000000,14100000,4200000,18100000,16500000,34900000,-4400000,-12900000,13200000,32908000,8489000,29385000,20912000,26512000,64340000,40109000,8461000,15335000,95109000,6582000,54868000,118267000,74264000,73448000,19013000,109371000,206611000,229927000,128358000,157650000,150022000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/66570/000095013295000098/0000950132-95-000098-index.html,https://www.sec.gov/Archives/edgar/data/66570/000095013296000170/0000950132-96-000170-index.html,https://www.sec.gov/Archives/edgar/data/66570/000095013297000205/0000950132-97-000205-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/66570/000095013201500082/0000950132-01-500082-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/66570/000119312504041958/d10k.htm,https://www.sec.gov/Archives/edgar/data/66570/000119312505049299/d10k.htm,https://www.sec.gov/Archives/edgar/data/66570/000119312506046204/d10k.htm,https://www.sec.gov/Archives/edgar/data/66570/000119312507042686/d10k.htm,https://www.sec.gov/Archives/edgar/data/66570/000119312508043436/d10k.htm,https://www.sec.gov/Archives/edgar/data/66570/000119312509039023/0001193125-09-039023-index.html,https://www.sec.gov/Archives/edgar/data/66570/000119312510042969/0001193125-10-042969-index.html,https://www.sec.gov/Archives/edgar/data/66570/000119312511050159/d10k.htm,https://www.sec.gov/Archives/edgar/data/66570/000119312512072913/0001193125-12-072913-index.html,https://www.sec.gov/Archives/edgar/data/66570/000119312513067419/0001193125-13-067419-index.html,https://www.sec.gov/Archives/edgar/data/66570/000006657014000010/a10-kxmsa.htm,https://www.sec.gov/Archives/edgar/data/66570/000006657015000011/a2014-10xkxmsa.htm,https://www.sec.gov/Archives/edgar/data/66570/000006657016000068/0000066570-16-000068-index.html,https://www.sec.gov/Archives/edgar/data/66570/000006657017000011/0000066570-17-000011-index.html,https://www.sec.gov/Archives/edgar/data/66570/000006657018000009/0000066570-18-000009-index.html,https://www.sec.gov/Archives/edgar/data/66570/000006657019000010/0000066570-19-000010-index.html,https://www.sec.gov/Archives/edgar/data/66570/000006657020000005/0000066570-20-000005-index.html,https://www.sec.gov/Archives/edgar/data/66570/000006657021000016/0000066570-21-000016-index.htm,https://www.sec.gov/Archives/edgar/data/66570/000006657022000007/0000066570-22-000007-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
