,https://roic.ai/company/SLGD,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
89,Cash Used for Investing Activites,- -,- -,- -,-300000,-200000,-700000,-500000,-4200000,-10536700,-890000,1281000,-189400,-294200,-94700,-2190000,482300,1243600,136700,-22000,10500,-63400,36000,-31000,-38400,-49400,-4100,8714600,-57000,-190000,-9283600,-484500,-222000,-5860000,-10097000,4381000
90,Debt Repayment,- -,- -,- -,-1400000,-5100000,-2300000,-2200000,-3200000,-190400,-189700,-2174900,-40200,-110500,- -,- -,- -,- -,- -,- -,- -,- -,-231600,-291000,-319600,-393900,-340900,-3363300,- -,- -,-3344100,-1550000,-1200000,-4000000,-14590000,-60000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,182700,- -,13700,22700,- -,- -,- -,- -,- -,- -,1400,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,57000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-40600,-48700,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,-1000000,-989000,- -,- -,-1009200,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,300000,5300000,1200000,1200000,6000000,5399700,1173700,-873400,-997200,-1004200,-916900,-644700,-788900,-830100,-85300,-1135600,2538000,-190600,260200,- -,-124500,1800,5100,108600,41900,41200,6050900,34800,447000,4043000,20016000,-2791000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,-1100000,200000,-1100000,-1000000,1800000,4403000,984000,-3034600,-2023900,-1114700,-916900,-644700,-788900,-830100,-85300,-1174800,2489300,-190600,28600,-291000,-444100,-392100,-335800,-3254700,41900,41200,2706800,-1515200,-753000,43000,5426000,-2794000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,-1100000,200000,-1100000,-1000000,1800000,1006600,29000,3452700,-2780500,-412800,476400,-4264200,1565600,712200,-144000,-1093900,543400,-1320800,-573400,-255800,-173400,95200,-322000,2872300,2770400,1268500,-5067800,2016500,2118000,-5138000,-1089000,1265000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,4761500,4749200,8201900,5421400,5008600,5485000,1220800,2786400,3498600,3354600,2260700,2804100,1483300,909900,654100,480700,575900,253900,3126200,5896600,7165100,2097300,4113800,6232000,1094000,5000,1270000
99,Cash at the Beginning of Period,- -,- -,- -,300000,700000,2300000,900000,2800000,3754900,4720200,4749200,8201900,5421400,5008600,5485000,1220800,2786400,3498600,3354600,2260700,2804100,1483300,909900,654100,480700,575900,253900,3126200,5896600,7165100,2097300,4114000,6232000,1094000,5000
100,Free Cash Flow,- -,- -,- -,1300000,1400000,-300000,2900000,-1000000,-3396400,-1122100,4996700,-756600,701900,1393300,-1536200,1858300,277400,-308700,77200,-2039700,-1130200,-652000,60000,307600,487300,-12800,-2795600,2728500,1227300,1225400,3531700,2871000,292000,3081000,-322000
101,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/88000/000091205702011836/0000912057-02-011836-index.htm,https://www.sec.gov/Archives/edgar/data/88000/000104746903013385/0001047469-03-013385-index.htm,https://www.sec.gov/Archives/edgar/data/88000/000104746904007490/0001047469-04-007490-index.htm,https://www.sec.gov/Archives/edgar/data/88000/000104746905007163/0001047469-05-007163-index.htm,https://www.sec.gov/Archives/edgar/data/88000/000095013406005168/0000950134-06-005168-index.htm,https://www.sec.gov/Archives/edgar/data/88000/000103570407000210/0001035704-07-000210-index.htm,https://www.sec.gov/Archives/edgar/data/88000/000103570408000120/0001035704-08-000120-index.htm,https://www.sec.gov/Archives/edgar/data/88000/000119312509055630/0001193125-09-055630-index.htm,https://www.sec.gov/Archives/edgar/data/88000/000119312510072926/0001193125-10-072926-index.htm,https://www.sec.gov/Archives/edgar/data/88000/000119312511081248/0001193125-11-081248-index.htm,https://www.sec.gov/Archives/edgar/data/88000/000119312512142487/0001193125-12-142487-index.htm,https://www.sec.gov/Archives/edgar/data/88000/000119312513133774/0001193125-13-133774-index.htm,https://www.sec.gov/Archives/edgar/data/88000/000156459014001031/0001564590-14-001031-index.htm,https://www.sec.gov/Archives/edgar/data/88000/000156459015002120/0001564590-15-002120-index.htm,https://www.sec.gov/Archives/edgar/data/88000/000156459016015579/0001564590-16-015579-index.htm,https://www.sec.gov/Archives/edgar/data/88000/000156459017005736/0001564590-17-005736-index.htm,https://www.sec.gov/Archives/edgar/data/88000/000156459018007324/0001564590-18-007324-index.htm,https://www.sec.gov/Archives/edgar/data/88000/000156459019008533/0001564590-19-008533-index.htm,https://www.sec.gov/Archives/edgar/data/88000/000156459020011280/0001564590-20-011280-index.htm,https://www.sec.gov/Archives/edgar/data/88000/000156459021016166/0001564590-21-016166-index.htm,https://www.sec.gov/Archives/edgar/data/88000/000156459022012994/0001564590-22-012994-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
