,https://roic.ai/company/ZION,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-42498000,-7521000,34288000,56807000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31020000,-3576000,-10765000,-26508000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,-2534000000,-400000,11200000,11200000,-14300000,-21900000,-24100000,-4500000,17600000,-39900000,1100000,-15300000,-23105000,-13804000,-42170000,-45918000,-62631000,-46235000,65431000,61763000,-140907000,-251957000,-25124000,8394000,11983000,-6286000,-36045000,22453000,-66635000,-33000000,42000000,-76000000,-83000000,-107000000
82,Other Non-Cash Items,- -,- -,- -,- -,- -,2700000,27700000,41900000,1500000,-73300000,72500000,-111600000,122500000,5800000,-92000000,-286100000,-272800000,65533000,433636000,-52701000,99638000,250445000,236392000,38960000,157464000,1300094000,2597606000,1005333000,156678000,111957000,178425000,-92972000,160957000,86451000,-26000000,-66000000,21000000,385000000,-388000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,40700000,53600000,79400000,46300000,-22000000,122500000,-52600000,210200000,151800000,22700000,-62900000,1400000,349187000,843377000,276065000,440187000,662372000,754194000,1046987000,732900000,1173949000,1057898000,1460994000,1097067000,765627000,876566000,454107000,535169000,596067000,928000000,1176000000,697000000,719000000,629000000
84,CAPEX,- -,- -,- -,- -,- -,-4200000,-5000000,-6400000,-5300000,-9700000,-13700000,-12400000,-17500000,-20600000,-38600000,-63700000,-93800000,-82288000,-91924000,-97821000,-83272000,-72289000,-67995000,-122432000,-103223000,-114164000,-103347000,-79071000,-77669000,-68894000,-88580000,-175799000,-157361000,-195663000,-169000000,-129000000,-117000000,-171000000,-206000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11886000,209509000,9690000,- -,- -,-189718000,-13145000,45432000,688940000,452192000,21149000,- -,-19901000,3786000,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-18527500000,-304800000,-305700000,-353500000,-464900000,-646800000,-1046600000,-883100000,-2128000000,-4172200000,-2012000000,-2106390000,-9097053000,-12110941000,-8178273000,-4250698000,-3923910000,-2937867000,-5507463000,-4341227000,-1947307000,-5778894000,-3909053000,-2650102000,-1481032000,-2062358000,-5574402000,-9774287000,-5040000000,-4076000000,-2073000000,-12192000000,-19486000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,18919000000,186000000,269300000,304600000,1221300000,689700000,772100000,675200000,1365400000,5072900000,1660500000,2261152000,10054042000,11942828000,7010622000,4063228000,4161979000,3435913000,4326233000,3983438000,3402830000,1268473000,2328181000,1380339000,1531984000,1887731000,3640964000,8629311000,3409000000,3436000000,4520000000,4804000000,5268000000
88,Other Investing Activites,- -,- -,- -,- -,- -,62700000,-383900000,-618300000,-117100000,4000000,-668700000,32000000,-389700000,-574700000,-602700000,-1332100000,-1502900000,-1545749000,-1552522000,-1864004000,-974709000,-2988681000,-2479899000,-4602495000,-3817272000,-3289251000,1838499000,2642646000,-833903000,-550416000,-1359318000,-990131000,-559919000,-2095615000,-2119000000,-1937000000,-1955000000,-4645000000,2845000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,58500000,7600000,-737100000,-153500000,-44900000,87700000,74900000,-664200000,-782600000,-1365300000,-431400000,-1854400000,-1379101000,-386024000,-2022427000,-2142360000,-3176151000,-2431548000,-4240026000,-5056293000,-3072264000,3642867000,-1925697000,-2492444000,-1908974000,-1393160000,-1340557000,-2650718000,-3436254000,-3919000000,-2706000000,375000000,-12204000000,-11579000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,-2700000,-2900000,-10300000,-32600000,-147800000,-67600000,-18500000,-21700000,-62500000,-188500000,-310100000,-602767000,-243100000,-71626000,-376394000,-243294000,-2268000,-632355000,-284403000,-159970000,-3652404000,-93099000,-217204000,-372891000,-832122000,-1223275000,-287752000,-280120000,-3253000000,-2162000000,-3600000000,-910000000,-955000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,79511000,59473000,354302000,464110000,977145000,- -,143240000,794143000,526438000,22392000,25072000,25000000,20000000,14000000,8000000,21000000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-26483000,-322025000,-2881000,-48540000,- -,- -,-1542500000,-799468000,- -,-175669000,-223384000,-476000000,-684000000,-1102000000,-76000000,-926000000
93,Dividends Paid,- -,- -,- -,- -,- -,-8500000,-8500000,-8600000,-8700000,-9200000,-12200000,-17300000,-20600000,-25000000,-28400000,-41600000,-56900000,-76762000,-73899000,-73241000,-91887000,-114600000,-130300000,-160821000,-195650000,-195679000,-96271000,-109316000,-156135000,-133581000,-119660000,-96130000,-108055000,-107851000,-129000000,-236000000,-260000000,-259000000,-261000000
94,Other Financing Activites,- -,- -,- -,- -,- -,-81500000,-2200000,634800000,73600000,142900000,-16300000,40600000,594300000,663700000,1606400000,878600000,2195600000,1858395000,-208997000,1999916000,2202509000,2603320000,2665514000,4165407000,4982343000,1523364000,-1473447000,-756090000,2068940000,3666636000,806877000,1350239000,2621010000,3365478000,6635000000,4658000000,3967000000,12560000000,13123000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,-90000000,-13400000,623300000,54600000,101100000,-176300000,-44300000,555200000,617000000,1515500000,648500000,1828600000,1178866000,-525996000,1855049000,1734228000,2245426000,2532946000,3425259000,4239738000,1519136000,-4806552000,18640000,1695601000,1760904000,-150230000,557272000,2071926000,2779195000,2802000000,1596000000,-981000000,11323000000,11002000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,9100000,-13400000,623300000,54600000,101100000,-176300000,-44300000,555200000,617000000,1515500000,648500000,-24400000,148952000,-68643000,108687000,32055000,-268353000,855592000,232220000,-83655000,-379179000,-105787000,-446063000,300224000,617557000,-666824000,-329178000,-43623000,-60992000,-189000000,66000000,91000000,-162000000,52000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,9100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,898300000,1047252000,978609000,1087296000,1119351000,850998000,1706590000,1938810000,1855155000,1475976000,1370189000,924126000,1224350000,1841907000,1175083000,845905000,798319000,737327000,548000000,614000000,705000000,543000000,595000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,275000000,322800000,288300000,235700000,270000000,339000000,316900000,418100000,454000000,710200000,922700000,898300000,1047252000,978609000,1087296000,1119351000,850998000,1706590000,1938810000,1855155000,1475976000,1370189000,924126000,1224350000,1841907000,1175083000,841942000,798319000,737000000,548000000,614000000,705000000,543000000
100,Free Cash Flow,- -,- -,- -,- -,- -,36500000,48600000,73000000,41000000,-31700000,108800000,-65000000,192700000,131200000,-15900000,-126600000,-92400000,266899000,751453000,178244000,356915000,590083000,686199000,924555000,629677000,1059785000,954551000,1381923000,1019398000,696733000,787986000,278308000,377808000,400404000,759000000,1047000000,580000000,548000000,423000000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/109380/000102140803004570/d10k.htm,https://www.sec.gov/Archives/edgar/data/109380/000119312504042018/d10k.htm,https://www.sec.gov/Archives/edgar/data/109380/000119312505041747/d10k.htm,https://www.sec.gov/Archives/edgar/data/109380/000119312506054744/d10k.htm,https://www.sec.gov/Archives/edgar/data/109380/000119312507044275/d10k.htm,https://www.sec.gov/Archives/edgar/data/109380/000119312508041960/d10k.htm,- -,https://www.sec.gov/Archives/edgar/data/109380/000119312510044760/d10k.htm,https://www.sec.gov/Archives/edgar/data/109380/000119312511051989/d10k.htm,https://www.sec.gov/Archives/edgar/data/109380/000119312512089333/d260873d10k.htm,https://www.sec.gov/Archives/edgar/data/109380/000010938013000081/zion-20121231x10k.htm,https://www.sec.gov/Archives/edgar/data/109380/000010938014000048/zion-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/109380/000010938015000046/zion-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/109380/000010938016000345/zion-20151231x10k.htm,https://www.sec.gov/Archives/edgar/data/109380/000010938017000050/zion-20161231x10k.htm,https://www.sec.gov/Archives/edgar/data/109380/000010938018000102/zion-20171231x10k.htm,https://www.sec.gov/Archives/edgar/data/109380/000010938019000040/zion-20181231x10k123118.htm,https://www.sec.gov/Archives/edgar/data/109380/000010938020000092/0000109380-20-000092-index.htm,https://www.sec.gov/Archives/edgar/data/109380/000010938021000082/0000109380-21-000082-index.htm,https://www.sec.gov/Archives/edgar/data/109380/000010938022000072/0000109380-22-000072-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
