,https://roic.ai/company/RGLD,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
84,CAPEX,- -,- -,- -,- -,-1200000,-200000,- -,- -,- -,-400000,-1300000,-2300000,-2900000,-700000,-8340629,-2195454,-34945,-24067,-271020,-126954,-43970105,-121093093,-19221000,-186110000,-232996000,-280009000,-276683000,-314262000,-80019000,-60429000,-1346109000,-203721000,-11812000,-1055000,-155985000,-168147000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2296179,- -,-7514947,- -,- -,-157000,-1021000,-270233000,-117000,- -,- -,- -,10000000,- -,- -,- -,- -,- -,61300000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-4900000,- -,- -,- -,- -,- -,-1320488,-250000,- -,- -,- -,-1000000,-204715,-81089,- -,- -,- -,-28574000,- -,- -,- -,- -,- -,- -,-17869000,-3573000,-461000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,4000000,- -,19,- -,38642,539960,- -,- -,- -,- -,- -,5097000,- -,- -,- -,- -,11905000,- -,- -,- -,- -,8651000
88,Other Investing Activites,- -,- -,- -,- -,500000,1000000,600000,100000,-100000,- -,- -,- -,- -,-100000,-417270,126498,121824,277283,- -,- -,- -,-31217125,- -,33037000,22691000,-2660000,5327000,4820000,-4782000,-773000,324691000,3605000,19091000,-967000,3587000,-18541000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-700000,800000,600000,100000,-5000000,-400000,-1300000,-2300000,-2900000,200000,-6078387,-2318956,86898,-2042963,-232378,-8101941,-44174820,-152391307,-19378000,-154094000,-480538000,-306263000,-271356000,-309442000,-84801000,-51202000,-1009513000,-200116000,-10590000,-5595000,-152859000,-116737000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-797000,-56856000,-42868000,-326100000,- -,- -,- -,-75000000,-95000000,-250000000,-370000000,-115000000,-305000000
91,Common Stock Issued,- -,- -,- -,- -,- -,200000,- -,2000000,6900000,4100000,2900000,200000,6500000,100000,1827125,23850,38409,15117990,738177,973012,58630310,122525982,111796000,235707000,276839000,- -,271536000,473771000,1120000,775000,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-700000,-400000,- -,-53242,- -,- -,- -,- -,- -,- -,-5516000,- -,- -,- -,- -,- -,- -,- -,-353000,-2426000,-4042000,-1595000,-4180000,-1465000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-885004,-894490,-2377713,-2591489,-3651893,-4807505,-5721203,-11055000,-12166000,-18275000,-22130000,-29504000,-43934000,-53380000,-56054000,-58720000,-61396000,-64118000,-67477000,-71471000,-76099000
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,-100000,- -,- -,- -,- -,- -,- -,1438399,15631711,-5781000,3834000,260739000,13613000,454561000,-4446000,-14640000,-2305000,347511000,62274000,2829000,222226000,202411000,-1062000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,200000,- -,2000000,6900000,4100000,2900000,200000,5900000,-400000,1827125,-914396,-856081,12740277,-1853312,-2678881,55261204,132436490,89444000,226578000,462447000,-51385000,370493000,425391000,-66900000,-57584000,213438000,-96548000,-315331000,-216846000,11760000,-383626000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,200000,- -,2000000,6900000,4100000,2900000,200000,5900000,-3800000,-23316,-68882,6525862,22381403,11315358,4039470,29609012,4392478,109193000,102531000,30280000,-210691000,261301000,288579000,-4499000,83313000,-626216000,-30786000,2903000,30725000,199653000,-93212000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4700000,4647160,4578278,11104140,33485543,44800901,48840371,78449383,82841861,192035000,294566000,324846000,114155000,375456000,664035000,659536000,742849000,116633000,85847000,88750000,119475000,319128000,225916000
99,Cash at the Beginning of Period,- -,- -,- -,- -,300000,400000,200000,200000,1400000,1900000,3400000,3300000,3300000,8500000,4670476,4647160,4578278,11104140,33485543,44800901,48840371,78449383,82842000,192035000,294566000,324846000,114155000,375456000,664035000,659536000,742849000,116633000,85847000,88750000,119475000,319128000
100,Free Cash Flow,- -,- -,- -,- -,-400000,-1400000,-600000,-800000,-1400000,-2700000,-3000000,-200000,-700000,-4400000,-4112683,969016,7260100,11660022,13130028,14693338,-25447477,-96745798,19906000,-156063000,-184625000,-133052000,-114519000,-141632000,67183000,131670000,-1176250000,62157000,317012000,252111000,184767000,239004000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/85535/000008553595000009/0000085535-95-000009-index.html,https://www.sec.gov/Archives/edgar/data/85535/000008553596000007/0000085535-96-000007-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/85535/000008553500000010/0000085535-00-000010-index.html,- -,https://www.sec.gov/Archives/edgar/data/85535/000008553502000009/royalgold10k_fiscal2002.htm,https://www.sec.gov/Archives/edgar/data/85535/000008553503000010/royalgold_form10k.htm,https://www.sec.gov/Archives/edgar/data/85535/000095013404013489/d18222e10vk.htm,https://www.sec.gov/Archives/edgar/data/85535/000103570405000498/d28229e10vk.htm,https://www.sec.gov/Archives/edgar/data/85535/000103570406000641/d39384e10vk.htm,https://www.sec.gov/Archives/edgar/data/85535/000103570407000632/0001035704-07-000632-index.html,https://www.sec.gov/Archives/edgar/data/85535/000095013408015495/0000950134-08-015495-index.html,https://www.sec.gov/Archives/edgar/data/85535/000095012309037219/0000950123-09-037219-index.html,https://www.sec.gov/Archives/edgar/data/85535/000104746910007729/0001047469-10-007729-index.html,https://www.sec.gov/Archives/edgar/data/85535/000104746911007500/0001047469-11-007500-index.html,https://www.sec.gov/Archives/edgar/data/85535/000104746912008035/0001047469-12-008035-index.html,https://www.sec.gov/Archives/edgar/data/85535/000104746913008238/0001047469-13-008238-index.html,https://www.sec.gov/Archives/edgar/data/85535/000104746914006723/0001047469-14-006723-index.html,https://www.sec.gov/Archives/edgar/data/85535/000104746915006623/0001047469-15-006623-index.html,https://www.sec.gov/Archives/edgar/data/85535/000104746916014916/a2229433z10-k.htm,https://www.sec.gov/Archives/edgar/data/85535/000155837017006462/0001558370-17-006462-index.html,https://www.sec.gov/Archives/edgar/data/85535/000155837018006805/0001558370-18-006805-index.html,https://www.sec.gov/Archives/edgar/data/85535/000155837019007532/rgld-20190630x10k.htm,https://www.sec.gov/Archives/edgar/data/85535/000155837020009452/0001558370-20-009452-index.htm,https://www.sec.gov/Archives/edgar/data/85535/000155837021011343/0001558370-21-011343-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
