,https://roic.ai/company/CRWS,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
83,Cash Provided by Operating Activities,- -,- -,- -,- -,700000,1600000,12300000,-400000,9500000,16800000,7342000,11277000,-3402000,-3729000,3237000,25046000,5387000,6029000,3205000,6173000,7764000,11421000,2678000,8393000,10491000,2009000,8268000,9123000,3639000,4766000,11016000,10389000,2453000,8974000,8532000,8738000
84,CAPEX,- -,- -,- -,- -,-4800000,-6100000,-8700000,-23200000,-11900000,-18898000,-23650000,-5702000,-8300000,-21052000,-7263000,-1356000,-309000,-397000,-422000,-225000,-450000,-381000,-188000,-372000,-165000,-2277000,-566000,-1240000,-163000,-256000,-355000,-191000,-221000,-751000,-705000,-733000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-20471000,-459000,-19611000,-10072000,-700000,- -,- -,- -,- -,- -,- -,-600000,-356000,- -,-4434000,- -,- -,- -,- -,- -,- -,- -,-15245000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,505000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,200000,200000,-700000,300000,1000000,-17433000,-23206000,-5330000,-8100000,-18693000,-5807000,24233000,18292000,38000,288000,10000,1000,162000,19000,-286000,-167000,-203000,-561000,-1050000,-161000,-256000,-324000,-191000,-221000,-751000,-678000,-733000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-4600000,-5900000,-9400000,-22900000,-10900000,-17433000,-43677000,-5789000,-27711000,-28765000,-6507000,24233000,17983000,-359000,-134000,-215000,-449000,-819000,-525000,-286000,-5101000,-1770000,-561000,-1050000,-161000,-256000,-324000,-191000,-15466000,-751000,-678000,-733000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5000000,-25185000,-6450000,-775000,-100000,-7243000,-33348000,- -,- -,- -,- -,- -,- -,- -,-2503000,-20307000,-2000000,-6336000,-28624000,-10322000,-7839000,- -,- -,-16758000,-63134000,-50955000,-22290000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,1581000,577000,- -,3795000,2281000,- -,- -,127000,- -,61000,- -,- -,80000,40000,20000,165000,356000,904000,1807000,307000,116000,846000,786000,- -,- -,63000,746000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7535000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2071000,-985000,-524000,-778000,-1033000,-2299000,-457000,-243000,-2838000,-947000,-56000,-95000,-82000,-2794000
93,Dividends Paid,- -,- -,- -,- -,-700000,-800000,-900000,-1000000,-1000000,-1016000,-972000,-953000,-973000,-1033000,-774000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-752000,-1252000,-7650000,-3150000,-3205000,-3211000,-9719000,-3221000,-3228000,-5788000,-5012000
94,Other Financing Activites,- -,- -,- -,- -,4500000,5400000,16700000,5400000,2300000,5210000,69400000,2000000,29273000,31281000,11996000,-16288000,-23697000,-5864000,-3319000,-5010000,-4480000,-14439000,7775000,2680000,102000,3065000,19000,28819000,10364000,7908000,278000,- -,25371000,58162000,49047000,21676000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,3800000,4600000,15800000,4400000,1300000,775000,36285000,-5403000,31320000,32429000,3979000,-49636000,-23570000,-5864000,-3258000,-5010000,-4480000,-14359000,5744000,-788000,-20564000,-109000,-7698000,-7947000,-3258000,-3263000,-4925000,-9880000,5336000,-8295000,-7715000,-7674000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,3800000,4600000,15800000,4400000,1300000,142000,-50000,85000,207000,-65000,709000,-357000,-200000,-194000,-187000,948000,2835000,-3757000,7897000,7319000,-15174000,130000,9000,126000,220000,1247000,5767000,318000,-7677000,-72000,139000,331000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,567000,517000,602000,809000,744000,1453000,1096000,388000,194000,7000,955000,3790000,33000,7930000,15249000,75000,205000,214000,340000,560000,1807000,7574000,7892000,215000,143000,282000,613000
99,Cash at the Beginning of Period,- -,- -,- -,- -,300000,200000,700000,19400000,400000,425000,567000,517000,602000,809000,744000,1453000,588000,388000,194000,7000,955000,3790000,33000,7930000,15249000,75000,205000,214000,340000,560000,1807000,7574000,7892000,215000,143000,282000
100,Free Cash Flow,- -,- -,- -,- -,-4100000,-4500000,3600000,-23600000,-2400000,-2098000,-16308000,5575000,-11702000,-24781000,-4026000,23690000,5078000,5632000,2783000,5948000,7314000,11040000,2490000,8021000,10326000,-268000,7702000,7883000,3476000,4510000,10661000,10198000,2232000,8223000,7827000,8005000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/25895/000095014495001835/0000950144-95-001835-index.html,https://www.sec.gov/Archives/edgar/data/25895/000095014496003747/0000950144-96-003747-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/25895/000095013402007435/0000950134-02-007435-index.html,- -,https://www.sec.gov/Archives/edgar/data/25895/000095013404008890/0000950134-04-008890-index.htm,https://www.sec.gov/Archives/edgar/data/25895/000095013405012231/0000950134-05-012231-index.htm,https://www.sec.gov/Archives/edgar/data/25895/000095013406011589/0000950134-06-011589-index.htm,https://www.sec.gov/Archives/edgar/data/25895/000095013407013692/0000950134-07-013692-index.htm,https://www.sec.gov/Archives/edgar/data/25895/000095013408011048/0000950134-08-011048-index.htm,https://www.sec.gov/Archives/edgar/data/25895/000095012309018242/0000950123-09-018242-index.htm,https://www.sec.gov/Archives/edgar/data/25895/000095012310061373/0000950123-10-061373-index.htm,https://www.sec.gov/Archives/edgar/data/25895/000143774911003982/0001437749-11-003982-index.htm,https://www.sec.gov/Archives/edgar/data/25895/000143774912006233/0001437749-12-006233-index.htm,https://www.sec.gov/Archives/edgar/data/25895/000143774913007752/0001437749-13-007752-index.htm,https://www.sec.gov/Archives/edgar/data/25895/000143774914011423/0001437749-14-011423-index.htm,https://www.sec.gov/Archives/edgar/data/25895/000143774915012189/0001437749-15-012189-index.htm,https://www.sec.gov/Archives/edgar/data/25895/000143774916033565/0001437749-16-033565-index.htm,https://www.sec.gov/Archives/edgar/data/25895/000143774917011232/0001437749-17-011232-index.htm,https://www.sec.gov/Archives/edgar/data/25895/000143774918011667/0001437749-18-011667-index.htm,https://www.sec.gov/Archives/edgar/data/25895/000143774919011913/0001437749-19-011913-index.htm,https://www.sec.gov/Archives/edgar/data/25895/000143774920012786/0001437749-20-012786-index.htm,https://www.sec.gov/Archives/edgar/data/25895/000143774921014357/0001437749-21-014357-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
