,https://roic.ai/company/TNC,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18679000,-1445000,4612000,970000,6120000,10192000,-10455000,-3904000,10849000,4569000,-7500000,8500000,19100000
81,Other Working Capital,- -,- -,- -,- -,33300000,26700000,33100000,44400000,43000000,32700000,61800000,76900000,86000000,90100000,90100000,104373000,96739000,92552000,116863000,106778000,122635000,140600000,144051000,143260000,99760000,132125000,148104000,151752000,183770000,201459000,160428000,165093000,186608000,219770000,206100000,239000000,8800000
82,Other Non-Cash Items,- -,- -,- -,- -,-600000,11000000,-900000,-8100000,3300000,6600000,-46700000,-6900000,-6500000,-2100000,1700000,-26588000,17044000,-3432000,-22676000,19151000,-7200000,-21706000,-20222000,8279000,121747000,-39057000,-17256000,-30796000,-44419000,-36484000,29051000,-14404000,-4195000,-38476000,-16430000,11500000,5300000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,25700000,24800000,23800000,20100000,20400000,25400000,16800000,44600000,41900000,42900000,38300000,38866000,34141000,19219000,30470000,36697000,44237000,40319000,39640000,37546000,75185000,42530000,56909000,47566000,59814000,59362000,45232000,57878000,54174000,79970000,71900000,133800000,69400000
84,CAPEX,- -,- -,- -,- -,-19100000,-12200000,-11000000,-17600000,-14200000,-19000000,-25200000,-21000000,-20600000,-23400000,-28400000,-20531000,-23364000,-13072000,- -,-21089000,-20880000,-23872000,-28720000,-20790000,-11483000,-10529000,-13902000,-15623000,-14775000,-19583000,-24780000,-26526000,-22937000,-21555000,-38900000,-30000000,-23200000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10483000,-6491000,- -,-8469000,-3141000,-81845000,-2162000,-86000,-2917000,264000,3511000,1416000,1185000,-12648000,-354073000,4000000,-19700000,- -,24700000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-13975000,- -,-14250000,-7925000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7925000,6050000,- -,22175000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,10000000,3200000,4300000,1800000,2100000,-27600000,4200000,3800000,5100000,6200000,2300000,1280000,2820000,2649000,4092000,1568000,3049000,632000,7254000,656000,311000,595000,-2678000,4117000,-133000,297000,14000,-1269000,-914000,-1247000,2500000,- -,100000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-8900000,-9000000,-6700000,-15800000,-12100000,-46600000,-21000000,-17200000,-15500000,-17200000,-26100000,-19251000,-20544000,-10423000,-6391000,-32062000,-11781000,-45959000,-10357000,-101979000,-13334000,-10020000,-19497000,-11242000,-11397000,-17870000,-23581000,-40443000,-375424000,-16027000,-55600000,-29900000,1700000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-67212000,-4199000,-19272000,-2986000,-1096000,-3516000,-3445000,-3460000,-399248000,-38255000,-41800000,-157700000,-370400000
91,Common Stock Issued,- -,- -,- -,- -,400000,500000,600000,1900000,1500000,1500000,1700000,2300000,2400000,2600000,2900000,3015000,1874000,1509000,1588000,1520000,7874000,8477000,8734000,1872000,914000,6467000,4214000,4167000,8313000,2269000,1677000,5271000,6875000,5880000,6100000,4900000,5000000
92,Common Stock Repurchased,- -,- -,- -,- -,-13800000,-1200000,-4000000,-1600000,-2900000,-1900000,- -,-2900000,-13600000,-27100000,-9900000,-3203000,-5035000,-4628000,-2676000,-2842000,-3471000,-5275000,-28951000,-14349000,- -,-3153000,-17603000,-25343000,-22157000,-14097000,-45998000,-12762000,- -,- -,- -,- -,-15000000
93,Dividends Paid,- -,- -,- -,- -,-5600000,-5800000,-5900000,-6000000,-6300000,-6400000,-6700000,-6900000,-7100000,-6900000,-6900000,-7045000,-7244000,-7373000,-7528000,-7735000,-7919000,-8574000,-8979000,-9551000,-9861000,-11181000,-12852000,-12817000,-13233000,-14487000,-14498000,-14293000,-14953000,-15343000,-16000000,-16300000,-17500000
94,Other Financing Activites,- -,- -,- -,- -,-1300000,-11200000,-6800000,2500000,-1500000,27200000,11700000,-14500000,-2100000,7100000,-800000,-5447000,-1228000,-5722000,-7164000,-3073000,-4595000,496000,2517000,84103000,2091000,1724000,21266000,2047000,6678000,1793000,859000,15686000,726799000,14940000,24300000,126300000,313400000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-20300000,-17700000,-16100000,-3200000,-9200000,20400000,6700000,-22000000,-20400000,-24300000,-14700000,-12680000,-11633000,-16214000,-15780000,-12130000,-8111000,-4876000,-26679000,62075000,-74068000,-10342000,-24247000,-34932000,-21495000,-28038000,-61405000,-9558000,319473000,-32778000,-27400000,-42800000,-84500000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-300000,100000,- -,100000,100000,- -,- -,300000,400000,- -,-400000,-351000,307000,-9000,-68000,-255000,105000,250000,-533000,-1449000,994000,-701000,-355000,209000,122000,-1476000,-1908000,-1144000,2142000,-4082000,-400000,5300000,-4000000
97,Net Change In Cash,- -,- -,- -,- -,-20300000,-17700000,-16100000,-3200000,-9200000,20400000,6700000,5600000,6400000,-24300000,-2800000,6584000,2271000,-7427000,8231000,-7750000,24450000,-10266000,2071000,-3807000,-11223000,21467000,12810000,1601000,27044000,11978000,-41662000,6733000,365000,27083000,-11500000,66400000,-17400000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9800000,16300000,- -,14900000,21512000,23783000,16356000,24587000,16837000,41287000,31021000,33092000,29285000,18062000,39529000,52339000,53940000,80984000,92962000,51300000,58033000,58398000,86134000,74600000,141000000,123600000
99,Cash at the Beginning of Period,- -,- -,- -,- -,7000000,3200000,1400000,2300000,3500000,2700000,1900000,4200000,9900000,16300000,17700000,14928000,21512000,23783000,16356000,24587000,16837000,41287000,31021000,33092000,29285000,18062000,39529000,52339000,53940000,80984000,92962000,51300000,58033000,59051000,86100000,74600000,141000000
100,Free Cash Flow,- -,- -,- -,- -,6600000,12600000,12800000,2500000,6200000,6400000,-8400000,23600000,21300000,19500000,9900000,18335000,10777000,6147000,30470000,15608000,23357000,16447000,10920000,16756000,63702000,32001000,43007000,31943000,45039000,39779000,20452000,31352000,31237000,58415000,33000000,103800000,46200000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/97134/000110465901500150/j0173_10k405.htm,https://www.sec.gov/Archives/edgar/data/97134/000110465902001132/j3081_10k.htm,https://www.sec.gov/Archives/edgar/data/97134/000110465903004886/j8716_10k.htm,https://www.sec.gov/Archives/edgar/data/97134/000110465904007447/a04-3181_110k.htm,https://www.sec.gov/Archives/edgar/data/97134/000089710105000691/tennant050408_10k.htm,https://www.sec.gov/Archives/edgar/data/97134/000089710106000510/tennant060253_10k.htm,https://www.sec.gov/Archives/edgar/data/97134/000089710107000525/tennant070466s1_10k.htm,https://www.sec.gov/Archives/edgar/data/97134/000089710108000494/tennant080800_10-k.htm,https://www.sec.gov/Archives/edgar/data/97134/000009713409000006/0000097134-09-000006-index.html,https://www.sec.gov/Archives/edgar/data/97134/000009713410000004/0000097134-10-000004-index.html,https://www.sec.gov/Archives/edgar/data/97134/000009713411000003/form_10k.htm,https://www.sec.gov/Archives/edgar/data/97134/000009713412000006/0000097134-12-000006-index.html,- -,https://www.sec.gov/Archives/edgar/data/97134/000009713414000008/form_10-k.htm,https://www.sec.gov/Archives/edgar/data/97134/000009713415000005/form_10-k.htm,https://www.sec.gov/Archives/edgar/data/97134/000009713416000055/0000097134-16-000055-index.html,https://www.sec.gov/Archives/edgar/data/97134/000009713417000006/0000097134-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/97134/000009713418000009/0000097134-18-000009-index.html,https://www.sec.gov/Archives/edgar/data/97134/000009713419000006/0000097134-19-000006-index.html,https://www.sec.gov/Archives/edgar/data/97134/000009713420000008/0000097134-20-000008-index.html,https://www.sec.gov/Archives/edgar/data/97134/000143774921004045/0001437749-21-004045-index.htm,https://www.sec.gov/Archives/edgar/data/97134/000143774922004272/0001437749-22-004272-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
