,https://roic.ai/company/AME,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,-1000000,11000000,10300000,3000000,-1000000,-9900000,1200000,7900000,2100000,3085000,-68000,-6622000,-6139000,23546000,826000,-14954000,-871000,-6225000,194000,-35180000,83622000,7334000,-11923000,29555000,-1790000,11626000,-12007000,38666000,-6087000,-59472000,16410000,77448000,-129593000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,212101000
81,Other Working Capital,- -,- -,- -,- -,215000000,184500000,181400000,181900000,134200000,70800000,38600000,61000000,69800000,33922000,-6635000,5445000,43197000,89149000,92835000,189102000,150515000,203163000,311454000,507073000,545148000,423633000,430244000,284774000,494584000,642460000,594441000,1003749000,795992000,577440000,599913000,1446555000,- -
82,Other Non-Cash Items,- -,- -,- -,- -,-3900000,45700000,8900000,-5400000,104400000,102000000,6800000,-36200000,-18700000,35848000,65616000,-50575000,-97860000,-69891000,15643000,-95125000,13612000,-54020000,-115222000,-308495000,36056000,167330000,-3343000,170395000,-207812000,-185408000,-49980000,-360745000,242433000,213014000,-63164000,-736780000,-12662000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,60100000,86800000,83200000,78600000,65300000,111700000,65400000,74700000,71300000,78386000,130569000,79724000,56134000,103663000,154903000,161280000,165864000,225967000,278523000,247265000,364671000,423013000,508565000,612464000,660659000,725962000,672540000,756835000,833259000,925518000,1114422000,1280980000,1160457000
84,CAPEX,- -,- -,- -,- -,-25700000,-35700000,-18800000,-24000000,-38300000,-23100000,-31700000,-41200000,-41200000,-49841000,-30331000,-29554000,-29415000,-17374000,-185235000,-21025000,-23261000,-29156000,-37620000,-44215000,-33062000,-39183000,-50816000,-57427000,-63314000,-71327000,-69083000,-63280000,-75074000,-82076000,-102346000,-74199000,-110671000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-115380000,-147470000,-81017000,-131793000,- -,- -,-143535000,-340672000,-177639000,-300569000,-463012000,-72919000,-538585000,-474441000,-747675000,-414315000,-573647000,-356466000,-391419000,-556634000,-1129305000,-1061945000,128802000,-1947218000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-65600000,-17000000,-16600000,-1100000,- -,- -,-1100000,-3038000,- -,-143000,- -,- -,- -,- -,- -,- -,- -,- -,-638000,-619000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,76000000,7400000,9800000,16000000,15000000,17400000,4700000,1600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6323000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-83400000,-6000000,-3100000,13600000,8000000,-300000,-1700000,-1900000,-28300000,4770000,29770000,3314000,8684000,-2355000,4232000,10098000,2142000,770000,3528000,4282000,275000,11564000,-1196000,1371000,17296000,3341000,-8000,2332000,5891000,1337000,13366000,7027000,2047000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-33100000,-34300000,-77700000,-11400000,-31900000,-7100000,-28700000,-41500000,-70600000,-163489000,-148031000,-107400000,-152524000,-19729000,-181003000,-154462000,-361791000,-206025000,-334661000,-496622000,-106344000,-566823000,-526453000,-803731000,-460333000,-641633000,-425557000,-452367000,-625817000,-1210044000,-1150925000,61630000,-2055842000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-254229000,-93830000,-78200000,-1463000,-1539000,-617000,-914000,-182007000,-48724000,-270000000,-305000000,-100000000,-102947000,-59718000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,3400000,1300000,- -,6300000,7000000,7100000,4793000,4541000,7649000,12501000,13415000,16936000,16286000,16158000,9878000,14961000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-5700000,- -,- -,-8900000,-118800000,-39600000,-12500000,-5400000,-27999000,-9281000,-1611000,-11628000,-7346000,-5848000,- -,- -,-21075000,-5437000,-57444000,- -,-78609000,-59336000,-4642000,-8467000,-245283000,-435400000,-336140000,-6867000,-367678000,-11924000,-4685000,-14711000
93,Dividends Paid,- -,- -,- -,- -,-27400000,-28200000,-29000000,-30000000,-25100000,-8900000,-8000000,-7900000,-7900000,-7837000,-7744000,-7697000,-7878000,-7896000,-8124000,-16277000,-16814000,-18832000,-25748000,-25685000,-25579000,-28554000,-38366000,-53083000,-58405000,-80551000,-85988000,-83267000,-82735000,-128911000,-127496000,-165035000,-184595000
94,Other Financing Activites,- -,- -,- -,- -,75300000,-16200000,-28600000,-16300000,-19300000,-10200000,4400000,-23800000,3800000,125230000,28814000,27886000,110347000,-82763000,23966000,15536000,197469000,20075000,190322000,510821000,16890000,247992000,131023000,233803000,-2795000,350887000,486431000,525185000,30431000,814629000,312333000,-266769000,298361000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,47900000,-50100000,-57600000,-42900000,-52000000,-137900000,-36900000,-37200000,-2400000,94187000,16330000,26227000,103342000,-84590000,26930000,15545000,196813000,-9954000,174098000,173463000,-102519000,62629000,31858000,174539000,-70284000,24139000,-216964000,57054000,-329171000,13040000,72913000,-539436000,39337000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,906000,-2923000,3558000,3088000,-7265000,3568000,-1967000,-6786000,4320000,7177000,-26056000,-26629000,-25268000,50770000,-20839000,2645000,16618000,-10002000
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9084000,-1132000,-1449000,6952000,-656000,830000,23269000,-2037000,13546000,121048000,-83159000,159376000,-83148000,7184000,-12408000,137219000,82412000,3390000,336254000,-70959000,-292325000,39055000,819792000,-866050000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9768000,8636000,7187000,14139000,13483000,14313000,37582000,35545000,49091000,170139000,86980000,246356000,163208000,170392000,157984000,295203000,377615000,381005000,717259000,646300000,353975000,393030000,1212822000,346772000
99,Cash at the Beginning of Period,- -,- -,- -,- -,9500000,84400000,86900000,34900000,59100000,40500000,7200000,7000000,2400000,684000,9768000,8636000,7187000,14139000,13483000,14313000,37582000,35545000,49091000,170139000,86980000,246356000,163208000,170392000,157984000,295203000,377615000,381005000,717259000,646300000,353975000,393030000,1212822000
100,Free Cash Flow,- -,- -,- -,- -,34400000,51100000,64400000,54600000,27000000,88600000,33700000,33500000,30100000,28545000,100238000,50170000,26719000,86289000,-30332000,140255000,142603000,196811000,240903000,203050000,331609000,383830000,457749000,555037000,597345000,654635000,603457000,693555000,758185000,843442000,1012076000,1206781000,1049786000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1037868/000089322003000294/0000893220-03-000294-index.html,https://www.sec.gov/Archives/edgar/data/1037868/000089322004000420/0000893220-04-000420-index.html,https://www.sec.gov/Archives/edgar/data/1037868/000089322005000487/0000893220-05-000487-index.html,https://www.sec.gov/Archives/edgar/data/1037868/000089322006000448/w18155e10vk.htm,https://www.sec.gov/Archives/edgar/data/1037868/000089322007000510/w28783e10vk.htm,https://www.sec.gov/Archives/edgar/data/1037868/000089322008000535/w50135e10vk.htm,https://www.sec.gov/Archives/edgar/data/1037868/000089322009000390/0000893220-09-000390-index.html,https://www.sec.gov/Archives/edgar/data/1037868/000095012310016787/0000950123-10-016787-index.html,https://www.sec.gov/Archives/edgar/data/1037868/000095012311017564/w80783e10vk.htm,https://www.sec.gov/Archives/edgar/data/1037868/000119312512074885/0001193125-12-074885-index.html,https://www.sec.gov/Archives/edgar/data/1037868/000119312513069307/0001193125-13-069307-index.html,https://www.sec.gov/Archives/edgar/data/1037868/000119312514069080/d654083d10k.htm,https://www.sec.gov/Archives/edgar/data/1037868/000119312515059832/d843717d10k.htm,https://www.sec.gov/Archives/edgar/data/1037868/000119312516478197/0001193125-16-478197-index.html,https://www.sec.gov/Archives/edgar/data/1037868/000119312517053600/0001193125-17-053600-index.html,https://www.sec.gov/Archives/edgar/data/1037868/000119312518053631/0001193125-18-053631-index.html,https://www.sec.gov/Archives/edgar/data/1037868/000119312519046947/0001193125-19-046947-index.html,https://www.sec.gov/Archives/edgar/data/1037868/000119312520043133/0001193125-20-043133-index.html,https://www.sec.gov/Archives/edgar/data/1037868/000103786821000007/0001037868-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1037868/000103786822000009/0001037868-22-000009-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
