,https://roic.ai/company/TGT,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
73,Net Income,- -,- -,- -,- -,410000000,410000000,301000000,383000000,375000000,434000000,311000000,463000000,751000000,935000000,1144000000,1264000000,1368000000,1654000000,1841000000,3198000000,2408000000,2784000000,2849000000,2214000000,2488000000,2920000000,2929000000,2999000000,1971000000,-1636000000,3363000000,2734000000,2914000000,2937000000,3281000000,4368000000,6946000000
74,Depreciation and Amortization,- -,- -,- -,- -,319000000,372000000,410000000,459000000,498000000,531000000,594000000,650000000,693000000,780000000,854000000,940000000,1079000000,1212000000,1320000000,1259000000,1409000000,1496000000,1659000000,1826000000,2023000000,2084000000,2131000000,2142000000,2223000000,2129000000,2213000000,2298000000,2445000000,2474000000,2604000000,2485000000,2642000000
75,Deferred Income Tax,- -,- -,- -,- -,-10000000,-20000000,34000000,11000000,29000000,-41000000,-6000000,-107000000,-63000000,-11000000,75000000,1000000,49000000,248000000,249000000,233000000,-122000000,-201000000,-70000000,91000000,364000000,445000000,371000000,-14000000,-254000000,7000000,-322000000,41000000,-192000000,322000000,178000000,-184000000,522000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,103000000,109000000,90000000,105000000,110000000,71000000,115000000,113000000,112000000,132000000,147000000,200000000,228000000
77,Change in Working Capital,- -,- -,- -,- -,76000000,- -,- -,- -,- -,1569000000,-137000000,-103000000,-324000000,-57000000,-315000000,370000000,1591000000,1818000000,202000000,1088000000,-885000000,-1228000000,3535000000,-148000000,121000000,46000000,-4981000000,195000000,-3561000000,3555000000,-843000000,-2226000000,206000000,-1983000000,910000000,2216000000,-1445000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-57000000,-78000000,-187000000,-217000000,2860000000,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,-158000000,-36000000,-365000000,-237000000,121000000,-280000000,-241000000,-13000000,-220000000,-198000000,-323000000,-450000000,-201000000,-311000000,-583000000,-853000000,-454000000,-431000000,-525000000,77000000,-474000000,-417000000,-322000000,15000000,-885000000,-512000000,-316000000,293000000,-348000000,-900000000,505000000,-1661000000,-3249000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,174000000,115000000,232000000,199000000,625000000,- -,- -,- -,1307000000,1127000000,140000000,2925000000,2628000000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,1569000000,1432000000,1329000000,1005000000,948000000,633000000,1003000000,2594000000,4412000000,4614000000,5702000000,4817000000,3589000000,7124000000,6976000000,7097000000,7143000000,2162000000,2357000000,-1204000000,2351000000,1508000000,-718000000,-512000000,-2495000000,-1585000000,631000000,- -
82,Other Non-Cash Items,- -,- -,- -,- -,-56000000,-137000000,-308000000,131000000,317000000,-1601000000,399000000,555000000,738000000,215000000,494000000,-670000000,-2095000000,-3342000000,-452000000,-2583000000,1641000000,2011000000,-3848000000,447000000,782000000,-333000000,4894000000,-102000000,6031000000,313000000,1318000000,2476000000,1438000000,2091000000,-3000000,1440000000,-268000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,739000000,625000000,437000000,984000000,1219000000,892000000,1161000000,1458000000,1795000000,1862000000,2252000000,1905000000,1992000000,1590000000,3160000000,3195000000,4451000000,4862000000,4125000000,4430000000,5881000000,5271000000,5434000000,5325000000,6520000000,4439000000,5844000000,5436000000,6923000000,5973000000,7117000000,10525000000,8625000000
84,CAPEX,- -,- -,- -,- -,-619000000,-678000000,-1009000000,-918000000,-969000000,-1095000000,-1522000000,-1301000000,-1354000000,-1757000000,-1918000000,-2528000000,-3163000000,-3221000000,-3004000000,-3068000000,-3388000000,-3928000000,-4369000000,-3547000000,-1729000000,-2129000000,-4368000000,-3277000000,-3453000000,-1786000000,-1438000000,-1547000000,-2533000000,-3516000000,-3027000000,-2649000000,-3544000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-157000000,-20000000,1875000000,- -,-518000000,- -,- -,- -,356000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-174000000,- -,- -,- -,- -,-144000000,-182000000,-42000000,- -,- -,-108000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,234000000,-1052000000,19000000,10000000,79000000,89000000,17000000,103000000,123000000,102000000,111000000,53000000,27000000,32000000,85000000,4247000000,-761000000,-621000000,-1644000000,-784000000,23000000,385000000,296000000,422000000,3339000000,-120000000,71000000,74000000,-24000000,100000000,83000000,58000000,-3510000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-385000000,-1730000000,-990000000,-908000000,-890000000,-1006000000,-1505000000,-1198000000,-1231000000,-1655000000,-1807000000,-2475000000,-3310000000,-3189000000,-2919000000,1179000000,-4149000000,-4693000000,-6195000000,-4373000000,-1703000000,-1744000000,-4180000000,-2855000000,-271000000,-1926000000,508000000,-1473000000,-3075000000,-3416000000,-2944000000,-2591000000,-3154000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1970000000,-2259000000,-3125000000,-3029000000,-4353000000,-2159000000,-85000000,-2641000000,-2180000000,-281000000,-2069000000,-2415000000,-1147000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,49000000,58000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,146000000,172000000,181000000,- -,43000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-440000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-581000000,-585000000,-20000000,-14000000,- -,-1290000000,-1197000000,-901000000,-2477000000,-2815000000,-423000000,-2452000000,-1842000000,-1875000000,-1461000000,- -,-3438000000,-3706000000,-1046000000,-2124000000,-1565000000,-745000000,-7356000000
93,Dividends Paid,- -,- -,- -,- -,-85000000,-116000000,-128000000,-133000000,-138000000,-144000000,-148000000,-155000000,-165000000,-178000000,-195000000,-190000000,-203000000,-218000000,-237000000,-272000000,-318000000,-380000000,-442000000,-465000000,-496000000,-609000000,-750000000,-869000000,-1006000000,-1205000000,-1362000000,-1348000000,-1338000000,-1335000000,-1330000000,-1343000000,-1548000000
94,Other Financing Activites,- -,- -,- -,- -,221000000,1210000000,636000000,20000000,13000000,84000000,520000000,-79000000,-389000000,15000000,296000000,1481000000,1684000000,2090000000,-46000000,-1421000000,444000000,96000000,6626000000,1594000000,47000000,1305000000,3577000000,3285000000,456000000,2366000000,369000000,2198000000,847000000,96000000,1812000000,2503000000,1980000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-304000000,1094000000,557000000,-55000000,-125000000,-60000000,372000000,-234000000,-554000000,-163000000,-480000000,706000000,1461000000,1858000000,-283000000,-2837000000,-899000000,-1004000000,3707000000,-1643000000,-2842000000,-4015000000,-2140000000,-2488000000,-6364000000,-998000000,-4516000000,-5497000000,-3717000000,-3644000000,-3152000000,-2000000000,-8071000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-32000000,8000000,26000000,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,-304000000,1094000000,557000000,-55000000,-125000000,-60000000,372000000,-234000000,-554000000,-163000000,-35000000,136000000,143000000,259000000,-42000000,1537000000,-597000000,-835000000,1637000000,-1586000000,1336000000,-488000000,-918000000,-10000000,-89000000,1515000000,1836000000,-1534000000,131000000,-1087000000,1021000000,5934000000,-2600000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,220000000,356000000,499000000,758000000,716000000,2245000000,1648000000,813000000,2450000000,864000000,2200000000,1712000000,794000000,784000000,695000000,2210000000,4046000000,2512000000,2643000000,1556000000,2577000000,8511000000,5911000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,53000000,103000000,92000000,96000000,117000000,321000000,147000000,175000000,201000000,211000000,255000000,220000000,356000000,499000000,758000000,708000000,2245000000,1648000000,813000000,2450000000,864000000,2200000000,1712000000,794000000,784000000,695000000,2210000000,4046000000,2512000000,2643000000,1556000000,2577000000,8511000000
100,Free Cash Flow,- -,- -,- -,- -,120000000,-53000000,-572000000,66000000,250000000,-203000000,-361000000,157000000,441000000,105000000,334000000,-623000000,-1171000000,-1631000000,156000000,127000000,1063000000,934000000,-244000000,883000000,4152000000,3142000000,1066000000,2048000000,3067000000,2653000000,4406000000,3889000000,4390000000,2457000000,4090000000,7876000000,5081000000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/27419/000095013195000955/0000950131-95-000955-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/27419/000104746998015191/0001047469-98-015191-index.html,https://www.sec.gov/Archives/edgar/data/27419/000104746999014435/0001047469-99-014435-index.html,https://www.sec.gov/Archives/edgar/data/27419/000091205700017053/0000912057-00-017053-index.html,https://www.sec.gov/Archives/edgar/data/27419/000091205701508754/0000912057-01-508754-index.html,https://www.sec.gov/Archives/edgar/data/27419/000091205702015068/0000912057-02-015068-index.html,https://www.sec.gov/Archives/edgar/data/27419/000104746903013199/a2105670z10-k.htm,https://www.sec.gov/Archives/edgar/data/27419/000104746904010838/a2130364z10-k.htm,https://www.sec.gov/Archives/edgar/data/27419/000110465905015954/a05-4599_110k.htm,https://www.sec.gov/Archives/edgar/data/27419/000110465906024036/a06-2369_110k.htm,https://www.sec.gov/Archives/edgar/data/27419/000104746907001800/a2176656z10-k.htm,https://www.sec.gov/Archives/edgar/data/27419/000104746908002681/a2183529z10-k.htm,https://www.sec.gov/Archives/edgar/data/27419/000104746909002623/0001047469-09-002623-index.html,https://www.sec.gov/Archives/edgar/data/27419/000104746910002121/0001047469-10-002121-index.html,https://www.sec.gov/Archives/edgar/data/27419/000104746911002032/a2201861z10-k.htm,https://www.sec.gov/Archives/edgar/data/27419/000104746912002714/0001047469-12-002714-index.html,https://www.sec.gov/Archives/edgar/data/27419/000104746913003100/0001047469-13-003100-index.html,https://www.sec.gov/Archives/edgar/data/27419/000002741914000014/tgt-20140201x10k.htm,https://www.sec.gov/Archives/edgar/data/27419/000002741915000012/tgt-20150131x10k.htm,https://www.sec.gov/Archives/edgar/data/27419/000002741916000043/0000027419-16-000043-index.html,https://www.sec.gov/Archives/edgar/data/27419/000002741917000008/0000027419-17-000008-index.html,https://www.sec.gov/Archives/edgar/data/27419/000002741918000010/0000027419-18-000010-index.html,https://www.sec.gov/Archives/edgar/data/27419/000002741919000006/0000027419-19-000006-index.html,https://www.sec.gov/Archives/edgar/data/27419/000002741920000008/0000027419-20-000008-index.html,https://www.sec.gov/Archives/edgar/data/27419/000002741921000010/0000027419-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/27419/000002741922000007/0000027419-22-000007-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
