,https://roic.ai/company/GFI,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-100000,-100000,- -,- -,- -,- -,- -,- -,-10000000,-9900000,-13500000,-7000000,-102400000,-30400000,-163500000,-82700000,-146100000,-23200000,-25800000,-82300000,-117100000,-28900000,-11500000,-10700000,-27600000,-96800000,-27000000,-13600000,-9300000,-37500000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,153100000,- -,- -,- -,- -,72100000,29300000,18600000,2800000,45300000,13700000,54300000,385800000,13700000,65400000,35000000,6400000,- -,4400000,- -,500000,122600000,60400000,24200000
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,-100000,5200000,- -,4900000,4400000,4300000,6300000,162900000,-4100000,-6900000,-6600000,-17100000,46300000,11200000,-4700000,8800000,316700000,3600000,-255900000,-1700000,2000000,-44500000,-19300000,-13500000,2300000,16400000,118900000,3700000,-74800000,-1057200000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,-70600000,-78600000,-88600000,-107400000,-115200000,-118600000,62900000,-199300000,-121600000,-166100000,-386700000,-204900000,-444200000,-318300000,-836400000,-2066500000,-970100000,-720600000,-852000000,-1223300000,-1372500000,-717100000,-423900000,-458700000,-867900000,-908600000,-886800000,-446800000,-607400000,-1070500000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-892900000,- -,-654600000,- -,- -,- -,- -,- -,- -,-434400000,-1642600000,-1078600000,-718000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,5200000,5300000,4500000,219700000,3600000,30100000,1412800000,106000000,10700000,7400000,6500000,2000000,800000,- -,- -,151500000,- -,- -,- -,249000000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,-117800000,-98100000,-95000000,-145900000,-84200000,-76500000,-35700000,-20400000,-36600000,-63900000,-63400000,-190100000,-92600000,-71800000,-61800000,-158200000,-142500000,-121200000,-118100000,-216800000,-364200000,-61200000,-29800000,-15100000,-39200000,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,-194700000,-100100000,4800000,- -,-103400000,-23200000,-4100000,-43400000,3900000,-29100000,181500000,-150200000,555100000,56800000,122000000,677300000,16300000,1218700000,-65800000,140300000,478000000,129700000,-138400000,-102100000,-75300000,84200000,691700000,1538000000,689800000,207500000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,-312500000,-198200000,-90200000,-145900000,-187600000,-99700000,-39800000,-63800000,-31700000,-87800000,123400000,-335800000,682200000,-11400000,78600000,1931900000,-20200000,215300000,-176500000,-724600000,115800000,69300000,-168200000,-117200000,37000000,84200000,257300000,-104600000,-139800000,-510500000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4700000,-6500000,-4800000,12900000,42300000,-4800000,6400000,38100000,18600000,-25800000,8800000,-25100000,21400000,-29700000,-18700000,-22100000,100000,14300000,-7600000,1700000,7600000,-11300000
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,-312500000,-198200000,-90200000,-145900000,-187600000,-99700000,95700000,-58100000,33700000,-52600000,172200000,-62100000,522700000,-152600000,-286000000,108700000,-72700000,103800000,143200000,-65500000,-88400000,-330600000,133000000,-18000000,86700000,-47700000,-79300000,295300000,371800000,-362100000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,111100000,42300000,76100000,23500000,195700000,133600000,656300000,503700000,217700000,326400000,253700000,357500000,500700000,744000000,655600000,325000000,458000000,440000000,526700000,479000000,399700000,515000000,886800000,524700000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,153400000,90500000,69800000,208400000,131400000,47600000,15400000,100400000,42400000,76100000,23500000,195700000,133600000,656300000,503700000,217700000,326400000,253700000,357500000,809500000,744000000,655600000,325000000,458000000,440000000,526700000,479000000,219700000,515000000,886800000
100,Free Cash Flow,- -,- -,- -,- -,- -,- -,267900000,179200000,227800000,90200000,101300000,68200000,-23900000,-157200000,84200000,58500000,286600000,212800000,-175000000,-135800000,210000000,-591800000,-255400000,-125400000,-7300000,754500000,-175900000,-196800000,263300000,145500000,267600000,-71200000,-256400000,232500000,520600000,539200000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1172724/000115697304001374/0001156973-04-001374-index.htm,https://www.sec.gov/Archives/edgar/data/1172724/000110465905062330/0001104659-05-062330-index.htm,https://www.sec.gov/Archives/edgar/data/1172724/000110465906077569/0001104659-06-077569-index.htm,https://www.sec.gov/Archives/edgar/data/1172724/000119312507261240/0001193125-07-261240-index.htm,https://www.sec.gov/Archives/edgar/data/1172724/000119312508237671/0001193125-08-237671-index.htm,https://www.sec.gov/Archives/edgar/data/1172724/000119312509246637/0001193125-09-246637-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1172724/000119312512175945/0001193125-12-175945-index.htm,https://www.sec.gov/Archives/edgar/data/1172724/000119312513219018/0001193125-13-219018-index.htm,https://www.sec.gov/Archives/edgar/data/1172724/000119312514159410/0001193125-14-159410-index.htm,https://www.sec.gov/Archives/edgar/data/1172724/000119312515129431/0001193125-15-129431-index.htm,https://www.sec.gov/Archives/edgar/data/1172724/000119312516539436/0001193125-16-539436-index.htm,https://www.sec.gov/Archives/edgar/data/1172724/000119312517111492/0001193125-17-111492-index.htm,https://www.sec.gov/Archives/edgar/data/1172724/000119312518107118/0001193125-18-107118-index.htm,https://www.sec.gov/Archives/edgar/data/1172724/000119312519092325/0001193125-19-092325-index.htm,https://www.sec.gov/Archives/edgar/data/1172724/000119312520099587/0001193125-20-099587-index.htm,- -,- -
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
