,https://roic.ai/company/HXL,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
79,Inventory,- -,- -,- -,- -,- -,- -,100000,15100000,5000000,-6200000,-8100000,-5100000,-23800000,-9300000,49000000,-17000000,20600000,25800000,2700000,-17500000,-16800000,-16100000,-19100000,-20100000,38400000,-16700000,-48800000,-15200000,-28400000,-38800000,-25000000,10800000,2300000,-25200000,-30400000,129400000,-40000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,49000000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,23200000,61600000,128100000,200700000,219600000,117300000,128100000,80500000,-530800000,140700000,157300000,174500000,206500000,190700000,256500000,259400000,291800000,276800000,340400000,387700000,371100000,341200000,335100000,394600000,349100000,382300000,352800000,369000000
82,Other Non-Cash Items,- -,- -,- -,- -,- -,- -,-14400000,41300000,75800000,-12100000,-54900000,-47000000,-122800000,-29900000,213800000,-99300000,425500000,641900000,-674000000,-13700000,-16900000,-56800000,16500000,-117200000,39100000,-65000000,-42600000,-99400000,-56900000,-2900000,-53800000,-14500000,-40700000,21700000,-25000000,157200000,-38200000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,- -,6600000,28100000,10700000,-1100000,-2500000,26500000,26000000,93800000,133700000,33000000,35000000,65900000,46900000,85900000,72500000,103100000,113500000,98900000,172800000,126500000,170500000,232400000,272900000,318000000,301000000,401400000,428700000,421400000,491100000,264300000,151000000
84,CAPEX,- -,- -,- -,- -,- -,- -,-14700000,-17100000,-6500000,-8400000,-12100000,-43600000,-94400000,-539300000,-35600000,-39600000,-38800000,-14900000,-21600000,-38100000,-62700000,-120200000,-120600000,-177300000,-98400000,-48800000,-158000000,-263700000,-194900000,-260100000,-305300000,-327900000,-278100000,-184100000,-204100000,-50600000,-27000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6000000,- -,- -,- -,- -,-10300000,- -,-38600000,-76000000,-3400000,-163200000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2000000,- -,-6000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22000000,- -,22300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,-100000,21300000,4000000,8700000,27800000,-162800000,11500000,100000,-4700000,108400000,500000,12600000,30700000,9500000,-7200000,-300000,83400000,- -,6000000,- -,-5200000,-258400000,-194900000,-260100000,-305300000,-327900000,-278100000,-184100000,-204100000,-50600000,-68000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,-14800000,4200000,-2500000,300000,15700000,-206400000,-82900000,-539200000,-40300000,68800000,-38300000,-2300000,9100000,-28600000,-69900000,-98500000,-39200000,-155000000,-104400000,-48800000,-163200000,-258400000,-194900000,-270400000,-305300000,-366500000,-354100000,-187500000,-367300000,-50600000,-27000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-177900000,-167100000,-219900000,-82300000,-270800000,-548700000,-136200000,- -,-319600000,-604200000,-824000000,-556900000,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,1000000,1400000,300000,- -,48700000,3700000,6500000,2800000,1400000,2900000,- -,- -,125300000,12800000,15200000,10600000,21300000,1200000,- -,- -,10500000,- -,- -,- -,- -,- -,10000000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10000000,-11000000,-500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-90000000,-160000000,-146100000,-111100000,-150300000,-357700000,-143000000,-24600000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,-3100000,-3200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-38300000,-39800000,-42600000,-48400000,-54200000,-14200000,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,7400000,-31000000,2300000,-9600000,-58300000,178000000,50700000,447900000,-89900000,-97400000,8600000,-67300000,-152200000,-54400000,-55900000,-8000000,-96800000,78900000,165200000,101900000,135000000,90500000,313600000,671800000,309700000,104100000,444200000,753000000,929800000,417200000,-96000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,5300000,-32800000,2600000,-9600000,-9600000,181700000,57200000,440700000,-99500000,-95000000,8600000,-67300000,-26900000,-41600000,-40700000,2600000,-75500000,80100000,-12700000,-65200000,-74400000,8200000,-47200000,-36900000,-10900000,-46800000,-58300000,-257300000,-91400000,-178500000,-96000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,100000,1000000,-300000,- -,-700000,2300000,700000,3200000,-1200000,-1900000,1200000,300000,4400000,-200000,1900000,-2500000,3600000,-1200000,3500000,-5400000,-600000,900000,2100000,-5300000,-3900000,-4700000,8600000,-4000000,-700000,3700000,-2000000
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,5300000,-32800000,2600000,-9600000,-9600000,181700000,57200000,440700000,-7300000,4900000,6500000,-3400000,33500000,15500000,-36200000,4700000,2400000,22800000,59200000,7100000,-67700000,-16900000,32900000,5400000,-19100000,-16600000,24900000,-27400000,31700000,38900000,24000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000,5100000,11600000,8200000,41700000,57200000,21000000,25700000,28100000,50900000,110100000,117200000,49500000,32600000,65500000,70900000,51800000,35200000,60100000,32700000,64400000,103300000,127000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,4700000,1900000,2400000,11300000,900000,3800000,8000000,9000000,7500000,200000,5100000,11600000,8200000,41700000,57200000,21000000,25700000,28100000,50900000,110100000,117200000,49500000,32600000,65500000,70900000,51800000,35200000,60100000,32700000,64400000,103000000
100,Free Cash Flow,- -,- -,- -,- -,- -,- -,-8100000,11000000,4200000,-9500000,-14600000,-17100000,-68400000,-445500000,98100000,-6600000,-3800000,51000000,25300000,47800000,9800000,-17100000,-7100000,-78400000,74400000,77700000,12500000,-31300000,78000000,57900000,-4300000,73500000,150600000,237300000,287000000,213700000,124000000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/717605/000091205795001747/0000912057-95-001747-index.html,https://www.sec.gov/Archives/edgar/data/717605/000091205796005837/0000912057-96-005837-index.html,https://www.sec.gov/Archives/edgar/data/717605/000091205797010871/0000912057-97-010871-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/717605/000071760501000008/0000717605-01-000008-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/717605/000110465904007436/0001104659-04-007436-index.htm,https://www.sec.gov/Archives/edgar/data/717605/000110465905010630/0001104659-05-010630-index.htm,https://www.sec.gov/Archives/edgar/data/717605/000110465906014722/0001104659-06-014722-index.htm,https://www.sec.gov/Archives/edgar/data/717605/000110465907015094/0001104659-07-015094-index.htm,https://www.sec.gov/Archives/edgar/data/717605/000110465908012379/0001104659-08-012379-index.htm,https://www.sec.gov/Archives/edgar/data/717605/000110465909008902/0001104659-09-008902-index.htm,https://www.sec.gov/Archives/edgar/data/717605/000110465910006099/0001104659-10-006099-index.htm,https://www.sec.gov/Archives/edgar/data/717605/000110465911006385/0001104659-11-006385-index.htm,https://www.sec.gov/Archives/edgar/data/717605/000110465912007354/0001104659-12-007354-index.htm,https://www.sec.gov/Archives/edgar/data/717605/000110465913008842/0001104659-13-008842-index.htm,https://www.sec.gov/Archives/edgar/data/717605/000110465914006768/0001104659-14-006768-index.htm,https://www.sec.gov/Archives/edgar/data/717605/000156459015000511/0001564590-15-000511-index.htm,https://www.sec.gov/Archives/edgar/data/717605/000156459016012334/0001564590-16-012334-index.htm,https://www.sec.gov/Archives/edgar/data/717605/000156459017001309/0001564590-17-001309-index.htm,https://www.sec.gov/Archives/edgar/data/717605/000156459018001551/0001564590-18-001551-index.htm,https://www.sec.gov/Archives/edgar/data/717605/000156459019002166/0001564590-19-002166-index.htm,https://www.sec.gov/Archives/edgar/data/717605/000156459020005037/0001564590-20-005037-index.htm,https://www.sec.gov/Archives/edgar/data/717605/000156459021004881/0001564590-21-004881-index.htm,https://www.sec.gov/Archives/edgar/data/717605/000095017022000961/0000950170-22-000961-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
