,https://roic.ai/company/PRGS,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,900000,1300000,16500000,24100000,81400000,104100000,131500000,145200000,150700000,167500000,184600000,182279000,174651000,177214000,210336000,252371000,273021000,327484000,349528000,352245000,344148000,321685000,336914000,233887000,220087000,209406000,281830000,269355000,234131000,236538000,265888000,262765000,326352000
11,COGS and Expenses,22200000,35000000,49700000,72000000,94200000,119400000,154400000,172200000,179000000,210000000,239400000,232652000,240693000,244899000,272108000,313698000,336489000,404271000,436284000,444134000,437350000,421007000,440209000,277450000,255069000,243665000,345572000,335067000,303290000,303511000,341129000,324879000,404801000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2702000,3132000,1999000,2574000,1201000,-489000,1446000,839000,921000,1220000,1143000,1495000,777000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,489000,3788000,4178000,4631000,5149000,9913000,10170000,20045000
14,Depreciation and Amortization,900000,1300000,1700000,2300000,3800000,6300000,9000000,11500000,12900000,13600000,13300000,12329000,12140000,11309000,10997000,16523000,18189000,24776000,27062000,30114000,40406000,41417000,35078000,30965000,14435000,15296000,41680000,39321000,42896000,44502000,56679000,34765000,52984000
15,EBITDA,4200000,7200000,11200000,17300000,23600000,28300000,35500000,19800000,16000000,47600000,64800000,61816000,37708000,40719000,49674000,63730000,85053000,70359000,92109000,104124000,91586000,112845000,122782000,95441000,112348000,93589000,57822000,8219000,113114000,128631000,95087000,141570000,168563000
16,EBITDA ratio,0.1654,0.1796,0.1921,0.2033,0.2115,0.2033,0.1971,0.1121,0.0850,0.1984,0.2265,0.2278,0.1439,0.1491,0.1607,0.1757,0.2098,0.1574,0.1866,0.2020,0.1853,0.2133,0.2301,0.2847,0.3364,0.2814,0.1531,0.0203,0.2845,0.3239,0.2301,0.3202,0.3173
17,Operating Income,3200000,5100000,8600000,13100000,17400000,19800000,25700000,4500000,9300000,29900000,46700000,38695000,21305000,28224000,36752000,46364000,63765000,40943000,57216000,64383000,51132000,67670000,88223000,49440000,63740000,80740000,14754000,-29709000,70614000,85998000,40084000,107728000,116102000
18,Operating Income ratio,0.1260,0.1272,0.1475,0.1539,0.1559,0.1422,0.1427,0.0255,0.0494,0.1246,0.1632,0.1426,0.0813,0.1033,0.1189,0.1278,0.1573,0.0916,0.1159,0.1249,0.1035,0.1279,0.1653,0.1475,0.1908,0.2428,0.0391,-0.0733,0.1776,0.2165,0.0970,0.2436,0.2185
19,Total Other Income Expenses (Gains),100000,800000,900000,1900000,2400000,2200000,800000,3800000,-6200000,4100000,4800000,10792000,4263000,1186000,1925000,843000,3099000,4640000,7831000,9627000,48000,3758000,-519000,196000,-957000,-2936000,-2400000,-5571000,-5027000,-7018000,-11589000,-11093000,-20568000
20,Income Before Tax,3300000,5900000,9500000,15000000,19800000,22000000,26500000,8300000,3100000,34000000,51500000,49487000,25568000,29410000,38677000,47207000,66864000,45583000,65047000,74010000,51180000,71428000,87704000,49636000,62783000,77804000,12354000,-35280000,65587000,78980000,28495000,96635000,95534000
21,Income Before Tax Ratio,0.1299,0.1471,0.1630,0.1763,0.1774,0.1580,0.1471,0.0470,0.0165,0.1417,0.1800,0.1824,0.0976,0.1077,0.1251,0.1302,0.1649,0.1020,0.1318,0.1436,0.1036,0.1350,0.1644,0.1481,0.1880,0.2340,0.0327,-0.0870,0.1650,0.1989,0.0689,0.2186,0.1798
22,Income Tax expense (Gain),1100000,2100000,3400000,5400000,6900000,7600000,9800000,2800000,4700000,11200000,16500000,15836000,7925000,8823000,11603000,15106000,17931000,16182000,22767000,27714000,18425000,22857000,28943000,17032000,23006000,28346000,21155000,20446000,28170000,15489000,2095000,16913000,17114000
23,Net Income,2200000,3800000,6100000,9600000,12900000,14400000,16700000,5500000,-1600000,22800000,35000000,33651000,17643000,20587000,27074000,32101000,48933000,29401000,42280000,46296000,32755000,48571000,58761000,47444000,74907000,49458000,-8801000,-55726000,37417000,63491000,26400000,79722000,78420000
24,Net Income ratio,0.0866,0.0948,0.1046,0.1128,0.1156,0.1034,0.0927,0.0311,-0.0085,0.0950,0.1223,0.1240,0.0673,0.0754,0.0876,0.0885,0.1207,0.0658,0.0857,0.0898,0.0663,0.0918,0.1101,0.1415,0.2243,0.1487,-0.0233,-0.1375,0.0941,0.1599,0.0639,0.1803,0.1476
25,EPS,0.05,0.09,0.12,0.17,0.23,0.26,0.29,0.09,-0.03,0.44,0.67,0.63,0.33,0.39,0.53,0.59,0.85,0.48,0.68,0.75,0.55,0.76,0.89,0.75,1.37,0.97,-0.17,-1.13,0.78,1.39,0.59,1.78,1.79
26,EPS Diluted,0.05,0.09,0.12,0.17,0.23,0.25,0.27,0.09,-0.03,0.39,0.59,0.57,0.31,0.36,0.48,0.55,0.79,0.45,0.64,0.72,0.53,0.73,0.87,0.74,1.35,0.96,-0.17,-1.13,0.77,1.38,0.58,1.76,1.76
27,Weighted Average Shares Outstanding,41250000,43846154,50833333,55384615,56911765,55384615,56931818,59706000,54504000,51687000,51732000,53491500,53170500,53128500,51325500,54046500,57340500,61464000,62331000,61552500,60154500,63957000,65705000,62881000,54516000,50840000,50391000,49481000,48129000,45561000,44791000,44886000,43762000
28,Weighted Average Shares Outstanding Diluted,41250000,43846154,50833333,55384615,56911765,58378378,61097561,60000000,54504000,57840000,58818000,59208000,57637500,57198000,56331000,58515000,62356500,64903500,65914500,64015500,61561500,66211500,67540000,63741000,55379000,51466000,50391000,49481000,48516000,46135000,45340000,45321000,44502000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/876167/000095013503001256/0000950135-03-001256-index.htm,https://www.sec.gov/Archives/edgar/data/876167/000095013504000730/0000950135-04-000730-index.htm,https://www.sec.gov/Archives/edgar/data/876167/000095013505000721/0000950135-05-000721-index.htm,https://www.sec.gov/Archives/edgar/data/876167/000095013506000657/0000950135-06-000657-index.htm,https://www.sec.gov/Archives/edgar/data/876167/000095013507000766/0000950135-07-000766-index.htm,https://www.sec.gov/Archives/edgar/data/876167/000095013508000383/0000950135-08-000383-index.htm,https://www.sec.gov/Archives/edgar/data/876167/000095013509000542/0000950135-09-000542-index.htm,https://www.sec.gov/Archives/edgar/data/876167/000095012310006833/0000950123-10-006833-index.htm,https://www.sec.gov/Archives/edgar/data/876167/000095012311007372/0000950123-11-007372-index.htm,https://www.sec.gov/Archives/edgar/data/876167/000119312512029136/0001193125-12-029136-index.htm,https://www.sec.gov/Archives/edgar/data/876167/000087616713000010/0000876167-13-000010-index.htm,https://www.sec.gov/Archives/edgar/data/876167/000087616714000013/0000876167-14-000013-index.htm,https://www.sec.gov/Archives/edgar/data/876167/000087616715000009/0000876167-15-000009-index.htm,https://www.sec.gov/Archives/edgar/data/876167/000087616716000060/0000876167-16-000060-index.htm,https://www.sec.gov/Archives/edgar/data/876167/000087616717000007/0000876167-17-000007-index.htm,https://www.sec.gov/Archives/edgar/data/876167/000087616718000008/0000876167-18-000008-index.htm,https://www.sec.gov/Archives/edgar/data/876167/000087616719000026/0000876167-19-000026-index.htm,https://www.sec.gov/Archives/edgar/data/876167/000087616720000027/0000876167-20-000027-index.htm,https://www.sec.gov/Archives/edgar/data/876167/000087616721000030/0000876167-21-000030-index.htm,https://www.sec.gov/Archives/edgar/data/876167/000087616722000038/0000876167-22-000038-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,7000000,11100000,7800000,6300000,20600000,24500000,33500000,30900000,39500000,50200000,81700000,90722000,108337000,117425000,152117000,141449000,57399000,46449000,53879000,96485000,175873000,286559000,161095000,301792000,198818000,263082000,212379000,207036000,133464000,105126000,154259000,97990000,155406000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,77000000,67384000,66179000,59768000,67014000,49818000,209021000,194866000,285646000,22044000,48248000,35837000,100321000,53425000,32622000,20186000,28900000,42718000,50145000,34387000,19426000,8005000,1967000
33,Cash and Short-Term Investments,7000000,11100000,7800000,6300000,20600000,24500000,33500000,30900000,39500000,50200000,158700000,158106000,174516000,177193000,219131000,191267000,266420000,241315000,339525000,118529000,224121000,322396000,261416000,355217000,231440000,283268000,241279000,249754000,183609000,139513000,173685000,105995000,157373000
34,Net Receivables,6000000,10000000,11800000,12900000,23200000,28600000,41700000,34500000,35700000,40800000,48000000,49429000,54230000,48676000,52065000,63503000,66592000,82762000,93998000,94795000,98872000,119273000,110927000,70793000,66784000,68311000,66459000,65678000,61210000,58450000,83700000,108957000,125631000
35,Inventory,500000,900000,1100000,1200000,1600000,2400000,2100000,1300000,1400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,600000,1200000,33300000,51100000,44500000,55900000,66800000,74300000,65200000,82000000,19200000,22137000,20699000,18959000,22534000,23485000,33315000,36062000,30900000,32928000,34626000,42189000,35434000,100808000,39587000,34094000,15671000,20621000,18588000,30856000,27280000,23983000,54804000
37,Total Current Assets,14100000,23200000,54000000,71500000,89900000,111400000,144100000,141000000,141800000,173000000,225900000,229672000,249445000,244828000,293730000,278255000,366327000,360139000,464423000,246252000,357619000,483858000,407777000,526818000,337811000,385673000,323409000,336053000,263407000,228819000,284665000,238935000,337808000
38,PP&E,2300000,3900000,5600000,8800000,15700000,18400000,24300000,24200000,23200000,22500000,20600000,37427000,36990000,34045000,35572000,40658000,42816000,57585000,64949000,63147000,59625000,58207000,66206000,63071000,57030000,59351000,54226000,50105000,42261000,30714000,29765000,60452000,39598000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,157858000,149057000,233385000,218498000,238343000,263239000,226110000,224286000,232836000,369985000,278067000,315041000,314992000,432824000,491726000,671152000
40,Intangible Assets,400000,200000,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4900000,21530000,107363000,132187000,75069000,59931000,108869000,86389000,83208000,64408000,5119000,9950000,20578000,114113000,80827000,94894000,58919000,99392000,212747000,287185000
41,Intangible Assets,400000,200000,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4900000,21530000,107363000,132187000,232927000,208988000,342254000,304887000,321551000,327647000,231229000,234236000,253414000,484098000,358894000,409935000,373911000,532216000,704473000,958337000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,62000000,40714000,39643000,33539000,26321000,24761000,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14654000,17176000,20442000,14153000,17617000,29618000,30638000,29214000,24514000,26565000,20386000,2259000,10971000,6601000,1123000,1922000,18601000,14490000,1415000
44,Other Non-Current Assets,300000,500000,600000,1100000,2200000,4800000,7300000,8000000,6700000,11200000,10100000,11706000,12945000,6393000,2284000,3362000,5066000,5435000,5851000,9099000,5367000,4350000,5627000,10973000,7963000,2364000,4419000,3174000,1992000,5243000,16024000,23432000,26379000
45,Total Non-Current Assets,3000000,4600000,6300000,9900000,17900000,23200000,31600000,32200000,29900000,33700000,30700000,49133000,49935000,45338000,74040000,168559000,200511000,310100000,297405000,506118000,441231000,452965000,457533000,358159000,344376000,317388000,553714000,418774000,455311000,411790000,596606000,802847000,1025729000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,17100000,27800000,60300000,81400000,107800000,134600000,175700000,173200000,171700000,206700000,256600000,278805000,299380000,290166000,367770000,446814000,566838000,670239000,761828000,752370000,798850000,936823000,865310000,884977000,682187000,703061000,877123000,754827000,718718000,640609000,881271000,1041782000,1363537000
48,Accounts Payable,- -,- -,4600000,4700000,6600000,7800000,9500000,8000000,10700000,12500000,14000000,11010000,10386000,9717000,11593000,11953000,11654000,15034000,12684000,11592000,12400000,13176000,7039000,10477000,9560000,11749000,11188000,12991000,9000000,10593000,10603000,9978000,9683000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,100000,- -,- -,- -,- -,- -,- -,- -,- -,238000,262000,281000,305000,330000,358000,388000,357000,- -,- -,- -,9375000,15000000,5819000,5819000,10717000,25257000,33693000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1899000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,64463000,66404000,82614000,101106000,99697000,120974000,135487000,135786000,141243000,138961000,145727000,103925000,96393000,92557000,125227000,128960000,132538000,133194000,157494000,166387000,205021000
52,Other Current Liabilities,8500000,13800000,15100000,22800000,29900000,36700000,49200000,48700000,63300000,91400000,100200000,100982000,39355000,41082000,51522000,58478000,62980000,77880000,79994000,93677000,72923000,85151000,78385000,125752000,58626000,48997000,54126000,46787000,60661000,46412000,62071000,60921000,74532000
53,Total Current Liabilities,8500000,13800000,19700000,27500000,36500000,44500000,58800000,56700000,74000000,103900000,114200000,111992000,114204000,117203000,145729000,171775000,174593000,214169000,228470000,241385000,226924000,237676000,231508000,240154000,164579000,153303000,199916000,203738000,208018000,196018000,240885000,262543000,322929000
54,Long-Term Debt,500000,800000,900000,200000,200000,100000,100000,100000,- -,- -,- -,- -,- -,- -,- -,2200000,1938000,1657000,1352000,1022000,664000,276000,- -,- -,- -,- -,135000000,120000000,116090000,110270000,284002000,391226000,557657000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4511000,2908000,6619000,2817000,1144000,3683000,8844000,8801000,9750000,15127000,19752000,26908000,47359000
56,Deferred Tax Liabilities,200000,200000,300000,500000,1200000,1400000,2700000,2300000,1000000,- -,- -,- -,- -,- -,- -,- -,3580000,3494000,2817000,10023000,3445000,2378000,1533000,1032000,340000,305000,7112000,3901000,2809000,3797000,3000,- -,14163000
57,Other Non-Current Liabilities,-100000,100000,- -,- -,- -,100000,- -,100000,- -,-100000,100000,- -,- -,- -,2500000,5861000,5068000,6355000,11315000,18488000,7854000,5253000,3350000,2575000,2470000,2525000,3787000,11758000,5967000,5315000,6347000,15092000,8940000
58,Total Non-Current Liabilities,600000,1100000,1200000,700000,1400000,1600000,2800000,2500000,1000000,-100000,100000,- -,- -,- -,2500000,8061000,10586000,11506000,15484000,29533000,16474000,10815000,11502000,6424000,3954000,6513000,154743000,144460000,134616000,134509000,310104000,433226000,628119000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33981000,31056000
61,Total Liabilities,9100000,14900000,20900000,28200000,37900000,46100000,61600000,59200000,75000000,103800000,114300000,111992000,114204000,117203000,145729000,179836000,185179000,225675000,243954000,270918000,243398000,248491000,243010000,246578000,168533000,159816000,354659000,348198000,342634000,330527000,550989000,695769000,951048000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,40500000,38082000,42382000,27743000,53102000,70085000,146589000,197748000,240647000,216261000,247265000,347604000,309221000,596000,515000,507000,506000,485000,473000,451000,450000,442000,441000
64,Retained Earnings,3300000,7100000,13200000,22800000,35700000,50100000,66800000,72300000,70700000,84100000,103900000,131896000,142794000,145220000,168939000,196893000,240776000,246816000,272394000,265191000,308187000,340728000,313079000,348830000,320006000,347193000,319162000,195694000,145247000,71242000,64303000,72547000,90256000
65,Other Comprehensive Income/Loss,-1300000,-2300000,-3900000,-5800000,-9000000,-14400000,-21900000,-30600000,-30500000,-39500000,-48300000,-54238000,-61983000,-70343000,-81367000,-92432000,-64354000,-64290000,-51376000,-53069000,-67518000,-62886000,-12000000,-11000000,-12000000,-14000000,-25000000,-29000000,-19000000,-28000000,-30000000,-32778000,-32443000
66,Other Total Stockholders Equity,6000000,8100000,30100000,36200000,43200000,52800000,68600000,72100000,56200000,58100000,46200000,51073000,61983000,70343000,81367000,92432000,58648000,64290000,56209000,53069000,67518000,62886000,12000000,299973000,205133000,209545000,227796000,239450000,249364000,266389000,295529000,305802000,354235000
67,Total Stockholders Equity,8000000,12900000,39400000,53200000,69900000,88500000,113500000,113800000,96400000,102700000,142300000,166813000,185176000,172963000,222041000,266978000,381659000,444564000,517874000,481452000,555452000,688332000,622300000,638399000,513654000,543245000,522464000,406629000,376084000,310082000,330282000,346013000,412489000
68,Total Liabilities And Stockholders Equity,17100000,27800000,60300000,81400000,107800000,134600000,175100000,173000000,171400000,206500000,256600000,278805000,299380000,290166000,367770000,446814000,566838000,670239000,761828000,752370000,798850000,936823000,865310000,884977000,682187000,703061000,877123000,754827000,718718000,640609000,881271000,1041782000,1363537000
69,Minority Interest,- -,- -,- -,- -,- -,- -,600000,200000,300000,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,17100000,27800000,60300000,81400000,107800000,134600000,175700000,173200000,171700000,206700000,256600000,278805000,299380000,290166000,367770000,446814000,566838000,670239000,761828000,752370000,798850000,936823000,865310000,884977000,682187000,703061000,877123000,754827000,718718000,640609000,881271000,1041782000,1363537000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/876167/000095013503001256/0000950135-03-001256-index.htm,https://www.sec.gov/Archives/edgar/data/876167/000095013504000730/0000950135-04-000730-index.htm,https://www.sec.gov/Archives/edgar/data/876167/000095013505000721/0000950135-05-000721-index.htm,https://www.sec.gov/Archives/edgar/data/876167/000095013506000657/0000950135-06-000657-index.htm,https://www.sec.gov/Archives/edgar/data/876167/000095013507000766/0000950135-07-000766-index.htm,https://www.sec.gov/Archives/edgar/data/876167/000095013508000383/0000950135-08-000383-index.htm,https://www.sec.gov/Archives/edgar/data/876167/000095013509000542/0000950135-09-000542-index.htm,https://www.sec.gov/Archives/edgar/data/876167/000095012310006833/0000950123-10-006833-index.htm,https://www.sec.gov/Archives/edgar/data/876167/000095012311007372/0000950123-11-007372-index.htm,https://www.sec.gov/Archives/edgar/data/876167/000119312512029136/0001193125-12-029136-index.htm,https://www.sec.gov/Archives/edgar/data/876167/000087616713000010/0000876167-13-000010-index.htm,https://www.sec.gov/Archives/edgar/data/876167/000087616714000013/0000876167-14-000013-index.htm,https://www.sec.gov/Archives/edgar/data/876167/000087616715000009/0000876167-15-000009-index.htm,https://www.sec.gov/Archives/edgar/data/876167/000087616716000060/0000876167-16-000060-index.htm,https://www.sec.gov/Archives/edgar/data/876167/000087616717000007/0000876167-17-000007-index.htm,https://www.sec.gov/Archives/edgar/data/876167/000087616718000008/0000876167-18-000008-index.htm,https://www.sec.gov/Archives/edgar/data/876167/000087616719000026/0000876167-19-000026-index.htm,https://www.sec.gov/Archives/edgar/data/876167/000087616720000027/0000876167-20-000027-index.htm,https://www.sec.gov/Archives/edgar/data/876167/000087616721000030/0000876167-21-000030-index.htm,https://www.sec.gov/Archives/edgar/data/876167/000087616722000038/0000876167-22-000038-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,6100000,9600000,12900000,14400000,16700000,5500000,-1600000,22800000,35000000,33651000,17643000,20587000,27074000,32101000,48933000,29401000,42280000,46296000,32755000,48571000,58761000,47444000,74907000,49458000,-8801000,-55726000,37417000,63491000,26400000,79722000,78420000
74,Depreciation and Amortization,- -,- -,1700000,2300000,3800000,6300000,9000000,11500000,12900000,13600000,13300000,12329000,12140000,11309000,10997000,16523000,18189000,24776000,27062000,30114000,40406000,41417000,35078000,30965000,14435000,15296000,41680000,39321000,42896000,44502000,56679000,34765000,52984000
75,Deferred Income Tax,- -,- -,-200000,-200000,200000,-300000,200000,-700000,-3000000,-4800000,-2000000,-308000,-818000,51000,-1905000,2596000,-10213000,-7219000,-4127000,-3956000,-367000,4004000,1869000,-22000,9745000,15034000,-1845000,1307000,474000,2035000,-14869000,-2622000,-908000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21536000,18121000,25999000,28233000,21399000,24873000,24004000,22541000,14153000,20569000,23311000,23482000,29724000
77,Change in Working Capital,- -,- -,5400000,9700000,9400000,13500000,18400000,-1000000,-16500000,1300000,42600000,5980000,17561000,-7616000,20376000,-41521000,85254000,-45764000,89983000,-231086000,125828000,115487000,-69913000,110395000,-113432000,59138000,-108877000,8822000,-76926000,-22588000,10979000,-67388000,-556000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2281000,-18971000,8053000,14373000,5672000,-703000,3747000,647000,6442000,2072000,- -,- -,- -
79,Inventory,- -,- -,-200000,-100000,-400000,-800000,400000,800000,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,245000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7484000,-15152000,-8660000,-370000,-3094000,673000,-11842000,9116000,-4974000,5486000
81,Other Working Capital,- -,- -,34300000,44000000,53400000,66900000,85300000,84300000,67800000,69100000,111700000,117680000,135241000,127625000,148001000,106480000,191734000,145970000,235953000,4867000,130695000,246182000,176269000,286664000,173232000,232370000,123493000,132315000,55389000,32801000,43780000,-23608000,30473000
82,Other Non-Cash Items,- -,- -,400000,- -,-9100000,-10600000,-13500000,7600000,41900000,25600000,-27800000,-8586000,-15016000,20081000,1138000,62489000,-61533000,66721000,-51191000,245814000,-157400000,-131399000,74500000,-112900000,-2474000,-56105000,158379000,86580000,87672000,13343000,25984000,76888000,18866000
83,Cash Provided by Operating Activities,- -,- -,13400000,21400000,17200000,23300000,30800000,22900000,33700000,58500000,61100000,43066000,31510000,44412000,57680000,72188000,80630000,67915000,104007000,87182000,62758000,96201000,126294000,104115000,4580000,107694000,104540000,102845000,105686000,121352000,128484000,144847000,178530000
84,CAPEX,- -,- -,-3400000,-5600000,-10500000,-8000000,-13400000,-9500000,-10000000,-15000000,-9300000,-27301000,-8518000,-6776000,-7134000,-10716000,-10909000,-21738000,-20282000,-8213000,-7369000,-9664000,-17047000,-7735000,-5062000,-11801000,-8845000,-5786000,-3377000,-7250000,-3998000,-6517000,-4654000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2100000,-4150000,- -,- -,-99320000,-31488000,-79288000,- -,-140283000,- -,-49186000,-22900000,46590000,101670000,-21193000,-241775000,- -,-77150000,- -,-225298000,-213057000,-253961000
86,Purchases of Investments,- -,- -,-24800000,-16700000,- -,- -,-78700000,-76600000,-33800000,-57000000,-59600000,-63608000,-38737000,-30523000,-36646000,-50402000,-368463000,-310539000,-334296000,-143499000,-80612000,-38632000,-152658000,-27924000,-7745000,-5537000,-24178000,-41691000,-40380000,-8258000,-10550000,-5009000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,7600000,-9100000,69700000,69100000,46300000,47400000,45600000,73316000,40761000,36808000,29147000,67212000,280765000,341694000,243516000,354753000,79333000,52293000,84441000,83020000,28778000,43321000,14626000,26475000,31559000,23101000,25320000,16401000,5950000
88,Other Investing Activites,- -,- -,-300000,-800000,-1800000,-3100000,-5600000,-2800000,-5700000,-2000000,-1100000,-2292000,-198000,-785000,-25118000,-388000,-2390000,103000,-547000,-208000,-531000,26000,5867000,189000,285000,-3470000,-1697000,- -,1557000,- -,6146000,889000,2330000
