,https://roic.ai/company/SBAC,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,6900000,34400000,83386959,117087000,4321000,2408000,1365000,31491000,724872000,868999000,1425132000,1435591000,1500012000,1639784000,3134133000,3387198000,4189540000,3735413000,3656924000,3598131000,3331465000,3626773000,3156150000,- -
41,Intangible Assets,6900000,34400000,83386959,117087000,4321000,2408000,1365000,31491000,724872000,868999000,1425132000,1435591000,1500012000,1639784000,3134133000,3387198000,4189540000,3735413000,3656924000,3598131000,3331465000,3626773000,3156150000,2803247000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,52939000,52801000,44095000,8140000,7884000,- -,- -,- -,57575000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18330000,4342000,53722000,- -
44,Other Non-Current Assets,10900000,22900000,17380027,21078000,46370000,55434000,53876000,60524000,87871000,110143000,129389000,144279000,219118000,253866000,368665000,421093000,518185000,583349000,579490000,650195000,703703000,427736000,366695000,575644000
45,Total Non-Current Assets,168700000,396200000,866581810,1336724000,1191316000,914055000,801072000,820348000,1918685000,2171111000,3057193000,3076808000,3253448000,3477043000,6227054000,6439536000,7514237000,7109255000,7036374000,7060672000,6839853000,9425670000,8685028000,9187253000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,214500000,429800000,948818100,1429011000,1304915000,982982000,917244000,952536000,2046292000,2384323000,3211508000,3313646000,3400175000,3606399000,6595617000,6783188000,7841125000,7403215000,7360945000,7320205000,7213707000,9759941000,9158018000,9801699000
48,Accounts Payable,14400000,40700000,76944232,56293000,39729000,11352000,15204000,17283000,10801000,12552000,8963000,9219000,11847000,12755000,27694000,24302000,42851000,27105000,28320000,33334000,34308000,31846000,109969000,34066000
49,Short-Term Debt,17000000,100000,2606222,365000,189397000,11538000,3250000,- -,- -,- -,6000000,28648000,- -,5000000,475351000,481886000,32500000,20000000,627157000,20000000,941728000,522090000,24000000,262497000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,12427000,11137000,10810000,11838000,24665000,37557000,45306000,54013000,61138000,49779000,76668000,94658000,120047000,97083000,101098000,97969000,108054000,113507000,113117000,184380000
