,https://roic.ai/company/THMO,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,-200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21000,- -,- -,- -,-1047000,-470000,-249000,-545000,-391000,-402000,-587000,-710000,-375000,-1238000,-182000,-23000,-93000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,-100000,-200000,- -,- -,-100000,-200000,-900000,-400000,-100000,-1885000,-317000,-366000,1921000,-849000,-211000,-35757000,8459000,7150000,11041000,8508000,-249000,-545000,2144000,-51000,-587000,-710000,-375000,-1238000,-182000,-23000,-93000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-13000,-4000,-2000,- -,- -,-150000,-60000,-6511000,-84000,-45000,-24000,-33000,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,1500000,700000,100000,- -,2900000,8000000,- -,6900000,4712000,5525000,7006000,5919000,15141000,1136000,32924000,1522000,266000,- -,- -,3914000,- -,- -,16004000,- -,2463000,2092000,6629000,756000,12522000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12000,- -,- -,- -,- -,- -,-293000,- -,- -,- -,- -,-57000,-68000,-129000,-8000,-134000,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,- -,-100000,- -,-100000,-200000,6900000,- -,-32000,1820000,- -,-25000,-17000,-38000,-210000,-16000,-18000,- -,- -,7000,- -,- -,21000,- -,16880000,3500000,527000,3467000,4933000,- -
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,1500000,700000,- -,- -,2800000,7800000,6900000,6900000,4680000,7345000,6994000,5894000,15124000,1098000,32714000,1506000,-45000,-13000,-4000,3919000,- -,-57000,15807000,-189000,12824000,5374000,7111000,4199000,17422000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7000,-29000,-11000,4000,-3000,- -,-2000,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,1500000,700000,- -,- -,2800000,7800000,6900000,300000,-1517000,2734000,1169000,2102000,9797000,-7044000,-6041000,2203000,-1346000,2271000,4076000,1578000,-4430000,-995000,7927000,-11454000,2478000,-2212000,-1113000,757000,3004000,119000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2300000,810000,3544000,4713000,6815000,16612000,9568000,3527000,5730000,4384000,6655000,10731000,12309000,7879000,6884000,14811000,3357000,5835000,3623000,3400000,4157000,7161000,7280000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,500000,200000,300000,200000,300000,300000,1200000,3500000,2000000,2327000,810000,3544000,4713000,6815000,16612000,9568000,3527000,5730000,4384000,6655000,10731000,12309000,7879000,6884000,14811000,3357000,5835000,4513000,3400000,4157000,7161000
100,Free Cash Flow,- -,- -,- -,- -,- -,-300000,-1200000,-700000,100000,- -,-1900000,-5600000,-8400000,-6600000,-4457000,-4529000,-5634000,-5805000,-5327000,-8163000,-3563000,-8383000,-8965000,-9804000,-4898000,-2358000,-4430000,-3473000,-8238000,-11236000,-10335000,-7590000,-8221000,-3442000,-14416000,-6713000
101,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/811212/000081121297000017/0000811212-97-000017-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/811212/000100127700000282/0001001277-00-000282-index.html,- -,https://www.sec.gov/Archives/edgar/data/811212/000100127702000435/0001001277-02-000435-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/811212/000095013406017420/f23377e10vk.htm,https://www.sec.gov/Archives/edgar/data/811212/000095013407019901/0000950134-07-019901-index.html,https://www.sec.gov/Archives/edgar/data/811212/000095013408016472/0000950134-08-016472-index.html,https://www.sec.gov/Archives/edgar/data/811212/000095012309042510/0000950123-09-042510-index.html,https://www.sec.gov/Archives/edgar/data/811212/000095012310086166/0000950123-10-086166-index.html,https://www.sec.gov/Archives/edgar/data/811212/000114036111045555/0001140361-11-045555-index.html,https://www.sec.gov/Archives/edgar/data/811212/000114036112041105/0001140361-12-041105-index.html,https://www.sec.gov/Archives/edgar/data/811212/000114036113034895/0001140361-13-034895-index.html,https://www.sec.gov/Archives/edgar/data/811212/000114036114036655/0001140361-14-036655-index.html,https://www.sec.gov/Archives/edgar/data/811212/000143774915017442/0001437749-15-017442-index.html,https://www.sec.gov/Archives/edgar/data/811212/000143774916038939/kool20160630_10k.htm,- -,https://www.sec.gov/Archives/edgar/data/811212/000143774919005676/0001437749-19-005676-index.html,https://www.sec.gov/Archives/edgar/data/811212/000143774920005945/0001437749-20-005945-index.html,https://www.sec.gov/Archives/edgar/data/811212/000143774921006335/0001437749-21-006335-index.htm,https://www.sec.gov/Archives/edgar/data/811212/000143774922007409/0001437749-22-007409-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
