,https://roic.ai/company/LEN,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,575800000,673500000,901500000,1070400000,1853243000,3063170000,3047393000,3876808000,4787780000,8218171000,8675149000,5443109000,5422663000,5255234000,5089414000,4753193000,7303316000,7975012000,9959698000,11192260000,11846376000,14173089000,19423581000,20759741000,21552221000,23778686000
82,Other Non-Cash Items,- -,- -,- -,- -,-22500000,25200000,-50100000,-106800000,-128700000,33500000,-85600000,-647500000,-252100000,-345800000,-296100000,-573889000,-1647015000,-391501000,-1024775000,-1738669000,-4552349000,-348203000,5999687000,1425458000,955122000,303192000,-60660000,-3246160000,-2174741000,-3566674000,-2537004000,-1261376000,-2359059000,-5666587000,-2117502000,639537000,-4536004000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,2500000,38000000,-26700000,-72300000,-68500000,101800000,-13100000,12200000,-91100000,63200000,121300000,479399000,59196000,204568000,580799000,272747000,322975000,554650000,444513000,1100834000,420843000,274228000,-259135000,-424648000,-807714000,-788488000,-419646000,507804000,996864000,1711609000,1482343000,4190819000,2532774000
84,CAPEX,- -,- -,- -,- -,- -,-4000000,-4500000,-11700000,-21400000,-55100000,-10100000,-26300000,-70800000,-203700000,-35100000,-16022000,-13110000,-4085000,-18848000,-27389000,-21747000,-26783000,- -,- -,- -,-5062000,-9936000,-2822000,-8126000,-22599000,-91355000,-76439000,-111773000,-130439000,-86497000,-72752000,-65172000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-158357000,- -,-424277000,-159389000,-105730000,-416049000,-33213000,- -,- -,24119000,-184699000,- -,-116166000,-146768000,-165272000,-314937000,-426486000,-1041407000,-1283555000,-394089000,-471239000,-372516000
86,Purchases of Investments,- -,- -,- -,- -,-26900000,- -,- -,- -,- -,-42900000,-57500000,-119500000,-113000000,-3400000,-13100000,-18112000,-18143000,-31545000,-29614000,-48562000,-37350000,-108626000,-107791000,-176514000,-327741000,-537859000,-237285000,-62541000,-64664000,-70606000,-105753000,-80200000,-160820000,-78373000,-36261000,-45548000,-128162000
87,Sales/Maturities of Investments,- -,- -,- -,- -,4700000,- -,- -,- -,- -,- -,16300000,48100000,158100000,3700000,11600000,14946000,17700000,22442000,17674000,34376000,36078000,82492000,107530000,220322000,28173000,7995000,109099000,51637000,36052000,101117000,30640000,25467000,45375000,439459000,52593000,56166000,27619000
88,Other Investing Activites,- -,- -,- -,- -,-4600000,-16000000,-7300000,-37000000,-36900000,-26200000,20100000,-77700000,197000000,-6400000,8100000,-9171000,15416000,71788000,71980000,-290851000,-564505000,-320339000,307244000,-309511000,329000,41192000,-7968000,375183000,872755000,595719000,383012000,471821000,398808000,444786000,483850000,253168000,433145000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-26800000,-20000000,-11800000,-48700000,-58300000,-124200000,-31200000,-175400000,171300000,-209800000,-28500000,-186716000,1863000,-365677000,-118197000,-438156000,-1003573000,-406469000,306983000,-265703000,-275120000,-673371000,-136154000,245291000,689249000,438359000,-98393000,-85837000,-869817000,-608122000,19596000,-280205000,-105086000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-455014000,-616159000,-249389000,-499974000,-822365000,-625592000,-817031000,-499994000,-1422968000,-2052191000,-1122902000,-2386829000,-1355063000
91,Common Stock Issued,- -,- -,- -,- -,1300000,700000,3000000,1200000,98300000,800000,1000000,1000000,2800000,41300000,3300000,5577000,19789000,19317000,18197000,14537000,38069000,31131000,21588000,224000,221437000,2238000,6751000,32174000,34114000,13599000,9405000,19471000,720000,3061000,493000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-1400000,-300000,- -,- -,- -,- -,- -,- -,- -,-6000000,-152925000,- -,-65000,-1044000,-113582000,-289284000,-323229000,-3971000,-1758000,-1566000,-1806000,-5724000,-17149000,-12320000,-20424000,-23188000,-19902000,-27054000,-299833000,-523074000,-321524000,-1430212000
93,Dividends Paid,- -,- -,- -,- -,-2300000,-2300000,-2300000,-2300000,-2600000,-3300000,-3500000,-3500000,-3300000,-2700000,-2900000,-2896000,-3146000,-3182000,-22705000,-79945000,-89229000,-101295000,-101123000,-83487000,-27588000,-29577000,-29906000,-30394000,-30912000,-32775000,-33192000,-35324000,-37608000,-49159000,-51454000,-195043000,-309776000
94,Other Financing Activites,- -,- -,- -,- -,24600000,-15500000,39900000,123700000,36700000,28600000,59200000,162000000,-77800000,107000000,-30600000,73271000,465695000,44924000,36663000,501468000,664570000,-35812000,-651115000,-341882000,371024000,981144000,443026000,841839000,609710000,1326630000,1258676000,284866000,2681206000,202221000,67713000,456821000,690316000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,23600000,-18500000,40300000,122600000,132400000,26100000,56700000,159500000,-78300000,145600000,-36200000,-76973000,482338000,60994000,31111000,322478000,324126000,-429205000,-734621000,-426903000,108293000,335840000,164758000,326496000,-221773000,661438000,394670000,-250883000,1194296000,-2195901000,-1629224000,-2446575000,-2404735000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,23600000,-18500000,40300000,122600000,132400000,26100000,56700000,159500000,-78300000,145600000,56600000,215710000,543397000,-100115000,493713000,157069000,-356472000,-281024000,16875000,408228000,254016000,-63303000,-230531000,147139000,-340238000,311309000,-123369000,171084000,1321343000,-1092414000,-127285000,1464039000,22953000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,118200000,333877000,877274000,777159000,1270872000,1427941000,1059343000,778319000,795194000,1203422000,1457438000,1394135000,1163604000,1310743000,970505000,1281814000,1158445000,1329529000,2650872000,1558458000,1468691000,2932730000,2955683000
99,Cash at the Beginning of Period,- -,- -,- -,- -,2700000,2000000,1500000,3300000,4900000,14200000,17900000,30200000,51000000,62600000,61600000,118167000,333877000,877274000,777159000,1270872000,1415815000,1059343000,778319000,795194000,1203422000,1457438000,1394135000,1163604000,1310743000,970505000,1281814000,1158445000,1329529000,2650872000,1595976000,1468691000,2932730000
100,Free Cash Flow,- -,- -,- -,- -,2500000,34000000,-31200000,-84000000,-89900000,46700000,-23200000,-14100000,-161900000,-140500000,86200000,463377000,46086000,200483000,561951000,245358000,301228000,527867000,444513000,1100834000,420843000,269166000,-269071000,-427470000,-815840000,-811087000,-511001000,431365000,885091000,1581170000,1395846000,4118067000,2467602000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/920760/000119312504032317/d10k.htm,https://www.sec.gov/Archives/edgar/data/920760/000119312505027428/d10k.htm,- -,https://www.sec.gov/Archives/edgar/data/920760/000119312507024341/d10k.htm,https://www.sec.gov/Archives/edgar/data/920760/000119312508014540/d10k.htm,https://www.sec.gov/Archives/edgar/data/920760/000119312509011559/0001193125-09-011559-index.html,https://www.sec.gov/Archives/edgar/data/920760/000119312510017215/0001193125-10-017215-index.html,https://www.sec.gov/Archives/edgar/data/920760/000119312511018957/0001193125-11-018957-index.html,https://www.sec.gov/Archives/edgar/data/920760/000119312512029792/0001193125-12-029792-index.html,https://www.sec.gov/Archives/edgar/data/920760/000144530513000116/0001445305-13-000116-index.html,https://www.sec.gov/Archives/edgar/data/920760/000144530514000129/len-20131130x10k.htm,https://www.sec.gov/Archives/edgar/data/920760/000162828015000218/len-20141130x10k.htm,https://www.sec.gov/Archives/edgar/data/920760/000162828016010323/0001628280-16-010323-index.html,https://www.sec.gov/Archives/edgar/data/920760/000162828017000327/0001628280-17-000327-index.html,https://www.sec.gov/Archives/edgar/data/920760/000162828018000562/0001628280-18-000562-index.html,https://www.sec.gov/Archives/edgar/data/920760/000162828019000598/0001628280-19-000598-index.html,https://www.sec.gov/Archives/edgar/data/920760/000162828020000559/0001628280-20-000559-index.html,https://www.sec.gov/Archives/edgar/data/920760/000162828021000722/0001628280-21-000722-index.htm,https://www.sec.gov/Archives/edgar/data/920760/000162828022001450/0001628280-22-001450-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
