,https://roic.ai/company/TRMB,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,-4000000,9500000,-900000,-9600000,26600000,-1400000,-1900000,- -,-800000,-1800000,126914000,-59828000,- -,-53122000,-50964000,-37865000,7596000,71952000,- -,96645000,9639000,748987000,1224697000,- -,421218000,890265000,361500000,786000000,2967300000,- -,1181000000,197300000
95,Cash Used/Provided by Financing Activities,- -,1700000,20400000,13700000,7000000,-5700000,30300000,63100000,400000,- -,6400000,2700000,138957000,-23450000,- -,-31729000,-24159000,-13402000,34162000,103816000,- -,-6441000,-20164000,464167000,426407000,- -,-98419000,-51524000,-155800000,79100000,989400000,- -,-292600000,-447700000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2633000,-4005000,-49000,-5828000,- -,-3608000,-552000,1602000,329000,- -,-1996000,-10740000,-6800000,17400000,-12500000,- -,-400000,-11300000
97,Net Change In Cash,- -,1700000,20400000,13700000,7000000,-5700000,30300000,63100000,400000,- -,6400000,8400000,-8388000,-9798000,- -,-2399000,26456000,1981000,55768000,-26419000,- -,44329000,-53060000,-66167000,3150000,- -,-10544000,773000,100100000,142400000,-186000000,- -,16700000,88000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,49300000,40876000,31078000,- -,28679000,71872000,73853000,129621000,103202000,- -,147531000,220788000,154621000,157771000,- -,147227000,148000000,216100000,358500000,172500000,- -,189200000,325700000
99,Cash at the Beginning of Period,- -,1800000,500000,9000000,1600000,1900000,1900000,17600000,29700000,- -,22700000,40900000,49264000,40876000,- -,31078000,45416000,71872000,73853000,129621000,- -,103202000,273848000,220788000,154621000,- -,157771000,147227000,116000000,216100000,358500000,- -,172500000,237700000
100,Free Cash Flow,- -,-3100000,-10900000,-20700000,-6700000,5700000,6000000,-3200000,-14300000,- -,-13100000,17200000,12280000,17839000,- -,27939000,60365000,70870000,121558000,173798000,- -,159878000,98834000,216685000,285459000,- -,343758000,352138000,380800000,368200000,419100000,- -,516000000,704400000
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,undefined,- -,- -,- -,- -,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/864749/000114036108005047/0001140361-08-005047-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/864749/000114036109005551/0001140361-09-005551-index.htm,https://www.sec.gov/Archives/edgar/data/864749/000119312511050403/0001193125-11-050403-index.htm,https://www.sec.gov/Archives/edgar/data/864749/000119312512082672/0001193125-12-082672-index.htm,https://www.sec.gov/Archives/edgar/data/864749/000086474913000005/0000864749-13-000005-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/864749/000086474914000021/0000864749-14-000021-index.htm,https://www.sec.gov/Archives/edgar/data/864749/000086474915000002/0000864749-15-000002-index.htm,https://www.sec.gov/Archives/edgar/data/864749/000086474917000007/0000864749-17-000007-index.htm,https://www.sec.gov/Archives/edgar/data/864749/000086474918000010/0000864749-18-000010-index.htm,https://www.sec.gov/Archives/edgar/data/864749/000086474919000006/0000864749-19-000006-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/864749/000086474920000029/0000864749-20-000029-index.htm,https://www.sec.gov/Archives/edgar/data/864749/000086474922000044/0000864749-22-000044-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
