,https://roic.ai/company/MAN,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
89,Cash Used for Investing Activites,-3900000,25500000,-20200000,-15200000,-24700000,-40600000,-53200000,-112200000,-171500000,-78600000,-247700000,-367000000,-86700000,-56200000,-149800000,-85700000,45000000,-201500000,-329200000,-39800000,-323600000,-109500000,-117300000,-87600000,-81400000,-298100000,-110400000,-74500000,-54900000,-16200000,-42400000,-987000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-170700000,-373900000,-16700000,14500000,-703200000,-269500000,-2600000,-2000000,-6400000,-400000,-408600000,-1300000,-400000,-2200000
91,Common Stock Issued,100000,1400000,- -,- -,- -,- -,- -,- -,12000000,18700000,10000000,14000000,29400000,35600000,60000000,29700000,54000000,35000000,12200000,14200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-3200000,-81900000,-43900000,-100800000,-20000000,-3000000,-30700000,- -,- -,-217600000,-235900000,-419200000,-125400000,- -,-34800000,-104500000,-138200000,- -,-143500000,-580200000,-482200000,-203900000,-500700000,-203000000,-264700000,-210000000
93,Dividends Paid,- -,- -,- -,- -,-8100000,-10200000,-12300000,-13800000,-15200000,-15300000,-15100000,-15000000,-15300000,-15600000,-27100000,-41200000,-50900000,-57100000,-58100000,-58000000,-60800000,-65100000,-67800000,-72000000,-77300000,-121000000,-118400000,-123700000,-127300000,-129300000,-129100000,-136600000
94,Other Financing Activites,-104500000,-32800000,-27500000,-77500000,12700000,9500000,29500000,137800000,-9800000,246600000,71800000,312000000,-115000000,-84500000,5700000,18900000,10400000,9500000,250200000,147000000,30200000,31600000,744600000,115300000,35200000,559000000,9400000,8700000,551700000,-3800000,-41000000,65100000
95,Cash Used/Provided by Financing Activities,-104400000,-31400000,-27500000,-77500000,4600000,-700000,14000000,42100000,-56900000,149200000,46700000,308000000,-131600000,-64500000,38600000,-210200000,-222400000,-431800000,-91800000,-270700000,-82100000,-123500000,-164600000,-226200000,-188200000,-144200000,-597600000,-319300000,-484900000,-337400000,-435200000,-283700000
96,Effect of Forex Changes on Cash,- -,- -,-9800000,-100000,2400000,4000000,-11400000,-4300000,1400000,-8900000,-16900000,-13000000,28600000,39500000,29400000,-48100000,51300000,50700000,-34500000,36800000,-18400000,-28300000,17900000,6600000,-75000000,-37900000,-24000000,83400000,-40400000,-26900000,82500000,-93400000
97,Net Change In Cash,-104400000,-31400000,-27500000,-77500000,4600000,-700000,14000000,42100000,-56900000,61200000,-60000000,64000000,38200000,142200000,105600000,-76900000,233000000,-150400000,336500000,140600000,-242000000,-192100000,67600000,89500000,-38400000,31300000,-132000000,90500000,-97100000,433900000,541300000,-719300000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,241700000,181700000,246000000,284000000,426200000,531800000,454900000,687900000,537500000,874000000,1014600000,772600000,580500000,648100000,737600000,699200000,730500000,598500000,689000000,591900000,1025800000,1567100000,847800000
99,Cash at the Beginning of Period,60600000,38100000,44700000,50600000,63300000,82000000,142800000,180600000,142200000,180500000,241700000,182000000,245800000,284000000,426200000,531800000,454900000,687900000,537500000,874000000,1014600000,772600000,580500000,648100000,737600000,699200000,730500000,598500000,689000000,591900000,1025800000,1567100000
100,Free Cash Flow,44400000,-14100000,41200000,87900000,9900000,54300000,47500000,-62500000,92700000,-94000000,75300000,49000000,169400000,167900000,119500000,189500000,279100000,340600000,698900000,379200000,123600000,4300000,259600000,352000000,254700000,459200000,543100000,346200000,418400000,761500000,885700000,580600000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/871763/0000950124-98-001814-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/871763/000119312505034776/0001193125-05-034776-index.htm,https://www.sec.gov/Archives/edgar/data/871763/000119312506041441/0001193125-06-041441-index.htm,https://www.sec.gov/Archives/edgar/data/871763/000119312507042164/0001193125-07-042164-index.htm,https://www.sec.gov/Archives/edgar/data/871763/000119312508037291/0001193125-08-037291-index.htm,https://www.sec.gov/Archives/edgar/data/871763/000087176309000009/0000871763-09-000009-index.htm,https://www.sec.gov/Archives/edgar/data/871763/000087176310000010/0000871763-10-000010-index.htm,https://www.sec.gov/Archives/edgar/data/871763/000087176311000011/0000871763-11-000011-index.htm,https://www.sec.gov/Archives/edgar/data/871763/000087176312000015/0000871763-12-000015-index.htm,https://www.sec.gov/Archives/edgar/data/871763/000087176313000006/0000871763-13-000006-index.htm,https://www.sec.gov/Archives/edgar/data/871763/000087176314000011/0000871763-14-000011-index.htm,https://www.sec.gov/Archives/edgar/data/871763/000087176315000008/0000871763-15-000008-index.htm,https://www.sec.gov/Archives/edgar/data/871763/000087176316000150/0000871763-16-000150-index.htm,https://www.sec.gov/Archives/edgar/data/871763/000087176317000071/0000871763-17-000071-index.htm,https://www.sec.gov/Archives/edgar/data/871763/000087176318000070/0000871763-18-000070-index.htm,https://www.sec.gov/Archives/edgar/data/871763/000087176319000050/0000871763-19-000050-index.htm,https://www.sec.gov/Archives/edgar/data/871763/000156459020005762/0001564590-20-005762-index.htm,https://www.sec.gov/Archives/edgar/data/871763/000156459021006974/0001564590-21-006974-index.htm,https://www.sec.gov/Archives/edgar/data/871763/000095017022001500/0000950170-22-001500-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
