,https://roic.ai/company/CHE,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5585000,-8109000,13810000,-1397000,4954000,40340000,-25824000,476000,891000,12890000,8935000,28417000,19096000,9832000
81,Other Working Capital,- -,- -,- -,- -,62500000,49800000,78700000,57900000,17600000,40600000,74400000,67900000,83100000,33500000,13400000,-472000,14943000,26359000,42993000,28439000,35355000,-3951000,-13427000,-17789000,62174000,47455000,5353000,40849000,-139330000,-990000,-20528000,-1932000,-17476000,-31830000,-71549000,30295000,-44000
82,Other Non-Cash Items,- -,- -,- -,- -,1700000,13500000,-69000000,15600000,24100000,-60700000,-55500000,-6600000,-25500000,29800000,7700000,19576000,9606000,4709000,-2917000,56013000,17627000,56032000,10397000,10194000,-34435000,-15496000,85349000,-20402000,228399000,-167428000,38293000,-21732000,40599000,51452000,78610000,-26387000,23571000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,47800000,40000000,20200000,18100000,17700000,23100000,18800000,35800000,33400000,20800000,27500000,51838000,34362000,29523000,22590000,94155000,80013000,98589000,99584000,112083000,160832000,86012000,174343000,131768000,150847000,110279000,171500000,135393000,162495000,287138000,301249000,489289000,308597000
84,CAPEX,- -,- -,- -,- -,-14100000,-13000000,-11400000,-8200000,-13900000,-18400000,-15400000,-19000000,-20100000,-36800000,-37900000,-31003000,-14134000,-11855000,-11178000,-18290000,-25956000,-21987000,-26640000,-26094000,-21496000,-25639000,-29592000,-35252000,-29324000,-43571000,-44135000,-39772000,-64300000,-52872000,-53022000,-58831000,-58675000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1236000,-3850000,-344727000,-6207000,-4145000,-1079000,-11200000,-1919000,-9469000,-3664000,-5900000,-2257000,-250000,-6614000,- -,-4725000,-53177000,-138010000,-3600000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-1397300000,-195800000,-51500000,-29800000,-1900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,1324200000,239800000,88100000,9200000,32400000,42500000,14100000,15000000,7700000,4290000,1377000,1917000,31763000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-12400000,-2600000,103500000,-65400000,-23500000,33600000,4700000,-107900000,132000000,-3400000,-2000000,-4607000,- -,52659000,-25608000,9808000,-9579000,-418000,1403000,-17427000,-20923000,-26231000,-30450000,-34784000,-29089000,-43277000,-43703000,-39862000,-62883000,-52048000,-52750000,-57960000,-57757000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-26500000,-15600000,19000000,-29600000,-800000,-5400000,19800000,-84400000,126000000,-25200000,-32200000,-31320000,-12757000,41485000,-8873000,-353209000,-41742000,-26550000,-26316000,-28627000,-22842000,-35700000,-34114000,-40684000,-31346000,-43527000,-50317000,-39862000,-67608000,-105225000,-190760000,-61560000,-57757000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-19569000,-22869000,- -,- -,- -,- -,-525806000,-159450000,-167050000,-269200000,-481550000,-482100000,-264900000,-25300000
91,Common Stock Issued,- -,- -,- -,- -,1700000,5900000,1000000,2300000,4300000,7600000,900000,500000,- -,- -,- -,- -,- -,1547000,3287000,11774000,12327000,3861000,30081000,- -,- -,- -,8036000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-1200000,-22200000,-7800000,-6400000,-3800000,-7300000,-3000000,-3700000,- -,-400000,-4500000,-5728000,-1226000,-3214000,-637000,-2654000,-7401000,-19885000,-131704000,-69788000,-4225000,-109330000,-147886000,-64722000,-98259000,-117543000,-75057000,-111085000,-108863000,-186432000,-121105000,-200922000,-591171000
93,Dividends Paid,- -,- -,- -,- -,-18500000,-20300000,-19800000,-19600000,-19700000,-20100000,-20300000,-20400000,-21000000,-21700000,-22500000,-4022000,-4384000,-4438000,-4761000,-5718000,-6172000,-6322000,-5888000,-5543000,-8157000,-11881000,-12538000,-13026000,-14148000,-14255000,-15605000,-16439000,-17371000,-18662000,-19788000,-21079000,-22016000
94,Other Financing Activites,- -,- -,- -,- -,-1900000,10000000,-7500000,43900000,2400000,-7800000,-1800000,65000000,-81500000,-3000000,7600000,-17770000,-10935000,-35428000,159000,276412000,-51340000,-76370000,15359000,10084000,6049000,8400000,323000,18114000,7793000,520566000,129524000,199626000,296358000,498441000,513831000,215689000,257867000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-19900000,-26600000,-34100000,20200000,-16800000,-27600000,-24200000,41400000,-102500000,-25100000,-19400000,-27520000,-16545000,-41533000,-1952000,279814000,-52586000,-98716000,-92152000,-84816000,-29202000,-112811000,-152065000,-59634000,-104614000,-137038000,-120588000,-94948000,-99076000,-188203000,-109162000,-271212000,-380620000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9900000,- -,- -,- -,- -,-24100000,-7002000,-1272000,29006000,12856000,20760000,-14315000,-27859000,-24286000,-1360000,108788000,-62499000,-11836000,31450000,14887000,-70286000,595000,583000,-4189000,-6290000,1327000,156517000,-129780000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,4700000,- -,- -,- -,- -,17300000,10280000,9008000,37731000,50587000,71448000,57133000,29274000,4988000,3628000,112416000,49917000,38081000,69531000,84418000,14132000,14727000,15310000,11121000,4831000,6158000,162675000,32895000
99,Cash at the Beginning of Period,- -,- -,- -,- -,2200000,3700000,800000,5900000,14500000,14600000,4700000,19200000,14000000,71000000,41400000,17282000,10280000,8725000,37731000,50688000,71448000,57133000,29274000,4988000,3628000,112416000,49917000,38081000,69531000,84418000,14132000,14727000,15310000,11121000,4831000,6158000,162675000
100,Free Cash Flow,- -,- -,- -,- -,33700000,27000000,8800000,9900000,3800000,4700000,3400000,16800000,13300000,-16000000,-10400000,20835000,20228000,17668000,11412000,75865000,54057000,76602000,72944000,85989000,139336000,60373000,144751000,96516000,121523000,66708000,127365000,95621000,98195000,234266000,248227000,430458000,249922000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/19584/000095015297002245/0000950152-97-002245-index.html,https://www.sec.gov/Archives/edgar/data/19584/000095015298002507/0000950152-98-002507-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/19584/000102140802004235/0001021408-02-004235-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/19584/000095015205003650/0000950152-05-003650-index.htm,- -,https://www.sec.gov/Archives/edgar/data/19584/000095015207001581/0000950152-07-001581-index.html,https://www.sec.gov/Archives/edgar/data/19584/000095015208001503/l30298ae10vk.htm,https://www.sec.gov/Archives/edgar/data/19584/000095015209001893/0000950152-09-001893-index.html,https://www.sec.gov/Archives/edgar/data/19584/000095012310017609/0000950123-10-017609-index.html,https://www.sec.gov/Archives/edgar/data/19584/000095012311019686/l41914e10vk.htm,https://www.sec.gov/Archives/edgar/data/19584/000115752312001051/0001157523-12-001051-index.html,https://www.sec.gov/Archives/edgar/data/19584/000115752313001064/0001157523-13-001064-index.html,https://www.sec.gov/Archives/edgar/data/19584/000115752314000846/a50809562.htm,https://www.sec.gov/Archives/edgar/data/19584/000115752315000756/a51044635.htm,https://www.sec.gov/Archives/edgar/data/19584/000115752316004755/0001157523-16-004755-index.html,https://www.sec.gov/Archives/edgar/data/19584/000115752317000638/0001157523-17-000638-index.html,https://www.sec.gov/Archives/edgar/data/19584/000115752318000411/0001157523-18-000411-index.html,https://www.sec.gov/Archives/edgar/data/19584/000115752319000468/0001157523-19-000468-index.html,https://www.sec.gov/Archives/edgar/data/19584/000001958420000006/0000019584-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/19584/000001958421000003/0000019584-21-000003-index.htm,https://www.sec.gov/Archives/edgar/data/19584/000156276222000060/0001562762-22-000060-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
