,https://roic.ai/company/NEON,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,900000,1100000,1000000,1400000,900000,1094000,545000,488000,696000,856000,743000,557000,5065000,688000,719000,442000,447000,539000,479000,566000,965000,1286000,509000,501000,555000,1084000,776000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,- -,- -,- -,- -,- -,447000,- -,25000,29000,54000,132000,17000,307000,9490000,- -,- -,- -,- -,- -,- -,- -,- -,- -,9490000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,138000,432000,2979000,- -,- -,540000,1906000,2725000,3666000,3403000,1475000,1921000,1248000,75000,67000,138000,106000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,800000,1100000,1400000,600000,600000,2216000,1156000,680000,675000,850000,333000,249000,11572000,320000,3805000,643000,601000,804000,978000,996000,1371000,1401000,1826000,1737000,2401000,-6502000,2091000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1700000,3200000,2400000,2000000,1500000,3310000,1701000,1615000,1371000,1731000,1243000,1292000,19748000,1025000,4831000,11115000,2954000,4068000,5123000,4965000,3811000,4608000,3583000,2313000,3023000,4210000,2973000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,158000,60000,207000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,900000,300000,500000,200000,200000,7000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,300000,400000,400000,500000,300000,281000,4870000,10000,217000,139000,241000,97000,- -,- -,- -,- -,- -,- -,- -,367000,283000,960000,1681000,1133000,566000,472000,182000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1200000,700000,900000,700000,500000,288000,4870000,10000,217000,139000,241000,255000,60000,207000,- -,- -,- -,- -,- -,367000,283000,960000,1681000,1133000,566000,472000,182000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,139000,241000,158000,- -,- -,- -,- -,- -,- -,- -,428000,340000,1188000,2249000,1703000,1466000,1745000,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2900000,3900000,3300000,2700000,2000000,3598000,6571000,1625000,1588000,1870000,1484000,1547000,19808000,1232000,4831000,11115000,2954000,4068000,5123000,5332000,4094000,5568000,5264000,3446000,3589000,4682000,3155000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3533000,880000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10900000,13855000,13877000,14711000,15302000,15755000,35431000,- -,238000,35000,416000,22000,33000,33000,38000,40000,44000,49000,59000,9000,9000,12000,14000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4400000,-5200000,-1900000,-1500000,-1300000,1291000,-8605000,-10336000,-9773000,-11452000,-15682000,-31865000,-58668000,-64602000,-76850000,-112183000,-129328000,-138615000,-151695000,-165929000,-173749000,-179040000,-183745000,-185222000,-190520000,-196158000,-202608000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3700000,-6500000,-5100000,-5800000,-5800000,-7277000,-7994000,-4941000,-4489000,-4683000,-16000000,- -,354000,-30000,-7000,-18000,-43000,-145000,-214000,-350000,-471000,-560000,-1576000,-2448000,-1000000,-404000,-408000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11400000,15700000,15000000,15800000,4700000,5960000,6841000,4262000,4347000,4683000,13599000,- -,- -,60011000,70883000,102315000,143011000,146827000,158219000,169509000,176021000,184056000,194285000,199499000,197904000,211663000,222839000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12100000,4000000,8000000,8500000,8500000,13829000,4119000,3696000,5387000,4303000,17348000,3321000,-2885000,-1053000,-4678000,-9864000,13673000,8100000,6348000,3270000,1845000,4505000,9023000,11838000,6393000,15113000,19837000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15000000,7900000,11300000,11200000,10500000,17427000,10690000,5321000,6975000,6173000,18832000,4868000,16923000,179000,153000,1251000,16627000,12168000,11471000,8602000,5939000,10073000,14287000,15284000,9982000,19795000,22992000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12000,-370000,-1160000,-2042000,-2546000,-3223000,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15000000,7900000,11300000,11200000,10500000,17427000,10690000,5321000,6975000,6173000,18832000,4868000,16923000,179000,153000,1251000,16627000,12168000,11471000,8602000,5927000,9703000,13127000,13242000,7436000,16572000,22992000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/87050/000114420409020511/0001144204-09-020511-index.htm,https://www.sec.gov/Archives/edgar/data/87050/000121390010001087/0001213900-10-001087-index.htm,https://www.sec.gov/Archives/edgar/data/87050/000121390011001667/0001213900-11-001667-index.htm,https://www.sec.gov/Archives/edgar/data/87050/000121390012001451/0001213900-12-001451-index.htm,https://www.sec.gov/Archives/edgar/data/87050/000121390013001080/0001213900-13-001080-index.htm,https://www.sec.gov/Archives/edgar/data/87050/000121390014001283/0001213900-14-001283-index.htm,https://www.sec.gov/Archives/edgar/data/87050/000121390015001687/0001213900-15-001687-index.htm,https://www.sec.gov/Archives/edgar/data/87050/000121390016011504/0001213900-16-011504-index.htm,https://www.sec.gov/Archives/edgar/data/87050/000121390017002322/0001213900-17-002322-index.htm,https://www.sec.gov/Archives/edgar/data/87050/000121390018002697/0001213900-18-002697-index.htm,https://www.sec.gov/Archives/edgar/data/87050/000121390019003713/0001213900-19-003713-index.htm,https://www.sec.gov/Archives/edgar/data/87050/000121390020005949/0001213900-20-005949-index.htm,https://www.sec.gov/Archives/edgar/data/87050/000121390021014481/0001213900-21-014481-index.htm,https://www.sec.gov/Archives/edgar/data/87050/000121390022011462/0001213900-22-011462-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,500000,500000,600000,900000,600000,1900000,1300000,2600000,2500000,1300000,-4600000,-9600000,3300000,400000,200000,3970000,-9896000,-1731000,563000,-1679000,-4230000,-16183000,-48441000,-5934000,-11305000,-31626000,-17145000,-9287000,-13080000,-14234000,-7820000,-5291000,-4705000,-3060000,-5298000,-5605000,-7268000
74,Depreciation and Amortization,- -,100000,100000,300000,800000,1100000,1000000,1100000,1300000,1100000,1100000,1300000,1700000,1100000,1000000,800000,962000,1077000,730000,443000,829000,1241000,3880000,298000,339000,9000,11000,26000,97000,144000,202000,187000,360000,953000,1008000,1259000,1172000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,-300000,100000,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6789000,5430000,550000,3499000,2656000,1729000,1075000,255000,72000,29000,- -,77000,- -
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,7600000,- -,-5600000,5500000,100000,-500000,4542000,-4047000,-4610000,960000,-6000,1581000,-3819000,-3998000,-1393000,2728000,-3736000,-5190000,23453000,-5863000,-1689000,-3030000,-1461000,1539000,3153000,1967000,-5770000,8029000,-4291000,12910000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-47000,-146000,-3228000,1253000,1155000,-304000,-239000,-204000,542000,481000,397000,-394000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,200000,-900000,100000,700000,100000,-600000,-100000,1900000,-900000,200000,-2951000,490000,2518000,30000,-46000,643000,544000,-6616000,-3089000,- -,- -,- -,- -,- -,- -,- -,-737000,-372000,-142000,124000,-91000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
