,https://roic.ai/company/NWL,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,98000000,-103600000,-17600000,-101200000,-19000000,-140900000,-33800000,-324500000,288700000,161700000,310800000,168000000,130000000
79,Inventory,- -,- -,- -,- -,10600000,18600000,-9700000,26700000,-6300000,-13800000,-4400000,27300000,18300000,-16700000,52700000,-100495000,128610000,12900000,179400000,-57900000,45700000,-32200000,-53600000,30900000,243100000,-14500000,-21500000,7700000,-61600000,-28200000,-97800000,784600000,-350400000,125700000,131400000,-29000000,-396000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-103600000,39100000,3300000,56300000,59000000,87300000,20300000,282000000,211000000,-309300000,-109200000,415000000,177000000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,452600000,471100000,717600000,769600000,1108700000,1345826000,316800000,465600000,978200000,1141100000,675300000,580300000,87900000,187900000,422600000,466100000,487100000,700300000,681100000,535900000,504900000,3192500000,1761200000,4418800000,1131900000,1007000000,945000000
82,Other Non-Cash Items,- -,- -,- -,- -,-7700000,4200000,66900000,80000000,-219300000,-60400000,-540800000,-68800000,-338700000,-349700000,-142600000,-387590000,1275534000,594500000,40500000,255200000,708400000,165100000,504500000,215200000,-142500000,43600000,215300000,-263800000,-134900000,176200000,53200000,-1921400000,689800000,6028600000,4803700000,2189900000,38000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,113800000,140100000,214100000,238200000,30100000,238400000,276700000,367300000,387100000,302600000,554000000,623487000,865418000,868900000,773200000,660000000,641600000,643400000,655300000,454900000,602800000,582600000,561300000,618500000,605200000,634100000,565800000,1828500000,932000000,680000000,1044000000,1432000000,884000000
84,CAPEX,- -,- -,- -,- -,-25100000,-36600000,-57100000,-254900000,-58900000,-66000000,-270400000,-152500000,-813700000,-585300000,-546000000,-316564000,-249775000,-252100000,-300000000,-121900000,-92200000,-138300000,-157300000,-157800000,-153300000,-164700000,-222900000,-177200000,-138200000,-161900000,-211400000,-441400000,-406200000,-384400000,-264900000,-259000000,-289000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-597847000,-107479000,-242200000,-460000000,-6600000,-740000000,-60600000,-106000000,-655700000,-13700000,-1500000,24300000,17000000,189800000,-583300000,-456400000,-8387400000,1472600000,5133300000,995700000,16000000,- -
86,Purchases of Investments,- -,- -,- -,- -,-21000000,-6000000,-10900000,-11900000,- -,- -,- -,-3500000,- -,-26100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,72900000,- -,1100000,37300000,- -,6400000,303900000,14300000,- -,7775000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-27500000,2700000,-176700000,-34400000,-108000000,-342800000,1300000,8800000,5000000,172800000,700000,5119000,45919000,7800000,43900000,318100000,65500000,187000000,-2300000,9400000,-135700000,-151900000,-230700000,-180000000,-136400000,-168600000,-193500000,-437400000,-394100000,-325900000,-260300000,-244000000,-268000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-73600000,-39900000,-244700000,-228300000,-166900000,-407700000,-231800000,-147200000,-802300000,-134700000,-531000000,-909292000,-303560000,-486500000,-716100000,189600000,-766700000,-11900000,-265600000,-804100000,-149400000,-153400000,-206400000,-163000000,53400000,-751900000,-649900000,-8824800000,1078500000,4807400000,735400000,-228000000,-268000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1113000000,-710800000,-154100000,-1203400000,- -,-465200000,- -,-1100000000,-1512200000,-2590300000,-1311000000,-625000000,-698000000
91,Common Stock Issued,- -,- -,- -,- -,5400000,4900000,5900000,9000000,5200000,2800000,7100000,7300000,6600000,3900000,27400000,1263000,2863000,19000000,207900000,1400000,- -,16700000,25400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-11800000,-3000000,-9000000,- -,- -,- -,- -,- -,- -,- -,- -,-402962000,- -,- -,- -,- -,-2600000,- -,- -,- -,- -,-500100000,-46100000,-91500000,-499200000,-379100000,-210400000,-16100000,-171000000,-1526100000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,-25700000,-30200000,-36900000,-46300000,-54300000,-61500000,-72800000,-88900000,-101800000,-116500000,-225800000,-225083000,-223998000,-224400000,-230900000,-231000000,-231500000,-232800000,-234700000,-234500000,-71400000,-55400000,-84900000,-125900000,-174100000,-182500000,-206300000,-328600000,-428600000,-434600000,-390300000,-392000000,-394000000
94,Other Financing Activites,- -,- -,- -,- -,-6400000,-50700000,60500000,12900000,160700000,240000000,64600000,-192900000,544300000,-32400000,194800000,836840000,-354738000,-129500000,54400000,-264500000,-23100000,-334000000,-57500000,540500000,757400000,694400000,-39500000,974800000,59800000,1145800000,589000000,8785100000,-49800000,-903500000,-202300000,458000000,-51000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-38500000,-79000000,20500000,-24400000,111600000,181300000,-1100000,-274500000,449100000,-145000000,-3600000,210058000,-575873000,-334900000,31400000,-494100000,-257200000,-550100000,-266800000,306000000,-427000000,-571900000,-324600000,-446000000,-613500000,119000000,172300000,7340400000,-2161600000,-5454500000,-1903600000,-559000000,-1143000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2200000,-1500000,-3800000,-3892000,-1708000,800000,800000,5700000,-7800000,4100000,5300000,-10600000,-23500000,4000000,300000,4100000,-2600000,-28100000,-12800000,-31400000,49300000,-22900000,-600000,5000000,-17000000
97,Net Change In Cash,- -,- -,- -,- -,-38500000,-79000000,20500000,-24400000,111600000,181300000,-1100000,-274500000,449100000,-145000000,15600000,-79639000,-15723000,48300000,89300000,361200000,-390100000,85500000,128200000,-53800000,2900000,-138700000,30600000,13600000,42500000,-26900000,75400000,312700000,-101800000,10000000,-124800000,650000000,-544000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,102200000,22525000,6802000,55100000,144400000,505600000,115500000,201000000,329200000,275400000,278300000,139600000,170200000,183800000,226300000,199400000,274800000,587500000,485700000,495700000,370900000,1021000000,477000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,13500000,15200000,36300000,42500000,28000000,2900000,14900000,58800000,4400000,36100000,86600000,102164000,22525000,6800000,55100000,144400000,505600000,115500000,201000000,329200000,275400000,278300000,139600000,170200000,183800000,226300000,199400000,274800000,587500000,485700000,495700000,371000000,1021000000
100,Free Cash Flow,- -,- -,- -,- -,88700000,103500000,157000000,-16700000,-28800000,172400000,6300000,214800000,-426600000,-282700000,8000000,306923000,615643000,616800000,473200000,538100000,549400000,505100000,498000000,297100000,449500000,417900000,338400000,441300000,467000000,472200000,354400000,1387100000,525800000,295600000,779100000,1173000000,595000000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/814453/000089581396000011/0000895813-96-000011-index.html,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/814453/000095013705002621/0000950137-05-002621-index.htm,https://www.sec.gov/Archives/edgar/data/814453/000095013706001966/0000950137-06-001966-index.htm,https://www.sec.gov/Archives/edgar/data/814453/000095013707003109/0000950137-07-003109-index.htm,https://www.sec.gov/Archives/edgar/data/814453/000095013708003094/0000950137-08-003094-index.htm,https://www.sec.gov/Archives/edgar/data/814453/000119312509042727/0001193125-09-042727-index.htm,https://www.sec.gov/Archives/edgar/data/814453/000119312510044915/0001193125-10-044915-index.htm,https://www.sec.gov/Archives/edgar/data/814453/000119312511052372/0001193125-11-052372-index.htm,https://www.sec.gov/Archives/edgar/data/814453/000081445312000054/0000814453-12-000054-index.htm,https://www.sec.gov/Archives/edgar/data/814453/000081445313000036/0000814453-13-000036-index.htm,https://www.sec.gov/Archives/edgar/data/814453/000081445314000038/0000814453-14-000038-index.htm,https://www.sec.gov/Archives/edgar/data/814453/000081445315000041/0000814453-15-000041-index.htm,https://www.sec.gov/Archives/edgar/data/814453/000081445316000176/0000814453-16-000176-index.htm,https://www.sec.gov/Archives/edgar/data/814453/000081445317000027/0000814453-17-000027-index.htm,https://www.sec.gov/Archives/edgar/data/814453/000119312518067603/0001193125-18-067603-index.htm,https://www.sec.gov/Archives/edgar/data/814453/000119312519061714/0001193125-19-061714-index.htm,https://www.sec.gov/Archives/edgar/data/814453/000081445320000078/0000814453-20-000078-index.htm,https://www.sec.gov/Archives/edgar/data/814453/000081445321000050/0000814453-21-000050-index.htm,- -
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
