,https://roic.ai/company/RELL,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2344000,-4950000,9070000,2043000,-4712000,1482000,-2072000,4207000,-899000,1037000,3457000,-2424000,631000,-565000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,96500000,106200000,133100000,140800000,149600000,161700000,174270000,225436000,186743000,184483000,- -,153800000,158200000,147400000,169163000,153900000,125100000,210800000,192000000,178900000,170675000,135266000,111894000,104113000,107878000,102398000,97485000,102078000
82,Other Non-Cash Items,- -,- -,- -,- -,800000,1500000,-900000,-3800000,-78100000,-23800000,-48300000,-3200000,-19100000,-21800000,-28011000,-95123000,84077000,34488000,-89000,13599000,-4045000,-46849000,11661000,33494000,32468000,-174864000,-42871000,18704000,12505000,30359000,13424000,13396000,-8480000,6060000,4612000,-9514000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,-6700000,-7700000,10600000,6000000,-2300000,-6700000,-7900000,3600000,6300000,4100000,4114000,-19562000,34209000,8209000,11978000,-2032000,5457000,-9669000,27916000,11081000,24331000,2140000,-48723000,8625000,4613000,-9780000,-13584000,1809000,2952000,-2563000,1923000,832000
84,CAPEX,- -,- -,- -,- -,-5300000,-19300000,-5800000,-2300000,-2200000,-2700000,-2400000,-4000000,-4100000,-11400000,-7026000,-7883000,-5727000,-6125000,-4855000,-7086000,-6211000,-6401000,-4464000,-1197000,-1332000,-533000,-218000,-1640000,-2781000,-4737000,-4813000,-5221000,-5239000,-3874000,-1776000,-2632000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2356000,-8316000,-8785000,-1108000,-6196000,-971000,-6800000,78114000,- -,- -,- -,- -,-2291000,-2557000,-973000,- -,-12209000,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11300000,-6700000,-3600000,-10200000,- -,- -,- -,- -,- -,-3946000,-3042000,-2317000,-274000,-196000,-161000,-221000,-68558000,-423793000,-83086000,-331199000,-35777000,-2419000,-2442000,-4208000,-17800000,-29000000,-9000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,20600000,- -,2300000,- -,11500000,22100000,11400000,3600000,- -,- -,- -,- -,- -,- -,3946000,3042000,2317000,3774000,583000,162000,186000,229159000,376841000,154416000,342455000,33844000,27294000,3888000,13228000,9800000,21000000,25000000
88,Other Investing Activites,- -,- -,- -,- -,-100000,14100000,900000,-600000,200000,400000,-1100000,-10300000,- -,-2600000,-885000,1283000,6741000,-23000,83000,10925000,-5933000,-1308000,-3583000,-1006000,-2319000,-594000,-154000,-1568000,-2683000,-4985000,-4431000,-5233000,-4868000,-3874000,-1776000,-2632000
89,Cash Used for Investing Activites,- -,- -,- -,- -,15200000,-5200000,-2600000,-2900000,9500000,8500000,1200000,-14300000,-14300000,-14000000,-10267000,-14916000,-7771000,-7256000,-10968000,2868000,-12733000,80306000,-3196000,-1005000,-2354000,160007000,-49397000,67205000,7600000,-6918000,8235000,-3787000,4152000,-11874000,-9776000,13368000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-249853000,-266334000,-263340000,-122364000,-77907000,-201317000,- -,- -,- -,- -,- -,- -,- -,- -,-166000,-181000
91,Common Stock Issued,- -,- -,- -,- -,100000,200000,100000,100000,100000,100000,1700000,500000,26900000,400000,2716000,4044000,1606000,1134000,1656000,29729000,710000,1948000,69000,5000,680000,5434000,807000,198000,190000,324000,142000,30000,97000,259000,59000,289000
92,Common Stock Repurchased,- -,- -,- -,- -,-1500000,- -,- -,- -,- -,- -,- -,- -,- -,-11500000,-11000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2192000,-8838000,-23991000,-15024000,-8739000,-3945000,-5015000,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,-1700000,-1700000,-1700000,-1700000,-1800000,-1800000,-1800000,-1900000,-2000000,-2200000,-1964000,-2084000,-2144000,-2694000,-2206000,-2719000,-2736000,-2764000,-2107000,-1409000,-1399000,-1946000,-3315000,-3571000,-3341000,-3260000,-3079000,-3031000,-3048000,-3076000,-3101000,-3122000
94,Other Financing Activites,- -,- -,- -,- -,-2100000,10900000,-3900000,-2500000,-2900000,1300000,2500000,15300000,-18900000,27800000,4675000,36632000,-26361000,594000,-1311000,-20759000,251286000,195988000,259504000,120000000,45099000,182146000,-75000,- -,37000,3000,-4000,- -,- -,- -,- -,- -
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-5200000,9400000,-5500000,-4100000,-4600000,-400000,2400000,13900000,6000000,14500000,5416000,38592000,-26899000,-966000,-1861000,6251000,-593000,-71162000,-5874000,-3768000,-35719000,-24521000,-26574000,-18397000,-11853000,-6878000,-7956000,-3001000,-2951000,-2817000,-3208000,-3014000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2026000,904000,516000,578000,951000,3760000,-2463000,-1107000,4311000,-2388000,676000,390000,-4641000,-776000,-148000,985000,-1192000,-423000,1595000
97,Net Change In Cash,- -,- -,- -,- -,-5200000,9400000,-5500000,-4100000,-4600000,-400000,2400000,13900000,6000000,4600000,-737000,4114000,-461000,2013000,53000,7603000,-7291000,426000,22606000,3845000,-14849000,141937000,-127082000,58109000,750000,-28217000,-14081000,-5127000,5138000,-18446000,-11484000,12781000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12600000,11832000,15946000,15485000,17498000,16927000,24530000,17010000,17436000,40042000,43887000,29038000,170975000,43893000,102002000,102752000,74535000,60454000,55327000,60465000,42019000,30535000,43316000
99,Cash at the Beginning of Period,- -,- -,- -,- -,5700000,9000000,5600000,8100000,7100000,9700000,11200000,6800000,10000000,8000000,12569000,11832000,15946000,15485000,16874000,16927000,24301000,17010000,17436000,40042000,43887000,29038000,170975000,43893000,102002000,102752000,74535000,60454000,55327000,60465000,42019000,30535000
100,Free Cash Flow,- -,- -,- -,- -,-12000000,-27000000,4800000,3700000,-4500000,-9400000,-10300000,-400000,2200000,-7300000,-2912000,-27445000,28482000,2084000,7123000,-9118000,-754000,-16070000,23452000,9884000,22999000,1607000,-48941000,6985000,1832000,-14517000,-18397000,-3412000,-2287000,-6437000,147000,-1800000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/355948/000035594894000014/0000355948-94-000014-index.html,https://www.sec.gov/Archives/edgar/data/355948/000035594895000011/0000355948-95-000011-index.html,https://www.sec.gov/Archives/edgar/data/355948/000035594896000022/0000355948-96-000022-index.html,https://www.sec.gov/Archives/edgar/data/355948/000035594897000022/0000355948-97-000022-index.html,https://www.sec.gov/Archives/edgar/data/355948/000035594898000015/0000355948-98-000015-index.html,https://www.sec.gov/Archives/edgar/data/355948/000035594899000013/0000355948-99-000013-index.html,https://www.sec.gov/Archives/edgar/data/355948/000035594800500002/0000355948-00-500002-index.html,https://www.sec.gov/Archives/edgar/data/355948/000035594801500020/0000355948-01-500020-index.htm,https://www.sec.gov/Archives/edgar/data/355948/000035594802000027/0000355948-02-000027-index.htm,https://www.sec.gov/Archives/edgar/data/355948/000035594803000038/0000355948-03-000038-index.htm,- -,https://www.sec.gov/Archives/edgar/data/355948/000119312505175538/0001193125-05-175538-index.htm,https://www.sec.gov/Archives/edgar/data/355948/000119312506183404/0001193125-06-183404-index.htm,https://www.sec.gov/Archives/edgar/data/355948/000119312507184605/0001193125-07-184605-index.htm,https://www.sec.gov/Archives/edgar/data/355948/000119312508162766/0001193125-08-162766-index.htm,https://www.sec.gov/Archives/edgar/data/355948/000119312509154049/0001193125-09-154049-index.htm,https://www.sec.gov/Archives/edgar/data/355948/000119312510163943/0001193125-10-163943-index.htm,https://www.sec.gov/Archives/edgar/data/355948/000119312511194885/0001193125-11-194885-index.htm,https://www.sec.gov/Archives/edgar/data/355948/000119312512319450/0001193125-12-319450-index.htm,https://www.sec.gov/Archives/edgar/data/355948/000119312513304525/0001193125-13-304525-index.htm,https://www.sec.gov/Archives/edgar/data/355948/000035594814000015/0000355948-14-000015-index.htm,https://www.sec.gov/Archives/edgar/data/355948/000162828015005470/0001628280-15-005470-index.htm,https://www.sec.gov/Archives/edgar/data/355948/000138713116006220/0001387131-16-006220-index.htm,https://www.sec.gov/Archives/edgar/data/355948/000138713117003807/0001387131-17-003807-index.htm,https://www.sec.gov/Archives/edgar/data/355948/000138713118003556/0001387131-18-003556-index.htm,https://www.sec.gov/Archives/edgar/data/355948/000156459019028701/0001564590-19-028701-index.htm,https://www.sec.gov/Archives/edgar/data/355948/000156459020035424/0001564590-20-035424-index.htm,https://www.sec.gov/Archives/edgar/data/355948/000156459021039728/0001564590-21-039728-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
