,https://roic.ai/company/STLD,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2386000,13746000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,536288000,- -
52,Other Current Liabilities,- -,- -,15700000,19200000,25000000,31666000,41850000,55420000,57990000,84546000,89479000,170862000,230515000,276365000,165094000,217362000,242099000,219949000,218702000,293066000,235255000,313987000,350276000,444149000,403998000,-133850000,849640000
53,Total Current Liabilities,- -,- -,76500000,60600000,70600000,76698000,118111000,113550000,153304000,233208000,207177000,399490000,904526000,970981000,595561000,561317000,1100417000,609677000,975178000,850582000,535290000,712815000,868519000,1019137000,1006698000,1258787000,2227369000
54,Long-Term Debt,- -,- -,213400000,477000000,498000000,515476000,553891000,543537000,591586000,441605000,438419000,358192000,1734683000,2219161000,2054572000,2377897000,1936022000,2172606000,1766045000,2977706000,2577976000,2353194000,2353145000,2352489000,2644988000,3015782000,3008702000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,13400000,18800000,29800000,52027000,62765000,70330000,115703000,209215000,231105000,256803000,301470000,365496000,416468000,457432000,489915000,537304000,556038000,542033000,400770000,448375000,305949000,435838000,484169000,536288000,854905000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,21987000,21987000,- -,- -,- -,- -,38540000,65626000,60006000,62159000,82278000,117987000,139890000,145179000,142935000,131889000,133051000,120110000,218669000,265093000,120087000
58,Total Non-Current Liabilities,- -,- -,226800000,495800000,527800000,567503000,638643000,635854000,707289000,650820000,669524000,614995000,2074693000,2650283000,2531046000,2897488000,2508215000,2827897000,2461973000,3664918000,3121681000,2933458000,2792145000,2908437000,3347826000,3817163000,3983694000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,303300000,556400000,598400000,644201000,756754000,749404000,860593000,884028000,876701000,1014485000,2979219000,3621264000,3126607000,3458805000,3608632000,3437574000,3437151000,4515500000,3656971000,3646273000,3660664000,3927574000,4354524000,5075950000,6211063000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,500000,493000,495000,499000,509000,523000,529000,537000,542000,545000,629000,633000,636000,637000,645000,635000,638000,641000,644000,645000,646000,648000,649000
64,Retained Earnings,- -,- -,4200000,35900000,75300000,129085000,132229000,210106000,257254000,540235000,744344000,1093271000,1432196000,1820385000,1745511000,1821133000,2011801000,2087620000,2179513000,2227843000,1965291000,2210459000,2874693000,3958320000,4419296000,4758969000,7761417000
65,Other Comprehensive Income/Loss,- -,- -,-39400000,-69500000,-108600000,-153352000,-199281000,-255314000,-319756000,-397843000,-484344000,-592686000,-716910000,-1000000,-1029018000,-1193293000,-1357816000,-1530561000,-1713680000,-1886133000,-2126492000,-2279774000,-2489604000,-2739203000,-2988828000,1902000,-2091000
66,Other Total Stockholders Equity,- -,- -,372800000,384700000,424200000,442558000,485132000,566369000,649226000,704207000,619339000,729986000,813368000,-196044000,1271146000,1464397000,1661320000,1847769000,2080845000,2570670000,2840290000,2995694000,2965841000,2715309000,2644720000,-416355000,- -
67,Total Stockholders Equity,- -,- -,337600000,351100000,391400000,418784000,418575000,521660000,587233000,847122000,879868000,1231108000,1529196000,1623886000,1988268000,2092870000,2315941000,2405465000,2547323000,2913015000,2679727000,2927020000,3351574000,3935071000,4075834000,4345164000,6304641000
68,Total Liabilities And Stockholders Equity,- -,- -,640900000,907500000,989800000,1062985000,1175329000,1271064000,1447826000,1731150000,1756569000,2245593000,4508415000,5245150000,5114875000,5551675000,5924573000,5843039000,5984474000,7428515000,6336698000,6573293000,7012238000,7862645000,8430358000,9421114000,12515704000
69,Minority Interest,- -,- -,- -,- -,1800000,4089000,4769000,4632000,613000,2469000,1118000,1424000,11038000,8427000,14997000,38259000,54653000,-27623000,-51468000,-117488000,-134616000,-149561000,-156506000,-159082000,-154593000,-155552000,15530000
70,Total Liabilities & Equity,- -,- -,640900000,907500000,991600000,1067074000,1180098000,1275696000,1448439000,1733619000,1757687000,2247017000,4519453000,5253577000,5129872000,5589934000,5979226000,5815416000,5933006000,7311027000,6202082000,6423732000,6855732000,7703563000,8275765000,9265562000,12531234000
71,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1022671/000095012303003465/0000950123-03-003465-index.html,https://www.sec.gov/Archives/edgar/data/1022671/000112528204001009/0001125282-04-001009-index.html,https://www.sec.gov/Archives/edgar/data/1022671/000112528205001122/0001125282-05-001122-index.htm,https://www.sec.gov/Archives/edgar/data/1022671/000110465906015390/0001104659-06-015390-index.htm,https://www.sec.gov/Archives/edgar/data/1022671/000110465907013867/0001104659-07-013867-index.htm,https://www.sec.gov/Archives/edgar/data/1022671/000104746908001824/0001047469-08-001824-index.htm,https://www.sec.gov/Archives/edgar/data/1022671/000104746909001996/0001047469-09-001996-index.htm,https://www.sec.gov/Archives/edgar/data/1022671/000104746910001104/0001047469-10-001104-index.htm,https://www.sec.gov/Archives/edgar/data/1022671/000104746911001181/0001047469-11-001181-index.htm,https://www.sec.gov/Archives/edgar/data/1022671/000104746912001586/0001047469-12-001586-index.htm,https://www.sec.gov/Archives/edgar/data/1022671/000104746913001827/0001047469-13-001827-index.htm,https://www.sec.gov/Archives/edgar/data/1022671/000104746914001662/0001047469-14-001662-index.htm,https://www.sec.gov/Archives/edgar/data/1022671/000104746915001486/0001047469-15-001486-index.htm,https://www.sec.gov/Archives/edgar/data/1022671/000104746916010496/0001047469-16-010496-index.htm,https://www.sec.gov/Archives/edgar/data/1022671/000114420417011732/0001144204-17-011732-index.htm,https://www.sec.gov/Archives/edgar/data/1022671/000114420418011155/0001144204-18-011155-index.htm,https://www.sec.gov/Archives/edgar/data/1022671/000114420419010579/0001144204-19-010579-index.htm,https://www.sec.gov/Archives/edgar/data/1022671/000155837020001641/0001558370-20-001641-index.htm,https://www.sec.gov/Archives/edgar/data/1022671/000155837021002129/0001558370-21-002129-index.htm,https://www.sec.gov/Archives/edgar/data/1022671/000155837022002377/0001558370-22-002377-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-19900000,-9900000,44000000,31700000,39400000,53795000,3144000,77877000,47148000,295314000,221785000,396707000,394566000,463386000,-8184000,140709000,278120000,163551000,189314000,157024000,-130311000,382115000,812741000,1258379000,671103000,550822000,3214066000
74,Depreciation and Amortization,900000,19400000,24100000,30700000,39300000,45443000,46794000,59443000,69110000,84749000,91865000,114812000,138136000,208752000,221426000,224698000,222607000,225216000,230928000,263325000,294595000,296109000,298999000,317198000,321082000,325789000,347653000
75,Deferred Income Tax,- -,- -,-6300000,10000000,15100000,20386000,-1008000,25485000,28836000,107404000,22230000,-478000,12642000,25045000,92596000,46097000,34436000,54528000,30737000,-25042000,-99323000,53846000,-135899000,61827000,51721000,47808000,322007000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14278000,17589000,14688000,17283000,12481000,15504000,14016000,22604000,31656000,36197000,43317000,47631000,55598000,57715000
77,Change in Working Capital,-3300000,58800000,- -,103300000,-6900000,10715000,28178000,3260000,57278000,189680000,74245000,118151000,154996000,-52769000,122308000,577444000,-83845000,331707000,-188092000,624727000,-120532000,214209000,422963000,373697000,232807000,-246667000,-1766813000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,310985000,72159000,-196556000,-100602000,85977000,-78237000,-2191000,311302000,-106617000,-139054000,-145873000,237805000,-111920000,-944516000
79,Inventory,-13600000,-52300000,5700000,-66500000,20000000,-3000,-11623000,-34836000,-31292000,-196992000,-17196000,-66240000,-119577000,-18667000,175183000,-261110000,-85523000,13845000,-108025000,68730000,488003000,-115575000,-242883000,-246213000,217866000,-150596000,-1685834000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-88451000,-8860000,71169000,56551000,-32593000,40141000,-76141000,-227092000,106521000,96062000,37904000,-86445000,182509000,557735000
81,Other Working Capital,- -,58800000,58800000,162100000,155200000,165915000,194093000,197353000,254631000,444311000,518556000,636707000,791703000,738934000,861242000,1438686000,1354841000,1686548000,1498456000,2123183000,2002651000,2216860000,2639823000,3013520000,3246327000,2999660000,-105921000
82,Other Non-Cash Items,3300000,-119900000,23900000,-226800000,27900000,-27547000,-9735000,-51043000,-74766000,-429228000,-99369000,-224240000,-272137000,116609000,-179000,-834329000,17754000,-341789000,33784000,-416478000,1071450000,-125166000,-695395000,-638949000,71946000,253682000,29508000
83,Cash Provided by Operating Activities,-19000000,-51600000,85700000,-51100000,114800000,102792000,67373000,115022000,127606000,247919000,310756000,404952000,428203000,775301000,445556000,169307000,486355000,445694000,312175000,617572000,1038483000,852769000,739606000,1415469000,1396290000,987032000,2204136000
84,CAPEX,-224400000,-83700000,-175200000,-194100000,-126700000,-110379000,-90714000,-142600000,-137269000,-102046000,-63386000,-128618000,-395198000,-412497000,-330052000,-133394000,-167007000,-223525000,-186843000,-111785000,-114501000,-198160000,-164935000,-239390000,-451945000,-1198055000,-1006239000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-89106000,-848071000,-271159000,- -,- -,- -,- -,- -,-1669449000,-45000000,-123351000,-6192000,-433998000,-97106000,-60012000,- -
86,Purchases of Investments,- -,-7000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-14075000,-3584000,-20373000,-27967000,- -,-84830000,- -,- -,- -,- -,- -,- -,-268783000,-396159000,-149359000,- -
87,Sales/Maturities of Investments,- -,8600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,14075000,- -,32758000,- -,- -,- -,53310000,31520000,- -,- -,- -,- -,40000000,362768000,411533000,- -
88,Other Investing Activites,19500000,-1000000,- -,-2900000,400000,980000,4000,8814000,-8075000,55000,1345000,311000,224000,2037000,-15926000,-15684000,16000000,-21386000,2478000,33967000,9874000,8618000,32022000,6907000,5756000,2634000,6819000
89,Cash Used for Investing Activites,-204900000,-83100000,-175200000,-197000000,-126300000,-109399000,-90710000,-133786000,-145344000,-101991000,-62041000,-217413000,-1246629000,-669234000,-373945000,-149078000,-235837000,-191601000,-152845000,-1747267000,-149627000,-312893000,-139105000,-895264000,-576686000,-993259000,-999420000
