,https://roic.ai/company/CLF,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-74800000,138800000,-82800000,369100000,43200000,-248700000,52300000,254500000,-42000000,- -
79,Inventory,- -,- -,- -,- -,-14900000,-6700000,300000,-13900000,22300000,13600000,-15700000,11300000,-13300000,2300000,6400000,-60300000,-100000,-15200000,-12000000,-3400000,-56000000,9100000,3200000,-44600000,7700000,61200000,-74500000,39900000,30800000,37800000,-62000000,157800000,-1800000,42900000,-136300000,-146000000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,98700000,171900000,139700000,188900000,186000000,169500000,189200000,195300000,174000000,170700000,143400000,145800000,172900000,95700000,87400000,476700000,273300000,407400000,355000000,16800000,590800000,1555000000,297400000,268500000,474500000,490300000,401000000,433500000,1092400000,1011400000,488500000,2369000000,4092000000
82,Other Non-Cash Items,- -,- -,- -,- -,17600000,-165100000,76000000,-1700000,-90200000,129000000,-41800000,-12200000,-26600000,14600000,4200000,-27700000,-10800000,258600000,54200000,-789900000,397200000,-63900000,-2800000,742700000,-664300000,-691800000,1980000000,1299300000,664500000,8721200000,716700000,96400000,-687800000,-108100000,775800000,-2226500000,-4756000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,99500000,23800000,92100000,26300000,-22800000,167900000,58000000,83400000,42300000,92100000,4000000,28000000,6800000,40900000,42700000,-134400000,519800000,428800000,288900000,853200000,185700000,1320000000,2288800000,514500000,1145900000,358900000,37900000,303000000,338100000,478500000,562500000,-261000000,- -
84,CAPEX,- -,- -,- -,- -,-14600000,-11200000,-7300000,-5200000,-5000000,-10900000,-22500000,-36700000,-76900000,-51400000,-33300000,-23400000,-9200000,-10600000,-21600000,-60700000,-106300000,-132900000,-199500000,-182500000,-116300000,-266900000,-880700000,-1127500000,-861600000,-284100000,-80800000,-69100000,-151700000,-296100000,-656000000,-525000000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-343800000,-589500000,-81800000,-994500000,-4423500000,152600000,- -,- -,- -,- -,- -,- -,- -,-1527000000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-85300000,-93100000,-14900000,-197900000,-130200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,15500000,- -,- -,- -,- -,- -,- -,- -,4000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,40600000,17800000,5400000,32500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,23700000,-10100000,-4500000,-3300000,-67000000,4400000,4400000,900000,1500000,500000,-15200000,3300000,-25200000,6900000,188300000,-408400000,5500000,-157400000,51700000,28300000,59100000,130000000,13100000,50300000,180500000,-22400000,11200000,-4300000,23000000,11600000,10000000,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,900000,12500000,-17400000,-9700000,-8300000,-77900000,-18100000,-32300000,-72000000,-49900000,-32800000,-38600000,-5900000,-35800000,-14700000,127600000,-514700000,-127400000,-745400000,-795600000,-179300000,-1367700000,-5304400000,-961800000,-811300000,-103600000,-103200000,-57900000,-156000000,-273100000,-644400000,-2042000000,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-788400000,-286100000,-666700000,-1616200000,-1136800000,-1842600000,-1269200000,-581100000,-506000000,-1720700000,-234500000,-729300000,-1573000000,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6000000,190400000,5700000,700000,- -,- -,347300000,- -,853700000,- -,285300000,- -,- -,287400000,661300000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10700000,-19500000,-4900000,-11500000,-17200000,-15600000,- -,- -,- -,-6500000,- -,-121500000,-2200000,- -,- -,- -,-289800000,- -,- -,- -,- -,- -,- -,-47500000,-252900000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,-4700000,-9300000,-59100000,-14100000,-26400000,-14800000,-15500000,-15100000,-14800000,-16300000,-16700000,-15700000,-4100000,- -,- -,-6100000,-18700000,-25800000,-26400000,-37200000,-31900000,-68900000,-118900000,-307200000,-127600000,-143700000,-91800000,-59900000,-52900000,-44200000,-116300000,-41000000,- -
94,Other Financing Activites,- -,- -,- -,- -,-51900000,-24300000,-15700000,30700000,-3200000,-3700000,-13800000,-3900000,- -,- -,- -,4200000,157100000,-127100000,-28000000,-21900000,-600000,-1800000,278700000,858000000,275000000,1823200000,3146300000,1563600000,1513000000,1124600000,733900000,72100000,1611200000,-49000000,704400000,3673000000,94000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-56600000,-33600000,-74800000,16600000,-29600000,-18500000,-40000000,-38500000,-19700000,-27800000,-33900000,-27100000,153000000,-127100000,-22000000,155900000,-13600000,-148400000,250100000,32400000,304300000,1087600000,1975100000,119600000,-171900000,-288300000,61000000,-206400000,498900000,-375200000,-394100000,2059000000,94000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,-1400000,- -,-500000,- -,1200000,-600000,-200000,-100000,- -,- -,- -,- -,- -,- -,- -,-2200000,5900000,11800000,-68100000,13000000,24100000,-4600000,1300000,-22400000,-11600000,-1400000,-500000,3300000,-2300000,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,-56600000,-33600000,-74800000,16600000,-29600000,-18500000,-40000000,-38500000,-19700000,-27800000,-62700000,-37700000,153900000,-122000000,6000000,149100000,-13700000,158900000,-194600000,21900000,323700000,1064000000,-1045100000,-326400000,140300000,-44600000,-5700000,38200000,684300000,-155100000,-470600000,-241000000,- -
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,67600000,29900000,183800000,61800000,67800000,216900000,192800000,351700000,157100000,179000000,502700000,1566700000,521600000,195200000,335500000,290900000,285200000,323400000,1007700000,823200000,352600000,112000000,- -
99,Cash at the Beginning of Period,- -,- -,- -,- -,52400000,96800000,96000000,95900000,128600000,67900000,140600000,139900000,165400000,115900000,130300000,67600000,29900000,183800000,61800000,67800000,206500000,192800000,351700000,157100000,179000000,502700000,1566700000,521600000,195200000,335500000,290900000,285200000,323400000,978300000,823200000,353000000,- -
100,Free Cash Flow,- -,- -,- -,- -,84900000,12600000,84800000,21100000,-27800000,157000000,35500000,46700000,-34600000,40700000,-29300000,4600000,-2400000,30300000,21100000,-195100000,413500000,295900000,89400000,670700000,69400000,1053100000,1408100000,-613000000,284300000,74800000,-42900000,233900000,186400000,182400000,-93500000,-786000000,- -
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/764065/0000950152-95-000442-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/764065/000095015203001089/0000950152-03-001089-index.htm,https://www.sec.gov/Archives/edgar/data/764065/000095015204001088/0000950152-04-001088-index.htm,https://www.sec.gov/Archives/edgar/data/764065/000095015205001410/0000950152-05-001410-index.htm,https://www.sec.gov/Archives/edgar/data/764065/000095015206001335/0000950152-06-001335-index.htm,https://www.sec.gov/Archives/edgar/data/764065/000119312507123585/0001193125-07-123585-index.htm,https://www.sec.gov/Archives/edgar/data/764065/000119312508043301/0001193125-08-043301-index.htm,https://www.sec.gov/Archives/edgar/data/764065/000119312509039184/0001193125-09-039184-index.htm,https://www.sec.gov/Archives/edgar/data/764065/000119312510034034/0001193125-10-034034-index.htm,https://www.sec.gov/Archives/edgar/data/764065/000119312511038883/0001193125-11-038883-index.htm,https://www.sec.gov/Archives/edgar/data/764065/000119312512065138/0001193125-12-065138-index.htm,https://www.sec.gov/Archives/edgar/data/764065/000076406513000003/0000764065-13-000003-index.htm,https://www.sec.gov/Archives/edgar/data/764065/000076406514000018/0000764065-14-000018-index.htm,https://www.sec.gov/Archives/edgar/data/764065/000076406515000044/0000764065-15-000044-index.htm,https://www.sec.gov/Archives/edgar/data/764065/000076406516000183/0000764065-16-000183-index.htm,https://www.sec.gov/Archives/edgar/data/764065/000076406517000021/0000764065-17-000021-index.htm,https://www.sec.gov/Archives/edgar/data/764065/000076406518000035/0000764065-18-000035-index.htm,https://www.sec.gov/Archives/edgar/data/764065/000076406519000025/0000764065-19-000025-index.htm,https://www.sec.gov/Archives/edgar/data/764065/000076406520000041/0000764065-20-000041-index.htm,https://www.sec.gov/Archives/edgar/data/764065/000076406521000084/0000764065-21-000084-index.htm,https://www.sec.gov/Archives/edgar/data/764065/000076406522000037/0000764065-22-000037-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
