,https://roic.ai/company/APOG,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
75,Deferred Income Tax,- -,- -,- -,- -,- -,-5100000,-3700000,-5300000,-3000000,2400000,1800000,9500000,-7800000,4800000,-3319000,4422000,-515000,-1680000,5014000,650000,-583000,-1400000,-2598000,8328000,763000,-207000,-1115000,3557000,-5280000,4274000,-6139000,-1065000,3195000,-5506000,10463000,-6460000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2868000,6055000,5215000,4412000,4395000,4661000,4793000,4923000,5986000,6205000,6286000,6607000,8573000,6293000
77,Change in Working Capital,- -,- -,- -,- -,11200000,300000,5200000,3800000,11300000,40600000,-5000000,12500000,-44200000,5700000,-11100000,-41200000,10100000,3200000,16200000,300000,7700000,1300000,5300000,-10504000,46304000,-17700000,23600000,6000000,-23600000,43947000,9465000,-48009000,16723000,16260000,-39333000,28069000,-96539000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-13364000,-19229000,-18588000,-2918000,3460000,18172000,18164000,-4217000,21630000,3859000
79,Inventory,- -,- -,- -,- -,-1200000,-700000,2100000,-100000,-10300000,-11400000,-3300000,100000,-5800000,-7100000,637000,5394000,4539000,-774000,335000,912000,-8036000,-13000,-2075000,7378000,8953000,-320000,-1635000,-2209000,-6130000,-8660000,-2798000,-6387000,11521000,5114000,7142000,-1440000,-7706000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,59900000,60200000,65400000,69200000,80500000,121100000,116100000,128600000,84400000,90100000,79000000,37800000,47900000,51100000,67300000,67600000,75300000,76600000,81900000,71396000,117700000,100000000,123600000,129600000,106000000,149947000,159412000,111403000,128126000,144386000,105053000,133122000,36583000
82,Other Non-Cash Items,- -,- -,- -,- -,6500000,17700000,-4500000,-11200000,-38700000,-72200000,9400000,-27100000,113100000,17000000,13036000,49159000,-10573000,-12981000,-18153000,555000,-16289000,-3448000,12291000,34693000,-17411000,-13677000,-34189000,-18865000,22590000,-64390000,19112000,45692000,-32991000,-16109000,20816000,44805000,137238000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,43900000,43200000,21800000,6900000,-10900000,-1000000,40500000,41600000,34000000,78600000,43836000,61610000,52146000,42710000,17209000,36065000,34593000,46688000,86369000,115727000,97012000,-8451000,24554000,40716000,52921000,68563000,123951000,124001000,127463000,96423000,107262000,141863000,100471000
84,CAPEX,- -,- -,- -,- -,-17000000,-12800000,-13000000,-9200000,-14000000,-25000000,-22600000,-35600000,-39000000,-80900000,-44025000,-14823000,-10466000,-12833000,-11459000,-19618000,-29739000,-39893000,-55208000,-55184000,-9765000,-9126000,-9718000,-34679000,-41852000,-27220000,-42037000,-68061000,-53196000,-60717000,-51428000,-26165000,-21841000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1983000,-3602000,-247000,-300000,- -,-6804000,-420000,-444000,-45691000,-60000,- -,-20639000,- -,- -,-53301000,- -,- -,-137932000,-182849000,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12200000,-7600000,-900000,-10100000,-17469000,-7900000,-8438000,-25961000,-14142000,-36455000,-50728000,-36742000,-3039000,-59323000,-71214000,-29030000,-43029000,-58847000,-14562000,-6142000,-35814000,-3705000,-10244000,-9213000,-7012000,-3606000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1300000,- -,19169000,9570000,10383000,31627000,16642000,36306000,46601000,35672000,- -,74067000,27708000,80008000,60925000,41295000,41020000,6946000,4047000,36433000,10476000,6110000,7768000,2657000,- -
88,Other Investing Activites,- -,- -,- -,- -,-7400000,-6300000,-6100000,-4800000,-2200000,-8900000,11100000,-39100000,400000,300000,13845000,19517000,5598000,5902000,3957000,1032000,-4800000,6882000,8803000,-54923000,-9739000,-44730000,602000,-39580000,-17131000,-25279000,-46089000,-78554000,-43117000,-50593000,-47794000,-1198000,9283000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-24400000,-19100000,-19100000,-14000000,-16200000,-33900000,-23700000,-82300000,-38200000,-90700000,-30463000,2762000,-3170000,-1565000,-5002000,-25539000,-39086000,-34525000,-95135000,-40239000,-53245000,-14391000,18498000,-57132000,-43974000,-24475000,-77856000,-183758000,-225734000,-53696000,-47038000,-2147000,9283000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-49800000,- -,-293000,-1437000,-164000,-10082000,-50000,-56000,-76408000,-235740000,-333000000,-406500000,-246340000,-2000000
91,Common Stock Issued,- -,- -,- -,- -,1200000,2000000,600000,1500000,1900000,1700000,1200000,3900000,4900000,3100000,2781000,532000,4577000,4901000,1031000,831000,4685000,6702000,3085000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4115000
92,Common Stock Repurchased,- -,- -,- -,- -,-700000,-2500000,-800000,-3900000,-200000,- -,-200000,-1400000,-13500000,-1500000,-2269000,-307000,-284000,-19547000,-1292000,-1859000,-4044000,- -,-5414000,-17421000,-876000,-1298000,-2392000,- -,- -,-6894000,-24911000,-10817000,-33676000,-43326000,-25140000,-32878000,-100414000
93,Dividends Paid,- -,- -,- -,- -,-2700000,-3200000,-3500000,-3600000,-3800000,-4200000,-4500000,-4800000,-5300000,-5700000,-5833000,-5834000,-6078000,-6246000,-6450000,-6695000,-6989000,-9312000,-8192000,-8800000,-9112000,-9161000,-9153000,-10316000,-10764000,-12071000,-13184000,-14667000,-16393000,-17864000,-18714000,-19601000,-20266000
94,Other Financing Activites,- -,- -,- -,- -,-8000000,-12100000,-700000,3200000,31100000,29500000,-8800000,39600000,24400000,9700000,-2178000,-61266000,-36519000,-25448000,-7840000,-4658000,9550000,-8042000,25364000,1263000,156000,10961000,-134000,10712000,3270000,-758000,1738000,120554000,384143000,361864000,375840000,190943000,-2007000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-10200000,-15800000,-4400000,-2800000,29000000,27000000,-12300000,37300000,10500000,5600000,-7499000,-66875000,-38304000,-46340000,-14551000,-12381000,3202000,-10652000,14843000,-74758000,-9832000,209000,-13116000,232000,-17576000,-19773000,-36413000,18662000,98334000,-32326000,-74514000,-107876000,-120572000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6000,-211000,117000,-673000,-595000,-1397000,88000,-167000,-519000,1000,485000,1124000
97,Net Change In Cash,- -,- -,- -,- -,-10200000,-15800000,-4400000,-2800000,1900000,27000000,-12300000,37300000,10500000,5600000,5874000,-2503000,10672000,-5195000,-2344000,-1855000,-1291000,1511000,6077000,730000,33935000,-22627000,29725000,-16260000,-9302000,23720000,8285000,-41007000,-104000,9882000,-14289000,32325000,-9694000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,10800000,- -,- -,- -,- -,- -,7192000,4689000,15361000,10166000,7822000,5967000,4676000,6187000,12264000,12994000,46929000,24302000,54027000,37767000,28465000,52185000,60470000,19463000,19359000,29241000,14952000,47277000,37583000
99,Cash at the Beginning of Period,- -,- -,- -,- -,3000000,12200000,20500000,18700000,8900000,10800000,2900000,7400000,4100000,7900000,1318000,7192000,4689000,15361000,10166000,7822000,5967000,4676000,6187000,12264000,12994000,46929000,24302000,54027000,37767000,28465000,52185000,60470000,19463000,19359000,29241000,14952000,47277000
100,Free Cash Flow,- -,- -,- -,- -,26900000,30400000,8800000,-2300000,-24900000,-26000000,17900000,6000000,-5000000,-2300000,-189000,46787000,41680000,29877000,5750000,16447000,4854000,6795000,31161000,60543000,87247000,-17577000,14836000,6037000,11069000,41343000,81914000,55940000,74267000,35706000,55834000,115698000,78630000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/6845/000095013194000871/0000950131-94-000871-index.html,https://www.sec.gov/Archives/edgar/data/6845/000095010995002067/0000950109-95-002067-index.html,https://www.sec.gov/Archives/edgar/data/6845/000095013196002553/0000950131-96-002553-index.html,https://www.sec.gov/Archives/edgar/data/6845/000095013197003696/0000950131-97-003696-index.html,https://www.sec.gov/Archives/edgar/data/6845/000104596998000462/0001045969-98-000462-index.html,https://www.sec.gov/Archives/edgar/data/6845/000104596999000418/0001045969-99-000418-index.html,https://www.sec.gov/Archives/edgar/data/6845/000104596900000382/0001045969-00-000382-index.html,https://www.sec.gov/Archives/edgar/data/6845/000104596901500400/0001045969-01-500400-index.html,https://www.sec.gov/Archives/edgar/data/6845/000104596902000715/0001045969-02-000715-index.html,https://www.sec.gov/Archives/edgar/data/6845/000104596903001470/0001045969-03-001470-index.htm,https://www.sec.gov/Archives/edgar/data/6845/000119312504079352/0001193125-04-079352-index.htm,https://www.sec.gov/Archives/edgar/data/6845/000119312505086815/0001193125-05-086815-index.htm,https://www.sec.gov/Archives/edgar/data/6845/000119312506089423/0001193125-06-089423-index.htm,https://www.sec.gov/Archives/edgar/data/6845/000119312507099603/0001193125-07-099603-index.htm,https://www.sec.gov/Archives/edgar/data/6845/000119312508097178/0001193125-08-097178-index.htm,https://www.sec.gov/Archives/edgar/data/6845/000095015209004345/0000950152-09-004345-index.htm,https://www.sec.gov/Archives/edgar/data/6845/000119312510096860/0001193125-10-096860-index.htm,https://www.sec.gov/Archives/edgar/data/6845/000119312511111712/0001193125-11-111712-index.htm,https://www.sec.gov/Archives/edgar/data/6845/000119312512196043/0001193125-12-196043-index.htm,https://www.sec.gov/Archives/edgar/data/6845/000000684513000009/0000006845-13-000009-index.htm,https://www.sec.gov/Archives/edgar/data/6845/000000684514000009/0000006845-14-000009-index.htm,https://www.sec.gov/Archives/edgar/data/6845/000000684515000011/0000006845-15-000011-index.htm,https://www.sec.gov/Archives/edgar/data/6845/000000684516000039/0000006845-16-000039-index.htm,https://www.sec.gov/Archives/edgar/data/6845/000000684517000009/0000006845-17-000009-index.htm,https://www.sec.gov/Archives/edgar/data/6845/000000684518000009/0000006845-18-000009-index.htm,https://www.sec.gov/Archives/edgar/data/6845/000000684519000012/0000006845-19-000012-index.htm,https://www.sec.gov/Archives/edgar/data/6845/000000684520000008/0000006845-20-000008-index.htm,https://www.sec.gov/Archives/edgar/data/6845/000000684521000010/0000006845-21-000010-index.htm,- -
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
