,https://roic.ai/company/SVT,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,55000,27000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-100000,-800000,- -,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-920000,-804000,-1101000,-6000,-573000,-517000,-110000,-607000,-202000,-114000,-275000,-195000,-175000,-157000,-100000,-0
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-348000,-336000,-336000,-682000,-716000,-406000,- -,-375000,-380000,-376000,-403000,-409000,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,-600000,-400000,-200000,3100000,2400000,100000,-200000,-100000,-400000,989000,-889000,-193000,-248000,-378000,107000,-382000,-384000,-386000,7000,- -,- -,110000,234000,70000,4620000,7000,- -,668000,210000,3721000,4750000,-0
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,-700000,-1200000,-200000,3000000,2400000,100000,-200000,-100000,-400000,1044000,-862000,-193000,-248000,-378000,107000,-382000,-1304000,-1190000,-1829000,-895000,-1313000,-1493000,-835000,-1137000,1756000,-1030000,-1203000,-464000,-1076000,2322000,3809000,-1
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,-700000,-1200000,-200000,3000000,2400000,100000,-200000,-100000,-400000,-215000,-135000,61000,-41000,827000,600000,2531000,-533000,775000,-170000,-404000,622000,501000,625000,-1071000,-336000,-898000,247000,1192000,-2109000,-569000,3906000,-5934990
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,794000,659000,720000,679000,1506000,2106000,4637000,4104000,4879000,4709000,3825000,4447000,4948000,5573000,4502000,4166000,3268000,3515000,4707000,2598000,2029000,5935000,10
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,800000,1400000,2100000,1500000,600000,500000,600000,1400000,1200000,1009000,794000,659000,720000,679000,1506000,2106000,4637000,4104000,4879000,4229000,3825000,4447000,4948000,5573000,4502000,4166000,3268000,3515000,4707000,2598000,2029000,5935000
100,Free Cash Flow,- -,- -,- -,- -,- -,1300000,1900000,-300000,700000,-2500000,100000,-200000,-200000,200000,-1259000,727000,353000,207000,1205000,493000,2913000,771000,1965000,1659000,506000,1440000,1994000,810000,23000,-2092000,99000,1450000,1476000,-1033000,-2891000,97000,4
101,SEC Link,- -,- -,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/89140/0000950152-96-001820-index.html,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/89140/000111055005000038/0001110550-05-000038-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/89140/000111055008000018/0001110550-08-000018-index.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/89140/000118811213000741/0001188112-13-000741-index.htm,https://www.sec.gov/Archives/edgar/data/89140/000118811214000753/0001188112-14-000753-index.htm,https://www.sec.gov/Archives/edgar/data/89140/000157104915002130/0001571049-15-002130-index.htm,https://www.sec.gov/Archives/edgar/data/89140/000157104916013245/0001571049-16-013245-index.htm,https://www.sec.gov/Archives/edgar/data/89140/000157104917002449/0001571049-17-002449-index.htm,https://www.sec.gov/Archives/edgar/data/89140/000114420418016698/0001144204-18-016698-index.htm,https://www.sec.gov/Archives/edgar/data/89140/000114420419014021/0001144204-19-014021-index.htm,https://www.sec.gov/Archives/edgar/data/89140/000110465920040339/0001104659-20-040339-index.htm,https://www.sec.gov/Archives/edgar/data/89140/000110465921047154/0001104659-21-047154-index.htm,https://www.sec.gov/Archives/edgar/data/89140/000141057822000760/0001410578-22-000760-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
