,https://roic.ai/company/UGI,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
82,Other Non-Cash Items,- -,- -,- -,- -,- -,- -,- -,- -,- -,39900000,69100000,69500000,135100000,98700000,218700000,86700000,147800000,108800000,78300000,246600000,142600000,91000000,122700000,211500000,234000000,594200000,-687200000,305600000,-90900000,183100000,917000000,-98000000,-43500000,-190800000,1015100000,-323700000,-796000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,- -,- -,- -,- -,81500000,76800000,111200000,172000000,178500000,141900000,132700000,203500000,247500000,249100000,257800000,437700000,279400000,456200000,464400000,665000000,598800000,554700000,707700000,801500000,1005400000,1163800000,969700000,964400000,1085300000,1078100000,1102000000,1481000000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,-48600000,-68800000,-62700000,-68800000,-69200000,-70200000,-71000000,-78000000,-94700000,-100900000,-133700000,-158400000,-191700000,-223100000,-232100000,-301700000,-347300000,-360700000,-339400000,-486000000,-456800000,-490600000,-563800000,-638900000,-574400000,-704600000,-655000000,-690000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4600000,-4100000,-28000000,-11600000,-8100000,-77600000,-65300000,-209100000,-700000,-38600000,-308600000,-33300000,-577100000,-6100000,-1300000,-280200000,-16400000,-52500000,-1580500000,-78900000,-37100000,-447500000,-61200000,-101600000,-187200000,-1362200000,-16000000,-462000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11000000,-12100000,-42300000,-16400000,- -,- -,- -,- -,-50400000,- -,-20000000,59300000,- -,- -,- -,-27800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,66700000,7300000,4200000,- -,- -,- -,- -,- -,600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-34200000,2600000,3900000,12200000,3600000,-5400000,7500000,-30400000,29000000,-36200000,29500000,20300000,2000000,4800000,-56100000,62000000,-7800000,-2200000,15400000,11600000,6300000,-38200000,66400000,-22900000,13700000,11500000,22000000,-651000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-87400000,-81300000,-98900000,-110500000,-90100000,-86500000,-121500000,-313300000,-66400000,-226100000,-412800000,-191400000,-707500000,-223800000,-289500000,-519900000,-399300000,-415400000,-1904500000,-553300000,-487600000,-976300000,-558600000,-763400000,-747900000,-2055300000,-649000000,-1113000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-82200000,-94800000,-1383600000,-299900000,-168700000,-242600000,-429400000,-1563900000,-1051300000,-186100000,-693400000,-113000000,-424000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,29400000,359800000,11300000,11700000,8500000,4700000,3800000,97400000,60700000,98700000,308200000,99800000,10800000,16400000,20900000,10800000,27500000,27300000,299800000,36400000,10900000,11900000,13700000,11000000,34900000,16800000,2000000,19000000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-18800000,-7900000,-7100000,-19200000,-26800000,-133100000,-9600000,-1000000,- -,-100000,-600000,-20000000,- -,- -,- -,-90400000,- -,- -,- -,- -,-39800000,-34100000,-47600000,-43300000,-59800000,-16900000,-38000000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,-42800000,-45200000,-85100000,-86000000,-86600000,-86900000,-80300000,-97500000,-98300000,-47700000,-56300000,-67400000,-146100000,-76800000,-161800000,-85100000,-187700000,-207500000,-300800000,-352300000,-373800000,-402400000,-418000000,-430500000,-439900000,-462600000,-273000000,-282000000
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9800000,-257900000,20900000,22000000,19100000,133800000,128500000,104800000,-36700000,-126200000,-89400000,-85000000,435000000,-118100000,-39200000,132300000,41400000,1411700000,1579400000,298500000,169600000,636900000,1740700000,1367500000,212700000,2198300000,-213000000,853000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,- -,- -,- -,-42000000,48800000,-60000000,-71500000,-85800000,-81500000,42400000,103700000,-74300000,-75300000,161900000,-72600000,299700000,-178500000,-180100000,-114600000,-213600000,-152100000,1278500000,-186100000,-475700000,-217100000,-275100000,-146600000,-438200000,1042200000,-635000000,166000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-200000,-300000,- -,100000,600000,-8300000,4500000,11700000,-1400000,4400000,-5300000,-9400000,-300000,7300000,-11900000,-20200000,-2900000,1200000,-5000000,-16400000,28000000,-14000000
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,-47900000,44300000,-47700000,-10000000,2600000,-26100000,53400000,-6400000,106800000,-52200000,7500000,165400000,-123900000,65600000,-6600000,34900000,-19400000,-22200000,81400000,69400000,30200000,-49800000,133100000,55600000,-105800000,48600000,-154000000,520000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,77400000,121700000,74000000,64000000,66600000,40500000,93900000,87500000,194300000,142100000,149600000,315000000,186200000,251800000,245200000,280100000,260700000,238500000,319900000,389300000,419500000,369700000,502800000,558400000,452600000,510800000,357000000,877000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,125300000,77400000,121700000,74000000,64000000,66600000,40500000,93900000,87500000,194300000,142100000,149600000,310100000,186200000,251800000,245200000,280100000,260700000,238500000,319900000,389300000,419500000,369700000,502800000,558400000,462200000,511000000,357000000
100,Free Cash Flow,- -,- -,- -,- -,- -,- -,- -,- -,- -,32900000,8000000,48500000,103200000,109300000,71700000,61700000,125500000,152800000,148200000,124100000,279300000,87700000,233100000,232300000,363300000,251500000,194000000,368300000,315500000,548600000,673200000,405900000,325500000,510900000,373500000,447000000,791000000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/884614/0000893220-98-000586-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/884614/000089322000001436/0000893220-00-001436-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/884614/000136231006000398/c70098e10vk.htm,https://www.sec.gov/Archives/edgar/data/884614/000136231007003198/0001362310-07-003198-index.html,https://www.sec.gov/Archives/edgar/data/884614/000136231008007608/0001362310-08-007608-index.html,https://www.sec.gov/Archives/edgar/data/884614/000095012309064771/0000950123-09-064771-index.html,https://www.sec.gov/Archives/edgar/data/884614/000095012310107459/0000950123-10-107459-index.html,https://www.sec.gov/Archives/edgar/data/884614/000095012311099809/0000950123-11-099809-index.html,https://www.sec.gov/Archives/edgar/data/884614/000088461412000008/0000884614-12-000008-index.html,https://www.sec.gov/Archives/edgar/data/884614/000088461413000028/0000884614-13-000028-index.html,https://www.sec.gov/Archives/edgar/data/884614/000088461414000028/0000884614-14-000028-index.html,https://www.sec.gov/Archives/edgar/data/884614/000088461415000034/0000884614-15-000034-index.html,https://www.sec.gov/Archives/edgar/data/884614/000088461416000067/0000884614-16-000067-index.html,https://www.sec.gov/Archives/edgar/data/884614/000088461417000029/0000884614-17-000029-index.html,https://www.sec.gov/Archives/edgar/data/884614/000088461418000033/0000884614-18-000033-index.html,https://www.sec.gov/Archives/edgar/data/884614/000088461419000059/0000884614-19-000059-index.html,https://www.sec.gov/Archives/edgar/data/884614/000088461420000052/0000884614-20-000052-index.htm,https://www.sec.gov/Archives/edgar/data/884614/000088461421000065/0000884614-21-000065-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
