,https://roic.ai/company/TRN,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
82,Other Non-Cash Items,- -,- -,- -,- -,5700000,21700000,17100000,11700000,-177300000,-240300000,-10500000,52000000,-53700000,-95300000,44500000,145700000,135200000,41900000,-400800000,48100000,-484200000,-178200000,-212600000,414300000,-49800000,-399100000,-527800000,-147200000,-633400000,-304200000,288400000,-106500000,985900000,60700000,75200000,-206100000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,94000000,99600000,82000000,117400000,-45600000,114400000,125900000,325100000,120900000,176400000,275000000,90900000,120700000,114900000,-82600000,170400000,130800000,344500000,419200000,659700000,163600000,104300000,527400000,662200000,819200000,939700000,1090200000,761600000,379100000,393600000,651700000,611800000
84,CAPEX,- -,- -,- -,- -,-38100000,-78000000,-86500000,-110700000,-82800000,-93400000,-133000000,-173500000,-129400000,-208300000,-174000000,-350200000,-172200000,-284900000,-198200000,- -,-661100000,-894100000,-1243100000,-429200000,-257600000,-340000000,-469200000,-731000000,-464600000,-1029800000,-933400000,-712700000,-985600000,-1219200000,-704500000,-570800000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-25600000,-13500000,-1400000,- -,-15700000,- -,-3500000,-51000000,- -,- -,-49900000,-42500000,-46200000,-73200000,-714400000,5100000,- -,-47500000,- -,- -,- -,-16600000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-70000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-12000000,-32500000,15000000,-14400000,-6400000,22000000,72800000,53600000,21200000,95900000,77700000,62800000,-149700000,244000000,268100000,-388300000,191700000,410300000,-1000200000,-115300000,-258000000,-42500000,-265200000,-744800000,-100300000,-516400000,-1022700000,-425200000,-490500000,-993300000,-532900000,292900000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-50100000,-110500000,-71500000,-125100000,-89200000,-71400000,-60200000,-119900000,-108200000,-112400000,-121900000,-300900000,-151100000,-40900000,62700000,-388300000,-472900000,-534800000,-1000200000,-185300000,-307900000,-85000000,-311400000,-818000000,-814700000,-511300000,-1022700000,-472700000,-490500000,-993300000,-532900000,276300000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-786100000,- -,- -,- -,- -,- -,-390800000,-294000000,-403900000,-1113000000,-378400000,-262100000,-186600000,-587200000,-162500000,-375400000,-887800000,-1724100000,-1442900000,-2315800000
91,Common Stock Issued,- -,- -,- -,- -,2000000,- -,400000,5900000,8900000,900000,2900000,4600000,2400000,4800000,2300000,- -,31200000,57600000,21600000,26600000,18100000,12200000,3100000,1100000,1700000,2100000,4100000,2500000,600000,300000,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-1900000,- -,- -,- -,- -,- -,- -,- -,-79500000,-84900000,-34600000,- -,- -,- -,-14500000,- -,-2900000,-58300000,-6300000,- -,- -,-45200000,-103200000,-74800000,-142500000,-51000000,-93800000,-518300000,-232900000,-200800000,-842700000
93,Dividends Paid,- -,- -,- -,- -,-11800000,-16900000,-16800000,-17800000,-24000000,-27200000,-27900000,-28700000,-29300000,-29400000,-28700000,-27000000,-16500000,-11000000,-13800000,- -,-18000000,-20200000,-24200000,-25300000,-25400000,-27200000,-31700000,-39300000,-54400000,-64900000,-66700000,-72600000,-77400000,-82100000,-91700000,-88500000
94,Other Financing Activites,- -,- -,- -,- -,-33100000,28200000,4500000,21000000,151100000,-10100000,-40600000,-183600000,5100000,50500000,-38400000,268200000,798700000,-93700000,148400000,174400000,517500000,179300000,923400000,300100000,314100000,1115900000,457100000,413400000,770100000,264000000,-9900000,468100000,971900000,2565600000,1567400000,2432900000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-42900000,9400000,-11900000,9100000,136000000,-36400000,-65600000,-207700000,-21800000,-53600000,-149700000,206600000,27300000,-47100000,156200000,186500000,517600000,168400000,453200000,-24400000,-113500000,-22200000,5900000,11300000,454900000,-530300000,-290100000,-73700000,-511600000,526500000,-168000000,-814100000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,-42900000,9400000,-11900000,9100000,136000000,-36400000,-65600000,-207700000,-21800000,-53600000,3400000,-3400000,-3100000,26900000,136300000,-31400000,175500000,-21900000,-127800000,450000000,-257800000,-2900000,221900000,-144500000,459400000,-101900000,-222600000,215200000,-623000000,-73200000,-49200000,74000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16900000,13500000,19100000,46000000,182300000,150900000,311500000,289600000,161800000,611800000,354000000,351100000,573000000,428500000,887900000,786000000,563400000,778600000,350800000,277600000,228400000,302400000
99,Cash at the Beginning of Period,- -,- -,- -,- -,6400000,7400000,5900000,6100000,7500000,8700000,15300000,14700000,12200000,3100000,13500000,16900000,22200000,19100000,46000000,182300000,136000000,311500000,289600000,161800000,611800000,354000000,351100000,573000000,428500000,887900000,786000000,563400000,973800000,350800000,277600000,228400000
100,Free Cash Flow,- -,- -,- -,- -,55900000,21600000,-4500000,6700000,-128400000,21000000,-7100000,151600000,-8500000,-31900000,101000000,-259300000,-51500000,-170000000,-280800000,170400000,-530300000,-549600000,-823900000,230500000,-94000000,-235700000,58200000,-68800000,354600000,-90100000,156800000,48900000,-606500000,-825600000,-52800000,41000000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/99780/000009978094000009/0000099780-94-000009-index.html,https://www.sec.gov/Archives/edgar/data/99780/000009978095000006/0000099780-95-000006-index.html,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/99780/000095013405004498/0000950134-05-004498-index.htm,https://www.sec.gov/Archives/edgar/data/99780/000095013406004111/0000950134-06-004111-index.htm,https://www.sec.gov/Archives/edgar/data/99780/000095013407003858/0000950134-07-003858-index.htm,https://www.sec.gov/Archives/edgar/data/99780/000095013408003146/0000950134-08-003146-index.htm,https://www.sec.gov/Archives/edgar/data/99780/000095013409003276/0000950134-09-003276-index.htm,https://www.sec.gov/Archives/edgar/data/99780/000095012310014030/0000950123-10-014030-index.htm,https://www.sec.gov/Archives/edgar/data/99780/000095012311015047/0000950123-11-015047-index.htm,https://www.sec.gov/Archives/edgar/data/99780/000119312512064939/0001193125-12-064939-index.htm,https://www.sec.gov/Archives/edgar/data/99780/000009978013000019/0000099780-13-000019-index.htm,https://www.sec.gov/Archives/edgar/data/99780/000009978014000019/0000099780-14-000019-index.htm,https://www.sec.gov/Archives/edgar/data/99780/000009978015000023/0000099780-15-000023-index.htm,https://www.sec.gov/Archives/edgar/data/99780/000009978016000164/0000099780-16-000164-index.htm,https://www.sec.gov/Archives/edgar/data/99780/000009978017000014/0000099780-17-000014-index.htm,https://www.sec.gov/Archives/edgar/data/99780/000009978018000027/0000099780-18-000027-index.htm,https://www.sec.gov/Archives/edgar/data/99780/000009978019000019/0000099780-19-000019-index.htm,https://www.sec.gov/Archives/edgar/data/99780/000009978020000025/0000099780-20-000025-index.htm,https://www.sec.gov/Archives/edgar/data/99780/000009978021000012/0000099780-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/99780/000009978022000013/0000099780-22-000013-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
