,https://roic.ai/company/LLY,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
73,Net Income,- -,- -,- -,- -,939500000,1127300000,1314700000,708700000,480200000,1286100000,2290900000,1523500000,-385100000,2097900000,2721000000,3057800000,2780000000,2707900000,2560800000,1810100000,1979600000,2662700000,2953000000,-2071900000,4328800000,5069500000,4347700000,4088600000,4684800000,2390500000,2408400000,2737600000,-204100000,3232000000,8318400000,6193700000,5581700000
74,Depreciation and Amortization,- -,- -,- -,- -,229300000,247500000,299500000,368100000,398300000,432200000,553700000,543500000,509800000,490400000,439700000,435800000,454900000,493000000,548500000,597500000,726400000,801800000,1047900000,1122600000,1297800000,1328200000,1373600000,1462200000,1445600000,1379000000,1427700000,1496600000,1567300000,1609000000,1232600000,1323900000,1547600000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,-184300000,-231600000,172200000,144000000,207300000,-293000000,25400000,27100000,-442700000,273800000,346500000,130900000,772400000,-347500000,346800000,122900000,442600000,189900000,559700000,-268500000,126000000,285900000,-36400000,-748400000,439500000,-787900000,326800000,62400000,-134500000,-802300000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,368500000,231000000,147400000,141500000,144900000,156000000,217800000,255300000,281300000,279500000,312400000,308100000,342800000
77,Change in Working Capital,- -,- -,- -,- -,-158000000,- -,- -,- -,- -,-1707200000,878800000,497500000,1460000000,-329500000,2320500000,-137800000,-1246400000,1004700000,467500000,2034000000,-162600000,-470600000,2379700000,-7645000000,6574800000,1820200000,-2421300000,-668100000,-461100000,-3215800000,3371700000,-229200000,551400000,3995300000,-6727100000,3046100000,-1022600000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,-21900000,-59100000,-116100000,-198400000,-192300000,107100000,-22100000,-42200000,-65800000,-55600000,16900000,9800000,-184200000,-285100000,-170800000,-111600000,72100000,-60200000,154300000,84800000,-179000000,157000000,203100000,-307900000,-286500000,-307100000,-736300000,-328200000,-253900000,7800000,-258700000,-533400000,-235900000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-336100000,-70300000,-260700000,461600000,819000000,916300000,-284500000,-477700000,1271300000,-664100000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1707200000,-828400000,-330900000,1129100000,799600000,3120100000,2982300000,1735900000,2740600000,3208100000,5242100000,5079500000,4608900000,6988600000,-656400000,5918400000,7738600000,5317300000,4649200000,4188100000,972300000,4344000000,4114800000,4666200000,8661500000,1934400000,4980500000,- -
82,Other Non-Cash Items,- -,- -,- -,- -,21800000,99600000,-359600000,591000000,870000000,1349000000,-2042800000,-780400000,1108700000,345600000,-2888600000,818400000,1399300000,-2481400000,-61000000,-2344500000,-282300000,635200000,-1349000000,15447300000,-8424300000,-2151800000,4055600000,154600000,-365100000,3693800000,-3904400000,151200000,4207600000,-3918100000,1637900000,-4237700000,1613500000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,1032600000,1474400000,1254600000,1483500000,1516900000,1532300000,1824600000,1991400000,2400400000,2629800000,2619700000,3731500000,3661600000,2070700000,3646700000,2869500000,1913600000,3975900000,5154500000,7295600000,4335500000,6856800000,7234500000,5304800000,5735000000,4367100000,2772800000,4851000000,5615600000,5524500000,4836600000,6499600000,7260700000
84,CAPEX,- -,- -,- -,- -,-554500000,-1007300000,-1142400000,-1002100000,-633500000,-576500000,-551300000,-443900000,-366300000,-419900000,-528300000,-677900000,-884000000,-1130900000,-1706600000,-1898100000,-1298100000,-1077800000,-1082400000,-947200000,-855000000,-1186700000,-1692900000,-1044200000,-1093300000,-1565900000,-1626200000,-1092000000,-2163600000,-3018200000,-1353500000,-2029100000,-1873200000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4050800000,-36800000,-97100000,- -,- -,- -,- -,- -,- -,- -,-71700000,- -,- -,-2673200000,-6083000000,- -,-609400000,-307800000,-199300000,-43700000,-551400000,-5283100000,-45000000,-882100000,- -,-6936900000,-849300000,-747400000
86,Purchases of Investments,- -,- -,- -,- -,-605200000,-504400000,-942600000,-740200000,-1001700000,-1150500000,-372900000,-294300000,-388500000,-57600000,-162800000,- -,-3061700000,-5842100000,-7005300000,-13086700000,-1183100000,-1313200000,-1127600000,-2412400000,-432300000,-1753700000,-4710300000,-7618600000,-15572900000,-11440500000,-4068700000,-5673400000,-8001300000,-950100000,-290200000,-370100000,-1013400000
87,Sales/Maturities of Investments,- -,- -,- -,- -,352000000,501500000,1301700000,764200000,889300000,1387000000,430800000,396900000,365700000,273100000,216100000,983900000,319000000,4777900000,7536400000,14849300000,607800000,2755200000,800100000,2554900000,1506900000,584700000,2138500000,4730800000,14555100000,15063500000,5230200000,3728000000,7438500000,6062000000,746400000,886800000,847400000
88,Other Investing Activites,- -,- -,- -,- -,-17100000,-45700000,-72400000,49900000,-120800000,-14200000,-32600000,-29600000,1198800000,-89500000,1561700000,-1362500000,-338100000,-279300000,-156000000,-477600000,-342500000,244200000,-245000000,-381100000,-166800000,-687100000,-1272800000,1159700000,800000,-5818100000,5214600000,-111700000,-1261900000,-1995300000,-568300000,-538400000,-539100000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-824800000,-1055900000,-855700000,-928200000,-866700000,-4405000000,-562800000,-468000000,809700000,-293900000,1086700000,-1056500000,-3964800000,-2474400000,-1331500000,-684800000,-2215900000,608400000,-4328100000,-7268800000,142800000,-3159800000,-4824400000,-2832800000,-2072800000,-3909100000,26800000,-3139100000,-3783600000,1906000000,-8082900000,-2258900000,-2762300000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5824200000,-1100000,-54600000,-1500600000,-10500000,-1034800000,-1955700000,-200000,-630600000,-1009100000,-2866400000,-276500000,-1905400000
91,Common Stock Issued,- -,- -,- -,- -,28600000,21300000,39300000,26000000,19800000,50500000,54700000,218400000,365400000,414000000,310200000,178400000,109500000,64600000,103100000,104500000,105900000,59600000,24700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1659700000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-186900000,-1067200000,-69200000,-68500000,-25800000,-111000000,-156000000,-314500000,-351300000,-2172600000,-1453000000,-1052800000,-545700000,-385200000,-281100000,- -,-377900000,-122100000,- -,- -,- -,- -,- -,-721100000,-1698100000,-800000000,-749500000,-600100000,-299800000,-4150700000,-4400000000,-500000000,-1250000000
93,Dividends Paid,- -,- -,- -,- -,-372000000,-450100000,-582700000,-643700000,-708400000,-723100000,-747200000,-753200000,-818000000,-877700000,-1000500000,-1126000000,-1207200000,-1335800000,-1443000000,-1539800000,-1654900000,-1736300000,-1853600000,-2056700000,-2152100000,-2165300000,-2180100000,-2187400000,-2120700000,-2101200000,-2127300000,-2158500000,-2192100000,-2311800000,-2409800000,-2687100000,-3086800000
94,Other Financing Activites,- -,- -,- -,- -,-6700000,1102300000,334400000,97600000,191300000,3620900000,34800000,-811800000,-1150700000,-176400000,690600000,-229100000,594700000,1234400000,42700000,1639000000,46400000,-2780000000,984000000,4402700000,2442600000,144500000,-135200000,-10500000,- -,3860900000,1913300000,2199000000,3265100000,-93000000,7351700000,326500000,2110900000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-537000000,-393700000,-278200000,-588600000,-523100000,2837300000,-813700000,-1661100000,-1954600000,-2812700000,-1452700000,-2229500000,-1048700000,-422000000,-1578300000,203700000,-1880500000,-4578800000,-844900000,2346000000,-5533700000,-2021900000,-2369900000,-4419600000,-3829300000,-75100000,-2919200000,-559800000,142600000,-5904900000,-2324500000,-3137100000,-4131300000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-9000000,2400000,8300000,-13500000,-19900000,32700000,14500000,-48100000,-121700000,25000000,-49000000,-31000000,-60700000,69300000,73500000,220600000,-175800000,97100000,129700000,-96600000,21600000,-144800000,-110900000,43900000,-21500000,-341500000,-85600000,-236400000,-20500000,-63600000,-89900000,216000000,-205700000
97,Net Change In Cash,- -,- -,- -,- -,-537000000,-393700000,-278200000,-588600000,-523100000,-2700000,462600000,-185800000,1133800000,-451800000,2204700000,414500000,-1412600000,-756400000,810400000,2609000000,-2358600000,102600000,111200000,2276200000,-1033800000,1530300000,-70700000,-1903700000,-188600000,41400000,-205200000,915700000,1954100000,1462000000,-5660700000,1319600000,161400000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,536900000,999500000,813700000,1947500000,1495700000,3700400000,4114900000,2702300000,1945900000,2756300000,5365300000,3006700000,3109300000,3220500000,5496700000,4462900000,5993200000,5922500000,4018800000,3830200000,3871600000,3666400000,4582100000,6536200000,7998200000,2337500000,3657100000,3818500000
99,Cash at the Beginning of Period,- -,- -,- -,- -,661200000,323000000,350200000,479200000,432400000,539600000,536900000,999500000,813700000,1947500000,1495700000,3700400000,4114900000,2702300000,1945900000,2756300000,5365300000,3006700000,3109300000,3220500000,5496700000,4462900000,5993200000,5922500000,4018800000,3830200000,3871600000,3666400000,4582100000,6536200000,7998200000,2337500000,3657100000
100,Free Cash Flow,- -,- -,- -,- -,478100000,467100000,112200000,481400000,883400000,955800000,1273300000,1547500000,2034100000,2209900000,2091400000,3053600000,2777600000,939800000,1940100000,971400000,615500000,2898100000,4072100000,6348400000,3480500000,5670100000,5541600000,4260600000,4641700000,2801200000,1146600000,3759000000,3452000000,2506300000,3483100000,4470500000,5387500000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/59478/000005947896000001/0000059478-96-000001-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/59478/000095013101001634/0000950131-01-001634-index.html,- -,https://www.sec.gov/Archives/edgar/data/59478/000095013703001575/c75275e10vk.htm,https://www.sec.gov/Archives/edgar/data/59478/000095013704001857/c83409e10vk.htm,https://www.sec.gov/Archives/edgar/data/59478/000095013405004385/c92539e10vk.htm,https://www.sec.gov/Archives/edgar/data/59478/000095013706002395/c02657e10vk.htm,https://www.sec.gov/Archives/edgar/data/59478/000095013707003013/c12621e10vk.htm,https://www.sec.gov/Archives/edgar/data/59478/000095013708003028/c24001e10vk.htm,https://www.sec.gov/Archives/edgar/data/59478/000095015209001897/0000950152-09-001897-index.html,https://www.sec.gov/Archives/edgar/data/59478/000095012310014958/0000950123-10-014958-index.html,https://www.sec.gov/Archives/edgar/data/59478/000119312511041620/d10k.htm,https://www.sec.gov/Archives/edgar/data/59478/000119312512078393/0001193125-12-078393-index.html,https://www.sec.gov/Archives/edgar/data/59478/000005947813000007/0000059478-13-000007-index.html,https://www.sec.gov/Archives/edgar/data/59478/000005947814000078/lly-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/59478/000005947815000100/lly-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/59478/000005947816000321/0000059478-16-000321-index.html,https://www.sec.gov/Archives/edgar/data/59478/000005947817000098/0000059478-17-000098-index.html,https://www.sec.gov/Archives/edgar/data/59478/000005947818000089/0000059478-18-000089-index.html,https://www.sec.gov/Archives/edgar/data/59478/000005947819000082/0000059478-19-000082-index.html,https://www.sec.gov/Archives/edgar/data/59478/000005947820000057/0000059478-20-000057-index.html,https://www.sec.gov/Archives/edgar/data/59478/000005947821000083/0000059478-21-000083-index.htm,https://www.sec.gov/Archives/edgar/data/59478/000005947822000068/0000059478-22-000068-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
