,https://roic.ai/company/ANDE,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
75,Deferred Income Tax,- -,- -,- -,- -,2800000,500000,-1700000,900000,2242000,-539000,2709000,382000,3184000,1964000,7371000,5274000,4124000,16430000,12205000,5473000,16503000,40374000,21815000,27279000,6030000,-63234000,11018000,5114000,26386000,-104618000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4050000,2747000,2589000,4071000,3990000,4339000,8581000,1899000,6987000,6097000,6624000,16229000,10183000,11038000
77,Change in Working Capital,177255,788235,-219415,61131180,-100000,-8000000,12300000,2000000,-12640000,19745000,5825000,8702000,16214000,-9527000,60189000,21271000,153020000,-22997000,-5887000,11156000,-8625000,-74895000,-2710000,14744000,16865000,2145000,-70647000,315575000,-20696000,-267845000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15708000,-21737000,35446000,-1703000,45058000,-26429000,9781000,-24788000,1487000,-128502000,-184002000
79,Inventory,- -,- -,- -,-71300000,119600000,-41200000,6800000,3000000,-33654000,-26428000,-17984000,-3480000,8327000,10622000,-58299000,-206447000,3074000,32227000,-214171000,-114427000,122428000,162443000,-172040000,73350000,28165000,16141000,-44060000,-1578000,-139499000,-528073000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,72648000,18089000,20703000,117309000,107179000,-55934000,-12429000,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,788235,568820,61700000,61600000,53600000,65900000,67900000,55260000,75005000,80830000,89532000,105746000,96219000,156408000,177679000,330699000,307702000,301815000,312971000,304346000,229451000,226741000,241485000,258350000,260495000,189848000,505423000,484727000,-107188000
82,Other Non-Cash Items,-94137,-886364,140539,-140731180,140500000,-21700000,-15600000,-14400000,-31102000,-48435000,-12918000,8169000,2515000,-3532000,-191547000,-285916000,54803000,109690000,-351767000,133622000,188157000,222124000,-209488000,44823000,-86216000,1354000,-114295000,-152829000,-286653000,27455000
83,Cash Provided by Operating Activities,103346,89681,177585,-60100000,159300000,-15000000,15400000,8200000,-18303000,-6108000,23249000,44093000,62492000,37880000,-62903000,-164334000,278664000,180241000,-239285000,290265000,328482000,337188000,-10071000,154134000,39585000,75285000,-35519000,348562000,-74432000,-51050000
84,CAPEX,- -,- -,- -,-11900000,-10000000,-15400000,-11200000,-18000000,-48745000,-30945000,-18037000,-32247000,-58751000,-110807000,-101886000,-76360000,-118325000,-41525000,-49251000,-108323000,-180498000,-139370000,-149742000,-187501000,-163008000,-177622000,-309584000,-270477000,-104886000,-81805000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-85078000,- -,- -,- -,-18920000,-30480000,-39293000,-2365000,-220257000,-64503000,26525000,-127867000,6663000,-8117000,-3334000,-102580000,- -,6705000
86,Purchases of Investments,-14116,-505313,-739329,- -,- -,- -,- -,- -,- -,- -,- -,-1182000,-675000,-16005000,-34255000,-36249000,-41450000,-1200000,-13495000,-121000,-19996000,- -,- -,- -,- -,- -,- -,-1490000,-3059000,-6243000
87,Sales/Maturities of Investments,- -,1000000,500000,600000,400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19998000,- -,- -,- -,15013000,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,200000,700000,1200000,300000,800000,8540000,16665000,16885000,17317000,45494000,67324000,66987000,49012000,70734000,9796000,13034000,24812000,40922000,50826000,-26196000,4419000,35374000,37643000,-15654000,-115708000,21189000,568591000
89,Cash Used for Investing Activites,-14116,494687,-239329,-11100000,-8900000,-14200000,-10900000,-17200000,-40205000,-14280000,-1152000,-16112000,-99010000,-59488000,-69154000,-63597000,-107961000,-63409000,-89005000,-85997000,-290557000,-106261000,-89738000,-238480000,-28218000,-113494000,-185993000,-325032000,-86756000,487248000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-329873000,-56849000,-44106000,-273608000,-143943000,-94752000,-69697000,-92474000,-97606000,-57189000,-121090000,-608483000,-559711000,-1044878000
