,https://roic.ai/company/GT,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/42582/000095015296001068/0000950152-96-001068-index.html,https://www.sec.gov/Archives/edgar/data/42582/000095015297002174/0000950152-97-002174-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/42582/000095015202001645/0000950152-02-001645-index.html,https://www.sec.gov/Archives/edgar/data/42582/000095015203003920/l99117ae10vk.htm,https://www.sec.gov/Archives/edgar/data/42582/000095015204004172/l07358ae10vk.htm,https://www.sec.gov/Archives/edgar/data/42582/000095015205002219/l12143ae10vk.htm,https://www.sec.gov/Archives/edgar/data/42582/000095015206001296/l17860ae10vk.htm,https://www.sec.gov/Archives/edgar/data/42582/000095015207001224/l24626ae10vk.htm,https://www.sec.gov/Archives/edgar/data/42582/000095015208001092/l29512ae10vk.htm,https://www.sec.gov/Archives/edgar/data/42582/000095015209001538/0000950152-09-001538-index.html,https://www.sec.gov/Archives/edgar/data/42582/000095012310014004/0000950123-10-014004-index.html,https://www.sec.gov/Archives/edgar/data/42582/000095012311011714/l41188e10vk.htm,https://www.sec.gov/Archives/edgar/data/42582/000095012312002512/0000950123-12-002512-index.html,https://www.sec.gov/Archives/edgar/data/42582/000095012313000902/0000950123-13-000902-index.html,https://www.sec.gov/Archives/edgar/data/42582/000095012314002054/gt-q4201310k.htm,https://www.sec.gov/Archives/edgar/data/42582/000095012315002527/gt-q4201410k.htm,https://www.sec.gov/Archives/edgar/data/42582/000095012316013733/0000950123-16-013733-index.html,https://www.sec.gov/Archives/edgar/data/42582/000156459017001142/0001564590-17-001142-index.html,https://www.sec.gov/Archives/edgar/data/42582/000095012318001052/0000950123-18-001052-index.html,https://www.sec.gov/Archives/edgar/data/42582/000095012319000989/0000950123-19-000989-index.html,https://www.sec.gov/Archives/edgar/data/42582/000095012320001393/0000950123-20-001393-index.html,https://www.sec.gov/Archives/edgar/data/42582/000156459021004857/0001564590-21-004857-index.htm,https://www.sec.gov/Archives/edgar/data/42582/000095017022001201/0000950170-22-001201-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,189400000,-38300000,74500000,-658600000,387800000,567000000,611000000,101700000,558700000,682300000,241100000,40300000,-203600000,-1105800000,-802100000,114800000,228000000,-330000000,602000000,-77000000,-375000000,-216000000,343000000,212000000,629000000,2452000000,307000000,1264000000,346000000,693000000,-311000000,-1254000000,780000000
74,Depreciation and Amortization,- -,- -,- -,- -,383500000,415000000,441500000,445800000,392900000,410300000,434900000,460800000,469300000,487800000,581700000,630300000,636700000,602800000,693300000,714800000,706000000,694000000,659000000,660000000,636000000,652000000,715000000,687000000,722000000,732000000,698000000,727000000,781000000,778000000,795000000,859000000,883000000
75,Deferred Income Tax,- -,- -,- -,- -,38200000,-56600000,-38500000,- -,-36300000,99800000,58000000,-238500000,-30700000,144900000,-142300000,-138900000,-252000000,987900000,-14800000,-4500000,-19000000,-48000000,23000000,- -,- -,- -,- -,- -,- -,-1970000000,79000000,-229000000,385000000,131000000,323000000,23000000,-471000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,64000000
77,Change in Working Capital,- -,- -,- -,- -,79600000,-41100000,-304500000,-62600000,75400000,311800000,54600000,153500000,-345900000,339700000,48700000,-60000000,687200000,-773200000,2147300000,216000000,350400000,1644000000,-5000000,-1947000000,-431000000,-392000000,1145000000,-707000000,443000000,-631000000,-1804000000,-283000000,153000000,90000000,-497000000,-133000000,205000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,294000000,139000000,-181000000,-337000000,291000000,79000000,75000000,-31000000,211000000,-147000000,-172000000,71000000,132000000,-300000000
79,Inventory,- -,- -,- -,- -,-120100000,340800000,5900000,-71900000,-100200000,-63900000,-344300000,-5500000,-107100000,-313600000,276900000,-382600000,407800000,84900000,41600000,-53900000,-253000000,108000000,-395000000,-700000000,1265000000,-536000000,-1009000000,619000000,366000000,-35000000,-89000000,-172000000,-44000000,-171000000,6000000,713000000,-982000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,769000000,696000000,-453000000,-30000000,-41000000,78000000,-156000000,85000000,223000000,5000000,26000000,923000000
81,Other Working Capital,- -,- -,- -,- -,1071700000,1030600000,726100000,663500000,738900000,1050700000,1105300000,1258800000,912900000,1252600000,1301300000,1241300000,1928500000,1155300000,3302600000,3518600000,3869000000,5513000000,5508000000,3561000000,3130000000,2738000000,3883000000,3176000000,3619000000,2988000000,1184000000,901000000,1054000000,1144000000,647000000,514000000,719000000
82,Other Non-Cash Items,- -,- -,- -,- -,127100000,295300000,399400000,892200000,-116700000,-624300000,-505700000,420000000,416400000,-1215600000,-94500000,38100000,398200000,964700000,-2330400000,-321300000,-380400000,-1400000000,-1147000000,619000000,1467000000,880000000,-1430000000,846000000,-856000000,-243000000,2407000000,25000000,-507000000,-776000000,897000000,1620000000,-399000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,817800000,574300000,572400000,616800000,703100000,764600000,652800000,897500000,1067800000,439100000,634700000,509800000,1266500000,676400000,-306700000,719800000,885000000,560000000,132000000,-745000000,1297000000,924000000,773000000,1038000000,938000000,340000000,1687000000,1504000000,1158000000,916000000,1207000000,1115000000,1062000000
84,CAPEX,- -,- -,- -,- -,-775700000,-574500000,-345100000,-366600000,-432300000,-523000000,-615600000,-617500000,-826100000,-1056300000,-1697000000,-614500000,-435400000,-457900000,-446600000,-518600000,-634000000,-671000000,-739000000,-1133000000,-746000000,-944000000,-1043000000,-1127000000,-1168000000,-923000000,-983000000,-996000000,-881000000,-811000000,-770000000,-647000000,-981000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-61800000,-2000000,-41000000,- -,58000000,43000000,- -,- -,- -,- -,- -,-320000000,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-126300000,-75400000,-118200000,-121100000,-157500000,-287100000,-30600000,-97200000,-38600000,-18300000,-54200000,-24400000,-2300000,-64700000,- -,- -,- -,- -,- -,-360000000,- -,- -,- -,-29000000,-105000000,-72000000,-77000000,-72000000,-83000000,-68000000,-113000000,-96000000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,44300000,110300000,101500000,95800000,214200000,310600000,41400000,86200000,40800000,18600000,59500000,26100000,1900000,38500000,26600000,- -,- -,- -,- -,284000000,47000000,26000000,- -,- -,89000000,95000000,69000000,60000000,83000000,68000000,106000000,96000000,- -
88,Other Investing Activites,- -,- -,- -,- -,155100000,14500000,112800000,435800000,93400000,3300000,-79200000,-62400000,19900000,354500000,-110300000,144400000,-11600000,-58300000,184000000,55200000,196000000,180000000,1568000000,-1034000000,-753000000,-885000000,-902000000,-1094000000,-1120000000,-874000000,-934000000,-961000000,-879000000,-867000000,-793000000,-667000000,-2793000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-702600000,-525100000,-249000000,43900000,-282200000,-496200000,-684000000,-690900000,-804000000,-701500000,-1802000000,-468400000,-447400000,-542400000,-236000000,-525200000,-440000000,-532000000,829000000,-1136000000,-663000000,-859000000,-902000000,-1123000000,-1136000000,-851000000,-1262000000,-973000000,-879000000,-867000000,-800000000,-667000000,-2793000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1490000000,-2730000000,-1623000000,-2788000000,-3873000000,-801000000,-1579000000,-3399000000,-5661000000,-7388000000,-8264000000,-7941000000,-7652000000,-278000000
91,Common Stock Issued,- -,- -,- -,- -,17600000,19300000,586200000,50900000,195200000,41400000,58800000,86800000,81100000,38800000,14100000,4200000,1700000,19000000,200000,1800000,7000000,12000000,937000000,5000000,2000000,1000000,8000000,3000000,22000000,39000000,53000000,13000000,14000000,4000000,1000000,- -,9000000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-78400000,-85200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-234000000,-180000000,-500000000,-400000000,-220000000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,-103800000,-104700000,-23500000,-39300000,-84900000,-113400000,-144500000,-159700000,-178300000,-187900000,-187500000,-215500000,-175600000,-86000000,-15700000,-28900000,-52000000,-69000000,- -,-55000000,- -,- -,-15000000,-29000000,-41000000,-75000000,-68000000,-82000000,-110000000,-138000000,-148000000,-37000000,- -
94,Other Financing Activites,- -,- -,- -,- -,-118500000,137300000,-935200000,-623200000,-541800000,-123600000,168500000,-133900000,-30200000,480600000,1356500000,207700000,70900000,-89800000,1140800000,216200000,-130000000,1704000000,-2372000000,1888000000,2074000000,1801000000,3789000000,3473000000,1902000000,1838000000,2609000000,5370000000,7469000000,8375000000,7781000000,7892000000,1578000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-204700000,51900000,-372500000,-611600000,-431500000,-195600000,82800000,-206800000,-205800000,246300000,1183100000,-3600000,-103000000,-156800000,1125300000,189100000,-175000000,1647000000,-1435000000,348000000,-654000000,179000000,994000000,-426000000,1082000000,-11000000,-985000000,-860000000,-415000000,-243000000,-307000000,203000000,1309000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-22100000,-3300000,-7800000,-5000000,-8400000,-10400000,-34200000,-29600000,-37900000,-3500000,-13500000,-26200000,-9600000,-13600000,64200000,37900000,-60000000,62000000,75000000,-36000000,48000000,-161000000,-98000000,20000000,-169000000,-313000000,-125000000,-15000000,57000000,-43000000,1000000,-1000000,-38000000
97,Net Change In Cash,- -,- -,- -,- -,-204700000,51900000,-372500000,-611600000,-431500000,-195600000,82800000,-206800000,-205800000,246300000,2300000,11600000,706500000,-36400000,646800000,421600000,210000000,1737000000,-399000000,-1569000000,28000000,83000000,767000000,-491000000,715000000,-835000000,-685000000,-344000000,-79000000,-237000000,101000000,650000000,-460000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,241300000,252900000,959400000,923000000,1564900000,1967900000,2178000000,3899000000,3463000000,1894000000,1922000000,2005000000,2772000000,2281000000,2996000000,2161000000,1476000000,1132000000,1110000000,873000000,974000000,1624000000,1164000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,234100000,122500000,220300000,163400000,207500000,188500000,250900000,268300000,238500000,258600000,239000000,241300000,252900000,959400000,918100000,1546300000,1968000000,2162000000,3862000000,3463000000,1894000000,1922000000,2005000000,2772000000,2281000000,2996000000,2161000000,1476000000,1189000000,1110000000,873000000,974000000,1624000000
100,Free Cash Flow,- -,- -,- -,- -,42100000,-200000,227300000,250200000,270800000,241600000,37200000,280000000,241700000,-617200000,-1062300000,-104700000,831100000,218500000,-753300000,201200000,251000000,-111000000,-607000000,-1878000000,551000000,-20000000,-270000000,-89000000,-230000000,-583000000,704000000,508000000,277000000,105000000,437000000,468000000,81000000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/42582/000095015296001068/0000950152-96-001068-index.html,https://www.sec.gov/Archives/edgar/data/42582/000095015297002174/0000950152-97-002174-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/42582/000095015202001645/0000950152-02-001645-index.html,https://www.sec.gov/Archives/edgar/data/42582/000095015203003920/l99117ae10vk.htm,https://www.sec.gov/Archives/edgar/data/42582/000095015204004172/l07358ae10vk.htm,https://www.sec.gov/Archives/edgar/data/42582/000095015205002219/l12143ae10vk.htm,https://www.sec.gov/Archives/edgar/data/42582/000095015206001296/l17860ae10vk.htm,https://www.sec.gov/Archives/edgar/data/42582/000095015207001224/l24626ae10vk.htm,https://www.sec.gov/Archives/edgar/data/42582/000095015208001092/l29512ae10vk.htm,https://www.sec.gov/Archives/edgar/data/42582/000095015209001538/0000950152-09-001538-index.html,https://www.sec.gov/Archives/edgar/data/42582/000095012310014004/0000950123-10-014004-index.html,https://www.sec.gov/Archives/edgar/data/42582/000095012311011714/l41188e10vk.htm,https://www.sec.gov/Archives/edgar/data/42582/000095012312002512/0000950123-12-002512-index.html,https://www.sec.gov/Archives/edgar/data/42582/000095012313000902/0000950123-13-000902-index.html,https://www.sec.gov/Archives/edgar/data/42582/000095012314002054/gt-q4201310k.htm,https://www.sec.gov/Archives/edgar/data/42582/000095012315002527/gt-q4201410k.htm,https://www.sec.gov/Archives/edgar/data/42582/000095012316013733/0000950123-16-013733-index.html,https://www.sec.gov/Archives/edgar/data/42582/000156459017001142/0001564590-17-001142-index.html,https://www.sec.gov/Archives/edgar/data/42582/000095012318001052/0000950123-18-001052-index.html,https://www.sec.gov/Archives/edgar/data/42582/000095012319000989/0000950123-19-000989-index.html,https://www.sec.gov/Archives/edgar/data/42582/000095012320001393/0000950123-20-001393-index.html,https://www.sec.gov/Archives/edgar/data/42582/000156459021004857/0001564590-21-004857-index.htm,https://www.sec.gov/Archives/edgar/data/42582/000095017022001201/0000950170-22-001201-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
