,https://roic.ai/company/FAST,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
86,Purchases of Investments,- -,- -,-1000000,-1000000,-1700000,-4700000,-2700000,-2300000,- -,- -,- -,- -,- -,- -,-17635000,-21770000,6535000,-3200000,- -,-633000,- -,- -,-28941000,-581000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,1800000,3000000,5100000,600000,4300000,300000,300000,- -,100000,215000,- -,- -,- -,8103000,27067000,- -,12421000,412000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,100000,-100000,- -,- -,-100000,400000,1700000,-600000,6800000,8600000,14400000,6154000,2329000,17446000,3978000,4247000,5291000,4015000,5664000,8311000,4762000,-5870000,7820000,31202000,4748000,6268000,-1966000,1358000,-700000,6100000,6700000,11400000,8100000
89,Cash Used for Investing Activites,- -,- -,-2000000,-2900000,-3900000,-7100000,-3200000,-9400000,-10700000,-26500000,-21600000,-28600000,-24700000,-30360000,-60648000,-47007000,-39733000,-43537000,-33552000,-74199000,-37674000,-86583000,-81749000,-80048000,-112223000,-107204000,-201792000,-188781000,-180627000,-188093000,-179300000,-173900000,-239700000,-281700000,-148500000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-260000000,-615000000,-955000000,-920000000,-980000000,-895000000,-1065000000,-940000000,-540000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12522000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-18739000,-17294000,-87312000,-25958000,-41104000,- -,- -,- -,-9080000,-52942000,-292951000,-59440000,-82600000,-103000000,- -,-52000000,- -
93,Dividends Paid,- -,- -,- -,- -,-500000,-600000,-600000,-800000,-800000,-800000,-800000,-800000,-1500000,-3035000,-3415000,-3794000,-15935000,-30350000,-46935000,-60548000,-66216000,-117474000,-106943000,-182814000,-191741000,-367306000,-237456000,-296581000,-327101000,-346588000,-369100000,-441900000,-498600000,-803400000,-643700000
94,Other Financing Activites,- -,- -,- -,- -,-800000,- -,- -,- -,- -,8700000,7700000,-12200000,-4100000,- -,- -,- -,- -,- -,- -,4653000,1000,- -,- -,- -,9922000,39793000,272093000,714791000,1237489000,985156000,1024500000,993400000,968500000,1041000000,556600000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-1300000,-600000,-600000,-800000,-800000,7900000,6900000,-13000000,-5600000,-3035000,-3415000,-3794000,-15935000,-30350000,-65674000,-60667000,-153527000,-143432000,-148047000,-182814000,-181819000,-327513000,-234443000,-249732000,-337563000,-340872000,-407200000,-446500000,-595100000,-754400000,-627100000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-110000,14000,499000,203000,15000,133000,1181000,-1211000,2686000,1215000,-464000,360000,-990000,-4889000,-14227000,-1318000,5500000,-3500000,-200000,5100000,-4000000
97,Net Change In Cash,- -,- -,- -,- -,-1300000,-600000,-600000,-800000,-800000,7900000,6900000,-13000000,25700000,4858000,27554000,-32968000,35454000,-16247000,22701000,-36858000,37874000,28672000,78960000,-21159000,-26017000,-38065000,-21105000,55990000,14523000,-16284000,4200000,50300000,7700000,70800000,-9500000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27800000,32707000,47264000,14296000,49750000,33503000,56204000,19346000,57220000,85892000,164852000,143693000,117676000,79611000,58506000,114496000,129019000,112735000,116900000,167200000,174900000,245700000,236200000
99,Cash at the Beginning of Period,- -,- -,2300000,3200000,4600000,3400000,1300000,2000000,3100000,6600000,400000,400000,2100000,27849000,19710000,47264000,14296000,49750000,33503000,56204000,19346000,57220000,85892000,164852000,143693000,117676000,79611000,58506000,114496000,129019000,112700000,116900000,167200000,174900000,245700000
100,Free Cash Flow,- -,- -,1900000,2400000,- -,100000,-1100000,3200000,-1800000,-13700000,-14000000,6100000,16800000,1524000,46385000,-24864000,40377000,4750000,56002000,20294000,172135000,164592000,253532000,166891000,148446000,257886000,209580000,309918000,391772000,324548000,465300000,497900000,596300000,933700000,613500000
101,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/815556/0000950131-96-001114-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/815556/000119312504029342/0001193125-04-029342-index.htm,https://www.sec.gov/Archives/edgar/data/815556/000119312505039692/0001193125-05-039692-index.htm,https://www.sec.gov/Archives/edgar/data/815556/000119312506037687/0001193125-06-037687-index.htm,https://www.sec.gov/Archives/edgar/data/815556/000119312507038320/0001193125-07-038320-index.htm,https://www.sec.gov/Archives/edgar/data/815556/000119312508035349/0001193125-08-035349-index.htm,- -,https://www.sec.gov/Archives/edgar/data/815556/000119312510025958/0001193125-10-025958-index.htm,https://www.sec.gov/Archives/edgar/data/815556/000119312511029081/0001193125-11-029081-index.htm,https://www.sec.gov/Archives/edgar/data/815556/000119312512048575/0001193125-12-048575-index.htm,https://www.sec.gov/Archives/edgar/data/815556/000081555613000013/0000815556-13-000013-index.htm,https://www.sec.gov/Archives/edgar/data/815556/000081555614000016/0000815556-14-000016-index.htm,https://www.sec.gov/Archives/edgar/data/815556/000081555615000014/0000815556-15-000014-index.htm,https://www.sec.gov/Archives/edgar/data/815556/000081555616000087/0000815556-16-000087-index.htm,https://www.sec.gov/Archives/edgar/data/815556/000081555617000009/0000815556-17-000009-index.htm,https://www.sec.gov/Archives/edgar/data/815556/000081555618000010/0000815556-18-000010-index.htm,https://www.sec.gov/Archives/edgar/data/815556/000081555619000015/0000815556-19-000015-index.htm,https://www.sec.gov/Archives/edgar/data/815556/000081555620000011/0000815556-20-000011-index.htm,https://www.sec.gov/Archives/edgar/data/815556/000081555621000008/0000815556-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/815556/000081555622000009/0000815556-22-000009-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
