,https://roic.ai/company/DAIO,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
84,CAPEX,- -,- -,- -,- -,- -,- -,-4500000,-2300000,-2800000,-1900000,-2700000,-2300000,-1200000,-5700000,-1200000,-1111000,-785000,-726000,-486000,-2528000,-1846000,-1278000,-1015000,-1677000,-611000,-1070000,-3495000,-492000,-678000,-1402000,-1045000,-2122000,-2154000,-907000,-612000,-860000,-623000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-45700000,-20700000,-8600000,-2346000,-4335000,-630000,-4815000,-1182000,-1250000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20100000,31100000,13900000,10019000,3041000,2789000,3536000,2495000,1492000,804000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,-1700000,-1200000,-1400000,- -,-2100000,- -,29000000,-1000000,1100000,- -,- -,- -,- -,-30000,-203000,- -,- -,2115000,42000,13000,-2089000,- -,- -,- -,- -,140000,366000,19000,64000,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,-6200000,-3500000,-4200000,-1900000,-4800000,-2300000,2200000,3700000,5200000,6562000,-2079000,1433000,-1765000,-1245000,-1807000,-474000,-1015000,438000,-569000,-1057000,-3495000,-492000,-678000,-1402000,-1045000,-1982000,-1788000,-888000,-548000,-860000,-623000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-112000,-121000,-130000,-92000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,500000,1100000,700000,500000,900000,700000,1200000,600000,200000,479000,209000,138000,159000,204000,407000,275000,355000,206000,115000,95000,18000,16000,- -,- -,-73000,-163000,-939000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-400000,-100000,-100000,- -,-4100000,-3000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-253000,-6026000,-10000,- -,- -,-191000,- -,-966000,-1677000,-144000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,400000,200000,-1000000,-1900000,-900000,- -,-500000,-1400000,- -,- -,- -,- -,- -,- -,- -,-33000,-103000,- -,- -,- -,- -,- -,- -,-35000,- -,- -,- -,- -,- -,- -,-423000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,500000,1200000,-400000,-1400000,-4100000,-2300000,700000,-800000,200000,479000,209000,138000,159000,204000,407000,242000,252000,94000,-6000,-35000,-327000,-6010000,-10000,-35000,-73000,-354000,-939000,-966000,-1677000,-144000,-423000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000,28000,-82000,99000,407000,166000,399000,-478000,-603000,496000,78000,62000,173000,181000,251000,-367000,-342000,-319000,571000,-456000,-86000,604000,-341000
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,500000,1200000,-400000,-1400000,-2800000,-500000,700000,-800000,-400000,-464000,-477000,1727000,-3000,1154000,-1172000,-1884000,5159000,5667000,2338000,3300000,-822000,-7592000,-102000,-1065000,1907000,303000,6970000,-198000,-4407000,231000,23000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4500000,4000000,- -,- -,3600000,3133000,2656000,4383000,4380000,5534000,4362000,2478000,7637000,13304000,15642000,18942000,18120000,10528000,10426000,9361000,11268000,11571000,18541000,18343000,13936000,14167000,14190000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,1200000,500000,1800000,1700000,7300000,4500000,4000000,8100000,4000000,3597000,3133000,2656000,4383000,4380000,5534000,4362000,2478000,7637000,13304000,15642000,18942000,18120000,10528000,10426000,9361000,11268000,11571000,18541000,18343000,13936000,14167000
100,Free Cash Flow,- -,- -,- -,- -,- -,- -,400000,1400000,1800000,7100000,3400000,1800000,- -,-12600000,-6800000,-8644000,690000,-669000,710000,-499000,-2017000,-2452000,5510000,2962000,2224000,3260000,-668000,-1763000,-343000,-663000,2322000,836000,6972000,1205000,-2708000,-229000,787000
101,SEC Link,- -,- -,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/351998/000091205796005194/0000912057-96-005194-index.html,https://www.sec.gov/Archives/edgar/data/351998/000091205797009640/0000912057-97-009640-index.html,https://www.sec.gov/Archives/edgar/data/351998/000089155498000287/0000891554-98-000287-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/351998/000035199801000010/0000351998-01-000010-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/351998/000091228207000366/0000912282-07-000366-index.htm,https://www.sec.gov/Archives/edgar/data/351998/000091228208000472/0000912282-08-000472-index.htm,https://www.sec.gov/Archives/edgar/data/351998/000035199809000009/0000351998-09-000009-index.htm,https://www.sec.gov/Archives/edgar/data/351998/000035199810000009/0000351998-10-000009-index.htm,https://www.sec.gov/Archives/edgar/data/351998/000035199811000010/0000351998-11-000010-index.htm,https://www.sec.gov/Archives/edgar/data/351998/000035199812000016/0000351998-12-000016-index.htm,https://www.sec.gov/Archives/edgar/data/351998/000035199813000010/0000351998-13-000010-index.htm,https://www.sec.gov/Archives/edgar/data/351998/000035199814000005/0000351998-14-000005-index.htm,https://www.sec.gov/Archives/edgar/data/351998/000035199815000006/0000351998-15-000006-index.htm,- -,https://www.sec.gov/Archives/edgar/data/351998/000035199817000010/0000351998-17-000010-index.htm,https://www.sec.gov/Archives/edgar/data/351998/000035199818000003/0000351998-18-000003-index.htm,- -,https://www.sec.gov/Archives/edgar/data/351998/000165495420003376/0001654954-20-003376-index.htm,https://www.sec.gov/Archives/edgar/data/351998/000165495421003344/0001654954-21-003344-index.htm,https://www.sec.gov/Archives/edgar/data/351998/000165495422003978/0001654954-22-003978-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
