,https://roic.ai/company/NEU,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1282637/000119312506040980/d10k.htm,https://www.sec.gov/Archives/edgar/data/1282637/000119312507039689/d10k.htm,https://www.sec.gov/Archives/edgar/data/1282637/000119312508035848/d10k.htm,https://www.sec.gov/Archives/edgar/data/1282637/000119312509033752/0001193125-09-033752-index.html,https://www.sec.gov/Archives/edgar/data/1282637/000119312510034830/0001193125-10-034830-index.html,https://www.sec.gov/Archives/edgar/data/1282637/000119312511041569/d10k.htm,https://www.sec.gov/Archives/edgar/data/1282637/000119312512071628/0001193125-12-071628-index.html,https://www.sec.gov/Archives/edgar/data/1282637/000128263713000003/0001282637-13-000003-index.html,https://www.sec.gov/Archives/edgar/data/1282637/000128263714000003/neu-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/1282637/000128263715000004/neu-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1282637/000128263716000028/0001282637-16-000028-index.html,https://www.sec.gov/Archives/edgar/data/1282637/000128263717000005/0001282637-17-000005-index.html,https://www.sec.gov/Archives/edgar/data/1282637/000128263718000004/0001282637-18-000004-index.html,https://www.sec.gov/Archives/edgar/data/1282637/000128263719000006/0001282637-19-000006-index.html,https://www.sec.gov/Archives/edgar/data/1282637/000128263720000005/0001282637-20-000005-index.html,https://www.sec.gov/Archives/edgar/data/1282637/000128263721000004/0001282637-21-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1282637/000128263722000006/0001282637-22-000006-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,231400000,232200000,206700000,255000000,175500000,97800000,74000000,93000000,77500000,70600000,55300000,60997000,-105040000,9909000,37053000,33058000,42381000,57522000,80767000,73227000,162283000,177125000,206907000,239593000,264742000,233255000,238603000,243441000,190509000,234734000,254286000,270568000,190908000
74,Depreciation and Amortization,- -,- -,- -,- -,81700000,88500000,89900000,105800000,127500000,54000000,49200000,61900000,61800000,63300000,65100000,66256000,99518000,52422000,50391000,44775000,36396000,31592000,29126000,27967000,31573000,37667000,41749000,43389000,46144000,41538000,42265000,44893000,55340000,71759000,87560000,84002000,84320000
75,Deferred Income Tax,- -,- -,- -,- -,11700000,34400000,17500000,-3000000,-7700000,10300000,15700000,7700000,-2600000,17200000,2100000,26951000,-91998000,-3434000,3057000,3401000,-15741000,3059000,-6625000,3318000,4257000,1933000,2375000,-1976000,1026000,8208000,150000,19185000,58750000,14527000,7384000,7554000,1978000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,429000,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,- -,-26900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,3200000,-3200000,-2601000,145817000,40958000,35898000,24840000,56865000,15603000,-7115000,94822000,-8699000,67319000,55117000,130881000,-112188000,-26430000,31206000,-25432000,25258000,28384000,15120000,-116355000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-14399000,-66000,-34815000,-16225000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,5000000,-37100000,-31600000,-16800000,-900000,9200000,-15600000,-1200000,3200000,6500000,13500000,40775000,5982000,20160000,-13437000,-28613000,-951000,-24348000,-2758000,-36437000,26097000,-74852000,-33154000,-12945000,3133000,-51827000,-21747000,14480000,-44936000,-29672000,31884000,-33111000,-96199000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11369000,5834000,8059000,-8809000,18455000,17955000,-19638000,8859000,7077000,60407000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3200000,- -,-2601000,143216000,184174000,220072000,244912000,301777000,317380000,310265000,405087000,396388000,463707000,518824000,649705000,537517000,511087000,542293000,516861000,542119000,570503000,585623000,- -
82,Other Non-Cash Items,- -,- -,- -,- -,269100000,179800000,13300000,138500000,-140100000,-39900000,10400000,22600000,-4100000,-21400000,2100000,-61524000,225935000,-122041000,-49733000,-80323000,-23881000,-111962000,-9294000,-76749000,-68491000,-42812000,-133752000,-63741000,-164859000,64145000,13439000,14709000,-36372000,-148367000,-40402000,-93090000,4485000
