,https://roic.ai/company/HMN,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
93,Dividends Paid,- -,- -,-5800000,-6900000,-8400000,-8800000,-10336000,-12971000,-14312000,-15756000,-17240000,-17072000,-17164000,-17953000,-17978000,-18226000,-18310000,-18359000,-14964000,-9635000,-14288000,-18990000,-22541000,-32550000,-39237000,-42523000,-44310000,-46114000,-46689000,-47333000,-49620000,-51400000
94,Other Financing Activites,6000000,-34900000,1200000,-7400000,-29000000,48400000,45581000,-90727000,-51351000,-51460000,-82683000,5062000,157162000,104062000,129538000,146369000,157921000,-4211000,92696000,274158000,158688000,207642000,197955000,431837000,381716000,517405000,184926000,10809000,41667000,182425000,195543000,681200000
95,Cash Used/Provided by Financing Activities,-16000000,-34900000,-62400000,-31300000,-88000000,-114700000,-102302000,-183907000,-140053000,-95373000,-109764000,-8251000,44658000,86109000,113152000,76121000,58639000,-71404000,23394000,87654000,144400000,188652000,159679000,395398000,337068000,212640000,119103000,-36965000,-10110000,-169913000,143778000,208500000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-16000000,-34900000,-62400000,-31300000,-88000000,-114700000,4186000,-13351000,11691000,10804000,-1707000,12798000,26223000,-40389000,113152000,76121000,58639000,-229000,-4005000,-1356000,-1920000,1524000,7729000,3008000,-6514000,3834000,1161000,-9043000,4279000,13602000,-3185000,111400000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,13704000,353000,12044000,22848000,21141000,33939000,60162000,19773000,- -,- -,13438000,13209000,9204000,7848000,5928000,7452000,15181000,18189000,11675000,15509000,16670000,7627000,11906000,25508000,22323000,133700000
99,Cash at the Beginning of Period,5800000,5800000,4900000,13400000,28700000,6000000,9518000,13704000,353000,12044000,22848000,21141000,33939000,60162000,- -,- -,- -,13438000,13209000,9204000,7848000,5928000,7452000,15181000,18189000,11675000,15509000,16670000,7627000,11906000,25508000,22300000
100,Free Cash Flow,156800000,168500000,198600000,165500000,158300000,153700000,139214000,104436000,128766000,148146000,124248000,148857000,165467000,117408000,167278000,165166000,185806000,201645000,162852000,178902000,157754000,115879000,202848000,205936000,221933000,207043000,207418000,256586000,200888000,127573000,259794000,204900000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/850141/000104746998012416/0001047469-98-012416-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/850141/000119312505067256/0001193125-05-067256-index.htm,https://www.sec.gov/Archives/edgar/data/850141/000119312506056252/0001193125-06-056252-index.htm,https://www.sec.gov/Archives/edgar/data/850141/000119312507043888/0001193125-07-043888-index.htm,https://www.sec.gov/Archives/edgar/data/850141/000119312508041796/0001193125-08-041796-index.htm,https://www.sec.gov/Archives/edgar/data/850141/000119312509042231/0001193125-09-042231-index.htm,https://www.sec.gov/Archives/edgar/data/850141/000119312510044470/0001193125-10-044470-index.htm,https://www.sec.gov/Archives/edgar/data/850141/000119312511050226/0001193125-11-050226-index.htm,https://www.sec.gov/Archives/edgar/data/850141/000119312512089669/0001193125-12-089669-index.htm,https://www.sec.gov/Archives/edgar/data/850141/000119312513084660/0001193125-13-084660-index.htm,https://www.sec.gov/Archives/edgar/data/850141/000114420414012939/0001144204-14-012939-index.htm,https://www.sec.gov/Archives/edgar/data/850141/000114420415013348/0001144204-15-013348-index.htm,https://www.sec.gov/Archives/edgar/data/850141/000114420416085045/0001144204-16-085045-index.htm,https://www.sec.gov/Archives/edgar/data/850141/000114420417012103/0001144204-17-012103-index.htm,https://www.sec.gov/Archives/edgar/data/850141/000162828018002567/0001628280-18-002567-index.htm,https://www.sec.gov/Archives/edgar/data/850141/000162828019002351/0001628280-19-002351-index.htm,https://www.sec.gov/Archives/edgar/data/850141/000162828020002596/0001628280-20-002596-index.htm,https://www.sec.gov/Archives/edgar/data/850141/000162828021003421/0001628280-21-003421-index.htm,https://www.sec.gov/Archives/edgar/data/850141/000162828022003979/0001628280-22-003979-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
