,https://roic.ai/company/EBIX,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
11,COGS and Expenses,- -,20600000,20600000,21300000,20800000,25200000,50700000,50700000,61800000,53600000,49500000,32400000,18400000,31531000,23219000,12694000,11857000,12742000,17577000,19450000,22541000,30040000,45488000,58429000,79681000,100221000,122362000,129704000,134649000,176768000,198013000,250750000,344847000,424942000,493639000,875928000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,372000,130000,89000,78000,151000,294000,248000,509000,475000,199000,519000,557000,441000,518000,379000,231000,1851000,1711000,436000,629000,167000,83000
13,Interest Expense (Gain),- -,200000,- -,- -,100000,100000,- -,400000,600000,900000,600000,100000,400000,- -,142000,72000,39000,17000,222000,308000,309000,358000,1626000,1070000,902000,759000,1541000,1226000,3034000,4311000,7376000,13383000,27101000,42332000,31578000,41370000
14,Depreciation and Amortization,- -,400000,600000,600000,500000,500000,700000,3100000,3600000,4700000,4700000,4000000,2300000,1135000,1646000,418000,385000,442000,1185000,1321000,1795000,2599000,3306000,3955000,6038000,7514000,9155000,10107000,9681000,10634000,11862000,13298000,13525000,24308000,23205000,22789000
15,EBITDA,- -,1800000,-1100000,- -,700000,1800000,-8100000,4000000,-4600000,4000000,-6400000,-1800000,3200000,-17832000,-9437000,741000,1013000,2224000,3790000,6245000,8749000,16156000,33631000,44857000,66594000,81768000,88725000,81485000,90167000,101584000,114722000,128076000,166266000,163580000,152490000,138931000
16,EBITDA ratio,- -,0.0811,-0.0588,- -,0.0332,0.0677,-0.1910,0.0775,-0.0858,0.0755,-0.1451,-0.0650,0.1667,-1.4253,-0.8022,0.0575,0.0801,0.1541,0.1897,0.2591,0.2991,0.3771,0.4499,0.4592,0.5038,0.4839,0.4450,0.3981,0.4207,0.3826,0.3846,0.3519,0.3340,0.2817,0.2437,0.1396
17,Operating Income,- -,1600000,-1900000,-800000,300000,1400000,-8300000,900000,-8200000,-600000,-5400000,-4700000,800000,-19020000,-11455000,193000,794000,1691000,2406000,4650000,6712000,12801000,29264000,39256000,52507000,68748000,77008000,75006000,79672000,88714000,100281000,113221000,152979000,155673000,125802000,119010000
18,Operating Income ratio,- -,0.0721,-0.1016,-0.0390,0.0142,0.0526,-0.1958,0.0174,-0.1530,-0.0113,-0.1224,-0.1697,0.0417,-1.5203,-0.9737,0.0150,0.0628,0.1172,0.1204,0.1929,0.2294,0.2988,0.3915,0.4019,0.3972,0.4069,0.3863,0.3664,0.3717,0.3342,0.3362,0.3111,0.3073,0.2681,0.2011,0.1196
19,Total Other Income Expenses (Gains),- -,-300000,200000,200000,- -,-200000,-500000,- -,-600000,-1000000,-6300000,-1200000,- -,53000,230000,58000,-205000,74000,-23000,-34000,-67000,398000,-565000,576000,7147000,4747000,1021000,-4854000,-2220000,-2075000,-4350000,-9861000,-27397000,-64882000,-31645000,-45487000
20,Income Before Tax,- -,1300000,-1700000,-600000,- -,1200000,-8800000,- -,-8800000,-1600000,-11700000,- -,- -,-18967000,-11225000,251000,589000,1765000,2383000,4616000,6645000,13199000,28699000,39832000,59654000,73495000,78029000,70152000,77452000,86639000,95931000,103360000,125582000,90791000,94157000,73523000
21,Income Before Tax Ratio,- -,0.0586,-0.0909,-0.0293,- -,0.0451,-0.2075,- -,-0.1642,-0.0302,-0.2653,- -,- -,-1.5160,-0.9542,0.0195,0.0466,0.1223,0.1193,0.1915,0.2272,0.3081,0.3839,0.4078,0.4513,0.4350,0.3914,0.3427,0.3614,0.3263,0.3216,0.2840,0.2523,0.1564,0.1505,0.0739
22,Income Tax expense (Gain),- -,500000,-300000,100000,- -,100000,-100000,- -,100000,100000,100000,- -,- -,93000,149000,133000,87000,96000,143000,294000,680000,533000,1385000,1010000,635000,2117000,7460000,10878000,13894000,7106000,1637000,777000,32501000,220000,5330000,6584000
23,Net Income,- -,700000,-1400000,-700000,100000,1100000,-8700000,500000,-8900000,-1700000,-11800000,-5900000,500000,-19060000,-11374000,118000,502000,1669000,2240000,4322000,5965000,12666000,27314000,38822000,59019000,71378000,70569000,59274000,63558000,79533000,93847000,100618000,93139000,96720000,92377000,68188000
24,Net Income ratio,- -,0.0315,-0.0749,-0.0341,0.0047,0.0414,-0.2052,0.0097,-0.1660,-0.0321,-0.2676,-0.2130,0.0260,-1.5235,-0.9668,0.0092,0.0397,0.1156,0.1121,0.1793,0.2039,0.2957,0.3654,0.3974,0.4465,0.4224,0.3540,0.2896,0.2966,0.2996,0.3146,0.2764,0.1871,0.1666,0.1477,0.0685
25,EPS,- -,1.02,-1.64,-0.80,0.09,1.07,-7.02,0.31,-5.95,-1.02,-6.09,-0.84,0.06,-1.82,-0.89,0.01,0.02,0.08,0.09,0.17,0.24,0.45,0.93,1.24,1.69,1.89,1.91,1.58,1.68,2.29,2.88,3.19,2.97,3.17,3.03,2.23
26,EPS Diluted,- -,1.02,-1.64,-0.80,0.09,1.07,-7.02,0.31,-5.95,-1.02,-6.09,-0.84,0.06,-1.82,-0.89,0.01,0.02,0.08,0.08,0.15,0.21,0.40,0.76,1.03,1.51,1.75,1.80,1.53,1.67,2.28,2.86,3.17,2.95,3.16,3.02,2.22
27,Weighted Average Shares Outstanding,- -,684783,851351,875000,1125000,1031250,1238924,1607143,1496637,1643850,1939725,6854175,8035714,10438875,12766500,17278875,20619000,20646000,25056000,25101000,24912000,27918000,29514000,31398000,34845000,37742000,36948000,37588000,37809000,34668000,32603000,31552000,31393000,30511000,30510000,30646000
28,Weighted Average Shares Outstanding Diluted,- -,684783,851351,875000,1125000,1031250,1238924,1607143,1496637,1643850,1939725,6854175,8035714,10438875,12766500,17695125,20637000,21141000,27936000,28089000,28233000,31608000,36780000,38013000,39018000,40889000,39100000,38642000,38040000,34901000,32863000,31719000,31534000,30594000,30571000,30701000
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/814549/000091205796013278/0000912057-96-013278-index.html,https://www.sec.gov/Archives/edgar/data/814549/000091205797022493/0000912057-97-022493-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/814549/000091205702012738/0000912057-02-012738-index.htm,https://www.sec.gov/Archives/edgar/data/814549/000104746903011341/0001047469-03-011341-index.htm,https://www.sec.gov/Archives/edgar/data/814549/000104746904010077/0001047469-04-010077-index.htm,https://www.sec.gov/Archives/edgar/data/814549/000110465905013849/0001104659-05-013849-index.htm,https://www.sec.gov/Archives/edgar/data/814549/000110465906020276/0001104659-06-020276-index.htm,https://www.sec.gov/Archives/edgar/data/814549/000110465907027455/0001104659-07-027455-index.htm,https://www.sec.gov/Archives/edgar/data/814549/000104746908003821/0001047469-08-003821-index.htm,https://www.sec.gov/Archives/edgar/data/814549/000136231009004540/0001362310-09-004540-index.htm,https://www.sec.gov/Archives/edgar/data/814549/000095012310025217/0000950123-10-025217-index.htm,https://www.sec.gov/Archives/edgar/data/814549/000095012311025942/0000950123-11-025942-index.htm,- -,https://www.sec.gov/Archives/edgar/data/814549/000081454913000004/0000814549-13-000004-index.htm,https://www.sec.gov/Archives/edgar/data/814549/000081454914000007/0000814549-14-000007-index.htm,https://www.sec.gov/Archives/edgar/data/814549/000081454915000012/0000814549-15-000012-index.htm,https://www.sec.gov/Archives/edgar/data/814549/000081454916000040/0000814549-16-000040-index.htm,https://www.sec.gov/Archives/edgar/data/814549/000081454917000004/0000814549-17-000004-index.htm,https://www.sec.gov/Archives/edgar/data/814549/000081454918000008/0000814549-18-000008-index.htm,https://www.sec.gov/Archives/edgar/data/814549/000081454919000017/0000814549-19-000017-index.htm,https://www.sec.gov/Archives/edgar/data/814549/000081454920000006/0000814549-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/814549/000162828021007671/0001628280-21-007671-index.htm,https://www.sec.gov/Archives/edgar/data/814549/000119312522071300/0001193125-22-071300-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,1000000,500000,200000,800000,1100000,1400000,1100000,1700000,900000,900000,6600000,- -,7055000,3060000,6167000,4993000,7915000,5843000,6733000,5013000,49466000,9475000,19227000,23397000,23696000,36449000,56674000,52300000,57179000,114118000,63895000,147766000,73228000,105035000,99625000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1536000,1799000,6300000,1505000,971000,801000,281000,1538000,3105000,25592000,31192000,4443000,25019000,16463000
33,Cash and Short-Term Investments,- -,1000000,500000,200000,800000,1100000,1400000,1100000,1700000,900000,900000,6600000,- -,7055000,3060000,6167000,4993000,7915000,5843000,6733000,5013000,49466000,11011000,21026000,29697000,25201000,37420000,57475000,52581000,58717000,117223000,89487000,178958000,77671000,130054000,116088000
34,Net Receivables,- -,5600000,3300000,5800000,1900000,5100000,8500000,8300000,9700000,7600000,8100000,5200000,- -,3097000,1980000,2447000,2863000,1787000,3256000,3502000,7973000,8809000,13562000,22861000,26028000,31133000,39117000,40730000,43311000,49210000,64376000,121863000,191235000,191428000,156879000,164827000
35,Inventory,- -,600000,1200000,1900000,2000000,1600000,1800000,800000,1000000,1000000,600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,200000,300000,400000,200000,400000,1300000,2100000,1700000,1400000,400000,200000,- -,501000,216000,253000,340000,364000,3587000,444000,913000,1130000,951000,2628000,5057000,7483000,5132000,4144000,7969000,8903000,28270000,41582000,57187000,94835000,74965000,85649000
37,Total Current Assets,- -,7400000,5300000,8300000,4900000,8200000,13000000,12300000,14100000,10900000,10000000,12000000,- -,10653000,5256000,8867000,8196000,10066000,12686000,10679000,13899000,59405000,25524000,46515000,60782000,63817000,81669000,102349000,103861000,116830000,209869000,252932000,427380000,363934000,361898000,366564000
38,PP&E,- -,2200000,2100000,1900000,1600000,2000000,3100000,3600000,4500000,3600000,2900000,2200000,- -,2059000,904000,869000,1131000,1353000,1450000,1488000,2183000,3356000,3774000,7865000,7806000,8834000,10082000,8528000,24661000,34088000,37061000,41704000,50294000,67965000,64893000,64410000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12669000,- -,23118000,36408000,88488000,157245000,180602000,259218000,326748000,337068000,402220000,402259000,441404000,666863000,946685000,952404000,949037000,939249000
40,Intangible Assets,- -,- -,- -,- -,- -,5000000,2400000,3000000,5900000,5300000,1200000,2000000,- -,503000,313000,123000,- -,- -,4234000,15497000,7867000,7318000,10235000,49728000,53126000,68839000,83478000,81621000,80258000,86224000,78178000,96265000,105245000,108193000,91916000,85007000
41,Intangible Assets,- -,- -,- -,- -,- -,5000000,2400000,3000000,5900000,5300000,1200000,2000000,- -,503000,313000,123000,- -,- -,16903000,15497000,30985000,43726000,98723000,206973000,233728000,328057000,410226000,418689000,482478000,488483000,519582000,763128000,1051930000,1060597000,1040953000,1024256000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9412000,11245000,20616000,18758000,23732000,31345000,43529000,54629000,69227000,63402000,84514000
44,Other Non-Current Assets,- -,2200000,2400000,2700000,3500000,4700000,4600000,5800000,7400000,7700000,6300000,6400000,- -,174000,89000,567000,639000,552000,296000,317000,285000,2023000,13146000,814000,984000,1062000,3724000,3682000,4553000,12856000,5898000,11720000,26714000,29896000,38707000,33505000
45,Total Non-Current Assets,- -,4400000,4500000,4600000,5100000,11700000,10100000,12400000,17800000,16600000,10400000,10600000,- -,2736000,1306000,1559000,1770000,1905000,18649000,17302000,33453000,49105000,115643000,215652000,242518000,347365000,435277000,451515000,530450000,559159000,593886000,860081000,1183567000,1227685000,1207955000,1206685000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,11800000,9800000,12900000,10000000,19900000,23100000,24700000,31900000,27500000,20400000,22600000,- -,13389000,6562000,10426000,9966000,11971000,31335000,27981000,47352000,108510000,141167000,262167000,303300000,411182000,516946000,553864000,634311000,675989000,803755000,1113013000,1610947000,1591619000,1569853000,1573249000
48,Accounts Payable,- -,- -,- -,- -,3300000,5000000,7100000,4500000,7700000,6400000,6800000,4700000,- -,3166000,4326000,2776000,1727000,523000,1781000,1962000,1031000,891000,1352000,- -,- -,- -,5607000,4515000,11879000,5800000,16606000,69101000,103250000,74967000,56636000,70514000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3000000,1600000,- -,314000,238000,260000,220000,73000,4477000,969000,11009000,16160000,37375000,52377000,10370000,6832000,12259000,13889000,936000,606000,12373000,14381000,18593000,57565000,45063000,39311000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9564000,12211000,25228000,12701000,6937000,5213000,16650000,7479000,6860000,5569000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2573000,2869000,2141000,2989000,2794000,5552000,5645000,5383000,7754000,8610000,16726000,19888000,18918000,22192000,20519000,22564000,22562000,38589000,51285000,57941000,57557000
52,Other Current Liabilities,- -,5500000,3000000,6400000,1700000,1900000,5600000,10200000,11400000,10300000,11500000,7800000,- -,6197000,4725000,573000,352000,2542000,1522000,1450000,2416000,3006000,9744000,14966000,20105000,26221000,18936000,29353000,34779000,24341000,38169000,40888000,156996000,51068000,31750000,37813000
53,Total Current Liabilities,- -,5500000,3000000,6400000,5000000,6900000,12700000,14700000,19100000,16700000,21300000,14100000,- -,9677000,9289000,6182000,5168000,5279000,10769000,7175000,20008000,25702000,53854000,75097000,39085000,49779000,56690000,66675000,69786000,51266000,89712000,146932000,317428000,234885000,191390000,205195000
54,Long-Term Debt,- -,1100000,- -,- -,- -,2900000,4600000,- -,4100000,4300000,1500000,- -,- -,729000,317000,70000,- -,- -,2796000,1844000,934000,20486000,15000000,671000,25205000,40218000,69432000,42964000,121058000,206500000,259853000,385507000,699253000,705700000,680082000,631217000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,948000,680000,1267000,375000,391000,2496000,1968000,1886000,1423000,9051000,8541000,8033000,8193000
56,Deferred Tax Liabilities,- -,100000,100000,200000,100000,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5147000,3534000,- -,- -,12742000,1885000,2774000,- -,- -,1282000,1235000,1235000,1150000
57,Other Non-Current Liabilities,- -,400000,500000,200000,100000,200000,300000,300000,2500000,2000000,1000000,100000,- -,- -,220000,279000,73000,- -,4262000,1461000,244000,2196000,2171000,9561000,3528000,3803000,28294000,17867000,6865000,4510000,13668000,45392000,39496000,41813000,29009000,27940000
58,Total Non-Current Liabilities,- -,1600000,600000,400000,200000,3300000,4900000,300000,6600000,6300000,2500000,100000,- -,729000,537000,349000,73000,- -,7058000,3305000,1178000,22682000,17171000,16327000,32947000,45288000,98101000,73964000,132304000,215752000,275407000,432322000,749082000,757289000,718359000,668500000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,73000,- -,- -,- -,9000,- -,290000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19151000,12445000,10312000
61,Total Liabilities,- -,7100000,3600000,6800000,5200000,10200000,17600000,15000000,25700000,23000000,23800000,14200000,- -,10406000,9826000,6531000,5241000,5279000,17827000,10480000,21186000,48384000,71025000,91424000,72032000,95067000,154791000,140639000,202090000,267018000,365119000,579254000,1066510000,992174000,909749000,873695000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1076000,1138000,1833000,229000,232000,291000,273000,286000,337000,981000,3443000,3602000,3638000,3709000,3805000,3619000,3342000,3209000,3148000,3057000,3049000,3052000,3068000
64,Retained Earnings,- -,700000,-1000000,-1800000,-3400000,2300000,-10900000,-12300000,-21200000,-22900000,-34700000,-40600000,- -,-73166000,-84540000,-84422000,-83920000,-82251000,-80011000,-75689000,-69724000,-57513000,-30199000,8623000,67642000,137559000,201094000,257574000,309726000,378787000,457364000,510975000,535118000,618503000,700304000,759208000
65,Other Comprehensive Income/Loss,- -,-1300000,-1700000,-2200000,-2600000,-3000000,-6500000,-6400000,-6400000,-6400000,-8300000,-6200000,- -,-8430000,-234000,-462000,-25000,5000,511000,92000,839000,2680000,-11103000,349000,6879000,-4524000,-6918000,-12294000,-18149000,-30278000,-33677000,-24023000,-63377000,-78398000,-101503000,-122022000
66,Other Total Stockholders Equity,- -,5300000,8900000,10100000,10800000,10400000,22900000,28400000,33800000,33800000,39600000,55200000,- -,83503000,80372000,86946000,88441000,88706000,92717000,92825000,94765000,114622000,110463000,158328000,153145000,179442000,164270000,164140000,137025000,57120000,- -,1410000,3397000,6960000,11126000,15068000
67,Total Stockholders Equity,- -,4700000,6200000,6100000,4800000,9700000,5500000,9700000,6200000,4500000,-3400000,8400000,- -,2983000,-3264000,3895000,4725000,6692000,13508000,17501000,26166000,60126000,70142000,170743000,231268000,316115000,362155000,413225000,432221000,408971000,426896000,491510000,478195000,550114000,612979000,655322000
68,Total Liabilities And Stockholders Equity,- -,11800000,9800000,12900000,10000000,19900000,23100000,24700000,31900000,27500000,20400000,22600000,- -,13389000,6562000,10426000,9966000,11971000,31335000,27981000,47352000,108510000,141167000,262167000,303300000,411182000,516946000,553864000,634311000,675989000,792015000,1070764000,1544705000,1542288000,1522728000,1529017000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11740000,42249000,66242000,49331000,47125000,44232000
70,Total Liabilities & Equity,- -,11800000,9800000,12900000,10000000,19900000,23100000,24700000,31900000,27500000,20400000,22600000,- -,13389000,6562000,10426000,9966000,11971000,31335000,27981000,47352000,108510000,141167000,262167000,303300000,411182000,516946000,553864000,634311000,675989000,803755000,1113013000,1610947000,1591619000,1569853000,1573249000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/814549/000091205796013278/0000912057-96-013278-index.html,https://www.sec.gov/Archives/edgar/data/814549/000091205797022493/0000912057-97-022493-index.html,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/814549/000091205702012738/0000912057-02-012738-index.htm,https://www.sec.gov/Archives/edgar/data/814549/000104746903011341/0001047469-03-011341-index.htm,https://www.sec.gov/Archives/edgar/data/814549/000104746904010077/0001047469-04-010077-index.htm,https://www.sec.gov/Archives/edgar/data/814549/000110465905013849/0001104659-05-013849-index.htm,https://www.sec.gov/Archives/edgar/data/814549/000110465906020276/0001104659-06-020276-index.htm,https://www.sec.gov/Archives/edgar/data/814549/000110465907027455/0001104659-07-027455-index.htm,https://www.sec.gov/Archives/edgar/data/814549/000104746908003821/0001047469-08-003821-index.htm,https://www.sec.gov/Archives/edgar/data/814549/000136231009004540/0001362310-09-004540-index.htm,https://www.sec.gov/Archives/edgar/data/814549/000095012310025217/0000950123-10-025217-index.htm,https://www.sec.gov/Archives/edgar/data/814549/000095012311025942/0000950123-11-025942-index.htm,- -,https://www.sec.gov/Archives/edgar/data/814549/000081454913000004/0000814549-13-000004-index.htm,https://www.sec.gov/Archives/edgar/data/814549/000081454914000007/0000814549-14-000007-index.htm,https://www.sec.gov/Archives/edgar/data/814549/000081454915000012/0000814549-15-000012-index.htm,https://www.sec.gov/Archives/edgar/data/814549/000081454916000040/0000814549-16-000040-index.htm,https://www.sec.gov/Archives/edgar/data/814549/000081454917000004/0000814549-17-000004-index.htm,https://www.sec.gov/Archives/edgar/data/814549/000081454918000008/0000814549-18-000008-index.htm,https://www.sec.gov/Archives/edgar/data/814549/000081454919000017/0000814549-19-000017-index.htm,https://www.sec.gov/Archives/edgar/data/814549/000081454920000006/0000814549-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/814549/000162828021007671/0001628280-21-007671-index.htm,https://www.sec.gov/Archives/edgar/data/814549/000119312522071300/0001193125-22-071300-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,700000,-1400000,-700000,100000,1100000,-8700000,500000,-8900000,-1700000,-11800000,-5900000,500000,-19060000,-11374000,118000,502000,1669000,2240000,4322000,5965000,12666000,27314000,38822000,59019000,71378000,70569000,59274000,63558000,79533000,93847000,100618000,93139000,90571000,88827000,66939000
74,Depreciation and Amortization,- -,400000,600000,600000,500000,500000,700000,3100000,3600000,4700000,4700000,4000000,2300000,1135000,1646000,418000,385000,442000,1185000,1321000,1795000,2599000,3306000,3955000,6038000,7514000,9155000,10107000,9681000,10634000,11862000,13298000,13525000,24308000,23205000,22789000
75,Deferred Income Tax,- -,- -,- -,- -,-100000,100000,-200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1846000,-2615000,-1752000,-5083000,-4760000,-10368000,-1966000,-10143000,-6410000,-13667000,-13043000,-15525000,5114000,-11104000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1369000,1850000,2205000,2083000,1941000,1792000,1821000,2794000,2818000,2811000,3397000,4792000,5360000
77,Change in Working Capital,- -,- -,400000,-400000,400000,-400000,-2000000,1400000,-1000000,-2700000,-2600000,-800000,9200000,3076000,-5009000,6718000,343000,1759000,-2870000,1587000,-9613000,39812000,-62033000,-252000,50279000,-7659000,10941000,10695000,-1599000,31489000,54593000,-14157000,3952000,-38844000,-19941000,-12179000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8619000,-3018000,-2903000,-2023000,-3347000,-1530000,-7320000,-12659000,-34245000,-10810000,-22977000,3258000,-10866000
79,Inventory,- -,- -,- -,- -,-100000,400000,600000,1000000,700000,- -,400000,600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,730000,1135000,14670000,-19895000,-3703000,8906000,6539000,-19624000,-14569000,18545000
81,Other Working Capital,- -,1900000,2300000,1900000,2300000,1900000,-100000,1300000,300000,-2400000,-5000000,-5800000,-2100000,976000,-4033000,2685000,3028000,4787000,1917000,3504000,-6109000,33703000,-28330000,-28582000,21697000,14038000,24979000,35674000,34075000,65564000,120157000,106000000,109952000,-8244000,3680000,-1377000
