,https://roic.ai/company/AE,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
83,Cash Provided by Operating Activities,- -,- -,- -,- -,3300000,1400000,5200000,1500000,3700000,6200000,5300000,11200000,15800000,12300000,18600000,16142000,-23555000,18694000,9093000,2490000,18282000,28015000,9201000,13639000,22285000,36928000,55815000,54494000,43976000,47133000,25477000,6944000,26096000,31014000,46899000,-43999000,81026000
84,CAPEX,- -,- -,- -,- -,-1800000,-1800000,-2900000,-2200000,-3200000,-12900000,-6900000,-6000000,-14000000,-10800000,-7600000,-5684000,-3591000,-4622000,-7771000,-12161000,-19128000,-14602000,-15841000,-17688000,-22390000,-22421000,-53276000,-51012000,-27602000,-30523000,-11074000,-8484000,-2644000,-11731000,-35743000,-5008000,-12382000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3546000,- -,- -,- -,- -,2775000,- -,998000,-20200000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-25000000,-10000000,- -,- -,-11593000,- -,- -,- -,- -,-4700000,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25000000,10000000,- -,- -,11098000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,200000,- -,-100000,200000,- -,500000,800000,800000,500000,500000,2500000,93000,5156000,561000,728000,2536000,2271000,-1316000,14651000,669000,812000,-4000,8394000,5760000,-97000,6552000,1002000,5416000,-347000,-7404000,-1292000,5545000,2286000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-1600000,-1800000,-3000000,-2000000,-3200000,-12400000,-6100000,-5200000,-13500000,-10300000,-5100000,-5591000,1565000,-4061000,-7043000,-9625000,-16857000,-15918000,-1190000,-17019000,-21578000,-22425000,-45377000,-41706000,-27699000,-23971000,-10072000,-7768000,-216000,-19135000,-36037000,-19663000,-10096000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-118000,-495000,-1697000,-2336000,-4367000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,- -,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,-700000,-1100000,- -,- -,- -,-100000,-200000,-300000,-400000,-400000,-400000,-548000,-548000,-548000,-970000,-1265000,-1560000,-1771000,-1982000,-2109000,-2109000,-2277000,-2404000,-2615000,-2783000,-3711000,-3712000,-3711000,-3711000,-3711000,-3976000,-4081000,-4141000
94,Other Financing Activites,- -,- -,- -,- -,400000,- -,-200000,100000,200000,5600000,2300000,-6000000,700000,2100000,800000,2000000,575000,-1000000,- -,- -,- -,-8475000,-3000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-111000,-7170000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-300000,-1100000,-300000,100000,200000,5500000,2200000,-6300000,400000,1700000,400000,1452000,27000,-1548000,-970000,-1265000,-1560000,-10246000,-4982000,-2109000,-2109000,-2277000,-2404000,-2615000,-2783000,-3711000,-3712000,-3711000,-3829000,-4206000,-5673000,-6528000,-15678000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,-300000,-1100000,-300000,100000,200000,5500000,1300000,-300000,2700000,3700000,13900000,12003000,-21963000,13085000,1080000,-8400000,-1125000,1851000,3029000,-5489000,-1402000,12226000,8034000,10173000,13494000,19451000,11693000,-4535000,22051000,7673000,5189000,-70190000,55252000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4000000,3700000,6500000,10200000,24100000,36140000,14177000,27262000,28342000,19942000,18817000,20668000,23697000,18208000,16806000,29032000,37066000,47239000,60733000,80184000,91877000,87342000,109393000,117066000,122255000,52065000,107317000
99,Cash at the Beginning of Period,- -,- -,- -,- -,1400000,2700000,1200000,3000000,2700000,3300000,2700000,4000000,3800000,6500000,10200000,24137000,36140000,14177000,27262000,28342000,19942000,18817000,20668000,23697000,18208000,16806000,29032000,37066000,47239000,60733000,80184000,91877000,87342000,109393000,117066000,122255000,52065000
100,Free Cash Flow,- -,- -,- -,- -,1500000,-400000,2300000,-700000,500000,-6700000,-1600000,5200000,1800000,1500000,11000000,10458000,-27146000,14072000,1322000,-9671000,-846000,13413000,-6640000,-4049000,-105000,14507000,2539000,3482000,16374000,16610000,14403000,-1540000,23452000,19283000,11156000,-49007000,68644000
101,SEC Link,- -,- -,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/2178/0000950129-96-000442-index.html,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/2178/000000217805000008/0000002178-05-000008-index.htm,https://www.sec.gov/Archives/edgar/data/2178/000000217806000013/0000002178-06-000013-index.htm,- -,https://www.sec.gov/Archives/edgar/data/2178/000000217808000011/0000002178-08-000011-index.htm,https://www.sec.gov/Archives/edgar/data/2178/000000217809000007/0000002178-09-000007-index.htm,https://www.sec.gov/Archives/edgar/data/2178/000000217810000008/0000002178-10-000008-index.htm,https://www.sec.gov/Archives/edgar/data/2178/000000217811000009/0000002178-11-000009-index.htm,https://www.sec.gov/Archives/edgar/data/2178/000000217812000010/0000002178-12-000010-index.htm,https://www.sec.gov/Archives/edgar/data/2178/000000217813000014/0000002178-13-000014-index.htm,https://www.sec.gov/Archives/edgar/data/2178/000000217814000010/0000002178-14-000010-index.htm,- -,https://www.sec.gov/Archives/edgar/data/2178/000000217816000064/0000002178-16-000064-index.htm,https://www.sec.gov/Archives/edgar/data/2178/000000217817000019/0000002178-17-000019-index.htm,https://www.sec.gov/Archives/edgar/data/2178/000000217818000009/0000002178-18-000009-index.htm,https://www.sec.gov/Archives/edgar/data/2178/000000217819000011/0000002178-19-000011-index.htm,https://www.sec.gov/Archives/edgar/data/2178/000000217820000013/0000002178-20-000013-index.htm,https://www.sec.gov/Archives/edgar/data/2178/000000217821000034/0000002178-21-000034-index.htm,https://www.sec.gov/Archives/edgar/data/2178/000000217822000033/0000002178-22-000033-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
