,https://roic.ai/company/EQC,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
84,CAPEX,- -,- -,- -,-25300000,-27200000,-15400000,- -,- -,-324554000,-267470000,-225428000,-548465000,-761414000,-493809000,-21506000,-56976000,-500581000,-832826000,-765091000,-576082000,-527661000,-423488000,-416461000,-665410000,-972913000,-868399000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-337400000,- -,- -,- -,-52000,- -,- -,- -,- -,- -,- -,- -,-5133000,-76000,- -,646000,227458000,710492000,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-19200000,-44500000,- -,- -,- -,-9372000,-24375000,-17191000,-520000,-226000000,- -,-21302000,- -,- -,- -,- -,- -,- -,- -,- -,-6760000,-76000,-38635000,- -,- -,- -,- -,- -,-276238000,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,75598000,3522000,- -,- -,- -,73275000,16976000,308333000,- -,- -,- -,8000000,- -,- -,- -,- -,27068000,- -,- -,23933000,250000000,- -,- -
88,Other Investing Activites,- -,- -,- -,300000,6200000,300000,-71900000,-175400000,158483000,102502000,7291000,71143000,40025000,204450000,154600000,35531000,7841000,6658000,9115000,28372000,12892000,4410000,333614000,212048000,611530000,283102000,-748832000,-39560000,93859000,1621825000,1052119000,741824000,918191000,745735000,643252000,-6803000
89,Cash Used for Investing Activites,- -,- -,- -,-44200000,-65500000,-15100000,-71900000,-175400000,-175443000,-189343000,-235328000,-815242000,-947389000,-213761000,115314000,-21497000,-492740000,-826168000,-682701000,-530734000,-206436000,-419078000,-82847000,-465255000,-353535000,-623932000,-748186000,187898000,804351000,1648893000,1052119000,465586000,942124000,995735000,643252000,-6803000
90,Debt Repayment,- -,- -,- -,-72900000,-15000000,-36500000,- -,-164200000,-208000000,-166000000,-247070000,-501261000,-1170050000,-433206000,-735352000,-207205000,-924200000,-564989000,-1302580000,-921555000,-1286688000,-848979000,-384159000,-720310000,-1618101000,-975030000,-1312982000,-1065432000,-785316000,-259672000,-560187000,-295053000,-581460000,-255842000,-25441000,- -
91,Common Stock Issued,- -,- -,- -,52200000,-100000,74200000,- -,244800000,182400000,97944000,6990000,483153000,580306000,- -,- -,193086000,289849000,124618000,323639000,383974000,513285000,153074000,- -,- -,430778000,264056000,363657000,626809000,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-219318000,-289849000,- -,- -,- -,-713285000,-125000000,- -,-14486000,-175000000,- -,-150000000,- -,- -,-87983000,-344987000,-3188000,-93976000,-5487000,-26897000,-181488000
93,Dividends Paid,- -,- -,- -,-11300000,-18600000,-23900000,-33500000,-44900000,-44869000,-80473000,-93377000,-132080000,-176952000,-192832000,-137206000,-118731000,-127396000,-154658000,-191374000,-211231000,-216690000,-244628000,-240970000,-158546000,-175893000,-194479000,-199249000,-154306000,-61692000,-27924000,-17956000,-7988000,-312600000,-436637000,-435783000,- -
94,Other Financing Activites,- -,- -,- -,72900000,70500000,14000000,35500000,92900000,299860000,217334000,473680000,780232000,1513029000,613742000,682221000,186348000,1327322000,1220135000,1654247000,1051076000,1621773000,1216216000,405173000,1064279000,1813077000,1265260000,1678997000,291912000,- -,-7143000,-52000,31000,-113000,-170000,-1879000,-14045000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,40900000,36800000,27800000,2000000,128600000,229391000,68805000,140223000,630044000,746333000,-12296000,-190337000,-165820000,275726000,625106000,483932000,302264000,-81605000,150683000,-219956000,170937000,274861000,359807000,380423000,-301017000,-847008000,-382722000,-923182000,-306198000,-988149000,-698136000,-490000000,-195533000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2376000,-484000,436000,-1302000,-1126000,-9502000,-8000,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,40900000,36800000,27800000,2000000,128600000,45879000,-39237000,3213000,502000,-6712000,-2437000,79475000,-42126000,-38171000,-858000,10435000,-2516000,-1662000,3179000,-4361000,2686000,175836000,-1277000,-90544000,120230000,156609000,1438213000,291945000,259384000,43511000,396544000,186580000,-186227000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,59766000,18640000,21853000,22355000,15643000,13206000,92681000,50555000,12384000,11526000,21961000,19445000,17783000,19879000,15518000,18204000,194040000,192763000,102219000,222449000,379058000,1802729000,2094674000,2360590000,2404101000,2800645000,2987225000,2800998000
99,Cash at the Beginning of Period,- -,- -,- -,2200000,11600000,9700000,42100000,14100000,13887000,57877000,18640000,21853000,22355000,15643000,13206000,92681000,50555000,12384000,11526000,21961000,19445000,16700000,19879000,15518000,18204000,194040000,192763000,102219000,222449000,364516000,1802729000,2101206000,2360590000,2404101000,2800645000,2987225000
100,Free Cash Flow,- -,- -,- -,-12600000,-400000,4200000,41800000,46600000,-246220000,-186169000,-127110000,-362765000,-567070000,-270189000,132992000,88215000,-321738000,-632622000,-555887000,-350128000,-241282000,-151914000,-118019000,-368406000,-720779000,-605067000,276783000,234651000,200392000,181544000,163016000,99996000,89536000,98945000,33328000,16109000
101,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/803649/000090873795000026/0000908737-95-000026-index.html,https://www.sec.gov/Archives/edgar/data/803649/000090873796000067/0000908737-96-000067-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/803649/000110465904007410/a04-3254_110k.htm,https://www.sec.gov/Archives/edgar/data/803649/000110465905010698/a05-1828_110k.htm,https://www.sec.gov/Archives/edgar/data/803649/000110465906015845/a06-1982_110k.htm,https://www.sec.gov/Archives/edgar/data/803649/000110465907015333/a07-5534_110k.htm,https://www.sec.gov/Archives/edgar/data/803649/000110465908013945/a08-2559_110k.htm,https://www.sec.gov/Archives/edgar/data/803649/000104746909002103/0001047469-09-002103-index.html,https://www.sec.gov/Archives/edgar/data/803649/000104746910001165/0001047469-10-001165-index.html,https://www.sec.gov/Archives/edgar/data/803649/000104746911001393/a2202190z10-k.htm,https://www.sec.gov/Archives/edgar/data/803649/000104746912001632/0001047469-12-001632-index.html,https://www.sec.gov/Archives/edgar/data/803649/000104746913001551/0001047469-13-001551-index.html,https://www.sec.gov/Archives/edgar/data/803649/000104746914001585/a2218525z10-k.htm,https://www.sec.gov/Archives/edgar/data/803649/000162828015000849/eqc12311410-k.htm,https://www.sec.gov/Archives/edgar/data/803649/000080364916000024/0000803649-16-000024-index.html,https://www.sec.gov/Archives/edgar/data/803649/000080364917000006/0000803649-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/803649/000080364918000007/0000803649-18-000007-index.html,https://www.sec.gov/Archives/edgar/data/803649/000080364919000033/0000803649-19-000033-index.html,https://www.sec.gov/Archives/edgar/data/803649/000080364920000038/0000803649-20-000038-index.html,https://www.sec.gov/Archives/edgar/data/803649/000080364921000023/0000803649-21-000023-index.htm,https://www.sec.gov/Archives/edgar/data/803649/000080364922000026/0000803649-22-000026-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
