,https://roic.ai/company/DIOD,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
81,Other Working Capital,- -,- -,- -,- -,- -,3800000,4700000,5400000,6600000,9400000,13300000,17400000,18600000,16700000,15900000,17291000,19798000,20830000,27154000,49571000,146651000,395354000,451801000,209832000,354309000,289387000,317087000,360039000,460420000,499916000,540482000,516894000,380734000,454465000,495842000,478909000,- -
82,Other Non-Cash Items,- -,- -,- -,- -,- -,2100000,-500000,-1900000,-3900000,-2500000,-13700000,-3700000,-3600000,3000000,1700000,-9886000,6615000,2937000,-8956000,-31841000,-95498000,-246759000,-55330000,208382000,-153521000,45387000,-70012000,-68423000,-102221000,-56166000,-47283000,35379000,179472000,-121240000,-104878000,-12746000,-28135000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,-300000,900000,-500000,-900000,3000000,-4800000,3600000,4000000,5500000,8000000,10208000,14938000,20164000,18806000,29300000,50555000,72081000,90771000,57171000,65527000,118005000,61650000,64221000,109891000,134272000,118111000,124742000,181123000,185566000,229772000,187220000,338543000
84,CAPEX,- -,- -,- -,- -,- -,-300000,-100000,-100000,-500000,-500000,-300000,-1800000,-1500000,-9800000,-9900000,-16968000,-8477000,-6951000,-15646000,-26201000,-19583000,-45656000,-56101000,-53246000,-22477000,-88809000,-80941000,-58166000,-47054000,-57766000,-133244000,-58549000,-111161000,-87507000,-98505000,-75813000,-141195000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-29433000,- -,-153158000,-30000,- -,- -,-20048000,-124916000,- -,-348887000,- -,- -,-41000,-33028000,-24593000,-157000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-46220000,-250660000,-32464000,-4435000,- -,- -,-14117000,-3413000,-28315000,-20681000,-62431000,-23459000,-12205000,-15901000,-19271000,-17617000,-22673000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7282000,24025000,296600000,- -,- -,7458000,31243000,84486000,56168000,38600000,12576000,21847000,10277000,7328000
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,-400000,400000,-1800000,-1500000,-2000000,400000,600000,-4421000,- -,3000,357000,68000,- -,54000,202000,56000,342000,1778000,-3254000,4208000,6425000,4436000,630000,-1511000,6479000,1929000,28531000,974000,12468000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,-300000,-100000,-100000,-900000,-100000,-2100000,-3300000,-3500000,-9400000,-9300000,-21389000,-8477000,-6948000,-15289000,-26133000,-65803000,-325695000,-88363000,-203501000,1860000,209569000,-98312000,-77419000,-186402000,-42768000,-459446000,-27351000,-78287000,-88944000,-100426000,-106772000,-144229000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-24898000,-58852000,-304625000,-134991000,-40296000,-77345000,-54323000,-70491000,-88932000,-207352000,-525270000,-531304000,-785654000,-732664000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,400000,200000,1700000,- -,100000,300000,1000000,337000,122000,321000,2389000,5628000,76367000,4327000,7573000,2957000,1702000,4818000,3526000,1318000,2635000,5761000,10192000,120000,13606000,4862000,11901000,6830000,4337000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11009000,-18014000,-8745000,- -,- -,-296705000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-300000,-750000,- -,- -,- -,-1498000,-2300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,-400000,-400000,1100000,800000,-2200000,3900000,1000000,- -,3600000,1400000,11763000,-2607000,-14316000,-527000,-3165000,-4788000,224662000,-2899000,218809000,126563000,6758000,23752000,77520000,187071000,12803000,392670000,43368000,44307000,468497000,406971000,1021227000,569886000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,-600000,-400000,1100000,1200000,-2000000,5600000,1000000,100000,3900000,2400000,12100000,-2485000,-13995000,1862000,2163000,70829000,228989000,4674000,196868000,67915000,-295349000,-107713000,38542000,112361000,-35759000,321362000,-63458000,-158184000,-51911000,-112432000,-54302000,-158441000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-349000,-40000,184000,793000,-1263000,225000,209000,-3221000,3155000,-3277000,2984000,2267000,3664000,-9380000,-4592000,-4566000,11366000,-8078000,760000,34876000,10416000
97,Net Change In Cash,- -,- -,- -,- -,- -,-600000,- -,- -,- -,- -,- -,- -,- -,- -,1200000,919000,3627000,-819000,5563000,6123000,54318000,-24400000,7291000,47317000,138457000,28948000,-141391000,27611000,39514000,46365000,-24565000,29367000,-43982000,36633000,17674000,61022000,46289000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3600000,4476000,8103000,7284000,12847000,18970000,73288000,48888000,56179000,103496000,241953000,270901000,129510000,157121000,196635000,243000000,218435000,247802000,203820000,241833000,259507000,320529000,366818000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,1600000,400000,900000,1300000,800000,1700000,500000,1800000,2300000,2400000,3557000,4476000,8103000,7284000,12847000,18970000,73288000,48888000,56179000,103496000,241953000,270901000,129510000,157121000,196635000,243000000,218435000,247802000,205200000,241833000,259507000,320529000
100,Free Cash Flow,- -,- -,- -,- -,- -,-600000,800000,-600000,-1400000,2500000,-5100000,1800000,2500000,-4300000,-1900000,-6760000,6461000,13213000,3160000,3099000,30972000,26425000,34670000,3925000,43050000,29196000,-19291000,6055000,62837000,76506000,-15133000,66193000,69962000,98059000,131267000,111407000,197348000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/29002/0000950150-96-000215-index.html,- -,https://www.sec.gov/Archives/edgar/data/29002/000095015098000485/0000950150-98-000485-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/29002/000114420404002937/0001144204-04-002937-index.htm,https://www.sec.gov/Archives/edgar/data/29002/000114420405007853/0001144204-05-007853-index.htm,https://www.sec.gov/Archives/edgar/data/29002/000114420406010106/0001144204-06-010106-index.htm,https://www.sec.gov/Archives/edgar/data/29002/000114420407010863/0001144204-07-010863-index.htm,https://www.sec.gov/Archives/edgar/data/29002/000114420408012660/0001144204-08-012660-index.htm,https://www.sec.gov/Archives/edgar/data/29002/000095014809000023/0000950148-09-000023-index.htm,https://www.sec.gov/Archives/edgar/data/29002/000095012310019255/0000950123-10-019255-index.htm,https://www.sec.gov/Archives/edgar/data/29002/000095012311019939/0000950123-11-019939-index.htm,https://www.sec.gov/Archives/edgar/data/29002/000119312512084918/0001193125-12-084918-index.htm,https://www.sec.gov/Archives/edgar/data/29002/000119312513080181/0001193125-13-080181-index.htm,https://www.sec.gov/Archives/edgar/data/29002/000119312514073365/0001193125-14-073365-index.htm,https://www.sec.gov/Archives/edgar/data/29002/000156459015001204/0001564590-15-001204-index.htm,https://www.sec.gov/Archives/edgar/data/29002/000156459016014609/0001564590-16-014609-index.htm,https://www.sec.gov/Archives/edgar/data/29002/000156459017002599/0001564590-17-002599-index.htm,https://www.sec.gov/Archives/edgar/data/29002/000156459018002396/0001564590-18-002396-index.htm,https://www.sec.gov/Archives/edgar/data/29002/000156459019003715/0001564590-19-003715-index.htm,https://www.sec.gov/Archives/edgar/data/29002/000156459020004248/0001564590-20-004248-index.htm,https://www.sec.gov/Archives/edgar/data/29002/000156459021007008/0001564590-21-007008-index.htm,https://www.sec.gov/Archives/edgar/data/29002/000095017022001438/0000950170-22-001438-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
