,https://roic.ai/company/SSP,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37218000,- -,- -,10181000,-14064000,3855000,-21389000,-20630000,-22522000,-22130000,-104956000,-40524000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,1500000,- -,- -,- -,- -,- -,- -,- -,- -,-615000,1927000,-3506000,5286000,-870000,1076000,346000,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-27152000,12067000,-16745000,5631000,-6800000,4248000,-2586000,-1550000,-7259000,965000,1572000,19520000,- -
81,Other Working Capital,- -,- -,- -,99200000,34800000,18600000,-15328000,38204000,68126000,-14400000,-50900000,-125200000,-100200000,-8991000,-454853000,73938000,231478000,267952000,448145000,476051000,579991000,97952000,122915000,224095000,200362000,256667000,288933000,194122000,182807000,241764000,394746000,272958000,277964000,1735729000,200340000,- -
82,Other Non-Cash Items,- -,- -,- -,264000000,364600000,258300000,259828000,-113558000,-22758000,94594000,37300000,7000000,-33700000,-163309000,432106000,-573882000,-240592000,-101501000,-231162000,26247000,-34638000,874720000,1033692000,89509000,-120413000,-83033000,34276000,78945000,38306000,-2856000,-182699000,119615000,21442000,-1564072000,1337795000,-79101000
83,Cash Provided by Operating Activities,- -,- -,- -,221100000,199100000,210600000,204800000,226846000,248857000,215850000,241300000,196900000,236600000,193500000,255743000,206067000,212945000,327138000,386164000,446880000,554940000,595411000,309283000,78658000,65971000,14787000,172582000,33505000,102055000,8870000,146493000,40852000,140911000,-27452000,277394000,237000000
84,CAPEX,- -,- -,- -,-86700000,-87600000,-282100000,-157700000,-103864000,-95568000,-57300000,-53300000,-56600000,-67000000,-79800000,-74577000,-68223000,-88400000,-89251000,-76775000,-72121000,-103098000,-127787000,-84101000,-39750000,-19091000,-12183000,-30210000,-20522000,-19008000,-23105000,-27948000,-27677000,-60482000,-85907000,-46832000,-61174000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-547000000,-5000000,-2000000,- -,- -,- -,-216000000,- -,- -,-149000000,-47000000,-44000000,-281000000,-149000000,-1190000000,77000000,-2452765000
86,Purchases of Investments,- -,- -,- -,- -,-9000000,-4000000,-6600000,- -,- -,- -,- -,- -,- -,- -,-139056000,-40879000,-118261000,- -,-8637000,- -,- -,-41959000,-688000,-3366000,-1673000,-9045000,-5066000,-1575000,-2653000,-7658000,-2128000,-836000,-558000,-1871000,-8309000,-12030000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22300000,2700000,32400000,20600000,50940000,14550000,507000,- -,16214000,14553000,14105000,10594000,60885000,9422000,12180000,2650000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,-11000000,22700000,2600000,38200000,108489000,19982000,-75791000,-134600000,-721300000,-48200000,-57600000,10789000,-59845000,14909000,2558000,-316397000,-1706000,-368146000,-24242000,169000,101000,-84000,-5915000,2852000,2214000,10124000,18212000,648000,3201000,-3861000,-11593000,31436000,69543000
89,Cash Used for Investing Activites,- -,- -,- -,-97700000,-73900000,-283500000,-126100000,4625000,-75586000,-133091000,-165600000,-775200000,-82800000,-116800000,-151904000,-154397000,-191245000,-86693000,-385595000,-606274000,-462139000,-185394000,-23735000,-33593000,-7818000,-240493000,-32424000,-19883000,-160537000,-59551000,-73428000,-296567000,-206672000,-1264507000,55178000,-2455996000
90,Debt Repayment,- -,- -,- -,-50000000,-11000000,-149700000,-100600000,-194086000,-137885000,-29703000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-25250000,-34900000,- -,-15900000,-196100000,-2000000,-122406000,-6635000,-393927000,-5656000,-8728000,-10612000,-592105000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1700000,- -,- -,- -,- -,28108000,32345000,32198000,15903000,15097000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-39600000,-84900000,- -,- -,- -,- -,- -,- -,-25700000,-108400000,-35000000,-4571000,-22449000,- -,- -,- -,-36822000,-65323000,-57515000,-19031000,- -,- -,-51383000,-23564000,-74199000,-21237000,-16222000,-44401000,-17885000,-32323000,-584000,- -,- -
93,Dividends Paid,- -,- -,- -,-32100000,-36300000,-35300000,-36000000,-38330000,-37274000,-42581000,-44500000,-46000000,-46500000,-47100000,-47202000,-50784000,-51143000,-50464000,-65006000,-111177000,-76806000,-88205000,-53957000,- -,- -,- -,- -,- -,- -,-59523000,- -,- -,-16395000,-16374000,-16574000,-45067000
94,Other Financing Activites,- -,- -,- -,-500000,-500000,273500000,49800000,575000,-109000,2937000,-51100000,654200000,1200000,-1200000,-48410000,24870000,27532000,-187262000,30381000,282012000,-93917000,-339423000,-202507000,-10786000,5866000,200054000,14059000,235290000,18923000,199995000,-2298000,684374000,-623000,1243512000,1025365000,1330647000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,-122200000,-132700000,88500000,-86800000,-231841000,-175268000,-69347000,-95600000,582500000,-153700000,-81600000,-100183000,-48363000,-23611000,-237726000,-6517000,166358000,-203848000,-469240000,-260398000,-36036000,-29034000,148671000,-25405000,-35009000,-4314000,1844000,-53334000,272562000,-54997000,1217826000,998179000,693475000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1616000,-522000,-75000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15000,-13000,58000,-20000
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,-370000,-1997000,13412000,-19855000,- -,- -,-4900000,3656000,3307000,-1911000,2719000,-5948000,6964000,11207000,1182000,-13724000,9029000,197243000,-77035000,114753000,-21387000,-62796000,-50398000,19731000,14347000,-41585000,-74146000,1593053000,-1525541000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,18606000,16609000,30021000,10145000,- -,- -,10500000,14112000,17419000,15508000,18227000,12279000,19243000,30450000,31632000,5376000,14405000,204924000,127889000,242642000,221255000,158459000,108061000,134352000,148699000,107114000,32968000,1626021000,100480000
99,Cash at the Beginning of Period,- -,- -,- -,17800000,19100000,11600000,27100000,18976000,18606000,16609000,30000000,10100000,14300000,15400000,10456000,14112000,17419000,15508000,18227000,12279000,19243000,30450000,19100000,5376000,7681000,204924000,127889000,242642000,221255000,158459000,114621000,134352000,148699000,107114000,32968000,1626021000
100,Free Cash Flow,- -,- -,- -,134400000,111500000,-71500000,47100000,122982000,153289000,158550000,188000000,140300000,169600000,113700000,181166000,137844000,124545000,237887000,309389000,374759000,451842000,467624000,225182000,38908000,46880000,2604000,142372000,12983000,83047000,-14235000,118545000,13175000,80429000,-113359000,230562000,175826000
101,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/832428/000083242895000001/0000832428-95-000001-index.html,https://www.sec.gov/Archives/edgar/data/832428/000083242896000009/0000832428-96-000009-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/832428/000095010902001720/0000950109-02-001720-index.htm,https://www.sec.gov/Archives/edgar/data/832428/000102140803004837/0001021408-03-004837-index.htm,https://www.sec.gov/Archives/edgar/data/832428/000119312504038916/0001193125-04-038916-index.htm,https://www.sec.gov/Archives/edgar/data/832428/000119312505050451/0001193125-05-050451-index.htm,https://www.sec.gov/Archives/edgar/data/832428/000119312506056651/0001193125-06-056651-index.htm,https://www.sec.gov/Archives/edgar/data/832428/000119312507044344/0001193125-07-044344-index.htm,https://www.sec.gov/Archives/edgar/data/832428/000119312508043666/0001193125-08-043666-index.htm,https://www.sec.gov/Archives/edgar/data/832428/000095015209002072/0000950152-09-002072-index.htm,https://www.sec.gov/Archives/edgar/data/832428/000095012310021571/0000950123-10-021571-index.htm,https://www.sec.gov/Archives/edgar/data/832428/000095012311021254/0000950123-11-021254-index.htm,https://www.sec.gov/Archives/edgar/data/832428/000095012312004632/0000950123-12-004632-index.htm,https://www.sec.gov/Archives/edgar/data/832428/000083242813000014/0000832428-13-000014-index.htm,https://www.sec.gov/Archives/edgar/data/832428/000083242814000012/0000832428-14-000012-index.htm,https://www.sec.gov/Archives/edgar/data/832428/000083242815000043/0000832428-15-000043-index.htm,https://www.sec.gov/Archives/edgar/data/832428/000083242816000080/0000832428-16-000080-index.htm,https://www.sec.gov/Archives/edgar/data/832428/000083242817000010/0000832428-17-000010-index.htm,https://www.sec.gov/Archives/edgar/data/832428/000083242818000020/0000832428-18-000020-index.htm,https://www.sec.gov/Archives/edgar/data/832428/000083242819000007/0000832428-19-000007-index.htm,https://www.sec.gov/Archives/edgar/data/832428/000083242820000007/0000832428-20-000007-index.htm,https://www.sec.gov/Archives/edgar/data/832428/000083242821000019/0000832428-21-000019-index.htm,https://www.sec.gov/Archives/edgar/data/832428/000083242822000009/0000832428-22-000009-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
