,https://roic.ai/company/MKC,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
77,Change in Working Capital,- -,- -,- -,- -,-29400000,- -,- -,- -,- -,56900000,-33100000,11300000,-26800000,-22500000,34200000,-427200000,329300000,129100000,-1800000,41900000,9900000,17700000,2900000,-187600000,218100000,28800000,48500000,-131800000,209300000,-12900000,-127900000,-167200000,-329400000,-191500000,-82400000,-358700000,-65100000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,45800000,-38200000,-8600000,-38800000,-29200000,-16400000,15600000,-21000000,-13000000,19800000,12200000,4800000,-22600000
79,Inventory,- -,- -,- -,- -,-2800000,-13200000,-33000000,-14800000,-34100000,-41000000,-13800000,21800000,-13700000,-1700000,16000000,-9800000,-3300000,-20200000,-50000000,33800000,-3000000,-42300000,-7900000,-27400000,17700000,-26800000,-111300000,1200000,-59900000,-54400000,-18000000,-39000000,44600000,-10000000,-20900000,-200200000,-153700000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4800000,10500000,49300000,8200000,12100000,-6700000,40400000,47000000,98200000,72800000,128200000,164200000,34900000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,56900000,23800000,35100000,8300000,-14200000,20000000,-407200000,-77900000,51200000,49400000,91300000,101200000,118900000,121800000,-65800000,152300000,181100000,229600000,97800000,307100000,294200000,166300000,-900000,-330300000,-521800000,-604200000,-962900000,-1028000000
82,Other Non-Cash Items,- -,- -,- -,- -,5300000,-34200000,-53100000,-21000000,-41900000,-80900000,-84500000,111100000,41400000,5900000,25100000,435500000,-346600000,-173100000,-99100000,22800000,33900000,30100000,-79100000,169600000,-233100000,-129000000,-232000000,31700000,-242500000,-48400000,190700000,258700000,494100000,172300000,109600000,452800000,-150800000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,66000000,72200000,74400000,117300000,80600000,72500000,59400000,201700000,181200000,144000000,229300000,202000000,204500000,223700000,190800000,349500000,339200000,310800000,224500000,314600000,415800000,387500000,340000000,455000000,465200000,503600000,590000000,658100000,815300000,821200000,946800000,1041300000,828300000
84,CAPEX,- -,- -,- -,- -,-53400000,-58400000,-73200000,-79300000,-76100000,-87700000,-82100000,-74700000,-43900000,-63700000,-49300000,-53600000,-112100000,-110700000,-91600000,-69800000,-73800000,-84800000,-78500000,-85800000,-82400000,-89000000,-96700000,-110300000,-99900000,-132700000,-128400000,-153800000,-182400000,-169100000,-173700000,-225300000,-278000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-386600000,- -,-1400000,-202900000,-74500000,-5500000,-102600000,-15900000,-679300000,- -,-46900000,-441400000,- -,-142300000,- -,-210900000,-116400000,-4327400000,-4200000,- -,-803000000,-641000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,152000000,-5900000,11700000,-42000000,-69000000,-96300000,3600000,262600000,-2800000,1100000,3400000,-2400000,200000,6500000,193800000,2800000,2300000,6100000,1600000,18100000,-81800000,-82800000,-96100000,-109000000,-97400000,-131600000,-128000000,-150700000,-180900000,-154300000,-171000000,-222600000,-267600000
89,Cash Used for Investing Activites,- -,- -,- -,- -,98600000,-64300000,-61500000,-121300000,-145100000,-184000000,-78500000,187900000,-46700000,-62600000,-45900000,-442600000,-111900000,-105600000,-100700000,-141500000,-77000000,-172100000,-92800000,-747000000,-81800000,-129700000,-537500000,-109000000,-239700000,-131600000,-338900000,-267100000,-4508300000,-158500000,-171000000,-1025600000,-908600000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-252200000,-114000000,-101100000,-4700000,-251400000,-1600000,-1600000,-202000000,-272700000,-797900000,-447700000,-257700000,-257100000
91,Common Stock Issued,- -,- -,- -,- -,15000000,16400000,24900000,27100000,27400000,6100000,11300000,4500000,7000000,14100000,11600000,9000000,29200000,28200000,37000000,53000000,45000000,46500000,43000000,48800000,- -,- -,- -,- -,- -,- -,- -,- -,554000000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-77200000,-60000000,-57700000,-31300000,-26400000,-11000000,-16300000,-74700000,-111200000,-63000000,-81000000,-72300000,-11900000,-6800000,-120600000,-173800000,-185600000,-155900000,-157000000,-11000000,- -,-82500000,-89300000,-132200000,-177400000,-244300000,-145800000,-242700000,-137800000,-62300000,-95100000,-47300000,-8600000
93,Dividends Paid,- -,- -,- -,- -,-14600000,-18700000,-22400000,-30400000,-35600000,-39000000,-42200000,-45300000,-45500000,-46900000,-48700000,-52300000,-55100000,-58600000,-64100000,-76900000,-86200000,-95000000,-103600000,-113500000,-125400000,-138200000,-148500000,-164700000,-179900000,-192400000,-204900000,-217800000,-237600000,-273400000,-302200000,-330100000,-363300000
94,Other Financing Activites,- -,- -,- -,- -,-47600000,6800000,43600000,38800000,113700000,157800000,64900000,-265300000,4500000,18800000,-70400000,370200000,-47600000,-74400000,16400000,19300000,-67600000,77200000,65500000,509100000,35800000,73600000,526700000,-22700000,362800000,89400000,152700000,291000000,3850100000,382500000,119200000,856000000,651000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-124400000,-55500000,-11600000,4200000,79100000,113900000,17700000,-380800000,-145200000,-77000000,-188500000,254600000,-85400000,-111600000,-131300000,-178400000,-294400000,-127200000,-152100000,433400000,-341800000,-261100000,187800000,-324300000,-245900000,-348900000,-199600000,-371500000,3756000000,-751100000,-725800000,220900000,22000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,200000,1300000,-600000,-4500000,-3600000,400000,-1700000,1100000,1900000,-200000,-600000,-2100000,200000,9500000,19000000,15600000,-7800000,7200000,17300000,-8000000,8400000,14600000,12800000,3400000,4400000,-8800000,-16200000,-13700000,5400000,-1800000,8800000,31600000,-13600000
97,Net Change In Cash,- -,- -,- -,- -,-124400000,-55500000,-11600000,4200000,79100000,2700000,-3100000,-380800000,-145200000,-77000000,-5700000,11900000,7400000,16000000,-22200000,45200000,-40000000,18700000,-3100000,-7000000,600000,11300000,3100000,25100000,-16000000,14300000,35300000,5800000,68400000,-90200000,58800000,268200000,-71900000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,15500000,12500000,- -,- -,- -,12000000,23900000,31300000,47300000,25100000,70300000,30300000,49000000,45900000,38900000,39500000,50800000,53900000,79000000,63000000,77300000,112600000,118400000,186800000,96600000,155400000,423600000,351700000
99,Cash at the Beginning of Period,- -,- -,- -,- -,11300000,51600000,5300000,6000000,1800000,12800000,15600000,12500000,22400000,13500000,17700000,12000000,23900000,31300000,47300000,25100000,70300000,30300000,49000000,45900000,38900000,39500000,50800000,53900000,79000000,63000000,77300000,112600000,118400000,186800000,96600000,155400000,423600000
100,Free Cash Flow,- -,- -,- -,- -,12600000,13800000,1200000,38000000,4500000,-15200000,-22700000,127000000,137300000,80300000,180000000,148400000,92400000,113000000,99200000,279700000,265400000,226000000,146000000,228800000,333400000,298500000,243300000,344700000,365300000,370900000,461600000,504300000,632900000,652100000,773100000,816000000,550300000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/63754/000006375495000006/0000063754-95-000006-index.html,- -,https://www.sec.gov/Archives/edgar/data/63754/000006375497000007/0000063754-97-000007-index.html,- -,https://www.sec.gov/Archives/edgar/data/63754/0000063754-99-000011-index.html,- -,https://www.sec.gov/Archives/edgar/data/63754/000091205701006146/0000912057-01-006146-index.html,https://www.sec.gov/Archives/edgar/data/63754/000091205702006688/0000912057-02-006688-index.html,https://www.sec.gov/Archives/edgar/data/63754/000104746903004108/a2102222z10-k.htm,https://www.sec.gov/Archives/edgar/data/63754/000104746904002319/a2127265z10-k.htm,https://www.sec.gov/Archives/edgar/data/63754/000110465905002884/a05-2232_110k.htm,https://www.sec.gov/Archives/edgar/data/63754/000110465906004340/a06-3546_110k.htm,https://www.sec.gov/Archives/edgar/data/63754/000110465907005348/a07-2613_110k.htm,https://www.sec.gov/Archives/edgar/data/63754/000110465908005145/a08-3564_110k.htm,https://www.sec.gov/Archives/edgar/data/63754/000119312509013251/0001193125-09-013251-index.html,https://www.sec.gov/Archives/edgar/data/63754/000119312510014973/0001193125-10-014973-index.html,https://www.sec.gov/Archives/edgar/data/63754/000119312511014958/d10k.htm,https://www.sec.gov/Archives/edgar/data/63754/000119312512026335/0001193125-12-026335-index.html,https://www.sec.gov/Archives/edgar/data/63754/000006375413000002/0000063754-13-000002-index.html,https://www.sec.gov/Archives/edgar/data/63754/000006375414000008/mkc-11302013x10k.htm,https://www.sec.gov/Archives/edgar/data/63754/000006375415000013/mkc-11302014x10kxq42014.htm,https://www.sec.gov/Archives/edgar/data/63754/000006375416000063/0000063754-16-000063-index.html,https://www.sec.gov/Archives/edgar/data/63754/000006375417000014/0000063754-17-000014-index.html,https://www.sec.gov/Archives/edgar/data/63754/000006375418000008/0000063754-18-000008-index.html,https://www.sec.gov/Archives/edgar/data/63754/000006375419000017/0000063754-19-000017-index.html,https://www.sec.gov/Archives/edgar/data/63754/000006375420000022/0000063754-20-000022-index.html,https://www.sec.gov/Archives/edgar/data/63754/000006375421000020/0000063754-21-000020-index.htm,https://www.sec.gov/Archives/edgar/data/63754/000006375422000005/0000063754-22-000005-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
