,https://roic.ai/company/EQT,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
77,Change in Working Capital,- -,- -,- -,- -,-12300000,- -,- -,- -,- -,-191100000,179500000,-23000000,-26400000,69000000,-110700000,-159145000,262999000,-122843000,-31077000,-209902000,-632605000,616944000,-398732000,661635000,197918000,148464000,654268000,-602844000,449635000,338829000,384356000,-431621000,-1092761000,-316155000,794290000,-955913000,-2246445000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-33377000,66327000,- -,- -,-48364000,-44818000,-70392000,131031000,-165507000,-8979000,-439062000,432323000,-36296000,-699992000
79,Inventory,- -,- -,- -,- -,6200000,1500000,2000000,3300000,-5800000,2300000,5300000,-15500000,- -,- -,- -,-35853000,-11199000,21710000,-84738000,-45283000,-85296000,20793000,-14357000,-4697000,73181000,45104000,1117000,43277000,30090000,15511000,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,77475000,-107745000,-36853000,42262000,32275000,53527000,30350000,-37623000,40548000,-16680000,457113000,-238674000,-29193000,456988000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,-191100000,-11600000,-34600000,-61000000,8000000,-102700000,-261845000,1154000,-121689000,-152766000,-362668000,-995273000,-378329000,-777061000,-115426000,82492000,230956000,885224000,282380000,732015000,1070844000,1455200000,1023579000,-69182000,-385337000,408953000,-546960000,-2793405000
82,Other Non-Cash Items,- -,- -,- -,- -,1800000,36800000,-10500000,10600000,-41900000,177300000,68500000,-79300000,-57900000,-20300000,76600000,261829000,-422319000,69436000,-161996000,-119478000,92261000,-382706000,425787000,-653883000,129350000,259664000,-472872000,605783000,-479360000,-64494000,-148308000,1156660000,1089451000,4215082000,924982000,2177597000,3792143000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,87800000,145200000,113100000,134500000,109300000,135100000,279800000,65600000,114200000,64500000,173400000,361153000,129869000,213017000,121030000,176363000,-311962000,619288000,426720000,509157000,725741000,789740000,915264000,820867000,1200398000,1414742000,1216940000,1064320000,1637698000,2976256000,1851704000,1537701000,1662448000
84,CAPEX,- -,- -,- -,- -,-89200000,-101400000,-235200000,-99600000,-339400000,-146200000,-118100000,-110300000,-252900000,-170500000,-142100000,-123727000,-132679000,-218494000,-221499000,-202351000,-275798000,-404536000,-776667000,-1343996000,-963908000,-1250985000,-1274280000,-1399385000,-1800899000,-2451656000,-2434018000,-2590733000,-2758159000,-3731764000,-1602454000,-1042231000,-1055128000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-677235000,- -,- -,- -,- -,- -,- -,- -,-29000000,-6400000,- -,- -,- -,- -,- -,-74459000,-85866000,-1719822000,-820943000,- -,-691942000,-1030239000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-17592000,- -,- -,-4009000,-2471000,-9709000,-3000000,-3000000,-750000,- -,- -,- -,- -,- -,-288772000,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1494000,- -,- -,- -,- -,7295000,- -,- -,12306000,29947000,- -,- -,- -,- -,3890000,283758000,- -,- -,- -,24369000
88,Other Investing Activites,- -,- -,- -,- -,7100000,500000,900000,6900000,1300000,1200000,24600000,4200000,181500000,338200000,-14500000,437954000,6918000,66926000,7163000,44452000,627553000,-724000,188943000,-1343996000,-976120000,-1250985000,-654281000,-1394543000,-1037312000,-2444212000,-2451148000,-2590733000,-2691006000,-3158161000,-1601142000,-863858000,-1066872000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-82100000,-100900000,-234300000,-92700000,-338100000,-145000000,-93500000,-106100000,-71400000,167700000,-156600000,-363008000,-125761000,-167666000,-214336000,-157899000,347746000,-407731000,-590138000,-1375996000,-985520000,-1239429000,-624334000,-1394543000,-1037312000,-2444212000,-2525607000,-2961481000,-4127070000,-3979104000,-1601142000,-1555800000,-2072742000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-166057000,-326091000,37688000,-15457000,-219315000,-23204000,-461162000,-487004000,-1044119000,-3076500000,-8961876000,-4189411000,-5955644000,-8386000000
91,Common Stock Issued,- -,- -,- -,- -,900000,1000000,3000000,1400000,112400000,1800000,2800000,2300000,6600000,2500000,- -,- -,6855000,28485000,39155000,26776000,- -,34910000,3198000,560739000,- -,537206000,- -,276780000,529442000,902467000,1855966000,1443101000,- -,- -,- -,340923000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-9000000,-6000000,-200000,- -,-400000,-200000,- -,-28600000,-37700000,-94600000,-29483000,-61203000,-97028000,-55235000,-118472000,-122250000,- -,- -,- -,- -,- -,- -,- -,- -,-32368000,-3375000,-30000,-30000,-538903000,- -,- -,-12922000
93,Dividends Paid,- -,- -,- -,- -,-27100000,-28400000,-31300000,-32600000,-35300000,-39700000,-41100000,-41500000,-42700000,-43800000,-40400000,-38490000,-40356000,-41809000,-60419000,-89364000,-99737000,-104871000,-107086000,-111403000,-115368000,-127292000,-131625000,-131803000,-18094000,-18207000,-18310000,-20156000,-20827000,-31375000,-30655000,-7664000,- -
94,Other Financing Activites,- -,- -,- -,- -,21600000,300000,145600000,-7100000,155200000,56500000,-141000000,64300000,76600000,-120200000,33800000,103820000,68195000,53127000,189391000,125262000,261169000,-216562000,349017000,501849000,701238000,2087000,687403000,-1182000,12356000,870528000,485193000,1020673000,4630504000,10391174000,3970613000,5654098000,8904969000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-4600000,-36100000,111300000,-38500000,232300000,18200000,-179500000,25100000,11900000,-199200000,-101200000,35847000,-26509000,-57225000,112892000,-55798000,39182000,-286523000,245129000,785128000,259779000,449689000,540321000,-75520000,500500000,1261258000,1832470000,1399469000,1533147000,859020000,-249453000,31713000,506047000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,-4600000,-36100000,111300000,-38500000,232300000,8400000,6800000,-15500000,54700000,33000000,-84400000,33992000,-22401000,-11874000,19586000,- -,- -,- -,- -,- -,- -,- -,- -,-649196000,663586000,231788000,523803000,-497692000,-956225000,-143828000,1109000,13614000,95753000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,23400000,30200000,14700000,69400000,102400000,18000000,52023000,29622000,17748000,37334000,- -,74966000,- -,81711000,- -,- -,- -,831251000,182055000,845641000,1077429000,1601232000,1103540000,147315000,3487000,4596000,18210000,113963000
99,Cash at the Beginning of Period,- -,- -,- -,- -,8900000,10100000,18200000,8300000,11600000,15000000,23400000,30200000,14700000,69400000,102400000,18031000,52023000,29622000,17748000,37334000,- -,74966000,- -,81711000,- -,- -,- -,831251000,182055000,845641000,1077429000,1601232000,1103540000,147315000,3487000,4596000,18210000
100,Free Cash Flow,- -,- -,- -,- -,-1400000,43800000,-122100000,34900000,-230100000,-11100000,161700000,-44700000,-138700000,-106000000,31300000,237426000,-2810000,-5477000,-100469000,-25988000,-587760000,214752000,-349947000,-834839000,-238167000,-461245000,-359016000,-578518000,-600501000,-1036914000,-1217078000,-1526413000,-1120461000,-755508000,249250000,495470000,607320000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/33213/000003321395000002/0000033213-95-000002-index.html,https://www.sec.gov/Archives/edgar/data/33213/000003321396000004/0000033213-96-000004-index.html,https://www.sec.gov/Archives/edgar/data/33213/000003321397000004/0000033213-97-000004-index.html,https://www.sec.gov/Archives/edgar/data/33213/000003321398000006/0000033213-98-000006-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/33213/000095012801000488/0000950128-01-000488-index.html,https://www.sec.gov/Archives/edgar/data/33213/000091205702010471/0000912057-02-010471-index.html,- -,https://www.sec.gov/Archives/edgar/data/33213/000110465904006053/0001104659-04-006053-index.htm,https://www.sec.gov/Archives/edgar/data/33213/000110465905008241/0001104659-05-008241-index.htm,https://www.sec.gov/Archives/edgar/data/33213/000110465906011976/0001104659-06-011976-index.htm,https://www.sec.gov/Archives/edgar/data/33213/000110465907013316/0001104659-07-013316-index.htm,https://www.sec.gov/Archives/edgar/data/33213/000110465908012255/0001104659-08-012255-index.htm,https://www.sec.gov/Archives/edgar/data/33213/000110465909010903/0001104659-09-010903-index.htm,https://www.sec.gov/Archives/edgar/data/33213/000110465910007860/0001104659-10-007860-index.htm,https://www.sec.gov/Archives/edgar/data/33213/000110465911009751/0001104659-11-009751-index.htm,https://www.sec.gov/Archives/edgar/data/33213/000110465912010579/0001104659-12-010579-index.htm,https://www.sec.gov/Archives/edgar/data/33213/000110465913012699/0001104659-13-012699-index.htm,https://www.sec.gov/Archives/edgar/data/33213/000110465914011816/0001104659-14-011816-index.htm,https://www.sec.gov/Archives/edgar/data/33213/000003321315000004/0000033213-15-000004-index.htm,https://www.sec.gov/Archives/edgar/data/33213/000003321316000018/0000033213-16-000018-index.htm,https://www.sec.gov/Archives/edgar/data/33213/000003321317000003/0000033213-17-000003-index.htm,https://www.sec.gov/Archives/edgar/data/33213/000003321318000003/0000033213-18-000003-index.htm,https://www.sec.gov/Archives/edgar/data/33213/000003321319000006/0000033213-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/33213/000003321320000008/0000033213-20-000008-index.htm,https://www.sec.gov/Archives/edgar/data/33213/000003321321000006/0000033213-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/33213/000003321322000007/0000033213-22-000007-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
