,https://roic.ai/company/SQM,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,486555000,534470000,575450000,742783000,845875000,903954000,1339414000,1745131000,1695263000,1956413000,2246734000,2455049000,2511818000,2696845000,2335066000,2466261000,2399596000,2682166000,2569258000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,679058000,669379000,694762000,794647000,916928000,983449000,1119920000,1324405000,1453973000,1755042000,2026132000,2054377000,1887954000,1683576000,1532710000,1437193000,1637855000,1787982000,1767343000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34403000,32945000,30622000,28652000,38388000,38605000,38388000,38388000,38388000,38388000,37972000,44177000,34718000,34726000,41966000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,15689000,17820000,21743000,31924000,4523000,3814000,3115000,2514000,3270000,4316000,3010000,104363000,114735000,110428000,109439000,105948000,5251000,7446000,178407000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,15689000,17820000,21743000,31924000,38926000,36759000,33737000,31166000,41658000,42921000,41398000,142751000,153123000,148816000,147411000,150125000,39969000,42172000,220373000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36951000,55205000,154945000,91182000,70405000,77113000,76205000,79788000,140083000,180394000,115255000,114295000,100642000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,365000,304000,223000,531000,340000,161000,664000,32179000,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,140992000,141807000,69417000,71214000,69473000,62157000,37193000,47227000,26632000,25721000,31539000,37787000,34215000,34576000,62710000,30084000,75419000,57536000,160847000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,835739000,829006000,785922000,897785000,1025327000,1082365000,1227801000,1458003000,1677573000,1915170000,2169697000,2312559000,2151837000,1946917000,1883578000,1829975000,1868498000,2001985000,2249205000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,1322294000,1363476000,1361372000,1640568000,1871202000,1986319000,2567215000,3203134000,3372836000,3871583000,4416431000,4767608000,4663655000,4643762000,4218644000,4296236000,4268094000,4684151000,4818463000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,48076000,48429000,57859000,70292000,86617000,99030000,110298000,187200000,152147000,183032000,207448000,150322000,145229000,137103000,200503000,197223000,163382000,205889000,203952000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,29325000,74575000,26557000,297564000,64718000,18355000,133806000,250889000,150958000,161008000,142508000,398999000,210569000,399275000,160243000,177062000,15445000,280777000,36863000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,158000,384000,441000,1262000,4065000,10858000,31722000,16536000,- -,- -,16291000,13475000,8218000,9764000,6507000,5301000,18574000,3033000,6435000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,20793000,21871000,46387000,59150000,42242000,64179000,170080000,90849000,173732000,285263000,242846000,159839000,166859000,156785000,213096000,368459000,358262000,287113000,228632000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,98352000,145259000,131244000,428268000,197642000,192422000,445906000,545474000,476837000,629303000,609093000,722635000,530875000,702927000,580349000,748045000,555663000,776812000,475882000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,324000000,260000000,200000000,100000000,480724000,486651000,230397000,365187000,140000000,1237027000,1446194000,1415985000,1537267000,1217172000,1059706000,1031507000,1318349000,1472246000,1886002000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,15230000,26911000,34089000,38895000,47361000,55409000,57485000,56520000,100781000,98594000,125445000,154295000,223349000,219391000,206119000,205283000,175361000,183411000,156101000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,12001000,12215000,12981000,17480000,20313000,23402000,323250000,723247000,984398000,42279000,48253000,42452000,79649000,103916000,65198000,63933000,80919000,117210000,137900000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,351231000,299126000,247070000,156375000,548398000,565462000,611132000,1144954000,1225179000,1377900000,1619892000,1612732000,1840265000,1540479000,1331023000,1300723000,1574629000,1772867000,2180003000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,293869000,16243000,- -,- -,- -,- -,- -,- -,- -,- -,- -,37897000,31074000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,449583000,444385000,378314000,584643000,746040000,757884000,1057038000,1690428000,1702016000,2007203000,2228985000,2335367000,2371140000,2243406000,1911372000,2048768000,2130292000,2549679000,2655885000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,477386000,477386000,477386000,477386000,- -,- -,- -,- -,- -,- -,477386000,477386000,477386000,477386000,477386000,477386000,477386000,477386000,477386000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,247165000,271166000,320355000,385743000,453373000,541608000,826001000,989227000,1155131000,1351560000,1676169000,1909725000,1768424000,1882196000,1781576000,1724784000,1623104000,1623104000,1638267000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,-456743000,-518401000,-579680000,-630459000,-730922000,-813752000,-915563000,-1057156000,-1170068000,-1363859000,-1562134000,-1776423000,-2024227000,-2339696000,-2608131000,-2795845000,-2997031000,-3191495000,7432000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,581854000,659821000,730567000,787746000,1363498000,1454580000,1552670000,1534542000,1637741000,1825133000,1541362000,1765932000,2011065000,2319899000,2595243000,2781496000,2982032000,3177272000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,849662000,889972000,948628000,1020416000,1085949000,1182436000,1463108000,1466613000,1622804000,1812834000,2132783000,2376620000,2232648000,2339785000,2246074000,2187821000,2085491000,2086267000,2123085000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,1299245000,1334357000,1326942000,1605059000,1831989000,1940320000,2520146000,3157041000,3324820000,3820037000,4361768000,4711987000,4603788000,4583191000,4157446000,4236589000,4215783000,4635946000,4778970000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,23049000,29119000,34430000,35509000,39213000,45999000,47069000,46093000,48016000,51546000,54663000,55621000,59867000,60571000,61198000,59647000,52311000,48205000,39493000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,1322294000,1363476000,1361372000,1640568000,1871202000,1986319000,2567215000,3203134000,3372836000,3871583000,4416431000,4767608000,4663655000,4643762000,4218644000,4296236000,4268094000,4684151000,4818463000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/909037/000112528203004052/0001125282-03-004052-index.htm,https://www.sec.gov/Archives/edgar/data/909037/000112528204003102/0001125282-04-003102-index.htm,https://www.sec.gov/Archives/edgar/data/909037/000112528205003509/0001125282-05-003509-index.htm,https://www.sec.gov/Archives/edgar/data/909037/000112528206003835/0001125282-06-003835-index.htm,https://www.sec.gov/Archives/edgar/data/909037/000114420407034332/0001144204-07-034332-index.htm,https://www.sec.gov/Archives/edgar/data/909037/000114420408037078/0001144204-08-037078-index.htm,https://www.sec.gov/Archives/edgar/data/909037/000114420409035120/0001144204-09-035120-index.htm,https://www.sec.gov/Archives/edgar/data/909037/000114420410035789/0001144204-10-035789-index.htm,https://www.sec.gov/Archives/edgar/data/909037/000114420411038411/0001144204-11-038411-index.htm,https://www.sec.gov/Archives/edgar/data/909037/000114420412024527/0001144204-12-024527-index.htm,https://www.sec.gov/Archives/edgar/data/909037/000114420413023175/0001144204-13-023175-index.htm,https://www.sec.gov/Archives/edgar/data/909037/000114420414025407/0001144204-14-025407-index.htm,https://www.sec.gov/Archives/edgar/data/909037/000114420415031830/0001144204-15-031830-index.htm,https://www.sec.gov/Archives/edgar/data/909037/000114420416095518/0001144204-16-095518-index.htm,https://www.sec.gov/Archives/edgar/data/909037/000114420417022407/0001144204-17-022407-index.htm,https://www.sec.gov/Archives/edgar/data/909037/000114420418021258/0001144204-18-021258-index.htm,https://www.sec.gov/Archives/edgar/data/909037/000114420419020107/0001144204-19-020107-index.htm,https://www.sec.gov/Archives/edgar/data/909037/000110465920049813/0001104659-20-049813-index.htm,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,23300000,40700000,70200000,62300000,67200000,48075000,26690000,30102000,40200000,46753000,74232000,113506000,141277000,180021000,501407000,327056000,382122000,545758000,649167000,467113000,236889000,220356000,278290000,427697000,439830000,278115000,164518000
74,Depreciation and Amortization,18600000,22200000,30700000,39200000,53800000,58969000,62258000,63727000,62487000,62790000,63733000,72419000,93430000,100790000,113488000,154549000,149962000,201914000,196158000,433000,5111000,321000,117000,98000,1723000,2642000,2750000
75,Deferred Income Tax,1500000,3900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,216082000,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,11400000,21900000,-41300000,-28900000,-72100000,-111123000,25906000,13369000,-13362000,-33139000,-54124000,-129979000,-113075000,-106695000,-400657000,-298480000,-41230000,-361559000,-497554000,- -,- -,- -,- -,- -,- -,- -,- -
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-184713000,23320000,-39880000,-172794000,-52993000,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,-17800000,21700000,-38800000,-21900000,-31700000,-19406000,-10916000,3969000,-25052000,-12578000,-40665000,-58807000,-46730000,-34983000,-193469000,-119865000,26545000,-147238000,-167826000,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,46009000,-16786000,-27895000,-41527000,-49025000,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,16647000,- -,- -,- -,- -,7917000,-6437000,3492000,-31775000,- -,- -,33657000,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,17500000,13900000,6700000,11700000,-11000000,14109000,10874000,18479000,36197000,39739000,68185000,96038000,99568000,137178000,243076000,188229000,127668000,185232000,86353000,184167000,349044000,206640000,355255000,-427795000,-441553000,-280757000,-167268000
83,Cash Provided by Operating Activities,72300000,102600000,66300000,84300000,37900000,10030000,125728000,125677000,125522000,116143000,152026000,151984000,221200000,311294000,457314000,371354000,618522000,571345000,650206000,651713000,591044000,427317000,633662000,- -,- -,- -,- -
84,CAPEX,-58900000,-103600000,-175300000,-210600000,-139500000,-72132000,-58619000,-29778000,-39971000,-55084000,-51758000,-185603000,-175788000,-165640000,-275893000,-357007000,-335997000,-501118000,-445984000,-386495000,-112143000,-111315000,-133341000,-142144000,-319067000,-323816000,-322821000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6000000,1000000,- -,5000000,- -,- -,9000000,69000000,1000000,- -
86,Purchases of Investments,- -,-22600000,- -,- -,-921000000,-630569000,-215999000,-13974000,-12096000,-11360000,-37092000,-12028000,-64574000,- -,- -,-37854000,- -,- -,-115092000,-69000,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,956600000,615756000,216176000,14750000,13810000,542000,69547000,- -,5790000,1478000,1688000,20121000,- -,- -,- -,528000,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,10300000,-54500000,11000000,24800000,-42800000,-8976000,-11421000,-13112000,2156000,5758000,-90000,-1915000,-24974000,-10004000,-4602000,1780000,99188000,-21110000,-2809000,-101349000,-204221000,41510000,293637000,-114923000,-11311000,-165147000,155151000
89,Cash Used for Investing Activites,-48600000,-180700000,-164300000,-185800000,-146700000,-95921000,-69863000,-42114000,-36101000,-60144000,-19393000,-199546000,-259546000,-174166000,-278807000,-372960000,-236809000,-516228000,-562885000,-487385000,-311364000,-69805000,162386000,-248067000,-187004000,-485471000,-167091000
