,https://roic.ai/company/OGE,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-17200000,59200000,34500000,25100000,60600000,-64000000,30900000,-45100000,27100000,29700000,-34500000,59800000,7500000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,400000,2800000,-1200000,24500000,-67300000,-573200000,54364000,-121211000,-139900000,180700000,43800000,123000000,-8900000,-359000000,-143800000,-449600000,-182400000,-345800000,-482200000,-399200000,132500000,-182600000,-477700000,-453500000,-312100000,-227700000,-268900000,- -
82,Other Non-Cash Items,- -,- -,- -,- -,- -,- -,- -,- -,- -,149400000,162900000,168400000,119900000,194300000,547800000,-610229000,584992000,179689000,-168700000,290300000,82800000,387100000,418300000,55000000,163800000,-226200000,173500000,311600000,-268400000,-661900000,492800000,120500000,-101300000,-29300000,-233000000,661100000,-1411500000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,- -,- -,- -,- -,204200000,281500000,294700000,295300000,292300000,224300000,211369000,537767000,284900000,398000000,360000000,394900000,549600000,328500000,625000000,654500000,782500000,833900000,1046100000,623200000,721600000,865400000,644600000,784500000,951100000,681500000,712800000,-313300000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,-151000000,-141400000,-161100000,-163600000,-235200000,-712900000,-179471000,-225059000,-234500000,-181300000,-431800000,-298700000,-486600000,-557700000,-1184500000,-847800000,-851700000,-1220800000,-1150600000,-990600000,-569300000,-547800000,-660100000,-824100000,-573600000,-635500000,-650500000,-778500000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2700000,- -,- -,- -,-8500000,-2500000,10800000,-4400000,35000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2700000,- -,- -,- -,-8500000,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7400000,- -,- -,9500000,45200000,38800000,10000000,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4900000,-8100000,2800000,24210000,1807000,52500000,17800000,10000000,153800000,95900000,1400000,400000,-808500000,-846100000,-1403200000,-1192600000,-951600000,-568600000,-545300000,-659200000,-814900000,-573500000,-635500000,-650500000,-784100000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-151000000,-141400000,-161100000,-158700000,-243300000,-710100000,-155261000,-223252000,-182000000,-163500000,-421800000,-144900000,-390700000,-556300000,-1184100000,-808500000,-846100000,-1395800000,-1192600000,-957000000,-559100000,-500100000,-620400000,-821900000,-576000000,-624700000,-654900000,-749100000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-433800000,-379200000,-25000000,-150100000,-100000,-581800000,-98200000,-110200000,-292900000,-418500000,-250100000,-100000,-100000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,300000,- -,- -,1451000,1391000,8800000,171300000,65100000,14700000,14500000,8200000,36400000,79600000,16900000,14800000,14300000,14200000,13200000,7200000,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-600000,-100000,-49300000,-71800000,-103557000,-103657000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6200000,-3400000,- -,- -,- -,- -,-100000,-100000,- -,-14700000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,-109600000,-109700000,-109700000,-109700000,-108200000,-103500000,- -,- -,-99500000,-98600000,-114600000,-120000000,-120800000,-124700000,-128200000,-136200000,-141000000,-146800000,-154500000,-165500000,-184100000,-204600000,-225100000,-247600000,-272200000,-299200000,-314900000,-324900000
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,52300000,-27400000,-26100000,-25400000,104700000,668000000,39181000,-180210000,-15200000,-106000000,-107900000,-129400000,-31100000,305200000,816500000,528100000,511100000,727400000,437400000,490200000,588900000,- -,236200000,592100000,395600000,398200000,272900000,1386300000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,- -,- -,- -,-57300000,-137100000,-136400000,-134900000,-52800000,492700000,-62925000,-282476000,-105900000,-33300000,-157400000,-234700000,-137400000,188700000,724700000,37700000,7800000,564200000,143700000,338800000,-163800000,-295600000,-99100000,51500000,-295200000,-151100000,-56800000,1061300000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4100000,2900000,-2900000,1800000,-3900000,6900000,-6817000,32039000,-3000000,201200000,-219200000,15300000,21500000,-39100000,165600000,-116300000,-55800000,2300000,-2800000,5000000,-1300000,69700000,-74900000,14100000,79900000,-151100000,-56800000,1061300000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,2500000,5400000,2500000,4300000,400000,7300000,454000,32493000,29500000,245600000,26400000,26400000,47900000,8800000,174400000,58100000,2300000,4600000,1800000,6800000,5500000,75200000,300000,14400000,94300000,- -,1100000,- -
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,6600000,2500000,5400000,2500000,4300000,400000,7271000,454000,32500000,44400000,245600000,11100000,26400000,47900000,8800000,174400000,58100000,2300000,4600000,1800000,6800000,5500000,75200000,300000,14400000,94300000,- -,1100000
100,Free Cash Flow,- -,- -,- -,- -,- -,- -,- -,- -,- -,53200000,140100000,133600000,131700000,57100000,-488600000,31898000,312708000,50400000,216700000,-71800000,96200000,63000000,-229200000,-559500000,-193300000,-69200000,-386900000,-104500000,-367400000,152300000,317600000,-15500000,-39600000,377500000,46000000,62300000,-1091800000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1021635/000102163598000010/0001021635-98-000010-index.html,https://www.sec.gov/Archives/edgar/data/1021635/000102163599000007/0001021635-99-000007-index.html,https://www.sec.gov/Archives/edgar/data/1021635/000102163500000006/0001021635-00-000006-index.html,https://www.sec.gov/Archives/edgar/data/1021635/000102163501000010/0001021635-01-000010-index.html,https://www.sec.gov/Archives/edgar/data/1021635/000007414502000009/0000074145-02-000009-index.html,https://www.sec.gov/Archives/edgar/data/1021635/000102163503000012/0001021635-03-000012-index.html,https://www.sec.gov/Archives/edgar/data/1021635/000102163504000075/0001021635-04-000075-index.htm,https://www.sec.gov/Archives/edgar/data/1021635/000102163505000037/0001021635-05-000037-index.htm,https://www.sec.gov/Archives/edgar/data/1021635/000102163506000039/0001021635-06-000039-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1021635/000102163508000045/0001021635-08-000045-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1021635/000102163510000011/0001021635-10-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1021635/000102163511000004/0001021635-11-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1021635/000102163512000006/0001021635-12-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1021635/000102163513000018/0001021635-13-000018-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/1021635/000102163516000172/0001021635-16-000172-index.htm,https://www.sec.gov/Archives/edgar/data/1021635/000102163517000013/0001021635-17-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1021635/000102163518000015/0001021635-18-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1021635/000102163519000015/0001021635-19-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1021635/000102163520000016/0001021635-20-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1021635/000102163521000026/0001021635-21-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1021635/000102163522000037/0001021635-22-000037-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
