,https://roic.ai/company/KELYA,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-20923000,-192000,- -,- -,- -,- -,-4663000,-48417000,-32712000,- -,-7500000,- -,- -,- -,-5700000,- -,-500000,-37200000,- -,-86400000,-38000000,- -
86,Purchases of Investments,- -,- -,- -,- -,-30700000,- -,-65400000,- -,- -,- -,- -,- -,-39300000,- -,- -,- -,3317000,- -,- -,- -,- -,-20729000,- -,- -,- -,- -,- -,-6600000,- -,- -,- -,- -,- -,-5000000,-1000000,-200000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,1100000,- -,31600000,9600000,- -,68000000,46700000,- -,- -,55200000,3624000,1764000,31000,142000,- -,105000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7900000,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,-3700000,-2500000,-9200000,- -,-31200000,-10700000,-8400000,- -,-17200000,2291000,- -,-3476000,-2487000,- -,-736000,5950000,11968000,-236000,- -,-15900000,-11300000,-21500000,-20800000,-21500000,- -,-17100000,-23800000,-32700000,-6900000,48000000,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,-41900000,-10900000,-92600000,-3300000,-15700000,- -,2800000,-500000,-87400000,- -,-21200000,-69245000,-49419000,-36851000,-32567000,- -,-36187000,-64968000,-82424000,-64084000,- -,-23400000,-11300000,-28100000,-20800000,-27200000,- -,-17600000,-61000000,-29800000,-94300000,9800000,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-30500000,-59700000,- -,- -,- -,- -,- -,- -,- -,-700000,-2000000,- -
91,Common Stock Issued,- -,- -,- -,- -,600000,400000,500000,1600000,1000000,- -,1200000,1200000,2700000,- -,3200000,85000,139000,991000,14145000,- -,8422000,10973000,5781000,111000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-100000,-100000,- -,- -,- -,- -,- -,- -,-75900000,-5737000,-64000,-13216000,-26149000,- -,-3000,- -,-34703000,-7975000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,-17400000,-19800000,-21700000,-22000000,-23800000,- -,-29600000,-31600000,-33200000,- -,-34200000,-35303000,-30408000,-14293000,-14143000,- -,-14043000,-16420000,-19114000,-19052000,- -,- -,- -,-7600000,-7600000,-7600000,- -,-7700000,-11600000,-11800000,-11900000,-3000000,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25200000,13400000,- -,-7400000,10629000,-24900000,-11723000,- -,- -,-8188000,6834000,25558000,18150000,- -,39900000,24400000,-31800000,-36100000,64200000,- -,-34500000,8200000,-14700000,-3500000,-3100000,- -
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-16800000,-19400000,-21300000,-20500000,-22800000,- -,-28400000,-5200000,-17100000,- -,-114300000,-30326000,-55233000,-38241000,-26147000,- -,-13812000,1387000,-22478000,-8766000,- -,9400000,-35300000,-39400000,-43700000,56600000,- -,-42200000,-3400000,-26500000,-16100000,-8100000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2961000,3563000,- -,1815000,2045000,5947000,-3287000,- -,1800000,-3600000,1700000,-1400000,-2000000,- -,-4600000,-3900000,-1900000,-900000,9400000,- -
97,Net Change In Cash,- -,- -,- -,- -,-16800000,-19400000,-21300000,-20500000,-22800000,- -,-28400000,-5200000,-17100000,- -,-114300000,-10714000,40143000,17475000,-24558000,- -,11176000,54729000,-25611000,25460000,- -,-29400000,-8400000,-4700000,49400000,-42600000,- -,-40900000,2900000,3200000,-9100000,197100000,- -
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,43318000,83461000,100936000,76378000,- -,87554000,118428000,92817000,118277000,- -,88900000,80500000,76300000,125700000,83100000,- -,42200000,32500000,40100000,31000000,228100000,- -
99,Cash at the Beginning of Period,- -,- -,- -,- -,56100000,67400000,96600000,41300000,29700000,- -,49200000,52800000,33400000,- -,76700000,54032000,43318000,83461000,100936000,- -,76378000,63699000,118428000,92817000,- -,118300000,88900000,81000000,76300000,125700000,- -,83100000,29600000,36900000,40100000,31000000,- -
100,Free Cash Flow,- -,- -,- -,- -,58900000,47500000,35000000,-20200000,28800000,- -,-4800000,-50100000,108100000,- -,59400000,34620000,90487000,56200000,371000,- -,23804000,70739000,27369000,70461000,- -,-30300000,30800000,39600000,95300000,-91700000,- -,6600000,46600000,35800000,82200000,170500000,- -
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/55135/000005513596000003/0000055135-96-000003-index.html,- -,https://www.sec.gov/Archives/edgar/data/55135/0000055135-98-000005-index.html,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/55135/000119312504025561/d10k.htm,undefined,https://www.sec.gov/Archives/edgar/data/55135/000119312505033771/d10k.htm,https://www.sec.gov/Archives/edgar/data/55135/000119312507031656/d10k.htm,https://www.sec.gov/Archives/edgar/data/55135/000119312508028653/d10k.htm,https://www.sec.gov/Archives/edgar/data/55135/000119312509024852/0001193125-09-024852-index.html,undefined,https://www.sec.gov/Archives/edgar/data/55135/000095012310014089/0000950123-10-014089-index.html,https://www.sec.gov/Archives/edgar/data/55135/000095012311015111/c12448e10vk.htm,https://www.sec.gov/Archives/edgar/data/55135/000143774913001540/0001437749-13-001540-index.html,https://www.sec.gov/Archives/edgar/data/55135/000143774914002057/kelya20131119_10k.htm,https://www.sec.gov/Archives/edgar/data/55135/000005513515000009/kelya-20141228x10k.htm,undefined,https://www.sec.gov/Archives/edgar/data/55135/000005513516000093/0000055135-16-000093-index.html,https://www.sec.gov/Archives/edgar/data/55135/000005513518000006/0000055135-18-000006-index.html,https://www.sec.gov/Archives/edgar/data/55135/000005513519000006/0000055135-19-000006-index.html,https://www.sec.gov/Archives/edgar/data/55135/000005513520000006/0000055135-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/55135/000005513521000004/0000055135-21-000004-index.htm,undefined
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
