,https://roic.ai/company/SBOW,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
31,Cash and Cash Equivalents,100000,- -,800000,100000,7400000,2300000,1700000,1300000,600000,1000000,7600000,77800000,2000000,1600000,22700000,1986932,2149086,3816107,1066280,4920118,53004562,1058051,5623000,283000,38469000,86367000,251696000,170000,3277000,406000,29460000,303000,7806000,2465000,1358000,2118000,1121000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,100000,- -,800000,100000,7400000,2300000,1700000,1300000,600000,1000000,7600000,77800000,2000000,1600000,22700000,1986932,2149086,3816107,1066280,4920118,53004562,1058051,5623000,283000,38469000,86367000,251696000,170000,3277000,406000,29460000,303000,7806000,2465000,1358000,2118000,1121000
34,Net Receivables,4400000,6200000,6800000,7600000,15500000,27300000,31200000,28000000,45400000,34600000,34900000,23100000,27000000,32600000,26600000,36806449,31942254,20917526,28649745,39043347,50395527,67010649,75827000,61664000,54273000,46975000,64392000,67318000,70897000,48451000,21704000,17490000,27263000,46472000,36996000,25850000,49777000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,15400000,3500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5600000,- -,3100,600000,400000,- -,- -,- -,- -,- -
36,Other Current Assets,3500000,700000,800000,1600000,31900000,42900000,15000000,1500000,3900000,100000,900000,700000,1000000,1000000,1300000,3079498,2661640,5034566,4957647,10422531,11655046,24504341,118500000,16139000,15858000,27475000,12063000,7449000,12574000,15808900,10083000,3286000,7500000,17387000,14954000,7005000,1875000
37,Total Current Assets,8000000,6900000,8400000,9300000,54800000,72500000,47900000,30800000,65300000,39200000,43400000,101600000,30000000,35200000,50600000,41872879,36752980,29768199,34673672,54385996,115055135,92573041,199950000,78086000,108600000,160817000,328151000,80537000,86748000,64669000,61847000,21479000,42569000,66324000,53308000,34973000,- -
38,PP&E,5400000,7300000,14000000,21000000,29100000,43500000,49500000,65900000,91300000,90300000,127500000,203000000,304200000,359700000,395800000,527087150,631208671,725509454,816459776,923438160,1079033739,1483312165,1760195000,1431447000,1315964000,1572845000,1867766000,2345020000,2539646000,2095037000,457903000,347195000,495397000,701296000,876363000,546460000,758033000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
