,https://roic.ai/company/BOOM,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
89,Cash Used for Investing Activites,-500000,-600000,-500000,-300000,-300000,-1000000,-300000,-5700000,-700000,-18500000,-800000,1215290,-1362307,-1465195,-917927,-295053,-3494000,920000,-90290000,-10464000,-4142000,-9265000,-7731000,-25555000,-18239000,-13383000,-5326000,-5702000,-6184000,-45095000,-25947000,-39557000,-267806000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-17217000,-23225000,-23205000,-1242000,-9695000,-6143000,-5000,-11253000,- -,-1628000,-27254000,-3125000,-11750000
91,Common Stock Issued,- -,1100000,- -,- -,- -,2600000,- -,100000,300000,300000,100000,5280702,55467,59543,56352,888963,1555000,585000,891000,441000,425000,188000,177000,193000,295000,- -,272000,322000,296000,442000,557000,25740000,149157000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-200000,- -,-400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-26000,-337000,-453000,-1103000,-1890000,-2485000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-296000,- -,- -,- -,-1155000,-1766000,-1821000,-1894000,-1028000,-2089000,-2130000,-2155000,-2187000,-2226000,-2260000,-1150000,-1174000,-1189000,-2762000,-3749000,- -
94,Other Financing Activites,400000,-100000,100000,-100000,-300000,-2300000,100000,3200000,-3800000,15000000,800000,-6174760,-1499406,-3766721,-1300485,-1787577,-5062000,-997000,63222000,-15796000,90000,179000,23763000,11721000,- -,515000,3781000,- -,1862000,24686000,- -,341000,147663000
95,Cash Used/Provided by Financing Activities,400000,1000000,100000,-100000,-300000,300000,100000,3100000,-3500000,14900000,900000,-894058,-1739939,-3707178,-1244133,-898614,-4662000,-2178000,62292000,-17249000,-17730000,-24947000,-1395000,8517000,-11587000,-7854000,1788000,-12107000,647000,21858000,-30562000,17317000,282585000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-70000,222945,133819,87610,-123000,489000,473000,-975000,383000,-320000,104000,-8000,191000,-3274000,-1189000,-261000,1354000,-9000,-1107000,-288000,656000
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1513088,-653384,-636537,1881864,3359000,12123000,-8841000,5315000,8051000,-17839000,704000,2924000,2417000,-1198000,-3109000,128000,2564000,4392000,6978000,7834000,2623000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,186530,1811618,1158234,521697,2403561,5763000,17886000,9045000,14360000,22411000,4572000,5276000,8200000,10617000,9400000,6291000,6419000,8983000,13375000,20353000,28187000,30810000
99,Cash at the Beginning of Period,- -,- -,700000,100000,- -,800000,700000,500000,200000,100000,- -,- -,298530,1811618,1158234,521697,2404000,5763000,17886000,9045000,14360000,22411000,4572000,5276000,8200000,10598000,9400000,6291000,6419000,8983000,13375000,20353000,28187000
100,Free Cash Flow,-400000,-200000,-500000,- -,1000000,-500000,-200000,2100000,3600000,-7800000,-500000,-368578,3325148,2802495,382257,1849858,8790000,7907000,9705000,24078000,25623000,13166000,2000000,4323000,14487000,1910000,-3815000,12479000,561000,-17457000,37384000,16509000,-21471000
101,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/34067/0000932384-96-000127-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/34067/000093238499000108/0000932384-99-000108-index.html,- -,https://www.sec.gov/Archives/edgar/data/34067/000089808001000126/0000898080-01-000126-index.html,https://www.sec.gov/Archives/edgar/data/34067/000089808002000088/0000898080-02-000088-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/34067/000110465905012404/0001104659-05-012404-index.htm,https://www.sec.gov/Archives/edgar/data/34067/000110465906016592/0001104659-06-016592-index.htm,https://www.sec.gov/Archives/edgar/data/34067/000110465907017391/0001104659-07-017391-index.htm,https://www.sec.gov/Archives/edgar/data/34067/000104746908002774/0001047469-08-002774-index.htm,https://www.sec.gov/Archives/edgar/data/34067/000104746909002596/0001047469-09-002596-index.htm,https://www.sec.gov/Archives/edgar/data/34067/000110465910013851/0001104659-10-013851-index.htm,https://www.sec.gov/Archives/edgar/data/34067/000110465911010898/0001104659-11-010898-index.htm,https://www.sec.gov/Archives/edgar/data/34067/000110465912016908/0001104659-12-016908-index.htm,https://www.sec.gov/Archives/edgar/data/34067/000110465913020365/0001104659-13-020365-index.htm,https://www.sec.gov/Archives/edgar/data/34067/000003406714000003/0000034067-14-000003-index.htm,https://www.sec.gov/Archives/edgar/data/34067/000003406715000018/0000034067-15-000018-index.htm,https://www.sec.gov/Archives/edgar/data/34067/000003406716000072/0000034067-16-000072-index.htm,https://www.sec.gov/Archives/edgar/data/34067/000003406717000007/0000034067-17-000007-index.htm,https://www.sec.gov/Archives/edgar/data/34067/000003406718000009/0000034067-18-000009-index.htm,https://www.sec.gov/Archives/edgar/data/34067/000003406719000005/0000034067-19-000005-index.htm,https://www.sec.gov/Archives/edgar/data/34067/000003406720000009/0000034067-20-000009-index.htm,https://www.sec.gov/Archives/edgar/data/34067/000003406721000015/0000034067-21-000015-index.htm,https://www.sec.gov/Archives/edgar/data/34067/000003406722000023/0000034067-22-000023-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
