,https://roic.ai/company/EOG,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
89,Cash Used for Investing Activites,-189700000,-253200000,-230600000,-1100000,-512600000,-494800000,-391300000,-511600000,-697100000,-759600000,-363400000,-667161000,-1088055000,-872538000,-1268510000,-1396908000,-1678108000,-2710373000,-3455774000,-4966518000,-3414551000,-4902774000,-5760076000,-6119263000,-6314778000,-7513565000,-5320256000,-1252944000,-3987409000,-6170162000,-6177173000,-3347506000,-3419000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-45300000,-220000000,-2824000,-405780000,-505966000,-506156000,-570182000,-606555000,-358219000,-912899000,-1019444000,-787000000
91,Common Stock Issued,211700000,- -,- -,111900000,9100000,4100000,10300000,22200000,5100000,2900000,739800000,127090000,30805000,17339000,35138000,75510000,64668000,36033000,55320000,72572000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,206000000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-16700000,-14100000,-17900000,-43500000,-99300000,-25900000,-2100000,-272723000,-126769000,-63038000,-21295000,-50000000,- -,-50199000,-51197000,-23229000,-10986000,-11295000,-23922000,-58592000,-63784000,-127424000,-48791000,-82125000,-63408000,-63456000,-25152000,-16130000,-41000000
93,Dividends Paid,- -,-15200000,-15200000,-15400000,-19200000,-19200000,-19200000,-19200000,-18900000,-18500000,-17400000,-26071000,-28580000,-29152000,-31294000,-37595000,-42986000,-60443000,-84020000,-115204000,-142260000,-153240000,-167169000,-181080000,-199178000,-279695000,-367005000,-372845000,-386531000,-438045000,-588200000,-820823000,-2684000000
94,Other Financing Activites,-124100000,17100000,4100000,-273000000,30200000,800000,100000000,171600000,281000000,394500000,-780500000,-133229000,-2468000,286155000,-39745000,-31153000,-93992000,-224273000,473620000,710966000,987408000,2513254000,1419630000,1382247000,94816000,585351000,1292873000,782430000,20783000,20617000,12930000,1291372000,19000000
95,Cash Used/Provided by Financing Activities,87600000,1900000,-11100000,-176500000,3400000,-28400000,73200000,131100000,167900000,353000000,-60200000,-304933000,-127012000,211304000,-57196000,-43238000,-72310000,-298882000,393723000,645105000,834162000,2303419000,1008539000,1139751000,-573926000,-327734000,370921000,-242722000,-1035711000,-839103000,-1513321000,-359025000,-3493000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12336000,3823000,5146000,4662000,-34756000,12390000,-6145000,-5134000,3444000,1064000,-38852000,-14537000,17992000,-7883000,-37937000,-348000,-296000,1000000
97,Net Change In Cash,87600000,1900000,-11100000,-176500000,3400000,- -,- -,- -,- -,- -,18500000,-4684000,-17640000,7336000,-5405000,16537000,622831000,-425556000,-164024000,277080000,354440000,103102000,442599000,260709000,441774000,769004000,-1368707000,881389000,-765667000,721406000,472338000,1300956000,1880000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24800000,20152000,2512000,9848000,4443000,20980000,643811000,218255000,54231000,331311000,685751000,788853000,615726000,876435000,1318209000,2087213000,718506000,1599895000,834228000,1555634000,2027972000,3328928000,5209000000
99,Cash at the Beginning of Period,300000,15300000,3600000,3800000,132600000,103100000,5800000,23000000,7600000,9300000,6300000,24836000,20152000,2512000,9848000,4443000,20980000,643811000,218255000,54231000,331311000,685751000,173127000,615726000,876435000,1318209000,2087213000,718506000,1599895000,834228000,1555634000,2027972000,3329000000
100,Free Cash Flow,-116400000,-69300000,30200000,-56000000,96600000,-16200000,-109600000,-174200000,-95300000,-286800000,39300000,364772000,223411000,-45557000,115918000,27663000,644663000,-240677000,-785697000,-562222000,-580570000,-2872780000,4578410000,-2118339000,268787000,402350000,-1417998000,-223732000,141094000,1692133000,1740654000,1543083000,4941000000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/821189/000082118906000040/0000821189-06-000040-index.htm,https://www.sec.gov/Archives/edgar/data/821189/000082118907000056/0000821189-07-000056-index.htm,https://www.sec.gov/Archives/edgar/data/821189/000082118908000042/0000821189-08-000042-index.htm,https://www.sec.gov/Archives/edgar/data/821189/000082118909000008/0000821189-09-000008-index.htm,https://www.sec.gov/Archives/edgar/data/821189/000082118910000011/0000821189-10-000011-index.htm,https://www.sec.gov/Archives/edgar/data/821189/000082118911000022/0000821189-11-000022-index.htm,https://www.sec.gov/Archives/edgar/data/821189/000082118912000014/0000821189-12-000014-index.htm,- -,https://www.sec.gov/Archives/edgar/data/821189/000082118914000007/0000821189-14-000007-index.htm,https://www.sec.gov/Archives/edgar/data/821189/000082118915000010/0000821189-15-000010-index.htm,https://www.sec.gov/Archives/edgar/data/821189/000082118916000054/0000821189-16-000054-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/821189/000082118919000009/0000821189-19-000009-index.htm,https://www.sec.gov/Archives/edgar/data/821189/000082118920000010/0000821189-20-000010-index.htm,https://www.sec.gov/Archives/edgar/data/821189/000082118921000017/0000821189-21-000017-index.htm,https://www.sec.gov/Archives/edgar/data/821189/000082118922000017/0000821189-22-000017-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
