,https://roic.ai/company/TXT,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,12796000000,8875000000,-252000000,- -,98000000,2810000000,6131000000,6453000000,7258000000,- -,6709000000,8505000000,7308000000,9298000000,8874000000,10577000000,7339000000,5545000000,3902000000,2617000000,- -,2726000000,4256000000,3550000000,3228000000,- -,3395000000,4978000000
82,Other Non-Cash Items,- -,- -,- -,- -,393700000,282700000,312600000,1000700000,639500000,-12456000000,4219000000,10017000000,- -,-382000000,-2730000000,128000000,-141000000,-711000000,- -,810000000,-934000000,1208000000,-2222000000,279000000,-801000000,3674000000,2131000000,1427000000,1122000000,- -,59000000,-1958000000,559000000,-279000000,- -,-473000000,-1508000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,649700000,777200000,838600000,1041500000,1299400000,1263000000,1284000000,1564000000,- -,1063000000,961000000,1023000000,983000000,694000000,- -,848000000,1036000000,969000000,1049000000,750000000,1015000000,984000000,1063000000,927000000,810000000,- -,1208000000,1012000000,953000000,1107000000,- -,1014000000,768000000
84,CAPEX,- -,- -,- -,- -,-240200000,-191200000,-155600000,-217100000,-251800000,-302000000,-283000000,-343000000,- -,-412000000,-1431000000,-527000000,-532000000,-296000000,- -,-301000000,-365000000,-431000000,-401000000,-550000000,-238000000,-270000000,-423000000,-480000000,-444000000,- -,-429000000,-446000000,-423000000,-369000000,- -,-339000000,-317000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-85000000,12000000,-2000000,- -,14000000,-29000000,-494000000,-1106000000,-109000000,- -,-57000000,-14000000,-11000000,-196000000,- -,-1628000000,-186000000,-331000000,784000000,- -,-2000000,-15000000
86,Purchases of Investments,- -,- -,- -,- -,-950900000,-779100000,-1489500000,-1863400000,-1744500000,-1954000000,-1766000000,-293000000,- -,-288000000,- -,-134000000,-7527000000,-9263000000,- -,-9824000000,-10116000000,-11225000000,-11964000000,-10960000000,-3005000000,-450000000,-187000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,597900000,560200000,1070100000,1507200000,1188400000,1374000000,1317000000,254000000,- -,492000000,- -,- -,7777000000,8890000000,- -,9955000000,9219000000,10027000000,11976000000,11148000000,594000000,2163000000,1245000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-845200000,-773500000,-636400000,-1560000000,-694600000,-732000000,-768000000,-1202000000,- -,-168000000,-211000000,-176000000,-582000000,-226000000,- -,-87000000,-269000000,283000000,-312000000,-16000000,4350000000,-107000000,-201000000,389000000,-68000000,- -,-291000000,-337000000,-331000000,-164000000,- -,-264000000,-233000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-1438400000,-1183600000,-1211400000,-2133300000,-1502500000,-1614000000,-1500000000,-1584000000,- -,-376000000,-1642000000,-922000000,-320000000,-601000000,- -,58000000,-1195000000,-1409000000,-1406000000,63000000,1939000000,1549000000,843000000,378000000,-264000000,- -,-1919000000,-523000000,-662000000,620000000,- -,-266000000,-248000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1968000000,-2207000000,- -,-1882000000,-1178000000,-1137000000,-1394000000,-1922000000,-4226000000,-3708000000,-2805000000,-617000000,-1271000000,- -,-904000000,-457000000,-841000000,-131000000,- -,-303000000,-970000000
91,Common Stock Issued,- -,- -,- -,- -,100000000,- -,26400000,33700000,19500000,12000000,42000000,42000000,- -,38000000,71000000,14000000,- -,- -,- -,67000000,106000000,173000000,- -,- -,333000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-98600000,- -,- -,- -,-166000000,-100000000,-300000000,- -,-328000000,-712000000,-353000000,-47000000,-248000000,- -,-64000000,-597000000,-761000000,-304000000,-533000000,- -,- -,- -,-272000000,- -,- -,-340000000,-241000000,-582000000,-1783000000,- -,-503000000,-183000000
93,Dividends Paid,- -,- -,- -,- -,-89400000,-88400000,-89400000,-98100000,-110100000,124000000,-133000000,-148000000,- -,-202000000,-143000000,-189000000,-184000000,-182000000,- -,-222000000,-189000000,-244000000,-154000000,-284000000,-21000000,-22000000,-22000000,-17000000,-22000000,- -,-28000000,-22000000,-21000000,-20000000,- -,-18000000,-18000000
94,Other Financing Activites,- -,- -,- -,- -,791800000,630000000,420600000,1137700000,287600000,397000000,457000000,389000000,- -,-155000000,1475000000,507000000,1507000000,2591000000,- -,1353000000,2141000000,2370000000,1939000000,1949000000,2281000000,237000000,876000000,125000000,551000000,- -,1607000000,552000000,1084000000,70000000,- -,322000000,1531000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,802400000,443000000,357600000,1073300000,197000000,367000000,266000000,-17000000,- -,-647000000,691000000,-21000000,-692000000,-46000000,- -,-748000000,283000000,401000000,87000000,-790000000,-1633000000,-3493000000,-1951000000,-781000000,-742000000,- -,335000000,-168000000,-360000000,-1864000000,- -,-502000000,360000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-400000,500000,-1100000,-500000,1200000,7000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,32000000,-25000000,23000000,21000000,-7000000,24000000,-1000000,-1000000,4000000,-6000000,- -,-13000000,-28000000,33000000,-18000000,- -,4000000,17000000
97,Net Change In Cash,- -,- -,- -,- -,802400000,443000000,357600000,1073300000,197000000,367000000,266000000,-17000000,- -,-647000000,691000000,80000000,-29000000,47000000,- -,536000000,99000000,-16000000,-249000000,16000000,1345000000,-961000000,-46000000,528000000,-202000000,- -,-389000000,293000000,-36000000,-155000000,- -,250000000,897000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,289000000,260000000,307000000,- -,843000000,796000000,780000000,531000000,547000000,1892000000,931000000,885000000,1413000000,1211000000,- -,822000000,1298000000,1262000000,1107000000,- -,1357000000,2254000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,16000000,29300000,66400000,50100000,31100000,26000000,49000000,84000000,- -,47000000,43000000,209000000,289000000,260000000,- -,307000000,697000000,796000000,780000000,531000000,547000000,1892000000,931000000,885000000,1413000000,- -,1211000000,1005000000,1298000000,1262000000,- -,1107000000,1357000000
100,Free Cash Flow,- -,- -,- -,- -,409500000,586000000,683000000,824400000,1047600000,961000000,1001000000,1221000000,- -,651000000,-470000000,496000000,451000000,398000000,- -,547000000,671000000,538000000,648000000,200000000,777000000,714000000,640000000,447000000,366000000,- -,779000000,566000000,530000000,738000000,- -,675000000,451000000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/217346/000021734695000003/0000217346-95-000003-index.html,https://www.sec.gov/Archives/edgar/data/217346/000021734696000008/0000217346-96-000008-index.html,https://www.sec.gov/Archives/edgar/data/217346/000021734697000001/0000217346-97-000001-index.html,undefined,https://www.sec.gov/Archives/edgar/data/217346/000021734698000002/0000217346-98-000002-index.html,https://www.sec.gov/Archives/edgar/data/217346/000021734699000003/0000217346-99-000003-index.html,https://www.sec.gov/Archives/edgar/data/217346/000095013501000833/0000950135-01-000833-index.html,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/217346/000095013504000995/b49049tie10vk.htm,https://www.sec.gov/Archives/edgar/data/217346/000110465906011793/a06-1864_110k.htm,- -,https://www.sec.gov/Archives/edgar/data/217346/000110465908011718/a08-2392_110k.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/217346/000110465913011048/0001104659-13-011048-index.html,https://www.sec.gov/Archives/edgar/data/217346/000110465914009908/a13-26941_110k.htm,undefined,https://www.sec.gov/Archives/edgar/data/217346/000110465915013784/a14-26298_110k.htm,https://www.sec.gov/Archives/edgar/data/217346/000110465917010809/0001104659-17-010809-index.html,https://www.sec.gov/Archives/edgar/data/217346/000110465918009905/0001104659-18-009905-index.html,https://www.sec.gov/Archives/edgar/data/217346/000110465919008151/0001104659-19-008151-index.html,undefined,https://www.sec.gov/Archives/edgar/data/217346/000110465920024773/0001104659-20-024773-index.html,https://www.sec.gov/Archives/edgar/data/217346/000021734621000019/0000217346-21-000019-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
