,https://roic.ai/company/RPT,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
88,Other Investing Activites,- -,13700000,-17800000,1400000,500000,12400000,46016075,-55073854,61476000,-691000,221000,34804000,15983000,29970000,-76599000,14982000,20068000,17820000,92516000,148492000,107561000,29075000,-497000,32222000,-169341000,-350773000,-315709000,-168431000,7746000,-10341000,39262000,96683000,-18918000,-9361000
89,Cash Used for Investing Activites,- -,13700000,-17800000,-4000000,500000,21700000,37183527,-56335379,19749000,-153183000,-38280000,-10703000,-12779000,5774000,-80406000,-81212000,-105563000,-85959000,42113000,23182000,33602000,-3445000,-101935000,-79747000,-173210000,-355752000,-315723000,-154333000,7746000,-10341000,42262000,95095000,-18929000,-167132000
90,Debt Repayment,- -,- -,- -,- -,-16500000,-19200000,-6490854,- -,-74852000,-60509000,-7400000,-37567000,-5605000,-9026000,-68341000,-120080000,-100017000,-332753000,-15437000,-317341000,-196010000,-286502000,-144145000,-284954000,-24518000,-135154000,-171123000,-93025000,-308998000,-353819000,-125857000,-350127000,-127378000,-497111000
91,Common Stock Issued,- -,6000000,-6200000,- -,-300000,-200000,- -,- -,- -,11100000,10000,- -,- -,112000,105069000,108496000,593000,292000,298000,26201000,- -,96240000,75693000,8819000,111468000,274295000,170372000,17110000,- -,- -,- -,- -,- -,44601000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-237734,- -,- -,- -,- -,- -,-1246000,-654000,-53184000,- -,- -,- -,-7804000,-25933000,-34150000,- -,- -,- -,- -,- -,- -,- -,-202000,-522000,-1823000,-704000,-1341000,-1507000
93,Dividends Paid,- -,-23400000,-23800000,-20100000,-17200000,-11100000,-9123239,-9117576,-9545000,-11967000,-13156000,-15379000,-15465000,-15300000,-18247000,-24854000,-32059000,-35997000,-36480000,-37087000,-6247000,-20477000,-22501000,-28635000,-37397000,-48938000,-63115000,-72753000,-76078000,-78613000,-78842000,-79034000,-42912000,-28946000
94,Other Financing Activites,- -,-200000,- -,12700000,100000,- -,- -,- -,42471000,199025000,41549000,40889000,15164000,-2859000,99003000,101530000,185821000,409696000,-25061000,248417000,166125000,169625000,151338000,341794000,53541000,181528000,272537000,195152000,257375000,329869000,89769000,314007000,224433000,359780000
95,Cash Used/Provided by Financing Activities,- -,-17600000,-30000000,-7400000,-33900000,-30500000,-15851827,-9117576,-41926000,137649000,21003000,-12057000,-7152000,-27727000,64300000,65092000,54338000,41238000,-84484000,-105743000,-70282000,-41114000,60385000,37024000,103094000,271731000,208671000,46484000,-127903000,-103085000,-116753000,-115858000,52802000,-123183000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1991000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,-17600000,-30000000,-7400000,-33900000,-30500000,35783203,-63117463,-7926000,1492000,-483000,1194000,-2805000,2603000,4432000,9909000,-4838000,-116000,4414000,3427000,-9682000,3505000,1743000,1980000,-7922000,1562000,3540000,-2691000,-3062000,4499000,31831000,69830000,96932000,-197451000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,74583966,11466503,3541000,5033000,4550000,5744000,2939000,5542000,9974000,19883000,15045000,14929000,11550000,14977000,5295000,8800000,10175000,12155000,4233000,5795000,9335000,6644000,3582000,8081000,44722000,114552000,211484000,14033000
99,Cash at the Beginning of Period,- -,40000000,66000000,42900000,51200000,37600000,38800763,74583966,11467000,3541000,5033000,4550000,5744000,2939000,5542000,9974000,19883000,15045000,7136000,11550000,14977000,5295000,8432000,10175000,12155000,4233000,5795000,9335000,6644000,3582000,12891000,44722000,114552000,211484000
100,Free Cash Flow,- -,29900000,24600000,19700000,19900000,9900000,5618955,1329563,-27476000,-135466000,-21707000,-19224000,-10206000,2829000,-87001000,-70165000,-72697000,-14863000,-3639000,-1145000,-40882000,26466000,-44469000,-56987000,23763000,40958000,29850000,44235000,45057000,54669000,29149000,33992000,39935000,64722000
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/842183/0000950123-96-001725-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/842183/000095012499001895/0000950124-99-001895-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/842183/000095012402000796/k67896e10-k.htm,https://www.sec.gov/Archives/edgar/data/842183/000095012403000831/k74377e10vk.htm,https://www.sec.gov/Archives/edgar/data/842183/000095012404000899/k82513e10vk.htm,https://www.sec.gov/Archives/edgar/data/842183/000095012405002130/k91899e10vk.htm,https://www.sec.gov/Archives/edgar/data/842183/000095012406000988/k02503e10vk.htm,https://www.sec.gov/Archives/edgar/data/842183/000095012407001329/k12916e10vk.htm,https://www.sec.gov/Archives/edgar/data/842183/000095012408001128/k24646e10vk.htm,https://www.sec.gov/Archives/edgar/data/842183/000095015209002465/0000950152-09-002465-index.html,https://www.sec.gov/Archives/edgar/data/842183/000095012310024206/0000950123-10-024206-index.html,https://www.sec.gov/Archives/edgar/data/842183/000115752311001382/a6631679.htm,https://www.sec.gov/Archives/edgar/data/842183/000115752312001309/0001157523-12-001309-index.html,https://www.sec.gov/Archives/edgar/data/842183/000115752313001055/0001157523-13-001055-index.html,https://www.sec.gov/Archives/edgar/data/842183/000084218314000003/rpt_12312013x10k.htm,https://www.sec.gov/Archives/edgar/data/842183/000084218315000009/rpt-12312014_10k.htm,https://www.sec.gov/Archives/edgar/data/842183/000084218316000076/0000842183-16-000076-index.html,https://www.sec.gov/Archives/edgar/data/842183/000084218317000013/0000842183-17-000013-index.html,https://www.sec.gov/Archives/edgar/data/842183/000084218318000013/0000842183-18-000013-index.html,https://www.sec.gov/Archives/edgar/data/842183/000084218319000008/0000842183-19-000008-index.html,https://www.sec.gov/Archives/edgar/data/842183/000084218320000009/0000842183-20-000009-index.html,https://www.sec.gov/Archives/edgar/data/842183/000084218321000022/0000842183-21-000022-index.htm,https://www.sec.gov/Archives/edgar/data/842183/000084218322000015/0000842183-22-000015-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
